location_name,total_ulasan,avg_sentimen_skor,avg_rating,ulasan_positif,ulasan_negatif,sentimen_label_lokasi,sentiment_score,sentiment_model_source,sentiment_model_version,sentiment_available
Gunung Artapela,9,1.0,4.777777777777778,9,0,Sangat Positif,1.0,tfidf_linearsvc,run_nlp_pipeline_v2,True
Curug Nyalangkadar,1,1.0,5.0,1,0,Sangat Positif,1.0,tfidf_linearsvc,run_nlp_pipeline_v2,True
Curug Ceret Pangalengan,52,1.0,4.846153846153846,52,0,Sangat Positif,1.0,tfidf_linearsvc,run_nlp_pipeline_v2,True
Cikole Jayagiri Resort,4,1.0,5.0,4,0,Sangat Positif,1.0,tfidf_linearsvc,run_nlp_pipeline_v2,True
Kampung Toga Villa & Resto,2,1.0,5.0,2,0,Sangat Positif,1.0,tfidf_linearsvc,run_nlp_pipeline_v2,True
Tebing Karaton,17,1.0,4.823529411764706,17,0,Sangat Positif,1.0,tfidf_linearsvc,run_nlp_pipeline_v2,True
Panama Park 825,18,1.0,4.944444444444445,18,0,Sangat Positif,1.0,tfidf_linearsvc,run_nlp_pipeline_v2,True
Rengganis Suspension Bridge,19,1.0,4.947368421052632,19,0,Sangat Positif,1.0,tfidf_linearsvc,run_nlp_pipeline_v2,True
Southland Camp Ciwidey,10,1.0,4.3,10,0,Sangat Positif,1.0,tfidf_linearsvc,run_nlp_pipeline_v2,True
Taman Ecowisata Cimenteng,57,0.9824561403508772,4.87719298245614,56,0,Sangat Positif,0.9824561403508772,tfidf_linearsvc,run_nlp_pipeline_v2,True
Kampung Singkur,51,0.9803921568627452,4.823529411764706,50,0,Sangat Positif,0.9803921568627452,tfidf_linearsvc,run_nlp_pipeline_v2,True
Taman Hutan Raya Ir. H. Djuanda,200,0.975,4.85,196,1,Sangat Positif,0.975,tfidf_linearsvc,run_nlp_pipeline_v2,True
Saung Angklung Udjo,200,0.975,4.87,196,1,Sangat Positif,0.975,tfidf_linearsvc,run_nlp_pipeline_v2,True
Museum Geologi Bandung,200,0.975,4.89,197,2,Sangat Positif,0.975,tfidf_linearsvc,run_nlp_pipeline_v2,True
Lembang Park & Zoo,173,0.9710982658959536,4.930635838150289,170,2,Sangat Positif,0.9710982658959536,tfidf_linearsvc,run_nlp_pipeline_v2,True
Museum Konferensi Asia Afrika,200,0.97,4.85,196,2,Sangat Positif,0.97,tfidf_linearsvc,run_nlp_pipeline_v2,True
NuArt Sculpture Park,409,0.9657701711491442,4.850855745721272,399,4,Sangat Positif,0.9657701711491442,tfidf_linearsvc,run_nlp_pipeline_v2,True
Perkebunan Teh Malabar,517,0.9632495164410058,4.843326885880077,501,3,Sangat Positif,0.9632495164410058,tfidf_linearsvc,run_nlp_pipeline_v2,True
Glamping Legok Kondang,52,0.9615384615384616,4.807692307692308,50,0,Sangat Positif,0.9615384615384616,tfidf_linearsvc,run_nlp_pipeline_v2,True
Wahoo Waterworld,207,0.961352657004831,4.942028985507246,202,3,Sangat Positif,0.961352657004831,tfidf_linearsvc,run_nlp_pipeline_v2,True
The Nice Park Bandung,381,0.9606299212598424,4.955380577427822,373,7,Sangat Positif,0.9606299212598424,tfidf_linearsvc,run_nlp_pipeline_v2,True
Wayang Windu Panenjoan,200,0.96,4.775,194,2,Sangat Positif,0.96,tfidf_linearsvc,run_nlp_pipeline_v2,True
Bukit Moko Bandung,200,0.96,4.705,193,1,Sangat Positif,0.96,tfidf_linearsvc,run_nlp_pipeline_v2,True
Puncak Mega Gunung Puntang,24,0.9583333333333334,4.791666666666667,23,0,Sangat Positif,0.9583333333333334,tfidf_linearsvc,run_nlp_pipeline_v2,True
Gedung Sate,200,0.95,4.785,192,2,Sangat Positif,0.95,tfidf_linearsvc,run_nlp_pipeline_v2,True
Malabar Mountain Coffee Shop & Eatery,179,0.9497206703910616,4.726256983240224,173,3,Sangat Positif,0.9497206703910616,tfidf_linearsvc,run_nlp_pipeline_v2,True
Museum Sri Baduga,198,0.9494949494949496,4.686868686868687,191,3,Sangat Positif,0.9494949494949496,tfidf_linearsvc,run_nlp_pipeline_v2,True
Gunung Bohong,76,0.9473684210526316,4.618421052631579,73,1,Sangat Positif,0.9473684210526316,tfidf_linearsvc,run_nlp_pipeline_v2,True
Museum Kota Bandung,19,0.9473684210526316,4.526315789473684,18,0,Sangat Positif,0.9473684210526316,tfidf_linearsvc,run_nlp_pipeline_v2,True
Lawangwangi Creative Space,560,0.9464285714285714,4.776785714285714,543,13,Sangat Positif,0.9464285714285714,tfidf_linearsvc,run_nlp_pipeline_v2,True
Gedung Merdeka,126,0.9444444444444444,4.746031746031746,121,2,Sangat Positif,0.9444444444444444,tfidf_linearsvc,run_nlp_pipeline_v2,True
