priority,impact_score,task_type,location_id,location_name,category,display_status,issue_codes,fields_to_complete,current_is_active_verified,current_media_available,current_sentiment_available,current_avg_rating,current_coordinate_verified,candidate_value,candidate_source_url,candidate_status,candidate_match_title,candidate_match_score,evidence_sources,recommended_action,auto_apply_allowed,reviewer_status,reviewer_note
P0,111,active_status_verification,LOC-196,Curug Walanda Citatah,Wisata Alam,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,False,False,,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-001,23 Paskal Shopping Center,Tempat Belanja,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,3.89,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-002,Alam Wisata Cimahi,Rekreasi Keluarga,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,4.440074906367041,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-003,Alun-Alun Kota Bandung,Taman Kota,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,4.225,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-005,Amazing Artgames,Rekreasi Keluarga,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,4.625,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-006,Bandung Carnival Land,Rekreasi Keluarga,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,4.170454545454546,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-007,Bandung Indah Plaza,Tempat Belanja,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,4.33,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-144,Barusen Hills Ciwidey,Rekreasi Keluarga,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,4.074074074074074,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-010,Braga Citywalk,Tempat Belanja,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,4.57,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-011,Bukit Jamur Rancabolang Pasirjambu,Wisata Alam,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,4.15,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-012,Bukit Moko Bandung,Wisata Alam,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,4.705,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-013,Bukit Senyum,Wisata Alam,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,4.36867469879518,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-014,Bumi Perkemahan Ranca Upas Bandung,Tempat Camping,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,4.552238805970149,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-018,Cimahi Mall,Tempat Belanja,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,4.190476190476191,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-019,Cimahi Techno Park,Tempat Belajar,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,4.587804878048781,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-185,Ciwangun Indah Camp,Tempat Camping,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,4.540816326530612,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-189,Curug Aseupan,Wisata Alam,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,4.76,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-188,Curug Bugbrug,Wisata Alam,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,4.577235772357724,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-202,Curug Cilengkrang,Wisata Alam,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,3.8541666666666665,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-168,Curug Cinulang,Wisata Alam,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,4.271604938271605,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-021,Curug Cipanas,Wisata Alam,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,4.020408163265306,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-129,Curug Dago,Wisata Alam,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,4.509803921568627,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-022,Curug Gorobog,Wisata Alam,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,4.157894736842105,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-024,Curug Maribaya,Wisata Alam,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,3.926829268292683,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-197,Curug Nyalangkadar,Wisata Alam,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,5.0,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-191,Curug Panyandaan,Wisata Alam,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,4.104166666666667,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-025,Curug Pelangi,Wisata Alam,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,4.666666666666667,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-026,Curug Tilu Leuwi Opat,Wisata Alam,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,4.659090909090909,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-171,D'Dieuland,Rekreasi Keluarga,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,4.153846153846154,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
P1,95,active_status_verification,LOC-169,Dago Bakery Punclut,Tempat Kuliner,active_candidate,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,True,True,4.24,True,,,,,,manual_realworld_verification_queue,Verify whether place is active/open from reliable source; set True/False with evidence URL.,False,todo,
