location_id,location_name,latitude,longitude,price_min,price_max,price_type,category,subcategory,total_ulasan,ulasan_positif,ulasan_negatif,mentions_pemandangan,mentions_harga,mentions_fasilitas,mentions_keluarga,skor_sentimen_persen
LOC-001,23 Paskal Shopping Center,-6.9153879,107.5943024,0,0,Gratis,Tempat Belanja,Mall,0,,,,,,,0.0
LOC-002,Alam Wisata Cimahi,-6.8408401,107.5512452,0,0,Gratis,Rekreasi Keluarga,Kawasan rekreasi keluarga,11,10.0,1.0,4.0,2.0,5.0,2.0,90.9
LOC-003,Alun-Alun Kota Bandung,-6.92156,107.607105,0,0,Gratis,Taman Kota,Ruang publik kota,0,,,,,,,0.0
LOC-004,Alun-Alun Sumedang,-6.8601203,107.9207044,0,0,Gratis,Taman Kota,Ruang publik kota,0,,,,,,,0.0
LOC-005,Amazing Artgames,-6.8515827,107.5952858,35000,90000,Per Orang,Rekreasi Keluarga,Wahana foto interaktif,196,193.0,3.0,146.0,90.0,60.0,76.0,98.5
LOC-006,Bandung Carnival Land,-6.8783006,107.5951986,35000,45000,Per Orang,Rekreasi Keluarga,Taman hiburan,79,63.0,16.0,13.0,13.0,24.0,24.0,79.7
LOC-007,Bandung Indah Plaza,-6.908338,107.6112548,0,0,Gratis,Tempat Belanja,Pusat belanja,193,171.0,22.0,52.0,48.0,103.0,47.0,88.6
LOC-008,Bandung Science Center,-6.8773023,107.5947081,45000,45000,Per Orang,Tempat Belajar,Science center,89,70.0,19.0,22.0,16.0,19.0,43.0,78.7
LOC-009,Bendungan Jatigede,-6.85639,108.09472,10000,10000,Per Orang,Wisata Alam,Bendungan,15,14.0,1.0,7.0,0.0,1.0,2.0,93.3
LOC-010,Braga Citywalk,-6.917113,107.6084023,0,0,Gratis,Tempat Belanja,Citywalk,0,,,,,,,0.0
LOC-011,Bukit Jamur Rancabolang Pasirjambu,-7.194647,107.4322046,20000,20000,Per Orang,Wisata Alam,Daya tarik alam,171,160.0,11.0,143.0,64.0,146.0,27.0,93.6
LOC-012,Bukit Moko Bandung,-6.8580436,107.7113868,15000,30000,Per Orang,Wisata Alam,Daya tarik alam,194,192.0,2.0,173.0,89.0,132.0,46.0,99.0
LOC-013,Bukit Senyum,-6.7623484,107.5097621,10000,10000,Per Orang,Wisata Alam,Daya tarik alam,0,,,,,,,0.0
LOC-014,Bumi Perkemahan Ranca Upas Bandung,-7.1397,107.3922,28000,44000,Per Orang,Tempat Camping,Camping ground,64,60.0,4.0,45.0,6.0,20.0,18.0,93.8
LOC-015,Cadas Pangeran Sumedang,-6.8827445,107.8585067,0,0,Gratis,Tempat Sejarah,Situs sejarah,2,2.0,0.0,0.0,0.0,0.0,1.0,100.0
LOC-016,Chinatown Bandung,-6.91723,107.5927742,10000,30000,Per Orang,Tempat Budaya,Kawasan budaya tematik,179,177.0,2.0,162.0,133.0,65.0,68.0,98.9
LOC-017,Cihampelas Walk,-6.8938202,107.6055658,0,0,Gratis,Tempat Belanja,Mall,198,192.0,6.0,97.0,36.0,119.0,62.0,97.0
LOC-018,Cimahi Mall,-6.8784801,107.5395452,0,0,Gratis,Tempat Belanja,Pusat belanja,7,6.0,1.0,0.0,1.0,1.0,0.0,85.7
LOC-019,Cimahi Techno Park,-6.9013502,107.5367378,30000,30000,Per Orang,Tempat Belajar,Pusat edukasi teknologi,10,10.0,0.0,2.0,0.0,0.0,3.0,100.0
LOC-020,Ciwidey Valley Resort,-7.1009092,107.4537886,70000,70000,Per Orang,Penginapan Wisata,Resort wisata,167,112.0,55.0,125.0,77.0,116.0,81.0,67.1
LOC-021,Curug Cipanas,-6.8018806,107.5915295,30000,35000,Per Orang,Wisata Alam,Daya tarik alam,12,11.0,1.0,8.0,1.0,3.0,6.0,91.7
LOC-022,Curug Gorobog,-7.1076,107.4492,10000,10000,Per Orang,Wisata Alam,Daya tarik alam,15,12.0,3.0,12.0,5.0,5.0,5.0,80.0
LOC-023,Curug Malela,-7.0115741,107.2056616,10000,12000,Per Orang,Wisata Alam,Daya tarik alam,17,15.0,2.0,9.0,4.0,6.0,3.0,88.2
LOC-024,Curug Maribaya,-6.8343728,107.6580337,35000,45000,Per Orang,Wisata Alam,Daya tarik alam,8,7.0,1.0,7.0,2.0,5.0,4.0,87.5
LOC-025,Curug Pelangi,-6.7991735,107.5781113,20000,20000,Per Orang,Wisata Alam,Daya tarik alam,16,15.0,1.0,13.0,4.0,6.0,6.0,93.8
LOC-026,Curug Tilu Leuwi Opat,-6.7908,107.582,25000,25000,Per Orang,Wisata Alam,Daya tarik alam,10,10.0,0.0,6.0,2.0,4.0,3.0,100.0
LOC-027,Dago Dreampark,-6.8476037,107.6254233,30000,35000,Per Orang,Rekreasi Keluarga,Taman rekreasi tematik,15,9.0,6.0,6.0,7.0,7.0,5.0,60.0
LOC-028,Danau Biru Situ Cilembang,-7.21111,107.67333,10000,10000,Per Orang,Wisata Alam,Daya tarik alam,10,10.0,0.0,9.0,3.0,3.0,2.0,100.0
LOC-029,Dusun Bambu,-6.7899841,107.5786457,25000,40000,Per Orang,Rekreasi Keluarga,Kawasan rekreasi keluarga,0,,,,,,,0.0
LOC-030,Farm House Susu Lembang,-6.833,107.6056,35000,35000,Per Orang,Rekreasi Keluarga,Taman rekreasi tematik,6,5.0,1.0,1.0,2.0,2.0,1.0,83.3
LOC-031,Floating Market Lembang,-6.8188283,107.6180313,35000,35000,Per Orang,Rekreasi Keluarga,Taman rekreasi tematik,13,11.0,2.0,8.0,4.0,5.0,8.0,84.6
LOC-032,Gantolle Paralayang Singajaya Cihampelas,-6.9589027,107.471356,15000,15000,Per Orang,Wisata Petualangan,Aktivitas petualangan,21,21.0,0.0,11.0,2.0,4.0,3.0,100.0
LOC-033,Gedung Merdeka,-6.9210059,107.6092288,0,0,Gratis,Tempat Sejarah,Gedung bersejarah,123,119.0,4.0,36.0,8.0,27.0,20.0,96.7
LOC-034,Gedung Sate,-6.9019107,107.6173031,5000,5000,Per Orang,Tempat Sejarah,Gedung bersejarah,195,194.0,1.0,130.0,92.0,96.0,60.0,99.5
LOC-035,"Gereja Katedral Bandung, Santo Petrus",-6.91479,107.610453,0,0,Gratis,Tempat Ibadah,Gereja,196,187.0,9.0,75.0,22.0,66.0,19.0,95.4
LOC-036,Glamping Lakeside Rancabali,-7.1670549,107.3540784,25000,50000,Per Orang,Tempat Camping,Glamping,187,146.0,41.0,151.0,95.0,131.0,70.0,78.1
LOC-037,Gn. Tampomas,-6.8817995,107.5683276,5000,5000,Per Orang,Rekreasi Keluarga,Kawasan rekreasi,0,,,,,,,0.0
LOC-038,Gn. Tangkuban Parahu,-7.17444,107.73583,110000,110000,Per Orang,Rekreasi Keluarga,Kawasan rekreasi,14,11.0,3.0,9.0,5.0,3.0,3.0,78.6
LOC-039,Guha Pawon,-6.8231833,107.4371655,5000,5000,Per Orang,Wisata Alam,Gua,16,14.0,2.0,7.0,8.0,8.0,4.0,87.5
LOC-040,Gunung Bohong,-6.876389,107.519722,5000,5000,Per Orang,Wisata Alam,Daya tarik alam,0,,,,,,,0.0
LOC-041,Gunung Puntang,-7.1213917,107.6212909,25000,35000,Per Orang,Wisata Alam,Daya tarik alam,30,29.0,1.0,19.0,5.0,10.0,10.0,96.7
LOC-042,Gunung Putri Lembang,-6.795833,107.6338052,10000,25000,Per Orang,Wisata Alam,Daya tarik alam,12,11.0,1.0,12.0,1.0,4.0,3.0,91.7
