"RelativePath","SizeBytes","LastWriteTime"
"00_README_PENGUMPULAN.md","2535","2026-05-28 14:40:55"
"00_Setup\.env.example","918","2026-05-25 20:34:39"
"00_Setup\.gitignore","770","2026-05-25 21:47:43"
"00_Setup\ARCHITECTURE.md","12171","2026-05-19 11:54:46"
"00_Setup\PIJAK.code-workspace","151","2026-05-18 08:03:42"
"00_Setup\readme.md","5635","2026-05-16 11:47:27"
"00_Setup\requirements.txt","743","2026-05-25 20:34:39"
"01_Dataset_Final\data_validation_results.json","13298","2026-05-27 07:22:13"
"01_Dataset_Final\DATABASE_WISATA_DENGAN_METADATA.csv","114457","2026-05-21 09:13:49"
"01_Dataset_Final\DATABASE_WISATA_FINAL_PARIPURNA.csv","151705","2026-05-24 19:36:42"
"01_Dataset_Final\DATABASE_WISATA_LABELED_V2_REVIEWED.csv","514264","2026-05-27 07:22:03"
"01_Dataset_Final\groundtruth_queries.csv","13161","2026-05-24 19:03:34"
"01_Dataset_Final\label_taxonomy_summary.md","832","2026-05-22 08:24:42"
"01_Dataset_Final\landmark_aliases.csv","623","2026-05-22 18:08:57"
"01_Dataset_Final\manual_review_batch2_cleaned_with_notes_2026-05-26.csv","84329","2026-05-26 15:07:31"
"01_Dataset_Final\manual_review_batch2_recommended_first_2026-05-26.csv","40625","2026-05-26 14:54:16"
"01_Dataset_Final\manual_review_batch3_remaining_46_after_status_facility_2026-05-27.csv","21632","2026-05-27 07:23:22"
"01_Dataset_Final\master_ai_agent_wisata_bandung_full_2026-05-26.csv","57296","2026-05-26 16:34:13"
"01_Dataset_Final\SENTIMENT_SCORES_PER_LOKASI.csv","28104","2026-05-24 19:36:42"
"01_Dataset_Final\targeted_data_completion_queue.csv","179821","2026-05-27 07:22:20"
"01_Dataset_Final\targeted_data_completion_top50.csv","16268","2026-05-27 07:22:20"
"01_Dataset_Final\updated_master_wisata_bandung.csv","56392","2026-05-26 16:56:12"
"02_Training_Data\DATABASE_MUTERBANDUNG_ENGINE.csv","30070","2026-05-18 12:35:28"
"02_Training_Data\DATABASE_WISATA_DENGAN_METADATA.xlsx","50222","2026-05-21 09:13:49"
"02_Training_Data\MASTER_REVIEWS_CLEANED.csv","8537111","2026-05-18 11:05:31"
"02_Training_Data\MASTER_REVIEWS_ENRICHED.csv","14873440","2026-05-21 10:53:29"
"02_Training_Data\MASTER_REVIEWS_LABELED.csv","19265287","2026-05-21 11:16:21"
"02_Training_Data\MASTER_REVIEWS_LABELED_BINARY.csv","10534006","2026-05-18 12:23:55"
"02_Training_Data\MASTER_REVIEWS_NLP.csv","11043787","2026-05-18 11:24:39"
"03_Notebooks_Training\Data_Completion_Google_Colab.ipynb","15380","2026-05-25 13:40:19"
"03_Notebooks_Training\IndoBERT_Colab.ipynb","4465","2026-05-18 11:42:03"
"03_Notebooks_Training\Media_Fill_Google_Colab.ipynb","16547","2026-05-25 13:31:33"
"03_Notebooks_Training\NLP_Sentiment_Preparation.ipynb","5439","2026-05-17 12:40:12"
"03_Notebooks_Training\Penggabungan_Master_Reviews.ipynb","3957","2026-05-17 22:05:47"
"03_Notebooks_Training\Realworld_Verification_Google_Colab.ipynb","12533","2026-05-25 13:40:19"
"03_Notebooks_Training\wisata_training.ipynb","29886","2026-05-25 13:56:05"
"03_Notebooks_Training\Wisata_Training_1_Audit_Master_Data.ipynb","4291","2026-05-17 23:15:29"
"03_Notebooks_Training\wisata_traning.ipynb","401489","2026-05-21 17:31:29"
"04_Scripts_Inti\app.py","12221","2026-05-25 20:42:02"
"04_Scripts_Inti\apply_manual_review_docx_reviewer_overrides.py","13430","2026-05-26 14:37:15"
"04_Scripts_Inti\apply_manual_review_docx_safe_updates.py","8313","2026-05-26 14:21:22"
"04_Scripts_Inti\apply_updated_master_status_facility.py","12136","2026-05-27 07:21:48"
"04_Scripts_Inti\create_remaining_batch3_after_status_facility.py","8816","2026-05-27 07:23:16"
"04_Scripts_Inti\evaluate_groundtruth.py","25659","2026-05-25 13:12:06"
"04_Scripts_Inti\generate_targeted_completion_queue.py","19658","2026-05-25 21:10:54"
"04_Scripts_Inti\llm_evidence_pack.py","14687","2026-05-26 11:14:54"
"04_Scripts_Inti\llm_guard.py","21635","2026-05-26 11:15:18"
"04_Scripts_Inti\recommender.py","95105","2026-05-26 11:14:35"
"04_Scripts_Inti\run_fase5_sentiment.py","6801","2026-05-24 19:34:56"
"04_Scripts_Inti\run_fase7_multilabel.py","6636","2026-05-24 19:35:34"
"04_Scripts_Inti\run_nlp_pipeline_v2.py","4843","2026-05-24 19:34:42"
"04_Scripts_Inti\test_api_contract.py","3677","2026-05-25 20:42:44"
"04_Scripts_Inti\test_api_schema_snapshot.py","4998","2026-05-25 21:27:04"
"04_Scripts_Inti\test_data_validation.py","3609","2026-05-25 21:02:28"
"04_Scripts_Inti\test_llm_evidence_pack.py","7494","2026-05-26 11:15:30"
"04_Scripts_Inti\test_llm_guard.py","7105","2026-05-25 12:42:55"
"04_Scripts_Inti\test_recommender.py","9635","2026-05-26 11:15:45"
"04_Scripts_Inti\test_targeted_completion_queue.py","1192","2026-05-26 14:39:58"
"04_Scripts_Inti\validate_curated_dataset.py","32285","2026-05-25 21:02:28"
"04_Scripts_Inti\validate_manual_review_docx.py","14119","2026-05-26 14:16:30"
"05_Dokumentasi_Audit\CLEAN_VENV_AND_API_SCHEMA_SNAPSHOT_2026-05-25.md","2738","2026-05-26 11:21:01"
"05_Dokumentasi_Audit\CODEX_LOCAL_BACKUP.md","1496","2026-05-25 17:50:57"
"05_Dokumentasi_Audit\DATA_VALIDATION_REPORT_2026-05-25.md","6563","2026-05-27 07:22:13"
"05_Dokumentasi_Audit\FOUNDATION_AUDIT_BEFORE_LLM_2026-05-25.md","6692","2026-05-25 18:01:10"
"05_Dokumentasi_Audit\FULL_SYSTEM_AUDIT_MASTER_INDEX_2026-05-25.md","3434","2026-05-25 20:17:45"
"05_Dokumentasi_Audit\FULL_SYSTEM_CURRENT_STATE_AUDIT_2026-05-26.md","7623","2026-05-26 11:37:05"
"05_Dokumentasi_Audit\LLM_EVIDENCE_CAVEAT_POLICY_2026-05-25.md","2835","2026-05-26 11:21:17"
"05_Dokumentasi_Audit\LLM_EVIDENCE_PACK_SPEC.md","5720","2026-05-25 13:14:16"
"05_Dokumentasi_Audit\LLM_GUARD_VALIDATOR_AUDIT_2026-05-25.md","2941","2026-05-25 13:14:42"
"05_Dokumentasi_Audit\LOCAL_SETUP_FROM_ZERO_2026-05-25.md","3801","2026-05-26 11:20:52"
"05_Dokumentasi_Audit\MANUAL_REVIEW_BATCH3_REMAINING_46_2026-05-27.md","7906","2026-05-27 07:23:22"
"05_Dokumentasi_Audit\MANUAL_REVIEW_DOCX_REVIEWER_OVERRIDES_2026-05-26.md","12609","2026-05-26 14:37:39"
"05_Dokumentasi_Audit\MEET 23-05-2027.docx","2684086","2026-05-23 20:44:21"
"05_Dokumentasi_Audit\P0_TARGETED_DATA_GAPS_2026-05-26.md","6782","2026-05-26 14:54:16"
"05_Dokumentasi_Audit\SENTIMENT_ADJUSTMENT_POLICY_2026-05-26.md","3350","2026-05-26 11:20:26"
"05_Dokumentasi_Audit\TARGETED_DATA_COMPLETION_PLAN_2026-05-25.md","10656","2026-05-27 07:22:20"
"05_Dokumentasi_Audit\UPDATED_MASTER_STATUS_FACILITY_APPLY_2026-05-27.md","10514","2026-05-27 07:22:03"
"06_Manual_Review\MANUAL_REVIEW_BATCH_1_TARGETED_DATA_COMPLETION_2026-05-25.docx","834408","2026-05-26 13:43:12"
"06_Manual_Review\MANUAL_REVIEW_BATCH_1_TARGETED_DATA_COMPLETION_2026-05-25_FILLED_SAFE_REVIEW.docx","822065","2026-05-26 14:09:47"
"06_Manual_Review\manual_review_batch2_cleaned_with_notes_2026-05-26.csv","84329","2026-05-26 15:07:31"
"06_Manual_Review\manual_review_batch2_recommended_first_2026-05-26.csv","40625","2026-05-26 14:54:16"
"06_Manual_Review\manual_review_batch3_remaining_46_after_status_facility_2026-05-27.csv","21632","2026-05-27 07:23:22"
"07_Model_Colab_Package\MuterBandung_Colab_Package.zip","2551604","2026-05-18 11:42:04"
"07_Model_Colab_Package\MuterBandung_Colab_Package\IndoBERT_Colab.ipynb","4465","2026-05-18 11:42:02"
"07_Model_Colab_Package\MuterBandung_Colab_Package\MASTER_REVIEWS_ENRICHED.csv","14873440","2026-05-21 10:53:29"
