trail_id,user_id,split,sequence_length,category_sequence,raw_category_sequence,venue_id_sequence,target_next_category,history_categories
2013_1000181,41767,train,4,belanja > hiburan > belanja > kuliner,Shopping Mall > Multiplex > Shopping Mall > Bakery,3202 > 3097 > 23 > 12297,kuliner,belanja > hiburan > belanja
2013_1000186,41767,train,3,belanja > kuliner > kuliner,Shopping Mall > Food Court > Fried Chicken Joint,23 > 2935 > 102,kuliner,belanja > kuliner
2013_1000187,41767,test,2,kuliner > belanja,Bakery > Shopping Mall,3225 > 23,belanja,kuliner
2013_1000188,41767,train,2,belanja > kuliner,Shopping Mall > Food Court,6 > 123,kuliner,belanja
2013_1000190,41767,validation,2,kuliner > belanja,Ramen Restaurant > Shopping Mall,1463 > 23,belanja,kuliner
2013_1000295,41775,train,2,belanja > kuliner,Shopping Mall > Café,1 > 14325,kuliner,belanja
2013_1000296,41775,train,2,kuliner > kuliner,Café > Café,9045 > 38,kuliner,kuliner
2013_1000297,41775,train,2,belanja > kuliner,Shopping Mall > Café,3 > 6513,kuliner,belanja
2013_1000303,41775,test,4,belanja > kuliner > kuliner > kuliner,Shopping Mall > Restaurant > Food Court > Indonesian Restaurant,13 > 12834 > 8705 > 19958,kuliner,belanja > kuliner > kuliner
2013_1000304,41775,train,2,kuliner > kuliner,Japanese Restaurant > Coffee Shop,21454 > 14383,kuliner,kuliner
2013_1000308,41775,validation,2,kuliner > penginapan,Café > Hotel,8989 > 2879,penginapan,kuliner
2013_1002515,41880,validation,2,belanja > belanja,Shopping Mall > Bookstore,1 > 83,belanja,belanja
2013_1002521,41880,train,2,kuliner > budaya_edukasi,Burger Joint > Art Gallery,12581 > 19986,budaya_edukasi,kuliner
2013_1002522,41880,train,2,belanja > kuliner,Shopping Mall > Food Court,366 > 3045,kuliner,belanja
2013_1002523,41880,validation,2,kuliner > belanja,Burger Joint > Shopping Mall,353 > 13,belanja,kuliner
2013_1002524,41880,train,3,belanja > kuliner > kuliner,Shopping Mall > Fried Chicken Joint > Food Court,1 > 334 > 8705,kuliner,belanja > kuliner
2013_1002526,41880,train,2,belanja > kuliner,Shopping Mall > Food Court,3202 > 898,kuliner,belanja
2013_1002527,41880,test,2,belanja > hiburan,Shopping Mall > Karaoke Bar,3202 > 3966,hiburan,belanja
