venue_category,checkin_count,unique_venues,unique_users,unique_trails,missing_name,missing_latitude,mapping_status,muterbandung_label,mapping_group,rule_reason,missing_name_pct,missing_latitude_pct
Grocery Store,1954,166,940,1873,134,134,needs_review,,needs_review,no confident mapping rule,6.86,6.86
Convenience Store,755,144,491,744,63,63,needs_review,,needs_review,no confident mapping rule,8.34,8.34
Photography Lab,720,33,527,703,15,15,needs_review,,needs_review,no confident mapping rule,2.08,2.08
Event Space,599,74,419,580,47,47,needs_review,,needs_review,no confident mapping rule,7.85,7.85
Electronics Store,593,125,353,559,99,99,needs_review,,needs_review,no confident mapping rule,16.69,16.69
Pool,570,74,214,497,161,161,needs_review,,needs_review,no confident mapping rule,28.25,28.25
Miscellaneous Shop,524,149,318,502,79,79,needs_review,,needs_review,no confident mapping rule,15.08,15.08
Video Store,501,45,330,490,38,38,needs_review,,needs_review,no confident mapping rule,7.58,7.58
Medical Center,460,160,270,439,99,99,needs_review,,needs_review,no confident mapping rule,21.52,21.52
Field,413,64,239,391,38,38,needs_review,,needs_review,no confident mapping rule,9.2,9.2
Travel Agency,390,43,238,361,28,28,needs_review,,needs_review,no confident mapping rule,7.18,7.18
General Travel,388,139,206,361,115,115,needs_review,,needs_review,no confident mapping rule,29.64,29.64
Mobile Phone Shop,346,35,253,342,17,17,needs_review,,needs_review,no confident mapping rule,4.91,4.91
Drugstore,324,130,221,310,49,49,needs_review,,needs_review,no confident mapping rule,15.12,15.12
Cosmetics Shop,321,89,226,311,73,73,needs_review,,needs_review,no confident mapping rule,22.74,22.74
Basketball Court,313,44,131,303,20,20,needs_review,,needs_review,no confident mapping rule,6.39,6.39
Shoe Store,309,79,230,287,36,36,needs_review,,needs_review,no confident mapping rule,11.65,11.65
Sporting Goods Shop,303,78,221,289,51,51,needs_review,,needs_review,no confident mapping rule,16.83,16.83
Soccer Field,295,74,143,272,68,68,needs_review,,needs_review,no confident mapping rule,23.05,23.05
Tech Startup,291,63,171,275,11,11,needs_review,,needs_review,no confident mapping rule,3.78,3.78
Hardware Store,275,56,158,268,13,13,needs_review,,needs_review,no confident mapping rule,4.73,4.73
Convention Center,270,66,221,266,23,23,needs_review,,needs_review,no confident mapping rule,8.52,8.52
Soccer Stadium,237,34,119,210,16,16,needs_review,,needs_review,no confident mapping rule,6.75,6.75
Furniture / Home Store,233,43,145,213,15,15,needs_review,,needs_review,no confident mapping rule,6.44,6.44
Stadium,217,15,131,214,10,10,needs_review,,needs_review,no confident mapping rule,4.61,4.61
Assisted Living,196,67,60,173,75,75,needs_review,,needs_review,no confident mapping rule,38.27,38.27
Women's Store,193,50,138,186,14,14,needs_review,,needs_review,no confident mapping rule,7.25,7.25
Playground,188,54,87,177,27,27,needs_review,,needs_review,no confident mapping rule,14.36,14.36
City Hall,178,17,83,157,22,22,needs_review,,needs_review,no confident mapping rule,12.36,12.36
Bus Line,159,58,78,148,28,28,needs_review,,needs_review,no confident mapping rule,17.61,17.61
Track Stadium,153,6,97,152,29,29,needs_review,,needs_review,no confident mapping rule,18.95,18.95
Emergency Room,152,23,32,149,11,11,needs_review,,needs_review,no confident mapping rule,7.24,7.24
Library,147,26,52,139,10,10,needs_review,,needs_review,no confident mapping rule,6.8,6.8
Pool Hall,147,22,100,147,7,7,needs_review,,needs_review,no confident mapping rule,4.76,4.76
Lounge,146,49,105,142,45,45,needs_review,,needs_review,no confident mapping rule,30.82,30.82
Pet Store,144,47,99,142,26,26,needs_review,,needs_review,no confident mapping rule,18.06,18.06
Accessories Store,135,43,111,129,13,13,needs_review,,needs_review,no confident mapping rule,9.63,9.63
Baseball Field,135,8,38,133,9,9,needs_review,,needs_review,no confident mapping rule,6.67,6.67
Moving Target,131,48,31,121,59,59,needs_review,,needs_review,no confident mapping rule,45.04,45.04
Music Store,116,30,64,112,9,9,needs_review,,needs_review,no confident mapping rule,7.76,7.76
Plaza,116,38,94,110,32,32,needs_review,,needs_review,no confident mapping rule,27.59,27.59
Bike Shop,108,67,68,98,19,19,needs_review,,needs_review,no confident mapping rule,17.59,17.59
Military Base,107,49,63,104,28,28,needs_review,,needs_review,no confident mapping rule,26.17,26.17
Rental Car Location,99,32,38,86,39,39,needs_review,,needs_review,no confident mapping rule,39.39,39.39
Skating Rink,96,1,67,94,0,0,needs_review,,needs_review,no confident mapping rule,0.0,0.0
Kids Store,95,25,68,92,21,21,needs_review,,needs_review,no confident mapping rule,22.11,22.11
Hobby Shop,94,43,78,92,25,25,needs_review,,needs_review,no confident mapping rule,26.6,26.6
Funeral Home,91,27,30,76,17,17,needs_review,,needs_review,no confident mapping rule,18.68,18.68
Basketball Stadium,88,5,56,81,6,6,needs_review,,needs_review,no confident mapping rule,6.82,6.82
Design Studio,88,30,45,79,33,33,needs_review,,needs_review,no confident mapping rule,37.5,37.5
Men's Store,87,36,63,87,13,13,needs_review,,needs_review,no confident mapping rule,14.94,14.94
Cemetery,86,18,54,84,6,6,needs_review,,needs_review,no confident mapping rule,6.98,6.98
Athletics & Sports,85,32,67,85,23,23,needs_review,,needs_review,no confident mapping rule,27.06,27.06
Toy / Game Store,81,24,53,80,8,8,needs_review,,needs_review,no confident mapping rule,9.88,9.88
