venue_category,count
Home (private),18844
Shopping Mall,17021
High School,5647
Road,5342
Café,4390
Indonesian Restaurant,3925
Multiplex,3444
College Classroom,3102
Food Truck,2300
Office,2294
Middle School,2230
Asian Restaurant,2148
University,2135
General College & University,2120
Coffee Shop,2086
Bookstore,2067
Restaurant,2057
Food Court,1963
Grocery Store,1954
Department Store,1872
Mosque,1859
Hospital,1824
Clothing Store,1815
Japanese Restaurant,1750
Hotel,1736
Ramen Restaurant,1730
Fried Chicken Joint,1724
Bakery,1662
Arcade,1474
Student Center,1462
Burger Joint,1436
Fast Food Restaurant,1331
College Academic Building,1330
Building,1326
Pizza Place,1324
Bank,1319
Steakhouse,1179
Church,1043
Salon / Barbershop,1034
Donut Shop,963
Karaoke Bar,932
Residential Building (Apartment / Condo),840
College Auditorium,825
Chinese Restaurant,796
Convenience Store,755
Sushi Restaurant,740
Photography Lab,720
Train Station,718
Seafood Restaurant,684
Automotive Shop,666
Snack Place,610
Event Space,599
Electronics Store,593
Gym,591
Government Building,588
Pool,570
Airport,558
Boutique,549
Housing Development,548
College Lab,541
Miscellaneous Shop,524
Video Store,501
College Cafeteria,482
Dessert Shop,477
Other Great Outdoors,465
Medical Center,460
Park,455
School,440
Field,413
Italian Restaurant,403
Community College,401
Travel Agency,390
General Travel,388
Bus Station,384
Gym / Fitness Center,377
Theme Park,363
Gas Station,361
Art Gallery,348
Mobile Phone Shop,346
College Library,342
Bar,324
Drugstore,324
Cosmetics Shop,321
American Restaurant,319
Basketball Court,313
Shoe Store,309
Sporting Goods Shop,303
Soccer Field,295
Diner,293
Tech Startup,291
BBQ Joint,282
Coworking Space,281
Eastern European Restaurant,280
Cupcake Shop,280
College Administrative Building,279
Dentist's Office,278
Breakfast Spot,276
Hardware Store,275
Convention Center,270
General Entertainment,246
