user_id,trail_id,inputs,targets
16053,2013_409784,"The following data is a trajectory of user 16053: At 2012-12-16 00:49:00, user 16053 visited POI id 2357 which is a Church, at Bandung, ID. Given the data, At 2012-12-16 07:33:00, Which POI id will user 16053 visit? Note that POI id is an integer in the range from 0 to 29024.","At 2012-12-16 07:33:00, user 16053 will visit POI id 15602."
60054,2013_1377333,"The following data is a trajectory of user 60054: At 2013-02-13 05:11:00, user 60054 visited POI id 72 which is a University, at Bandung, ID. Given the data, At 2013-02-13 06:25:00, Which POI id will user 60054 visit? Note that POI id is an integer in the range from 0 to 29024.","At 2013-02-13 06:25:00, user 60054 will visit POI id 6107."
23373,2013_586368,"The following data is a trajectory of user 23373: At 2013-09-01 12:15:00, user 23373 visited POI id 4910 which is a Shopping Mall, at Bandung, ID. Given the data, At 2013-09-01 13:03:00, Which POI id will user 23373 visit? Note that POI id is an integer in the range from 0 to 29024.","At 2013-09-01 13:03:00, user 23373 will visit POI id 1328."
42998,2013_1026954,"The following data is a trajectory of user 42998: At 2012-07-05 11:45:00, user 42998 visited POI id 19050 which is a Home (private), at Bandung, ID. Given the data, At 2012-07-05 15:24:00, Which POI id will user 42998 visit? Note that POI id is an integer in the range from 0 to 29024.","At 2012-07-05 15:24:00, user 42998 will visit POI id 19052."
17947,2013_456322,"The following data is a trajectory of user 17947: At 2012-07-16 23:31:00, user 17947 visited POI id 5367 which is a High School, at Bandung, ID. At 2012-07-17 04:57:00, user 17947 visited POI id 5264 which is a Mosque, at Bandung, ID. At 2012-07-17 07:32:00, user 17947 visited POI id 7014 which is a Taxi, at Bandung, ID. Given the data, At 2012-07-17 08:20:00, Which POI id will user 17947 visit? Note that POI id is an integer in the range from 0 to 29024.","At 2012-07-17 08:20:00, user 17947 will visit POI id 4098."
16901,2013_430802,"The following data is a trajectory of user 16901: At 2012-04-13 02:21:00, user 16901 visited POI id 6812 which is a College Classroom, at Bandung, ID. At 2012-04-13 02:24:00, user 16901 visited POI id 12093 which is a College & University, at Bandung, ID. At 2012-04-13 04:33:00, user 16901 visited POI id 12898 which is a College Classroom, at Bandung, ID. At 2012-04-13 04:35:00, user 16901 visited POI id 4180 which is a Law School, at Bandung, ID. At 2012-04-13 04:36:00, user 16901 visited POI id 5924 which is a Law School, at Bandung, ID. At 2012-04-13 04:39:00, user 16901 visited POI id 667 which is a College Administrative Building, at Bandung, ID. At 2012-04-13 05:31:00, user 16901 visited POI id 3320 which is a Food Court, at Bandung, ID. At 2012-04-13 08:11:00, user 16901 visited POI id 524 which is a Grocery Store, at Bandung, ID. At 2012-04-13 09:18:00, user 16901 visited POI id 15819 which is a Hotel, at Bandung, ID. At 2012-04-13 09:19:00, user 16901 visited POI id 15819 which is a Hotel, at Bandung, ID. Given the data, At 2012-04-13 09:20:00, Which POI id will user 16901 visit? Note that POI id is an integer in the range from 0 to 29024.","At 2012-04-13 09:20:00, user 16901 will visit POI id 14060."
152661,2013_2942901,"The following data is a trajectory of user 152661: At 2012-11-22 00:23:00, user 152661 visited POI id 23581 which is a High School, at Bandung, ID. At 2012-11-22 00:33:00, user 152661 visited POI id 10941 which is a General College & University, at Bandung, ID. Given the data, At 2012-11-22 02:52:00, Which POI id will user 152661 visit? Note that POI id is an integer in the range from 0 to 29024.","At 2012-11-22 02:52:00, user 152661 will visit POI id 23581."
109223,2013_2270583,"The following data is a trajectory of user 109223: At 2012-08-14 10:40:00, user 109223 visited POI id 21721 which is a Home (private), at Bandung, ID. Given the data, At 2012-08-14 13:25:00, Which POI id will user 109223 visit? Note that POI id is an integer in the range from 0 to 29024.","At 2012-08-14 13:25:00, user 109223 will visit POI id 9861."
234088,2013_5476240,"The following data is a trajectory of user 234088: At 2012-06-18 04:46:00, user 234088 visited POI id 13 which is a Shopping Mall, at Bandung, ID. At 2012-06-18 12:33:00, user 234088 visited POI id 2206 which is a Drugstore, at Bandung, ID. Given the data, At 2012-06-18 12:58:00, Which POI id will user 234088 visit? Note that POI id is an integer in the range from 0 to 29024.","At 2012-06-18 12:58:00, user 234088 will visit POI id 5651."
130488,2013_2612455,"The following data is a trajectory of user 130488: At 2013-08-23 11:01:00, user 130488 visited POI id 5565 which is a Pool, at Bandung, ID. Given the data, At 2013-08-23 18:17:00, Which POI id will user 130488 visit? Note that POI id is an integer in the range from 0 to 29024.","At 2013-08-23 18:17:00, user 130488 will visit POI id 8726."
187257,2013_3764138,"The following data is a trajectory of user 187257: At 2012-04-23 11:40:00, user 187257 visited POI id 4910 which is a Shopping Mall, at Bandung, ID. At 2012-04-23 11:41:00, user 187257 visited POI id 25 which is a Photography Lab, at Bandung, ID. At 2012-04-23 11:48:00, user 187257 visited POI id 1853 which is a Donut Shop, at Bandung, ID. At 2012-04-23 11:50:00, user 187257 visited POI id 801 which is a Fast Food Restaurant, at Bandung, ID. At 2012-04-23 11:52:00, user 187257 visited POI id 23 which is a Shopping Mall, at Bandung, ID. Given the data, At 2012-04-23 11:56:00, Which POI id will user 187257 visit? Note that POI id is an integer in the range from 0 to 29024.","At 2012-04-23 11:56:00, user 187257 will visit POI id 758."
