venue_category,count
Shopping Mall,17021
Indonesian Restaurant,3925
Asian Restaurant,2148
Restaurant,2057
Department Store,1872
Mosque,1859
Japanese Restaurant,1750
Ramen Restaurant,1730
Fast Food Restaurant,1331
Church,1043
Residential Building (Apartment / Condo),840
Chinese Restaurant,796
Sushi Restaurant,740
Seafood Restaurant,684
Park,455
Italian Restaurant,403
Theme Park,363
Art Gallery,348
American Restaurant,319
Tech Startup,291
Eastern European Restaurant,280
Dim Sum Restaurant,189
Museum,161
Parking,151
Performing Arts Venue,133
Water Park,131
Korean Restaurant,125
Thai Restaurant,120
French Restaurant,118
Scenic Lookout,103
Vegetarian / Vegan Restaurant,98
Beer Garden,89
College Arts Building,81
Garden,78
Resort,75
Arts & Crafts Store,75
Historic Site,67
Malay Restaurant,66
Monument / Landmark,60
Sculpture Garden,59
Zoo,54
Dumpling Restaurant,52
History Museum,44
Spanish Restaurant,43
Middle Eastern Restaurant,42
Trail,35
German Restaurant,25
Mountain,21
Turkish Restaurant,17
Garden Center,16
Padangnese Restaurant,15
Skate Park,15
Lake,13
Martial Arts Dojo,13
Sundanese Restaurant,12
Beach,12
Mexican Restaurant,12
Temple,9
Indian Restaurant,8
African Restaurant,8
Beach Bar,8
Mediterranean Restaurant,8
Caribbean Restaurant,7
Molecular Gastronomy Restaurant,6
Public Art,5
Comfort Food Restaurant,4
Udon Restaurant,4
Australian Restaurant,4
Arepa Restaurant,3
Science Museum,3
Tourist Information Center,3
Southern / Soul Food Restaurant,3
Arts & Entertainment,3
Javanese Restaurant,3
Argentinian Restaurant,2
New American Restaurant,2
Cuban Restaurant,2
Vietnamese Restaurant,2
Acehnese Restaurant,2
Scandinavian Restaurant,2
