"oleh_oleh_id","name","baseline_status","accepted_at","manual_category","manual_category_label","manual_subtype","food_related","travel_durability","data_confidence_label","sentiment_readiness","text_reviews","avg_text_review_stars","product_mention_ratio","aspect_useful_ratio","tourism_context_mentions","rating","source_reviews_count","google_category","latitude","longitude","url","website","phone","place_id","cid","manual_acceptance_note"
"OOBASE-20260609-0001","*UMMI* Snack Lembang","accepted","2026-06-09","snack_keripik","Snack, Camilan, Kue Kering","snack_kering","true","medium","low","weak","11","5","0.636","0.818","0","5","23","Produsen makanan","-6.8093261","107.6129176","https://www.google.com/maps/search/?api=1&query=*UMMI*%20Snack%20Lembang&query_place_id=ChIJJVnL5XHhaC4Ra-dPJyXNlaE","https://www.instagram.com/cmulyani/","","ChIJJVnL5XHhaC4Ra-dPJyXNlaE","11643437971093317483","Accepted baseline oleh-oleh 2026-06-09 berdasarkan keputusan manual user. Status weak tetap disimpan dengan confidence rendah."
"OOBASE-20260609-0002","Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung","accepted","2026-06-09","haji_umroh_kurma","Oleh-Oleh Haji/Umroh dan Kurma","kurma_hampers","true","high","medium","medium","18","5","0.722","0.833","0","5","20","Produsen makanan","-6.8096149","107.629459","https://www.google.com/maps/search/?api=1&query=Bakulsaudi%20%2F%20Grosir%20dan%20Gudang%20Kurma%20Bandung%20%2F%20Pusat%20Kurma%20Termurah%20Bandung%20%2F%20Pusat%20Oleh%20Oleh%20Haji%20Umroh%20Bandung&query_place_id=ChIJo1ycr-zhaC4RXVsIG3wFtpk","https://shopee.co.id/bakulsaudi","+62 812-3456-2034","ChIJo1ycr-zhaC4RXVsIG3wFtpk","11076046364151929693","Accepted baseline oleh-oleh 2026-06-09 berdasarkan keputusan manual user."
"OOBASE-20260609-0003","Bandung Miyucheeze","accepted","2026-06-09","kue_bolu_pastry","Kue, Bolu, Pastry","cheese_cake","true","medium","medium","medium","23","4.91","0.261","0.957","1","4.9","80","Toko Kue","-6.8097353","107.5771447","https://www.google.com/maps/search/?api=1&query=Bandung%20Miyucheeze&query_place_id=ChIJidi1K5rhaC4R2QgIEbMZ-jg","","+62 888-6357-581","ChIJidi1K5rhaC4R2QgIEbMZ-jg","4105622267177208025","Accepted baseline oleh-oleh 2026-06-09 berdasarkan keputusan manual user."
"OOBASE-20260609-0004","Barokah Fresh Milk","accepted","2026-06-09","olahan_susu","Olahan Susu Segar","fresh_milk","true","low","medium","medium","15","4.6","0.533","1","1","4.7","39","Toko Olahan Susu","-6.8153321","107.6021506","https://www.google.com/maps/search/?api=1&query=Barokah%20Fresh%20Milk&query_place_id=ChIJkSGDig3haC4Rrpv2DcARgnU","","+62 812-2358-3292","ChIJkSGDig3haC4Rrpv2DcARgnU","8467349765975612334","Accepted baseline oleh-oleh 2026-06-09 berdasarkan keputusan manual user."
"OOBASE-20260609-0005","Bolu susu Lembang Cikole","accepted","2026-06-09","kue_bolu_pastry","Kue, Bolu, Pastry","bolu_susu","true","medium","medium","medium","13","4.85","0.308","0.769","0","4.8","21","Toko Roti","-6.7920857","107.6543278","https://www.google.com/maps/search/?api=1&query=Bolu%20susu%20Lembang%20Cikole&query_place_id=ChIJO6lUdP7haC4RHeO43rEfTU0","","+62 813-4489-4535","ChIJO6lUdP7haC4RHeO43rEfTU0","5570143162933502749","Accepted baseline oleh-oleh 2026-06-09 berdasarkan keputusan manual user."
"OOBASE-20260609-0006","Brownies Susu Lembang - Ini Asli Lembang","accepted","2026-06-09","kue_bolu_pastry","Kue, Bolu, Pastry","brownies_susu","true","medium","low","weak","11","4.18","0.636","0.909","1","4.3","21","Toko Kue","-6.8333373","107.6045637","https://www.google.com/maps/search/?api=1&query=Brownies%20Susu%20Lembang%20-%20Ini%20Asli%20Lembang&query_place_id=ChIJ761kKE3haC4RzwhpLklp6Ss","","+62 811-2182-500","ChIJ761kKE3haC4RzwhpLklp6Ss","3164175976236648655","Accepted baseline oleh-oleh 2026-06-09 berdasarkan keputusan manual user. Status weak tetap disimpan dengan confidence rendah."
"OOBASE-20260609-0007","Bubunasnack","accepted","2026-06-09","snack_keripik","Snack, Camilan, Kue Kering","snack_grosir","true","high","medium","medium","16","2.88","0.312","0.938","0","3.9","44","Toko makanan grosir","-6.8128364","107.6003717","https://www.google.com/maps/search/?api=1&query=Bubunasnack&query_place_id=ChIJ5yvOWL7haC4ReScIJzK9vuM","https://www.instagram.com/bubunasnack","+62 896-2306-7513","ChIJ5yvOWL7haC4ReScIJzK9vuM","16410762115285526393","Accepted baseline oleh-oleh 2026-06-09 berdasarkan keputusan manual user."
"OOBASE-20260609-0008","Central Snack","accepted","2026-06-09","snack_keripik","Snack, Camilan, Kue Kering","snack_kering","true","high","medium","medium","17","3.76","0.353","0.941","2","4.5","58","Toko Kue Kering","-6.8162715","107.6194314","https://www.google.com/maps/search/?api=1&query=Central%20Snack&query_place_id=ChIJFX2RQR3haC4RZ8Po3YWrz3c","","+62 851-7313-1899","ChIJFX2RQR3haC4RZ8Po3YWrz3c","8633307602134549351","Accepted baseline oleh-oleh 2026-06-09 berdasarkan keputusan manual user."
"OOBASE-20260609-0009","Donatsu - Donat Susu Lembang","accepted","2026-06-09","kue_bolu_pastry","Kue, Bolu, Pastry","donat_susu","true","medium","high","strong","28","5","0.607","1","0","5","527","Toko Donat","-6.812799","107.6190347","https://www.google.com/maps/search/?api=1&query=Donatsu%20-%20Donat%20Susu%20Lembang&query_place_id=ChIJi7Sm-CHhaC4RXfVvX8XFJlE","","","ChIJi7Sm-CHhaC4RXfVvX8XFJlE","5847578617687569757","Accepted baseline oleh-oleh 2026-06-09 berdasarkan keputusan manual user."
"OOBASE-20260609-0010","Kangsule Kampoeng Susu Lembang","accepted","2026-06-09","snack_keripik","Snack, Camilan, Kue Kering","toko_oleh_oleh_komplit","true","medium","medium","medium","18","3.78","0.444","0.778","1","4.2","48","Toko Makanan","-6.8349336","107.6018056","https://www.google.com/maps/search/?api=1&query=Kangsule%20Kampoeng%20Susu%20Lembang&query_place_id=ChIJn8-LjJ3haC4RZZp464sDaqE","","+62 813-2260-9090","ChIJn8-LjJ3haC4RZZp464sDaqE","11631112887123614309","Accepted baseline oleh-oleh 2026-06-09 berdasarkan keputusan manual user."
