"place_name","manual_category","manual_category_label","manual_subtype","food_related","travel_durability","manual_decision","category_note"
"*UMMI* Snack Lembang","snack_keripik","Snack, Camilan, Kue Kering","snack_kering","true","medium","accepted","Produsen snack/kue kering; weak tetap diterima dengan confidence rendah"
"Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung","haji_umroh_kurma","Oleh-Oleh Haji/Umroh dan Kurma","kurma_hampers","true","high","accepted","Kategori khusus oleh-oleh haji/umroh, kurma, hampers"
"Bandung Miyucheeze","kue_bolu_pastry","Kue, Bolu, Pastry","cheese_cake","true","medium","accepted","Kue/cheesecake sebagai buah tangan"
"Barokah Fresh Milk","olahan_susu","Olahan Susu Segar","fresh_milk","true","low","accepted","Susu segar/yoghurt, perlu perhatian daya tahan"
"Bolu susu Lembang Cikole","kue_bolu_pastry","Kue, Bolu, Pastry","bolu_susu","true","medium","accepted","Bolu susu khas Lembang"
"Brownies Susu Lembang - Ini Asli Lembang","kue_bolu_pastry","Kue, Bolu, Pastry","brownies_susu","true","medium","accepted","Weak tetap diterima; brownies susu sebagai oleh-oleh"
"Bubunasnack","snack_keripik","Snack, Camilan, Kue Kering","snack_grosir","true","high","accepted","Grosir snack/camilan"
"Central Snack","snack_keripik","Snack, Camilan, Kue Kering","snack_kering","true","high","accepted","Pusat snack/kue kering"
"Donatsu - Donat Susu Lembang","kue_bolu_pastry","Kue, Bolu, Pastry","donat_susu","true","medium","accepted","Donat berbahan susu, kuat untuk aspek rasa/produk"
"Kangsule Kampoeng Susu Lembang","snack_keripik","Snack, Camilan, Kue Kering","toko_oleh_oleh_komplit","true","medium","accepted","Toko oleh-oleh komplit/aneka camilan"
"Karma Oleh Oleh Bandung","souvenir_non_makanan","Suvenir Non-Makanan","kaos_souvenir","false","high","accepted","Diterima manual sebagai oleh-oleh non-makanan/souvenir"
"Kartika Sari Lembang","kue_bolu_pastry","Kue, Bolu, Pastry","pastry_kue","true","medium","accepted","Pusat oleh-oleh kue/pastry"
"Keripik Tempe Tembul","snack_keripik","Snack, Camilan, Kue Kering","keripik_tempe","true","high","accepted","Keripik tempe, cocok untuk snack tahan perjalanan"
"Kue Balok Jaya Giri","kue_bolu_pastry","Kue, Bolu, Pastry","kue_balok","true","medium","accepted","Jajanan lokal kue balok"
"Pabrik Bolu Susu Lembang","kue_bolu_pastry","Kue, Bolu, Pastry","bolu_susu","true","medium","accepted","Pabrik/toko bolu susu"
"Pabrik Tahu PD Uties","tahu_tempe","Olahan Tahu dan Tempe","pabrik_tahu","true","low","accepted","Pabrik tahu sebagai oleh-oleh fresh"
"Pabrik Tahu Sibungsu","tahu_tempe","Olahan Tahu dan Tempe","pabrik_tahu","true","low","accepted","Weak tetap diterima; confidence perlu rendah"
"PD.Bagus Tahu Dan Tempe Special","tahu_tempe","Olahan Tahu dan Tempe","tahu_tempe","true","low","accepted","Olahan tahu/tempe sebagai oleh-oleh fresh"
"Serba Susu Lembang","olahan_susu","Olahan Susu Segar","produk_susu","true","low","accepted","Aneka produk berbahan susu"
"Siliwangi Bolu Kukus Lembang, Bandung","kue_bolu_pastry","Kue, Bolu, Pastry","bolu_kukus","true","medium","accepted","Bolu kukus sebagai oleh-oleh"
"Susu Murni KPSBU Lembang","olahan_susu","Olahan Susu Segar","fresh_milk","true","low","accepted","Koperasi/pusat susu murni segar"
"Toko Kasohor Almond Crispy Cheese Bandung","kue_bolu_pastry","Kue, Bolu, Pastry","almond_crispy","true","high","accepted","Almond crispy/cheese snack sebagai buah tangan"
