"oleh_oleh_id","name","baseline_status","manual_category","manual_category_label","manual_subtype","food_related","travel_durability","data_confidence_label","sentiment_readiness","rating","source_reviews_count","text_reviews","rating_score","review_confidence_score","product_aspect_score","taste_score","price_signal_score","service_score","packaging_score","queue_signal_score","parking_signal_score","tourism_context_score","scoring_weight_profile","oleh_oleh_recommendation_score","recommendation_score_label","latitude","longitude","url","website","phone","place_id","cid","scoring_note"
"OOBASE-20260609-0009","Donatsu - Donat Susu Lembang","accepted","kue_bolu_pastry","Kue, Bolu, Pastry","donat_susu","true","medium","high","strong","5","527","28","100","100","60.71","82.14","7.14","64.29","3.57","0","0","0","rating=0.35;confidence=0.25;product=0.15;taste=0.1;price=0.05;service=0.06;packaging=0.04","81.68","recommended_ready","-6.812799","107.6190347","https://www.google.com/maps/search/?api=1&query=Donatsu%20-%20Donat%20Susu%20Lembang&query_place_id=ChIJi7Sm-CHhaC4RXfVvX8XFJlE","","","ChIJi7Sm-CHhaC4RXfVvX8XFJlE","5847578617687569757","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0019","Serba Susu Lembang","accepted","olahan_susu","Olahan Susu Segar","produk_susu","true","low","high","strong","4.5","431","22","90","92.2","59.09","50","13.64","22.73","40.91","4.55","9.09","4.55","rating=0.36;confidence=0.26;product=0.16;taste=0.1;price=0.03;service=0.06;packaging=0.03","73.83","usable_with_caution","-6.8174969","107.6252469","https://www.google.com/maps/search/?api=1&query=Serba%20Susu%20Lembang&query_place_id=ChIJp4xDpuPgaC4RoSxpAbN-vF0","","+62 22 2787333","ChIJp4xDpuPgaC4RoSxpAbN-vF0","6754412848436817057","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0002","Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung","accepted","haji_umroh_kurma","Oleh-Oleh Haji/Umroh dan Kurma","kurma_hampers","true","high","medium","medium","5","20","18","100","73.05","72.22","27.78","38.89","33.33","72.22","5.56","5.56","0","rating=0.3;confidence=0.22;product=0.2;taste=0.04;price=0.1;service=0.07;packaging=0.07","72.9","usable_with_caution","-6.8096149","107.629459","https://www.google.com/maps/search/?api=1&query=Bakulsaudi%20%2F%20Grosir%20dan%20Gudang%20Kurma%20Bandung%20%2F%20Pusat%20Kurma%20Termurah%20Bandung%20%2F%20Pusat%20Oleh%20Oleh%20Haji%20Umroh%20Bandung&query_place_id=ChIJo1ycr-zhaC4RXVsIG3wFtpk","https://shopee.co.id/bakulsaudi","+62 812-3456-2034","ChIJo1ycr-zhaC4RXVsIG3wFtpk","11076046364151929693","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0003","Bandung Miyucheeze","accepted","kue_bolu_pastry","Kue, Bolu, Pastry","cheese_cake","true","medium","medium","medium","4.9","80","23","98","86.05","26.09","86.96","34.78","21.74","8.7","4.35","4.35","4.35","rating=0.35;confidence=0.25;product=0.15;taste=0.1;price=0.05;service=0.06;packaging=0.04","71.81","usable_with_caution","-6.8097353","107.5771447","https://www.google.com/maps/search/?api=1&query=Bandung%20Miyucheeze&query_place_id=ChIJidi1K5rhaC4R2QgIEbMZ-jg","","+62 888-6357-581","ChIJidi1K5rhaC4R2QgIEbMZ-jg","4105622267177208025","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0011","Karma Oleh Oleh Bandung","accepted","souvenir_non_makanan","Suvenir Non-Makanan","kaos_souvenir","false","high","medium","medium","4.9","1250","17","98","70.45","64.71","5.88","29.41","17.65","58.82","5.88","5.88","0","rating=0.35;confidence=0.25;product=0.2;taste=0;price=0.05;service=0.12;packaging=0.03","70.21","usable_with_caution","-6.8438458","107.598999","https://www.google.com/maps/search/?api=1&query=Karma%20Oleh%20Oleh%20Bandung&query_place_id=ChIJswQB6YvhaC4RjMafls9C5i4","","+62 811-2226-0333","ChIJswQB6YvhaC4RjMafls9C5i4","3379462029740852876","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0013","Keripik Tempe Tembul","accepted","snack_keripik","Snack, Camilan, Kue Kering","keripik_tempe","true","high","medium","medium","4.4","83","29","88","91.25","41.38","82.76","24.14","27.59","20.69","10.34","0","0","rating=0.32;confidence=0.24;product=0.17;taste=0.1;price=0.07;service=0.04;packaging=0.06","69.41","usable_with_caution","-6.8116821","107.6164561","https://www.google.com/maps/search/?api=1&query=Keripik%20Tempe%20Tembul&query_place_id=ChIJfQAemwPhaC4R3GLivxb57Bc","","+62 817-0772-639","ChIJfQAemwPhaC4R3GLivxb57Bc","1724026633479938780","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0020","Siliwangi Bolu Kukus Lembang, Bandung","accepted","kue_bolu_pastry","Kue, Bolu, Pastry","bolu_kukus","true","medium","medium","medium","4.8","26","18","96","73.05","44.44","66.67","22.22","33.33","16.67","5.56","0","5.56","rating=0.35;confidence=0.25;product=0.15;taste=0.1;price=0.05;service=0.06;packaging=0.04","68.97","usable_with_caution","-6.8316781","107.6056819","https://www.google.com/maps/search/?api=1&query=Siliwangi%20Bolu%20Kukus%20Lembang%2C%20Bandung&query_place_id=ChIJE6oUkijhaC4RtPPSSK9EJ5Y","","","ChIJE6oUkijhaC4RtPPSSK9EJ5Y","10819692149412656052","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0004","Barokah Fresh Milk","accepted","olahan_susu","Olahan Susu Segar","fresh_milk","true","low","medium","medium","4.7","39","15","94","65.25","53.33","80","33.33","6.67","6.67","0","6.67","6.67","rating=0.36;confidence=0.26;product=0.16;taste=0.1;price=0.03;service=0.06;packaging=0.03","68.94","usable_with_caution","-6.8153321","107.6021506","https://www.google.com/maps/search/?api=1&query=Barokah%20Fresh%20Milk&query_place_id=ChIJkSGDig3haC4Rrpv2DcARgnU","","+62 812-2358-3292","ChIJkSGDig3haC4Rrpv2DcARgnU","8467349765975612334","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0015","Pabrik Bolu Susu Lembang","accepted","kue_bolu_pastry","Kue, Bolu, Pastry","bolu_susu","true","medium","medium","medium","4.2","73","17","84","70.45","58.82","64.71","47.06","35.29","35.29","5.88","5.88","11.76","rating=0.35;confidence=0.25;product=0.15;taste=0.1;price=0.05;service=0.06;packaging=0.04","68.19","usable_with_caution","-6.8168098","107.6127002","https://www.google.com/maps/search/?api=1&query=Pabrik%20Bolu%20Susu%20Lembang&query_place_id=ChIJTW33ibbhaC4RsyNh0h7nzTE","","+62 813-1869-7117","ChIJTW33ibbhaC4RsyNh0h7nzTE","3588778597648769971","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0016","Pabrik Tahu PD Uties","accepted","tahu_tempe","Olahan Tahu dan Tempe","pabrik_tahu","true","low","medium","medium","4.8","31","13","96","60.05","69.23","61.54","0","0","15.38","0","0","0","rating=0.36;confidence=0.26;product=0.16;taste=0.1;price=0.03;service=0.06;packaging=0.03","67.87","usable_with_caution","-6.8224026","107.6202864","https://www.google.com/maps/search/?api=1&query=Pabrik%20Tahu%20PD%20Uties&query_place_id=ChIJCb0kyx_haC4Rf97ZaVFQ3Gk","","+62 821-2115-2619","ChIJCb0kyx_haC4Rf97ZaVFQ3Gk","7628060179457236607","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
