"oleh_oleh_id","entity_type","name","manual_category","manual_category_label","manual_subtype","food_related","travel_durability","google_category","google_categories","address","latitude","longitude","rating","source_reviews_count","text_reviews","final_oleh_oleh_recommendation_score","final_recommendation_score_label","manual_recommendation_status","manual_recommendation_note","main_recommendation_eligible","price_range","price_range_available","opening_hours","opening_hours_available","image_url","image_available","url","website","phone","place_id","cid","search_query","ui_field_completeness_score","data_confidence_label","sentiment_readiness","rating_score","review_confidence_score","product_aspect_score","taste_score","price_signal_score","service_aspect_signal_score","packaging_score","queue_signal_score","parking_signal_score","tourism_context_score","scoring_weight_profile","scoring_note"
"OOBASE-20260609-0009","oleh_oleh","Donatsu - Donat Susu Lembang","kue_bolu_pastry","Kue, Bolu, Pastry","donat_susu","true","medium","Toko Donat","Toko Donat; Toko Roti","Jl. Raya Lembang No.410, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.812799","107.6190347","5","527","28","82","recommended_ready","active","Belum ada keputusan manual khusus.","True","","False","Selasa 11.00 to 21.00; Rabu 11.00 to 21.00; Kamis 11.00 to 21.00; Jumat 08.00 to 21.00; Sabtu 08.00 to 21.00; Minggu 08.00 to 21.00; Senin 11.00 to 21.00","True","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGm6wlSlAVDFdUMh5Le0038p5c2nPj1oDkau_2goSAEuSd-y0CblAUKh54y-Jdy2TfR5TY9PbUDoTnSXiyRBH_pX2SY_kkTD8RuqesZj78fyqcy2Zx1Dxx1H7KuAJjAVmY6a0s=w408-h884-k-no","True","https://www.google.com/maps/search/?api=1&query=Donatsu%20-%20Donat%20Susu%20Lembang&query_place_id=ChIJi7Sm-CHhaC4RXfVvX8XFJlE","","","ChIJi7Sm-CHhaC4RXfVvX8XFJlE","5847578617687569757","oleh-oleh lembang","87.5","high","strong","100","100","60.71","82.14","7.14","64.29","3.57","0","0","0","rating=0.35;confidence=0.25;product=0.15;taste=0.1;price=0.05;service=0.06;packaging=0.04","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0019","oleh_oleh","Serba Susu Lembang","olahan_susu","Olahan Susu Segar","produk_susu","true","low","Toko Olahan Susu","Toko Olahan Susu","Jl. Seskoau No.7, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8174969","107.6252469","4.5","431","22","74","usable_with_caution","active","Belum ada keputusan manual khusus.","True","","False","Selasa 08.00 to 20.00; Rabu 08.00 to 20.00; Kamis 08.00 to 20.00; Jumat 08.00 to 20.00; Sabtu 08.00 to 20.00; Minggu 08.00 to 20.00; Senin 08.00 to 20.00","True","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFW3efLppgomNrAxiF861RA1KcX04syO3I7-nzklRUKSZeWW7QNqyIaopgcvtuKUAOCeGWAq1M_MDMNOk5Z1_c2jMgfL64KBItZ36jhaMKDGvMe4XcsTXcd1gIq11w7AgBHa1F8kQ=w426-h240-k-no","True","https://www.google.com/maps/search/?api=1&query=Serba%20Susu%20Lembang&query_place_id=ChIJp4xDpuPgaC4RoSxpAbN-vF0","","+62 22 2787333","ChIJp4xDpuPgaC4RoSxpAbN-vF0","6754412848436817057","bolu susu oleh-oleh","87.5","high","strong","90","92.2","59.09","50","13.64","22.73","40.91","4.55","9.09","4.55","rating=0.36;confidence=0.26;product=0.16;taste=0.1;price=0.03;service=0.06;packaging=0.03","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0002","oleh_oleh","Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung","haji_umroh_kurma","Oleh-Oleh Haji/Umroh dan Kurma","kurma_hampers","true","high","Produsen makanan","Produsen makanan","Jl. Raya Tangkuban Parahu No. 17. Ds. Cibogo, Kec. Lembang, Cibogo, Barat, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8096149","107.629459","5","20","18","73","usable_with_caution","active","Belum ada keputusan manual khusus.","True","","False","Selasa 08.00 to 17.00; Rabu 08.00 to 17.00; Kamis 08.00 to 17.00; Jumat 08.00 to 17.00; Sabtu 08.00 to 17.00; Minggu Tutup; Senin 08.00 to 17.00","True","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFqIEroNmPxEy4CHl_mkc-03gXn3NozG-IKTf-B1OYnZHks7fs-hCPOqmiMPYhJ-4SnX1gdchvLJecqoCfZSJd-FlSpilbABfiAoY8mj1Q0ag_u5UY8SaqWuat81WiSVRGwUldGAWqmDFvH=w408-h307-k-no","True","https://www.google.com/maps/search/?api=1&query=Bakulsaudi%20%2F%20Grosir%20dan%20Gudang%20Kurma%20Bandung%20%2F%20Pusat%20Kurma%20Termurah%20Bandung%20%2F%20Pusat%20Oleh%20Oleh%20Haji%20Umroh%20Bandung&query_place_id=ChIJo1ycr-zhaC4RXVsIG3wFtpk","https://shopee.co.id/bakulsaudi","+62 812-3456-2034","ChIJo1ycr-zhaC4RXVsIG3wFtpk","11076046364151929693","pusat oleh-oleh","87.5","medium","medium","100","73.05","72.22","27.78","38.89","33.33","72.22","5.56","5.56","0","rating=0.3;confidence=0.22;product=0.2;taste=0.04;price=0.1;service=0.07;packaging=0.07","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0003","oleh_oleh","Bandung Miyucheeze","kue_bolu_pastry","Kue, Bolu, Pastry","cheese_cake","true","medium","Toko Kue","Toko Kue","Jl. Cihanjuang No.117, Cihanjuang, Kec. Parongpong, Kabupaten Bandung Barat, Jawa Barat 40559, Indonesia","-6.8097353","107.5771447","4.9","80","23","72","usable_with_caution","active","Belum ada keputusan manual khusus.","True","","False","Selasa 09.00 to 21.00; Rabu 09.00 to 21.00; Kamis 09.00 to 21.00; Jumat 09.00 to 21.00; Sabtu 09.00 to 21.00; Minggu 09.00 to 21.00; Senin 09.00 to 21.00","True","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE-DIWo2EYs6Jai7j40L4giDqfKemc3k_TQw3LKbRr3e2r6CQKVP6KT6KUwNy6XykgAnylTplDt8nP4CqeDcNHs84BN-qloc8DNM2s6GsKXjmYxR1mmdwZuXjEYrnI_4lRzgburYPaTaCJC=w408-h544-k-no","True","https://www.google.com/maps/search/?api=1&query=Bandung%20Miyucheeze&query_place_id=ChIJidi1K5rhaC4R2QgIEbMZ-jg","","+62 888-6357-581","ChIJidi1K5rhaC4R2QgIEbMZ-jg","4105622267177208025","toko oleh-oleh khas","87.5","medium","medium","98","86.05","26.09","86.96","34.78","21.74","8.7","4.35","4.35","4.35","rating=0.35;confidence=0.25;product=0.15;taste=0.1;price=0.05;service=0.06;packaging=0.04","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0011","oleh_oleh","Karma Oleh Oleh Bandung","souvenir_non_makanan","Suvenir Non-Makanan","kaos_souvenir","false","high","Toko Kaos","Toko Kaos; Toko Tas; Toko Pakaian Pantai; Toko Kue; Toko Pakaian Anak; Toko Pakaian; Kedai Kopi; Toko Kerajinan Tangan; Toko Suvenir","Jl. Dr. Setiabudi No.353, Isola, Kec. Sukasari, Kota Bandung, Jawa Barat 40154, Indonesia","-6.8438458","107.598999","4.9","1250","17","70","usable_with_caution","active","Belum ada keputusan manual khusus.","True","","False","Selasa 08.00 to 19.00; Rabu 08.00 to 19.00; Kamis 08.00 to 19.00; Jumat 08.00 to 19.00; Sabtu 08.00 to 19.00; Minggu 08.00 to 19.00; Senin 08.00 to 19.00","True","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHWCVz8xtRov6kI7DcI4BB5IcCaS0AEkqElasUsEfZBNhS3lLqLdlpcmEUMWItWGpWL3uMNomAMAowGfyiiocE0bkrnJ1AiJlx8KFo4RlW8CjZuRcqBPlj0zm1KVLx1mQuPyVs9RDgyEK9P=w408-h723-k-no","True","https://www.google.com/maps/search/?api=1&query=Karma%20Oleh%20Oleh%20Bandung&query_place_id=ChIJswQB6YvhaC4RjMafls9C5i4","","+62 811-2226-0333","ChIJswQB6YvhaC4RjMafls9C5i4","3379462029740852876","toko oleh-oleh khas","87.5","medium","medium","98","70.45","64.71","5.88","29.41","17.65","58.82","5.88","5.88","0","rating=0.35;confidence=0.25;product=0.2;taste=0;price=0.05;service=0.12;packaging=0.03","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0013","oleh_oleh","Keripik Tempe Tembul","snack_keripik","Snack, Camilan, Kue Kering","keripik_tempe","true","high","Toko Makanan","Toko Makanan","Jl. Raya Lembang No.276, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8116821","107.6164561","4.4","83","29","69","usable_with_caution","active","Belum ada keputusan manual khusus.","True","","False","Selasa 08.00 to 20.00; Rabu 08.00 to 20.00; Kamis 08.00 to 20.00; Jumat 08.00 to 20.00; Sabtu 08.00 to 20.00; Minggu 08.00 to 20.00; Senin 08.00 to 20.00","True","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEv2DJ7Mygs2exRBv-XTABN5o-303KOa2Mt9mW39Fyx9Mpun7UEqK3RRv2CCCcNUjeizX4i-zTXN6doTI9DMj2kEs2cBH0Svk6GInj21cl_vlNwHXhPiZk2LpATxmV9g-dyJi6g=w408-h544-k-no","True","https://www.google.com/maps/search/?api=1&query=Keripik%20Tempe%20Tembul&query_place_id=ChIJfQAemwPhaC4R3GLivxb57Bc","","+62 817-0772-639","ChIJfQAemwPhaC4R3GLivxb57Bc","1724026633479938780","oleh-oleh lembang","87.5","medium","medium","88","91.25","41.38","82.76","24.14","27.59","20.69","10.34","0","0","rating=0.32;confidence=0.24;product=0.17;taste=0.1;price=0.07;service=0.04;packaging=0.06","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0020","oleh_oleh","Siliwangi Bolu Kukus Lembang, Bandung","kue_bolu_pastry","Kue, Bolu, Pastry","bolu_kukus","true","medium","Toko Roti","Toko Roti","5J94+87F, Jl. Raya Lembang, Gudangkahuripan, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8316781","107.6056819","4.8","26","18","69","usable_with_caution","active","Belum ada keputusan manual khusus.","True","","False","Selasa 06.00 to 22.00; Rabu 06.00 to 22.00; Kamis 06.00 to 22.00; Jumat 06.00 to 22.00; Sabtu 06.00 to 22.00; Minggu 06.00 to 22.00; Senin 06.00 to 22.00","True","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGaAtEASHuYg8ACmGuW-fVSe-t1UeEC1df1sKwRGdGfgqvFcMtqkYH0J0_jf750Aj30-rCqYL84NKdVs4_pQ2dwIEx22ojA0CCzWsJND3XzUoEo4ghlUJW8e54g7qyffg456NiNlw=w408-h723-k-no","True","https://www.google.com/maps/search/?api=1&query=Siliwangi%20Bolu%20Kukus%20Lembang%2C%20Bandung&query_place_id=ChIJE6oUkijhaC4RtPPSSK9EJ5Y","","","ChIJE6oUkijhaC4RtPPSSK9EJ5Y","10819692149412656052","bolu susu oleh-oleh","87.5","medium","medium","96","73.05","44.44","66.67","22.22","33.33","16.67","5.56","0","5.56","rating=0.35;confidence=0.25;product=0.15;taste=0.1;price=0.05;service=0.06;packaging=0.04","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0004","oleh_oleh","Barokah Fresh Milk","olahan_susu","Olahan Susu Segar","fresh_milk","true","low","Toko Olahan Susu","Toko Olahan Susu","Jl. Kolonel Masturi No.31, Sukajaya, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8153321","107.6021506","4.7","39","15","69","usable_with_caution","active","Belum ada keputusan manual khusus.","True","","False","Selasa 06.00 to 18.00; Rabu 06.00 to 18.00; Kamis 06.00 to 18.00; Jumat 06.00 to 18.00; Sabtu 06.00 to 18.00; Minggu 06.00 to 18.00; Senin 06.00 to 18.00","True","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE0RQm4amoTZOyf471V6ilNdbLeXSnWBVMMHXrvwz1nfbB_iYyMMf29ymhIFpXQ95J0f89peZuclWn8QyKj8I5A_KhS_LYC6FXXD9DVzRwy3M2pZRtislniU8Lb-r8JG9zoiydx=w408-h544-k-no","True","https://www.google.com/maps/search/?api=1&query=Barokah%20Fresh%20Milk&query_place_id=ChIJkSGDig3haC4Rrpv2DcARgnU","","+62 812-2358-3292","ChIJkSGDig3haC4Rrpv2DcARgnU","8467349765975612334","oleh-oleh lembang","87.5","medium","medium","94","65.25","53.33","80","33.33","6.67","6.67","0","6.67","6.67","rating=0.36;confidence=0.26;product=0.16;taste=0.1;price=0.03;service=0.06;packaging=0.03","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0015","oleh_oleh","Pabrik Bolu Susu Lembang","kue_bolu_pastry","Kue, Bolu, Pastry","bolu_susu","true","medium","Toko Roti","Toko Roti","Jl. Raya Lembang No.177, Jayagiri, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40266, Indonesia","-6.8168098","107.6127002","4.2","73","17","68","usable_with_caution","active","Belum ada keputusan manual khusus.","True","","False","Selasa 08.00 to 19.00; Rabu 08.00 to 19.00; Kamis 08.00 to 19.00; Jumat 08.00 to 19.00; Sabtu 08.00 to 20.00; Minggu 08.00 to 20.00; Senin 08.00 to 19.00","True","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEE5Zja37zNbzOxi2rq9-6eUN2rX9I-ntQ5ZTWlG6ahvordLA-GXH9BVyEFj2w_Dvtd0gvQOu1xiegwhxT6BWZjQverCa-PD3k0Z1iE0MKD6Zg02a8IctILPN-mmcKy4bPJsQZ2mU7xU82v=w408-h306-k-no","True","https://www.google.com/maps/search/?api=1&query=Pabrik%20Bolu%20Susu%20Lembang&query_place_id=ChIJTW33ibbhaC4RsyNh0h7nzTE","","+62 813-1869-7117","ChIJTW33ibbhaC4RsyNh0h7nzTE","3588778597648769971","bolu susu oleh-oleh","87.5","medium","medium","84","70.45","58.82","64.71","47.06","35.29","35.29","5.88","5.88","11.76","rating=0.35;confidence=0.25;product=0.15;taste=0.1;price=0.05;service=0.06;packaging=0.04","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0016","oleh_oleh","Pabrik Tahu PD Uties","tahu_tempe","Olahan Tahu dan Tempe","pabrik_tahu","true","low","Produsen makanan","Produsen makanan","Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8224026","107.6202864","4.8","31","13","68","usable_with_caution","active","Belum ada keputusan manual khusus.","True","","False","","False","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFTDYokr7SFebuBsnCM5feeCXbYX_2nAi7_0VmRM-LhQFe8jYOrvjamh8osPhDu96Ucyf_e8h6_OuIxVJMOVUpJpyjzAlHyF7XnOwTKof-UnDz7fPfc90TOkXARnkZj9-Z9I0_J7A=w408-h306-k-no","True","https://www.google.com/maps/search/?api=1&query=Pabrik%20Tahu%20PD%20Uties&query_place_id=ChIJCb0kyx_haC4Rf97ZaVFQ3Gk","","+62 821-2115-2619","ChIJCb0kyx_haC4Rf97ZaVFQ3Gk","7628060179457236607","tahu susu oleh-oleh","75","medium","medium","96","60.05","69.23","61.54","0","0","15.38","0","0","0","rating=0.36;confidence=0.26;product=0.16;taste=0.1;price=0.03;service=0.06;packaging=0.03","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
