"oleh_oleh_raw_id","name","category","address","latitude","longitude","rating","reviews","url","website","phone","search_query","place_id","cid","image_url","auto_subtype","review_confidence_label","auto_quality_score","duplicate_group_key","duplicate_count","category_noise_signal","auto_audit_status","auto_audit_reason","manual_decision","manual_note"
"OORAW-20260609-0013","Oleh-oleh Lembang","Perancang busana","Kp. Sukamanah rt/rw 003/011, Langensari, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8233061","107.6396514","","","https://www.google.com/maps/search/?api=1&query=Oleh-oleh%20Lembang&query_place_id=ChIJyQUDqjHhaC4RfA43Nifcr7c","","+62 853-2054-5517","pusat oleh-oleh","ChIJyQUDqjHhaC4RfA43Nifcr7c","13236039890836590204","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEiNAIyzY2X_0HXF8LerpuM6ZIcHHmjmoeD_Z5mqAc1c_xgsRn6TsTZfr2i6DndlppNKA30dOfKK4kGbAXijkFFDjCHEZ1JdnWMNMdHrPURGRS3K7zgt_OzXou6rqiKM9j-m8hqhA=w408-h454-k-no","pusat_oleh_oleh","none","75","perancang_busana","1","False","hold_not_ready","confidence data masih rendah","",""
"OORAW-20260609-0040","Bolu susu Lembang BSLA Jayagiri","Toko Roti","Jl. Raya Lembang No.308, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8119274","107.6173969","","","https://www.google.com/maps/search/?api=1&query=Bolu%20susu%20Lembang%20BSLA%20Jayagiri&query_place_id=ChIJa0IlHADhaC4RiIp3b5qSO_Y","","","bolu susu oleh-oleh","ChIJa0IlHADhaC4RiIp3b5qSO_Y","17742936348948925064","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wDEmRf3NPuzDOPlS2BUXxg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=332.23083&pitch=0&thumbfov=100","bolu_cake","none","75","bolu_susu_bsla","2","False","hold_not_ready","confidence data masih rendah","",""
"OORAW-20260609-0054","Oleh-Oleh Khas Lembang ""Laksana Mekar""","Toko Suvenir","Jayagiri, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat, Indonesia","-6.8117106","107.6162285","","","https://www.google.com/maps/search/?api=1&query=Oleh-Oleh%20Khas%20Lembang%20%22Laksana%20Mekar%22&query_place_id=ChIJya8bhQPhaC4RL-nlBish3Gs","","","pusat oleh-oleh","ChIJya8bhQPhaC4RL-nlBish3Gs","7772123525617674543","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE1YpDgzBRvw-U_8GyxlfF0GO4mWfaEKs8bxrAH3QZNEhG4TIvyHB14HsGw2tSqD2f1MiFmxtAJN5Nkvlkr95ccRCgFjNymFxLfNzKo9zU4oFFmL_96m4cy_sqaJtTVz3aWf60=w408-h306-k-no","souvenir_merch","none","75","laksana_mekar","1","False","hold_not_ready","confidence data masih rendah","",""
"OORAW-20260609-0070","Pusat oleh oleh bandung","Toko Kue","Jayagiri, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat, Indonesia","-6.8129353","107.6154561","","","https://www.google.com/maps/search/?api=1&query=Pusat%20oleh%20oleh%20bandung&query_place_id=ChIJN-wlnQThaC4RGy1UD84zNLA","","","pusat oleh-oleh","ChIJN-wlnQThaC4RGy1UD84zNLA","12696830209577725211","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH3CDYQTXyRXxw-enYl-LiPsD6f6k4uKUkZ_zhrkqSyLLQ1p0JGDH8ZDCOXqG-VSnAx9aUlsOjmKCKpFU2dgRWcUUID7amMhTru65tz0Tu-VZXkNYTATHA9ls5XpB42lydeCiTVaz9-d20q=w408-h544-k-no","bolu_cake","none","75","","3","False","hold_not_ready","confidence data masih rendah","",""
"OORAW-20260609-0075","Terminal Oleh - Oleh Tiramisu Bolu Susu Lembang","","Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat, Indonesia","-6.8167903","107.6131642","","","https://www.google.com/maps/search/?api=1&query=Terminal%20Oleh%20-%20Oleh%20Tiramisu%20Bolu%20Susu%20Lembang&query_place_id=ChIJjVElGxvhaC4RC6nfNbQdBYE","","","bolu susu oleh-oleh","ChIJjVElGxvhaC4RC6nfNbQdBYE","9296869665611426059","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pdDuiH9biC2HgBLNwjgQSQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=129.3814&pitch=0&thumbfov=100","bolu_cake","none","75","terminal_tiramisu_bolu","1","False","hold_not_ready","confidence data masih rendah","",""
"OORAW-20260609-0076","OLEH-OLEH VIRAL TIRAMISU BOLU SUSU LEMBANG","Toko Roti","Jl. Raya Tangkuban Parahu No.23-25, Cikole, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.7875216","107.6541207","","","https://www.google.com/maps/search/?api=1&query=OLEH-OLEH%20VIRAL%20TIRAMISU%20BOLU%20SUSU%20LEMBANG&query_place_id=ChIJ5aErFQDhaC4RrrnvlE0zwxU","","+62 882-0017-27687","bolu susu oleh-oleh","ChIJ5aErFQDhaC4RrrnvlE0zwxU","1568153503559301550","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFWGGqMgD07q6Jmjwp-48cHP8JBMKUErLBZkABczdupvDaqWTWYns6S4N_yibZbOgD4bY4w_gna6WjfE3QDwh9XuZxKzX6-yInIeRLrCxxfvKvQlWW6VJAzvZa-HSsuPwWVDJ6RNYdcDwtC=w408-h725-k-no","bolu_cake","none","75","viral_tiramisu_bolu","1","False","hold_not_ready","confidence data masih rendah","",""
"OORAW-20260609-0079","Lembang snack","Produsen makanan","indomart, Kp.andir rt02 rw06 Ds.Gudang Kahuripan Gg,Notaris sebrang, Gudangkahuripan, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8305855","107.6059203","","","https://www.google.com/maps/search/?api=1&query=Lembang%20snack&query_place_id=ChIJD5swzfThaC4R9y5mx9sHH2E","","+62 878-3725-6209","snack oleh-oleh","ChIJD5swzfThaC4R9y5mx9sHH2E","6998320986481635063","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=B0sY3BNQkkMM_5OLaObWHQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=281.18362&pitch=0&thumbfov=100","snack_kering","none","75","snack","1","False","hold_not_ready","confidence data masih rendah","",""
"OORAW-20260609-0083","Bolu susu lembang","Toko Roti","5JPF+553, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8146006","107.6229326","","","https://www.google.com/maps/search/?api=1&query=Bolu%20susu%20lembang&query_place_id=ChIJMb5WdwDhaC4RkrOQj9JyHGo","","","oleh-oleh lembang","ChIJMb5WdwDhaC4RkrOQj9JyHGo","7646112516045583250","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xYeuSPhIo6247CjAI-5new&cb_client=search.gws-prod.gps&w=408&h=240&yaw=211.04019&pitch=0&thumbfov=100","bolu_cake","none","75","bolu_susu","3","False","hold_not_ready","confidence data masih rendah","",""
"OORAW-20260609-0093","Oleh-Oleh Khas Lembang","Toko bahan makanan","Gudangkahuripan, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat, Indonesia","-6.8261862","107.6080127","","","https://www.google.com/maps/search/?api=1&query=Oleh-Oleh%20Khas%20Lembang&query_place_id=ChIJx6PfaD3haC4RygNbORGxSdI","","","pusat oleh-oleh","ChIJx6PfaD3haC4RygNbORGxSdI","15152837108799570890","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tV6hwcjMfwg57GVkwA0xBw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=103.78394&pitch=0&thumbfov=100","pusat_oleh_oleh","none","75","bahan_makanan","1","False","hold_not_ready","confidence data masih rendah","",""
"OORAW-20260609-0099","Kang Rasa Snack","Pemasok Produk Makanan","Komplek Panorama Indah C 11, Kayuambon, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8127333","107.6271128","","","https://www.google.com/maps/search/?api=1&query=Kang%20Rasa%20Snack&query_place_id=ChIJrwYn2FThaC4RFvY3n7Ugqnk","","+62 812-2011-1129","snack oleh-oleh","ChIJrwYn2FThaC4RFvY3n7Ugqnk","8766855589062506006","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LOvFhalwDUtjM9gI8MjAjw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=124.58678&pitch=0&thumbfov=100","snack_kering","none","75","kang_rasa_snack","1","False","hold_not_ready","confidence data masih rendah","",""
