"oleh_oleh_id","name","manual_category","manual_category_label","manual_subtype","address","rating","source_reviews_count","text_reviews","manual_recommendation_status","main_recommendation_eligible","url","website","phone","product_hint","durability_hint","best_use_case_hint","produk_utama_manual","price_range_manual","price_confidence_manual","daya_tahan_produk_manual","cocok_untuk_manual","best_use_case_manual","catatan_manual","evidence_source_manual","manual_status"
"OOBASE-20260609-0009","Donatsu - Donat Susu Lembang","kue_bolu_pastry","Kue, Bolu, Pastry","donat_susu","Jl. Raya Lembang No.410, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","5","527","28","active","True","https://www.google.com/maps/search/?api=1&query=Donatsu%20-%20Donat%20Susu%20Lembang&query_place_id=ChIJi7Sm-CHhaC4RXfVvX8XFJlE","","","donat susu","rendah","buah tangan keluarga/kue khas","","","","","","","","",""
"OOBASE-20260609-0019","Serba Susu Lembang","olahan_susu","Olahan Susu Segar","produk_susu","Jl. Seskoau No.7, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","4.5","431","22","active","True","https://www.google.com/maps/search/?api=1&query=Serba%20Susu%20Lembang&query_place_id=ChIJp4xDpuPgaC4RoSxpAbN-vF0","","+62 22 2787333","susu/yoghurt/olahan susu","rendah","produk susu fresh/konsumsi cepat","","","","","","","","",""
"OOBASE-20260609-0002","Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung","haji_umroh_kurma","Oleh-Oleh Haji/Umroh dan Kurma","kurma_hampers","Jl. Raya Tangkuban Parahu No. 17. Ds. Cibogo, Kec. Lembang, Cibogo, Barat, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","5","20","18","active","True","https://www.google.com/maps/search/?api=1&query=Bakulsaudi%20%2F%20Grosir%20dan%20Gudang%20Kurma%20Bandung%20%2F%20Pusat%20Kurma%20Termurah%20Bandung%20%2F%20Pusat%20Oleh%20Oleh%20Haji%20Umroh%20Bandung&query_place_id=ChIJo1ycr-zhaC4RXVsIG3wFtpk","https://shopee.co.id/bakulsaudi","+62 812-3456-2034","kurma/hampers/oleh-oleh haji umroh","tinggi","kurma/hampers/haji umroh","","","","","","","","",""
"OOBASE-20260609-0003","Bandung Miyucheeze","kue_bolu_pastry","Kue, Bolu, Pastry","cheese_cake","Jl. Cihanjuang No.117, Cihanjuang, Kec. Parongpong, Kabupaten Bandung Barat, Jawa Barat 40559, Indonesia","4.9","80","23","active","True","https://www.google.com/maps/search/?api=1&query=Bandung%20Miyucheeze&query_place_id=ChIJidi1K5rhaC4R2QgIEbMZ-jg","","+62 888-6357-581","cheesecake/kue keju","sedang","buah tangan keluarga/kue khas","","","","","","","","",""
"OOBASE-20260609-0011","Karma Oleh Oleh Bandung","souvenir_non_makanan","Suvenir Non-Makanan","kaos_souvenir","Jl. Dr. Setiabudi No.353, Isola, Kec. Sukasari, Kota Bandung, Jawa Barat 40154, Indonesia","4.9","1250","17","active","True","https://www.google.com/maps/search/?api=1&query=Karma%20Oleh%20Oleh%20Bandung&query_place_id=ChIJswQB6YvhaC4RjMafls9C5i4","","+62 811-2226-0333","kaos/souvenir non-makanan","tinggi","souvenir non-makanan/tahan lama","","","","","","","","",""
"OOBASE-20260609-0013","Keripik Tempe Tembul","snack_keripik","Snack, Camilan, Kue Kering","keripik_tempe","Jl. Raya Lembang No.276, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","4.4","83","29","active","True","https://www.google.com/maps/search/?api=1&query=Keripik%20Tempe%20Tembul&query_place_id=ChIJfQAemwPhaC4R3GLivxb57Bc","","+62 817-0772-639","keripik tempe","tinggi","snack murah/perjalanan/rombongan","","","","","","","","",""
"OOBASE-20260609-0020","Siliwangi Bolu Kukus Lembang, Bandung","kue_bolu_pastry","Kue, Bolu, Pastry","bolu_kukus","5J94+87F, Jl. Raya Lembang, Gudangkahuripan, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","4.8","26","18","active","True","https://www.google.com/maps/search/?api=1&query=Siliwangi%20Bolu%20Kukus%20Lembang%2C%20Bandung&query_place_id=ChIJE6oUkijhaC4RtPPSSK9EJ5Y","","","bolu kukus","sedang","buah tangan keluarga/kue khas","","","","","","","","",""
"OOBASE-20260609-0004","Barokah Fresh Milk","olahan_susu","Olahan Susu Segar","fresh_milk","Jl. Kolonel Masturi No.31, Sukajaya, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","4.7","39","15","active","True","https://www.google.com/maps/search/?api=1&query=Barokah%20Fresh%20Milk&query_place_id=ChIJkSGDig3haC4Rrpv2DcARgnU","","+62 812-2358-3292","susu/yoghurt/olahan susu","rendah","produk susu fresh/konsumsi cepat","","","","","","","","",""
"OOBASE-20260609-0015","Pabrik Bolu Susu Lembang","kue_bolu_pastry","Kue, Bolu, Pastry","bolu_susu","Jl. Raya Lembang No.177, Jayagiri, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40266, Indonesia","4.2","73","17","active","True","https://www.google.com/maps/search/?api=1&query=Pabrik%20Bolu%20Susu%20Lembang&query_place_id=ChIJTW33ibbhaC4RsyNh0h7nzTE","","+62 813-1869-7117","bolu susu","sedang","buah tangan keluarga/kue khas","","","","","","","","",""
"OOBASE-20260609-0016","Pabrik Tahu PD Uties","tahu_tempe","Olahan Tahu dan Tempe","pabrik_tahu","Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","4.8","31","13","active","True","https://www.google.com/maps/search/?api=1&query=Pabrik%20Tahu%20PD%20Uties&query_place_id=ChIJCb0kyx_haC4Rf97ZaVFQ3Gk","","+62 821-2115-2619","tahu/tempe fresh","rendah","oleh-oleh fresh untuk langsung dibawa pulang","","","","","","","","",""
"OOBASE-20260609-0018","PD.Bagus Tahu Dan Tempe Special","tahu_tempe","Olahan Tahu dan Tempe","tahu_tempe","Jl. Raya Cireyod No.347, Cikidang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","4.6","21","14","active","True","https://www.google.com/maps/search/?api=1&query=PD.Bagus%20Tahu%20Dan%20Tempe%20Special&query_place_id=ChIJffKBxmLgaC4R6q6TSHmW24w","","+62 858-6007-2838","tahu/tempe fresh","rendah","oleh-oleh fresh untuk langsung dibawa pulang","","","","","","","","",""
"OOBASE-20260609-0021","Susu Murni KPSBU Lembang","olahan_susu","Olahan Susu Segar","fresh_milk","Jl. Kayuambon Dalam No.38, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","4.6","3492","12","active","True","https://www.google.com/maps/search/?api=1&query=Susu%20Murni%20KPSBU%20Lembang&query_place_id=ChIJpWGYruPgaC4R48Cli7L63XA","","","susu/yoghurt/olahan susu","rendah","produk susu fresh/konsumsi cepat","","","","","","","","",""
"OOBASE-20260609-0014","Kue Balok Jaya Giri","kue_bolu_pastry","Kue, Bolu, Pastry","kue_balok","Jl. Raya Lembang No.254, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","4.5","146","15","active","True","https://www.google.com/maps/search/?api=1&query=Kue%20Balok%20Jaya%20Giri&query_place_id=ChIJ7X8gnwPhaC4RiMjk-9jNTSg","","+62 838-2272-4001","kue balok","sedang","buah tangan keluarga/kue khas","","","","","","","","",""
