"oleh_oleh_raw_id","name","category","address","latitude","longitude","rating","reviews","url","website","phone","search_query","place_id","cid","image_url","initial_status","hold_reason","has_product_signal","has_store_signal","has_noise_category","wisata_overlap_score","wisata_overlap_id","wisata_overlap_name","manual_decision","manual_note"
"OORAW-20260609-0016","Floating Market Lembang","Pasar Apung","Jl. Grand Hotel No.33E, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8178312","107.6188177","4.5","55902","https://www.google.com/maps/search/?api=1&query=Floating%20Market%20Lembang&query_place_id=ChIJ5SedShzhaC4RVU8QCM4azXs","","+62 878-2388-4888","oleh-oleh lembang","ChIJ5SedShzhaC4RVU8QCM4azXs","8920815909091692373","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFHo_NfZEQaNeqZoj0wcrdFmZ6CFVOkcr6y_FFVkLx5Pc1J4-yOglMwGJImWJ5ItaWjqD6tSGDfaM9ZKp94iSgGtlVm0x2dJjdiswM7iMY2bwk3ZVzf_YNWcjV7hliptOF76uXmcMevanJi=w408-h544-k-no","held_wisata_overlap","nama sangat mirip dengan dataset wisata aktif","False","True","True","1","LOC-031","Floating Market Lembang","",""
"OORAW-20260609-0037","OLEH - OLEH DAN CAMILAN KITTA","Restoran","Babakan Leungsir, Langensari, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8214557","107.643118","","","https://www.google.com/maps/search/?api=1&query=OLEH%20-%20OLEH%20DAN%20CAMILAN%20KITTA&query_place_id=ChIJdddnQeDhaC4R4pmvwhI4Khk","","+62 812-2229-4460","oleh-oleh lembang","ChIJdddnQeDhaC4R4pmvwhI4Khk","1813323453196900834","","held_noise","tempat terlihat tutup sementara/permanen dari raw scraper","True","True","True","0.143","LOC-053","Lembang Park & Zoo","",""
"OORAW-20260609-0042","Oleh oleh bolu susu lembang","Toko","Jl. Kolonel Masturi No.111SukajayaKec, Gudangkahuripan, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.819722","107.6088757","","","https://www.google.com/maps/search/?api=1&query=Oleh%20oleh%20bolu%20susu%20lembang&query_place_id=ChIJ5WAGKR3haC4R-gJ3coM8tc0","","+62 895-8097-64747","bolu susu oleh-oleh","ChIJ5WAGKR3haC4R-gJ3coM8tc0","14822820283818640122","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEw4KHEIjOj9Wtvq4CAFP0_mpTUD0H6PJfi6sttMiGntYAgvCRoD2nLA_pA3nvzoWr9g5dOk4NYe6bPGPgCIfkKEfoNVRAUg6VVG4r4qzpuA-RWB_xCQ4iFAxscwHGXHz_P9qcNXA=w408-h725-k-no","held_noise","tempat terlihat tutup sementara/permanen dari raw scraper","True","True","False","0.333","LOC-030","Farm House Susu Lembang","",""
"OORAW-20260609-0049","Dusun Bambu","Tujuan Wisata","Dusun Bambu Lembang No.11, Kertawangi, Kec. Cisarua, Kabupaten Bandung Barat, Jawa Barat 40551, Indonesia","-6.7895621","107.579017","4.5","31829","https://www.google.com/maps/search/?api=1&query=Dusun%20Bambu&query_place_id=ChIJ2VHL24vhaC4RnrFGI1jv3YY","http://www.dusunbambu.id/","+62 815-6380-8021","oleh-oleh lembang","ChIJ2VHL24vhaC4RnrFGI1jv3YY","9718186732763394462","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG12sSOEyaqkPgnSbUwJCERMZHCq0mQNSA51Kn3RWw27jeOkzVbn5HAwAIg2Wr9b5PLRgPHgMCqRKqjcGOIvfkrOfRUu3vHKWOYG4BRw8qhBwW-5B5C907-u4W69iiSxguOchDV=w426-h240-k-no","held_wisata_overlap","nama sangat mirip dengan dataset wisata aktif","False","False","True","1","LOC-029","Dusun Bambu","",""
"OORAW-20260609-0055","Kota Mini Lembang","Pusat Rekreasi","Jl. Grand Hotel No.33E, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.81792","107.618747","4.4","3754","https://www.google.com/maps/search/?api=1&query=Kota%20Mini%20Lembang&query_place_id=ChIJF60jFRzhaC4RmaSdTKLNHHE","","+62 812-2000-8168","pusat oleh-oleh","ChIJF60jFRzhaC4RmaSdTKLNHHE","8150615522587550873","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFGved2-FHLb5cf2kkhI2LHoooNDRn7ZrW5L8-8p2LJxwKwvgOtY9exhWNPZ_AI739qYfBawhodtbyBKoiNyJw9eElx2TOP538mn8nFGvfaWdjPYFoFTKO8NNvFRG5tCyu3Qok_YA=w408-h257-k-no","held_noise","kategori lebih cocok wisata/tempat umum","False","True","True","0.5","LOC-179","Mini Mania Lembang","",""
"OORAW-20260609-0056","Alun Alun Lembang","Taman","Jl. Raya Lembang - Bandung No.13, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8122673","107.6187541","4.4","11675","https://www.google.com/maps/search/?api=1&query=Alun%20Alun%20Lembang&query_place_id=ChIJnxE9_wLhaC4RmwdpM6vdcok","","+62 822-6889-7772","oleh-oleh lembang","ChIJnxE9_wLhaC4RmwdpM6vdcok","9904222257912809371","https://lh3.googleusercontent.com/gps-cs-s/APNQkAErLqUaaO5mvSFjCl0Pg5Bq_A1mC1toYnX2oGGIZh50QKhJPPh__ZRc3x60_DNo7JPOks8_GNCp4M88-IUfwcTh_nXSTgg7bErX_TF51RwlqukzyhSvizctHtSM6N_iNOi75och=w408-h306-k-no","held_noise","kategori lebih cocok wisata/tempat umum","False","False","True","0.333","LOC-054","Lembang Wonderland","",""
"OORAW-20260609-0058","LEMBANG Wonderland","Taman bermain","Jl. Raya Lembang No.177, Jayagiri, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8172979","107.6121455","4.3","3180","https://www.google.com/maps/search/?api=1&query=LEMBANG%20Wonderland&query_place_id=ChIJo8DfYCnhaC4RwZWDkG319Kg","","+62 813-8888-0168","oleh-oleh lembang","ChIJo8DfYCnhaC4RwZWDkG319Kg","12174625543614076353","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEfV_nlMOm1Ovj1KNPZgF38zA63KRm8JiV0NEQtHhTYpXEhnzm1TCHLX6ylQ8-MwzDXgbIyqHBZ0wa82GBcl1yxEmj9DGxcYQFWsFXoK5UBBeGD4X_2jJ-V779IVf4lHqjs0LXr=w408-h306-k-no","held_wisata_overlap","nama sangat mirip dengan dataset wisata aktif","False","False","True","1","LOC-054","Lembang Wonderland","",""
"OORAW-20260609-0061","pasar lembang","Restoran Indonesia","5JJF+R72, Jayagiri, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8179805","107.6231493","4.1","194","https://www.google.com/maps/search/?api=1&query=pasar%20lembang&query_place_id=ChIJG_hXFwDhaC4RK-GB8ACARTE","","","oleh-oleh lembang","ChIJG_hXFwDhaC4RK-GB8ACARTE","3550384622774903083","https://lh3.googleusercontent.com/gps-cs-s/APNQkAETeZ5M-5wlUxQMRZBVsLZPfJSDObqpwF026bRUy6437OekvCtU37eNkJbIO9a2PYqD-T3FwxIRvIL2JoNbwybOrxZtaKO1QxqE9Cpf791tBJIw2q_Zw7fXHW85TN2hCwn1Tkbo=w426-h240-k-no","held_noise","kategori umum tanpa sinyal produk oleh-oleh","False","True","True","0.333","LOC-054","Lembang Wonderland","",""
"OORAW-20260609-0064","Float Market Lembang, West Bandung, West Java","Pasar Apung","Jl. Mutiara 1 No.7, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8197283","107.618335","4.6","286","https://www.google.com/maps/search/?api=1&query=Float%20Market%20Lembang%2C%20West%20Bandung%2C%20West%20Java&query_place_id=ChIJ95JPKhzhaC4RftYg8MFZbmc","","","oleh-oleh lembang","ChIJ95JPKhzhaC4RftYg8MFZbmc","7452993122836993662","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGJB4y63XGCNz4Jolyqt-8yX7Xc4lkyadxYzHbtiX_1TxBEoxu1TXI2x82kfVmgvhs1BbmN-f3r6kc1EnHwCdeGW-3spGeVhLL78Lbemp5_ZDfRMp11xSn3aYb8Y9xXSPb2w1k=w408-h408-k-no","held_noise","kategori lebih cocok wisata/tempat umum","False","True","True","0.286","LOC-031","Floating Market Lembang","",""
"OORAW-20260609-0066","Yogya Lembang","Pusat Perbelanjaan","Jl. Raya Lembang No.416, Kayuambon, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8133424","107.6198547","4.4","2665","https://www.google.com/maps/search/?api=1&query=Yogya%20Lembang&query_place_id=ChIJP93VwALhaC4RQET6tLd5rDA","https://www.yogyagroup.com/","+62 22 27611986","pusat oleh-oleh","ChIJP93VwALhaC4RQET6tLd5rDA","3507312039737050176","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHk2J2gS8X6WOk1y-59hiXS5HHNteb7CEZaStwC6LDWHDw00LPxXLEtaK8WNGigV8eV2-P06hLOO_wd0aQmO5ly2rPhc2YSDzJR6P-MXXYI1bS-jtf3jsnOihZIaLSClz6BwUCIJ8C1_7FP=w426-h240-k-no","held_noise","kategori umum tanpa sinyal produk oleh-oleh","False","True","True","0.333","LOC-054","Lembang Wonderland","",""
