"oleh_oleh_raw_id","name","category","address","latitude","longitude","rating","reviews","url","website","phone","search_query","place_id","cid","image_url","initial_status","hold_reason","has_product_signal","has_store_signal","has_noise_category","wisata_overlap_score","wisata_overlap_id","wisata_overlap_name","manual_decision","manual_note"
"OORAW-20260609-0012","New So-Phia","Toko","Jl. Dharma No.10, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.817531","107.626776","4.6","481","https://www.google.com/maps/search/?api=1&query=New%20So-Phia&query_place_id=ChIJ6TzBmuPgaC4R1EDPfXMADLA","","+62 22 2786710","pusat oleh-oleh","ChIJ6TzBmuPgaC4R1EDPfXMADLA","12685514746427818196","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFx00INQP1NDuv1J3_4wxmRfYm6Iv9M9an1MMs-gbLOjP9Y-lmcX5yrb7BE3qEUO6nCLcVJqeiC74OI56EqAY_lvowCChK8dYlXRNHyYPys7T7HJCQavM1ZTlFADhTMOb44JpMczW4AUdif=w408-h544-k-no","needs_review","sinyal belum cukup kuat","False","True","False","0","","","",""
"OORAW-20260609-0029","Sentral bolu susu lembang balok coklat lumer","Loker paket","Jl. Pamecelan No.11-97, Sukajaya, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8077231","107.5969112","5","1","https://www.google.com/maps/search/?api=1&query=Sentral%20bolu%20susu%20lembang%20balok%20coklat%20lumer&query_place_id=ChIJoyD1PqvhaC4Rkvk8J3KyekY","","","bolu susu oleh-oleh","ChIJoyD1PqvhaC4Rkvk8J3KyekY","5078567733167978898","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEsBmQ2nnn0kkSUi7K77dDcHtF23L45euZnHPY9nes8pPiDpWRAfLCcy_vLjhHmRYt2_HLhI6V5b-ColpMYsx7be5FajdUNHAY4OPPE_Bs0SLRY-9V3y9wGVaETX0ebPRUXnkO5E6u4Fnq-=w408-h544-k-no","needs_review","ada sinyal produk, tapi kategori belum kuat","True","False","False","0.222","LOC-030","Farm House Susu Lembang","",""
"OORAW-20260609-0059","PLN Lembang","Perusahaan Listrik","Jl. Cijeruk, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.818327","107.622015","4.2","403","https://www.google.com/maps/search/?api=1&query=PLN%20Lembang&query_place_id=ChIJEfoTc-LgaC4RJ2-iE6eJG9s","","+62 22 2787118","oleh-oleh lembang","ChIJEfoTc-LgaC4RJ2-iE6eJG9s","15788364269359361831","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGSfZi0mIw7TIRsRuxEYoGg16BUar0sIHryF2QP6uJstGQSiWWpj3JzCBvACHG4rnAOP-xl-EUEPq6_em-rFR258gWKW1UwEEWOkVn203eclchf3dqtVkcuNovTUHgBHnSy45Xc=w426-h240-k-no","needs_review","sinyal belum cukup kuat","False","False","False","0.333","LOC-054","Lembang Wonderland","",""
"OORAW-20260609-0063","Cemilan Nyakreuk 19, Warung dan Kedai","Kedai Kopi","Jl. Sukawana, Cihideung, Kec. Parongpong, Kabupaten Bandung Barat, Jawa Barat 40559, Indonesia","-6.7852756","107.5862428","4.5","2","https://www.google.com/maps/search/?api=1&query=Cemilan%20Nyakreuk%2019%2C%20Warung%20dan%20Kedai&query_place_id=ChIJxxnR24jhaC4RioGI7DTlF9Q","","+62 895-2353-0920","snack oleh-oleh","ChIJxxnR24jhaC4RioGI7DTlF9Q","15282935875974496650","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFasRjDUJxxuJ6KBzgCVqFJxNajYHWgdbqiDyvpfqkVk1RFdnn1-BdaGWMyp-0elZNAxc4kyFc82Ck7WzBxZ_YGl41LRHCioa4MHDbuq0eQjEgTC8NGEROVXf8YmbTalJCZROk=w500-h240-k-no","needs_review","ada produk, tapi kategori masih restoran/mall/kafe","True","False","True","0.125","LOC-053","Lembang Park & Zoo","",""
"OORAW-20260609-0065","Toserba Griya Lembang","Toko Swalayan","Jl. Panorama No.14, RT.02/RW.03, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8152982","107.6227451","4.4","601","https://www.google.com/maps/search/?api=1&query=Toserba%20Griya%20Lembang&query_place_id=ChIJ3xvC9OLgaC4RcE-EocFYRc8","","+62 22 2784478","pusat oleh-oleh","ChIJ3xvC9OLgaC4RcE-EocFYRc8","14935441327905853296","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEruhFg50jKPOgacn4zcTo_vixwMhAYoCw3AJVih4B6u0LxDcUUk07rsUZjZb7Wft8T7i6qZG4Vx3u-DgQMQNC8I_0XWuqsMjT4x_BjmLZdBXb4EA_zDxMrKcYG3wPlNk9Pwz6j=w408-h306-k-no","needs_review","sinyal belum cukup kuat","False","True","False","0.25","LOC-054","Lembang Wonderland","",""
"OORAW-20260609-0068","Pusat Kerupuk Kemplang Asli Palembang","Toko","5JJ8+77H, Jl. Baruajak, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8192907","107.6155536","5","6","https://www.google.com/maps/search/?api=1&query=Pusat%20Kerupuk%20Kemplang%20Asli%20Palembang&query_place_id=ChIJSw19CADhaC4RcN6bXqlpp-E","https://www.tiktok.com/@kerupukpalembang.lembang?_r=1&_t=ZS-946q2SBAvqv","+62 819-1987-9456","pusat oleh-oleh","ChIJSw19CADhaC4RcN6bXqlpp-E","16260081155802127984","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHwHQnrzgkhl4IgFHLc214x9SlgHOpolElCzo55TPNuiT8is9u_mc9tdNXEnDtrwZ3umruquZFGs8eu84pLb4wZyf1h-Xib2HhtnPtrP0_4rhiIiXvmDG6a9e4XabTmKSsXPPyGu-giENnQ=w408-h408-k-no","needs_review","sinyal belum cukup kuat","False","True","False","0","","","",""
"OORAW-20260609-0080","Ibad Garden","Toko Bunga","Jl. Kebon Hui, Cigugur Girang, Kec. Parongpong, Kabupaten Bandung Barat, Jawa Barat 40559, Indonesia","-6.8248273","107.5900267","4.8","42","https://www.google.com/maps/search/?api=1&query=Ibad%20Garden&query_place_id=ChIJ539C0YrhaC4R0id6Tzie5cw","https://www.tanamanhiasbandung.com/","+62 813-2021-0838","toko oleh-oleh khas","ChIJ539C0YrhaC4R0id6Tzie5cw","14764380918092802002","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH3czfBC2SdTDhEDi7SuAebb6hR7IT9Ka6jtxrb3DaWQfa7jp_ZjvZIZm3ZXS1jAbjcURMVhzoNH0WGLDRVXYQU3oN7RPqs6R-Ahw19bLrAdTxSCAwrHRl3svKuh9S-QZL1Hh19=w408-h306-k-no","needs_review","sinyal belum cukup kuat","False","True","False","0.25","LOC-083","Stone Garden Citatah","",""
"OORAW-20260609-0089","Lapinea Cafe & Resto","Restoran Keluarga","6JCV+2JV, Jl. Raya Tangkuban Parahu, Cikole, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.7801626","107.6452254","4.4","801","https://www.google.com/maps/search/?api=1&query=Lapinea%20Cafe%20%26%20Resto&query_place_id=ChIJz03lWgDhaC4R1gZ-04kyTeA","http://instagram.com/%20Lapinea%20Cafe%20&%20Resto","+62 853-5279-4404","tahu susu oleh-oleh","ChIJz03lWgDhaC4R1gZ-04kyTeA","16162630205242738390","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFq_No_FGLtR6kl4GaNpZj-smH1sq138G_ao3rfNW36Z_-XndrtvyfMQsh3zwJdTEzXduntLvbDi2HgAiemQFuJeKy0bvss-9ODxbvOKY0JOrmUtg7YXHphri6wpXCIpexXTC2wLOEPqAmi=w408-h725-k-no","needs_review","sinyal belum cukup kuat","False","False","False","0.143","LOC-053","Lembang Park & Zoo","",""
"OORAW-20260609-0090","Cemilan ghaisan","Grosir Barang Kelontong","Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8156749","107.6187562","5","1","https://www.google.com/maps/search/?api=1&query=Cemilan%20ghaisan&query_place_id=ChIJ-0xqUYrhaC4R5D99T9jNNCQ","","+62 895-3336-20505","snack oleh-oleh","ChIJ-0xqUYrhaC4R5D99T9jNNCQ","2608936413084598244","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFsnWTWnOmAHIN6RFVl1r9JnWyhVKb2BqgfGJ4Qk7EeRIxE65wZL5bmoKkNSBa-V1YH-FyFPvORH5Hen3T4Q3siJe3SNtlEDbbktdDT9AmSmPIM5QNhUgVRLDEQpxd89rskNumM=w408-h725-k-no","needs_review","ada sinyal produk, tapi kategori belum kuat","True","False","False","0","","","",""
"OORAW-20260609-0092","Pasar Buah Lembang","Toko bahan makanan","Jl. Raya Lembang No.223, Jayagiri, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8122314","107.6158244","4.2","325","https://www.google.com/maps/search/?api=1&query=Pasar%20Buah%20Lembang&query_place_id=ChIJexLWgQPhaC4RY-eFAcX21Vw","","+62 852-2137-3070","oleh-oleh lembang","ChIJexLWgQPhaC4RY-eFAcX21Vw","6689524147523282787","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFSIUzqo4ku_uEB06oK21UELhfsy1ssd_BMn1pKv5KzrKS8A1MwLBuRtMrZu1WrdTfpwRCFyVRhaXoydzlmNmSlskQzTd-kqED7NlqXFQpT2_xsKCm9SQMErIXUCVKSx56HyA=w511-h240-k-no","needs_review","sinyal belum cukup kuat","False","True","False","0.25","LOC-054","Lembang Wonderland","",""
