"oleh_oleh_raw_id","name","category","address","latitude","longitude","rating","reviews","url","website","phone","search_query","place_id","cid","image_url","auto_subtype","review_confidence_label","auto_quality_score","duplicate_group_key","duplicate_count","category_noise_signal","auto_audit_status","auto_audit_reason","manual_decision","manual_note"
"OORAW-20260609-0001","Kartika Sari Lembang","Toko Kue","Jl. Raya Tangkuban Parahu Ciburial No.91, Cibogo, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8111633","107.634899","4.6","164","https://www.google.com/maps/search/?api=1&query=Kartika%20Sari%20Lembang&query_place_id=ChIJPwicKQDhaC4RwUyA9xRPnYc","https://www.kartikasari.com/","+62 22 63209028","toko oleh-oleh khas","ChIJPwicKQDhaC4RwUyA9xRPnYc","9772053717934165185","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFydzDkab0gPIYYV89bqfgL53enHDd4y-SJGgQ4zIq2VtDCRrwbC4EdZgpgMnHJy9qOx7OMu6aykpfz9QKJlXvl690ovdGKpF1YiVxfe_prsbPVFWKLxuFKVgA7AMJkT6oMUQOkhw=w408-h544-k-no","bolu_cake","medium","95","kartika_sari","1","False","ready_for_review_scraping","sinyal produk/toko cukup kuat dan data utama lengkap","",""
"OORAW-20260609-0005","Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung","Produsen makanan","Jl. Raya Tangkuban Parahu No. 17. Ds. Cibogo, Kec. Lembang, Cibogo, Barat, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8096149","107.629459","5","20","https://www.google.com/maps/search/?api=1&query=Bakulsaudi%20%2F%20Grosir%20dan%20Gudang%20Kurma%20Bandung%20%2F%20Pusat%20Kurma%20Termurah%20Bandung%20%2F%20Pusat%20Oleh%20Oleh%20Haji%20Umroh%20Bandung&query_place_id=ChIJo1ycr-zhaC4RXVsIG3wFtpk","https://shopee.co.id/bakulsaudi","+62 812-3456-2034","pusat oleh-oleh","ChIJo1ycr-zhaC4RXVsIG3wFtpk","11076046364151929693","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFqIEroNmPxEy4CHl_mkc-03gXn3NozG-IKTf-B1OYnZHks7fs-hCPOqmiMPYhJ-4SnX1gdchvLJecqoCfZSJd-FlSpilbABfiAoY8mj1Q0ag_u5UY8SaqWuat81WiSVRGwUldGAWqmDFvH=w408-h307-k-no","sambal_bumbu","low","90","bakulsaudi_grosir_gudang","1","False","ready_for_review_scraping","sinyal produk/toko cukup kuat dan data utama lengkap","",""
"OORAW-20260609-0006","Rumah Oleh Oleh Floating Market Lembang","Toko","Jl. Grand Hotel No.33E A4, Joglo, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.817976","107.6187742","4.3","22","https://www.google.com/maps/search/?api=1&query=Rumah%20Oleh%20Oleh%20Floating%20Market%20Lembang&query_place_id=ChIJlW9RrR3haC4RIX641luF8ps","","+62 22 2787766","toko oleh-oleh khas","ChIJlW9RrR3haC4RIX641luF8ps","11237190649733742113","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFCzamhVXuCkNTVQGctoSxgNSN552tn2wctKdTK-ai9iGuBrGIghaI5yQmjMfEb9Z_i5AszD5IugsNVe1o2Xap9-hv1JymcuaxTbq6gouAR1G-FtAbKM4KS6uLmgzG3fe9xi6er=w426-h240-k-no","pusat_oleh_oleh","low","90","rumah_floating_market","1","False","ready_for_review_scraping","sinyal produk/toko cukup kuat dan data utama lengkap","",""
"OORAW-20260609-0009","Karma Oleh Oleh Bandung","Toko Kaos","Jl. Dr. Setiabudi No.353, Isola, Kec. Sukasari, Kota Bandung, Jawa Barat 40154, Indonesia","-6.8438458","107.598999","4.9","1250","https://www.google.com/maps/search/?api=1&query=Karma%20Oleh%20Oleh%20Bandung&query_place_id=ChIJswQB6YvhaC4RjMafls9C5i4","","+62 811-2226-0333","toko oleh-oleh khas","ChIJswQB6YvhaC4RjMafls9C5i4","3379462029740852876","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHWCVz8xtRov6kI7DcI4BB5IcCaS0AEkqElasUsEfZBNhS3lLqLdlpcmEUMWItWGpWL3uMNomAMAowGfyiiocE0bkrnJ1AiJlx8KFo4RlW8CjZuRcqBPlj0zm1KVLx1mQuPyVs9RDgyEK9P=w408-h723-k-no","souvenir_merch","high","100","karma","1","False","ready_for_review_scraping","sinyal produk/toko cukup kuat dan data utama lengkap","",""
"OORAW-20260609-0023","Pabrik Tahu PD Uties","Produsen makanan","Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8224026","107.6202864","4.8","31","https://www.google.com/maps/search/?api=1&query=Pabrik%20Tahu%20PD%20Uties&query_place_id=ChIJCb0kyx_haC4Rf97ZaVFQ3Gk","","+62 821-2115-2619","tahu susu oleh-oleh","ChIJCb0kyx_haC4Rf97ZaVFQ3Gk","7628060179457236607","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFTDYokr7SFebuBsnCM5feeCXbYX_2nAi7_0VmRM-LhQFe8jYOrvjamh8osPhDu96Ucyf_e8h6_OuIxVJMOVUpJpyjzAlHyF7XnOwTKof-UnDz7fPfc90TOkXARnkZj9-Z9I0_J7A=w408-h306-k-no","tahu_susu","low","90","pabrik_tahu_uties","1","False","ready_for_review_scraping","sinyal produk/toko cukup kuat dan data utama lengkap","",""
"OORAW-20260609-0028","Bolu susu Lembang Cikole","Toko Roti","6M53+5PP, Cikole, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.7920857","107.6543278","4.8","21","https://www.google.com/maps/search/?api=1&query=Bolu%20susu%20Lembang%20Cikole&query_place_id=ChIJO6lUdP7haC4RHeO43rEfTU0","","+62 813-4489-4535","bolu susu oleh-oleh","ChIJO6lUdP7haC4RHeO43rEfTU0","5570143162933502749","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG2NZm11ceeW5uo7qDAQ5-I2aa50vWFsb577-OCVLbq6_xsToqM4fc_mQ8ZeeKe1qX4XCJWY9BPzEFpOad_BA1nrpJ-lLyZRIWhqYcIeMoyO9C0Ezm7vRr78txKIQAscSEPjEMWXB1jxJZC=w408-h724-k-no","bolu_cake","low","90","bolu_susu_cikole","1","False","ready_for_review_scraping","sinyal produk/toko cukup kuat dan data utama lengkap","",""
"OORAW-20260609-0032","Pabrik Bolu Susu Lembang","Toko Roti","Jl. Raya Lembang No.177, Jayagiri, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40266, Indonesia","-6.8168098","107.6127002","4.2","73","https://www.google.com/maps/search/?api=1&query=Pabrik%20Bolu%20Susu%20Lembang&query_place_id=ChIJTW33ibbhaC4RsyNh0h7nzTE","","+62 813-1869-7117","bolu susu oleh-oleh","ChIJTW33ibbhaC4RsyNh0h7nzTE","3588778597648769971","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEE5Zja37zNbzOxi2rq9-6eUN2rX9I-ntQ5ZTWlG6ahvordLA-GXH9BVyEFj2w_Dvtd0gvQOu1xiegwhxT6BWZjQverCa-PD3k0Z1iE0MKD6Zg02a8IctILPN-mmcKy4bPJsQZ2mU7xU82v=w408-h306-k-no","bolu_cake","medium","95","pabrik_bolu_susu","1","False","ready_for_review_scraping","sinyal produk/toko cukup kuat dan data utama lengkap","",""
"OORAW-20260609-0035","PD.Bagus Tahu Dan Tempe Special","Kantor Perusahaan","Jl. Raya Cireyod No.347, Cikidang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.8013682","107.6561053","4.6","21","https://www.google.com/maps/search/?api=1&query=PD.Bagus%20Tahu%20Dan%20Tempe%20Special&query_place_id=ChIJffKBxmLgaC4R6q6TSHmW24w","","+62 858-6007-2838","tahu susu oleh-oleh","ChIJffKBxmLgaC4R6q6TSHmW24w","10149871632862392042","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGyp_tfGM4akOjKsmkradBhz2gsDMEytmp7yoQfA-IP6t89hkMCjhUmIA8eONSofIlNRbJHcZcR7EYQCbk4omSDGZBfIe5PFKoDpRciVXEL6bF4b0jHYasyRQbVefmuAZTrf1jliw=w426-h240-k-no","tahu_susu","low","90","bagus_tahu_tempe","1","False","ready_for_review_scraping","sinyal produk/toko cukup kuat dan data utama lengkap","",""
"OORAW-20260609-0039","Toko Kasohor Almond Crispy Cheese Bandung","Toko Roti","Jl. Grand Hotel, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40791, Indonesia","-6.8162195","107.619467","4.6","109","https://www.google.com/maps/search/?api=1&query=Toko%20Kasohor%20Almond%20Crispy%20Cheese%20Bandung&query_place_id=ChIJNTQTVMjnaC4RRRXvCGQt9MA","https://www.instagram.com/kasohor_","","snack oleh-oleh","ChIJNTQTVMjnaC4RRRXvCGQt9MA","13903787857269429573","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHTXJtC6whBh8wiz1FoFxvblm1p45Qh59RjnIpBA45DW_msPO419_ALms9PUsrkPEVXCkoywtgHDtg7wL2JaY-08XgEe5_WVUhNEBR1aC9W0VFnYxoUEIkN9BHnBCF8MICc_fYY=w507-h240-k-no","pastry_roti","medium","95","kasohor_almond_crispy","1","False","ready_for_review_scraping","sinyal produk/toko cukup kuat dan data utama lengkap","",""
"OORAW-20260609-0043","Kue Balok Jaya Giri","Toko Roti","Jl. Raya Lembang No.254, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","-6.813793","107.6215858","4.5","146","https://www.google.com/maps/search/?api=1&query=Kue%20Balok%20Jaya%20Giri&query_place_id=ChIJ7X8gnwPhaC4RiMjk-9jNTSg","","+62 838-2272-4001","bolu susu oleh-oleh","ChIJ7X8gnwPhaC4RiMjk-9jNTSg","2904203666546542728","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHoIJ_PeHWAXfbS3gj5LCvxx2CQhfVtvkKimALel1u-vvRmAlyYKppdYhak1155zqyAtxu9pBniZFYJNIeJNQNMAkVgHBQ-rXVsTONIsjR_iNFHSlya4ECS60T4abgwAJP2-HI=w408-h306-k-no","bolu_cake","medium","95","balok_jaya_giri","1","False","ready_for_review_scraping","sinyal produk/toko cukup kuat dan data utama lengkap","",""
