"review_batch","place_name","raw_reviews","text_reviews","avg_text_review_stars","product_mentions","taste_mentions","price_mentions","packaging_mentions","service_mentions","queue_mentions","parking_mentions","tourism_context_mentions","product_mention_ratio","aspect_useful_reviews","aspect_useful_ratio"
"batch2_remaining12","*UMMI* Snack Lembang","23","11","5","7","6","3","2","0","0","0","0","0.636","9","0.818"
"batch2_remaining12","Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung","20","18","5","13","5","7","13","6","1","1","0","0.722","15","0.833"
"batch2_remaining12","Barokah Fresh Milk","30","15","4.6","8","12","5","1","1","0","1","1","0.533","15","1"
"batch2_remaining12","Bolu susu Lembang Cikole","21","13","4.85","4","6","5","2","4","0","0","0","0.308","10","0.769"
"batch2_remaining12","Brownies Susu Lembang - Ini Asli Lembang","21","11","4.18","7","6","5","4","2","0","4","1","0.636","10","0.909"
"batch2_remaining12","Bubunasnack","30","16","2.88","5","5","11","2","10","1","3","0","0.312","15","0.938"
"batch2_remaining12","Kangsule Kampoeng Susu Lembang","30","18","3.78","8","4","3","5","5","1","2","1","0.444","14","0.778"
"batch2_remaining12","Karma Oleh Oleh Bandung","30","17","4.41","11","1","5","10","3","1","1","0","0.647","14","0.824"
"batch2_remaining12","Pabrik Tahu PD Uties","30","13","4.85","9","8","0","2","0","0","0","0","0.692","9","0.692"
"batch2_remaining12","Pabrik Tahu Sibungsu","27","11","3.91","6","5","1","0","1","0","0","0","0.545","8","0.727"
"batch2_remaining12","PD.Bagus Tahu Dan Tempe Special","21","14","4.71","8","8","2","3","2","0","0","0","0.571","10","0.714"
"batch2_remaining12","Siliwangi Bolu Kukus Lembang, Bandung","26","18","4.83","8","12","4","3","6","1","0","1","0.444","16","0.889"
