"review_clean_id","review_batch","place_name","place_id","cid","category","address","stars","rating","text","text_translated","original_language","published_at","reviewer_name","reviewer_total_reviews","is_local_guide","review_url","source_url","review_usable","aspect_product","aspect_taste","aspect_price","aspect_packaging","aspect_service","aspect_queue","aspect_parking","aspect_tourism_context","aspect_count"
"OOREV2-20260609-0001","batch2_remaining12","Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung","ChIJo1ycr-zhaC4RXVsIG3wFtpk","11076046364151929693","Produsen makanan","Jl. Raya Tangkuban Parahu No. 17. Ds. Cibogo, Kec. Lembang, Cibogo, Barat, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","5",,"Tempat oleh-oleh haji & umrah terlengkap di lembang... Ada paket hampers yang keren banget isinya... MANTAP","","id","2026-05-24T08:41:38.615Z","Rinaldy Harisma Hidayat","11","False","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21NMGVGUkRNbW8yZUd3dFIyOW9VSFpxVFZSVFkyYxAB!2m1!1s0x0:0x99b6057c1b085b5d!3m1!1s2@1:CAIQACodChtycF9oOmM0eFRDMmo2eGwtR29oUHZqTVRTY2c%7C%7C?hl=id","https://www.google.com/maps/search/?api=1&query=Bakulsaudi%20%2F%20Grosir%20dan%20Gudang%20Kurma%20Bandung%20%2F%20Pusat%20Kurma%20Termurah%20Bandung%20%2F%20Pusat%20Oleh%20Oleh%20Haji%20Umroh%20Bandung&query_place_id=ChIJo1ycr-zhaC4RXVsIG3wFtpk","True","True","True","False","True","False","False","False","False","3"
"OOREV2-20260609-0002","batch2_remaining12","Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung","ChIJo1ycr-zhaC4RXVsIG3wFtpk","11076046364151929693","Produsen makanan","Jl. Raya Tangkuban Parahu No. 17. Ds. Cibogo, Kec. Lembang, Cibogo, Barat, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","5",,"Alhamdulillah dapet paket oleh oleh haji/umrah dengan harga sangat ekonomis dimulai dari 11rban aja . Yang kegiatan ke AMTC lembang jangan lupa beli oleh oleh di bakulsaudi","","id","2026-05-24T05:13:01.477Z","Ceu Elin","2","False","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT20weVRuWlNXbkl0V21KRVIyMVZSVnAxUmtVNFNrRRAB!2m1!1s0x0:0x99b6057c1b085b5d!3m1!1s2@1:CAIQACodChtycF9oOm0yTnZSWnItWmJER21VRVp1RkU4SkE%7C%7C?hl=id","https://www.google.com/maps/search/?api=1&query=Bakulsaudi%20%2F%20Grosir%20dan%20Gudang%20Kurma%20Bandung%20%2F%20Pusat%20Kurma%20Termurah%20Bandung%20%2F%20Pusat%20Oleh%20Oleh%20Haji%20Umroh%20Bandung&query_place_id=ChIJo1ycr-zhaC4RXVsIG3wFtpk","True","True","False","True","True","False","False","False","False","3"
"OOREV2-20260609-0003","batch2_remaining12","Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung","ChIJo1ycr-zhaC4RXVsIG3wFtpk","11076046364151929693","Produsen makanan","Jl. Raya Tangkuban Parahu No. 17. Ds. Cibogo, Kec. Lembang, Cibogo, Barat, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","5",,"Seneng banget belanja di toko bakulsaudi produknya banyak pilihan, next mau kesini lagi","","id","2026-05-24T05:02:32.507Z","Sri Utami (Uut)","1","False","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2twVlFtODNaMDlHTkU1UlYwRm9jbFZZWVZWM1UxRRAB!2m1!1s0x0:0x99b6057c1b085b5d!3m1!1s2@1:CAIQACodChtycF9oOkpVQm83Z09GNE5RV0FoclVYYVV3U1E%7C%7C?hl=id","https://www.google.com/maps/search/?api=1&query=Bakulsaudi%20%2F%20Grosir%20dan%20Gudang%20Kurma%20Bandung%20%2F%20Pusat%20Kurma%20Termurah%20Bandung%20%2F%20Pusat%20Oleh%20Oleh%20Haji%20Umroh%20Bandung&query_place_id=ChIJo1ycr-zhaC4RXVsIG3wFtpk","True","False","False","False","False","False","False","False","False","0"
"OOREV2-20260609-0004","batch2_remaining12","Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung","ChIJo1ycr-zhaC4RXVsIG3wFtpk","11076046364151929693","Produsen makanan","Jl. Raya Tangkuban Parahu No. 17. Ds. Cibogo, Kec. Lembang, Cibogo, Barat, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","5",,"Alhamdulillah sekarang Bakulsaudi ada toko offlinenya. Biasa beli online sekarang bisa liat langsung produk-produknya, pelayanannya juga bagus banget, selain dijelasin manfaatnya dikasih juga testernya. Bakulsaudi top dehðŸ‘ðŸ½ðŸ‘ðŸ½","","id","2026-05-24T02:18:04.336Z","sucimaulia","1","False","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25OMVpHdFVVM05DWVRSc1REazJUbVYzTlV3d1NVRRAB!2m1!1s0x0:0x99b6057c1b085b5d!3m1!1s2@1:CAIQACodChtycF9oOnN1ZGtUU3NCYTRsTDk2TmV3NUwwSUE%7C%7C?hl=id","https://www.google.com/maps/search/?api=1&query=Bakulsaudi%20%2F%20Grosir%20dan%20Gudang%20Kurma%20Bandung%20%2F%20Pusat%20Kurma%20Termurah%20Bandung%20%2F%20Pusat%20Oleh%20Oleh%20Haji%20Umroh%20Bandung&query_place_id=ChIJo1ycr-zhaC4RXVsIG3wFtpk","True","False","True","False","False","True","False","False","False","2"
"OOREV2-20260609-0005","batch2_remaining12","Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung","ChIJo1ycr-zhaC4RXVsIG3wFtpk","11076046364151929693","Produsen makanan","Jl. Raya Tangkuban Parahu No. 17. Ds. Cibogo, Kec. Lembang, Cibogo, Barat, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","5",,"Belanja langsung di offline store Bakulsaudi AMTC Lembang pengalaman nya nyaman banget. Tempatnya strategis, bersih, dan pilihan produk Timur Tengah lengkap mulai dari kurma,herbal, sampai oleh-oleh haji & umrah tersedia banyak pilihan. Pelayanannya ramah dan membantu saat memilih produk, harga juga bersahabat untuk ecer maupun grosir. Cocok buat kebutuhan pribadi, travel umrah, reseller, atau cari hampers oleh-oleh premium. Recommended banget buat warga Lembang dan Bandung ðŸ‘","","id","2026-05-24T01:40:36.617Z","jimmy wahyudio","1","False","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pRMU1uTjZaVEV5VWxoaGNYaDZNRGhvVERscmVHYxAB!2m1!1s0x0:0x99b6057c1b085b5d!3m1!1s2@1:CAIQACodChtycF9oOjQ1MnN6ZTEyUlhhcXh6MDhoTDlreGc%7C%7C?hl=id","https://www.google.com/maps/search/?api=1&query=Bakulsaudi%20%2F%20Grosir%20dan%20Gudang%20Kurma%20Bandung%20%2F%20Pusat%20Kurma%20Termurah%20Bandung%20%2F%20Pusat%20Oleh%20Oleh%20Haji%20Umroh%20Bandung&query_place_id=ChIJo1ycr-zhaC4RXVsIG3wFtpk","True","True","False","True","True","True","False","False","False","4"
"OOREV2-20260609-0006","batch2_remaining12","Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung","ChIJo1ycr-zhaC4RXVsIG3wFtpk","11076046364151929693","Produsen makanan","Jl. Raya Tangkuban Parahu No. 17. Ds. Cibogo, Kec. Lembang, Cibogo, Barat, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","5",,"Oleh oleh lengkap harga hemat","","id","2026-05-23T04:27:32.524Z","Oyum Komalasari","3","False","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tGeVpXdGpXbkZJUTJ0NkxTMXNZMHh1TTBaVE1WRRAB!2m1!1s0x0:0x99b6057c1b085b5d!3m1!1s2@1:CAIQACodChtycF9oOkFyZWtjWnFIQ2t6LS1sY0xuM0ZTMVE%7C%7C?hl=id","https://www.google.com/maps/search/?api=1&query=Bakulsaudi%20%2F%20Grosir%20dan%20Gudang%20Kurma%20Bandung%20%2F%20Pusat%20Kurma%20Termurah%20Bandung%20%2F%20Pusat%20Oleh%20Oleh%20Haji%20Umroh%20Bandung&query_place_id=ChIJo1ycr-zhaC4RXVsIG3wFtpk","True","True","False","True","True","False","False","False","False","3"
"OOREV2-20260609-0007","batch2_remaining12","Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung","ChIJo1ycr-zhaC4RXVsIG3wFtpk","11076046364151929693","Produsen makanan","Jl. Raya Tangkuban Parahu No. 17. Ds. Cibogo, Kec. Lembang, Cibogo, Barat, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","5",,"Garam himalaya bermanfaat untuk kesehatan lho","","id","2026-05-23T03:58:58.524Z","Widia Astuti","2","False","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pNMlVVUkJNRWsxV21KWFptOUlTM2gwZDBzMmNuYxAB!2m1!1s0x0:0x99b6057c1b085b5d!3m1!1s2@1:CAIQACodChtycF9oOjM2UURBMEk1WmJXZm9IS3h0d0s2cnc%7C%7C?hl=id","https://www.google.com/maps/search/?api=1&query=Bakulsaudi%20%2F%20Grosir%20dan%20Gudang%20Kurma%20Bandung%20%2F%20Pusat%20Kurma%20Termurah%20Bandung%20%2F%20Pusat%20Oleh%20Oleh%20Haji%20Umroh%20Bandung&query_place_id=ChIJo1ycr-zhaC4RXVsIG3wFtpk","True","False","False","False","False","False","False","False","False","0"
"OOREV2-20260609-0008","batch2_remaining12","Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung","ChIJo1ycr-zhaC4RXVsIG3wFtpk","11076046364151929693","Produsen makanan","Jl. Raya Tangkuban Parahu No. 17. Ds. Cibogo, Kec. Lembang, Cibogo, Barat, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","5",,"tempatnya enak, luas, bersih, kurmanya manis. terimakasih Bakulsaudi ðŸ˜ŠðŸ˜ŠðŸ˜Š","","id","2026-05-23T03:04:45.405Z","Trii Kokkeina","4","False","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25wT1dIWk9YMDh5TXpnek9HdEZhbEJOVm1KRGJFRRAB!2m1!1s0x0:0x99b6057c1b085b5d!3m1!1s2@1:CAIQACodChtycF9oOnpOWHZOX08yMzgzOGtFalBNVmJDbEE%7C%7C?hl=id","https://www.google.com/maps/search/?api=1&query=Bakulsaudi%20%2F%20Grosir%20dan%20Gudang%20Kurma%20Bandung%20%2F%20Pusat%20Kurma%20Termurah%20Bandung%20%2F%20Pusat%20Oleh%20Oleh%20Haji%20Umroh%20Bandung&query_place_id=ChIJo1ycr-zhaC4RXVsIG3wFtpk","True","True","True","False","False","False","False","False","False","2"
"OOREV2-20260609-0009","batch2_remaining12","Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung","ChIJo1ycr-zhaC4RXVsIG3wFtpk","11076046364151929693","Produsen makanan","Jl. Raya Tangkuban Parahu No. 17. Ds. Cibogo, Kec. Lembang, Cibogo, Barat, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","5",,"Alhamdulillah produk bagus","","id","2026-05-23T02:57:21.867Z","sies yean","2","False","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25KalgwOUxOREk1VlZKMlRFWnBNWEYyZDJabFQxRRAB!2m1!1s0x0:0x99b6057c1b085b5d!3m1!1s2@1:CAIQACodChtycF9oOnJjX09LNDI5VVJ2TEZpMXF2d2ZlT1E%7C%7C?hl=id","https://www.google.com/maps/search/?api=1&query=Bakulsaudi%20%2F%20Grosir%20dan%20Gudang%20Kurma%20Bandung%20%2F%20Pusat%20Kurma%20Termurah%20Bandung%20%2F%20Pusat%20Oleh%20Oleh%20Haji%20Umroh%20Bandung&query_place_id=ChIJo1ycr-zhaC4RXVsIG3wFtpk","True","False","False","False","False","False","False","False","False","0"
"OOREV2-20260609-0010","batch2_remaining12","Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung","ChIJo1ycr-zhaC4RXVsIG3wFtpk","11076046364151929693","Produsen makanan","Jl. Raya Tangkuban Parahu No. 17. Ds. Cibogo, Kec. Lembang, Cibogo, Barat, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","5",,"one-stop shopping untuk oleh-oleh haji dan umrah. Produk lengkap, kurma berkualitas, harga kompetitif, dan pelayanan ramah. Pengemasan paketnya sangat rapi. recommended!","","id","2026-05-22T11:06:22.221Z","kiki rizki","3","False","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21kTmRVWmpZMk5hUzA1WFZGVmtXREZDTkhwWGFVRRAB!2m1!1s0x0:0x99b6057c1b085b5d!3m1!1s2@1:CAIQACodChtycF9oOmdNdUZjY2NaS05XVFVkWDFCNHpXaUE%7C%7C?hl=id","https://www.google.com/maps/search/?api=1&query=Bakulsaudi%20%2F%20Grosir%20dan%20Gudang%20Kurma%20Bandung%20%2F%20Pusat%20Kurma%20Termurah%20Bandung%20%2F%20Pusat%20Oleh%20Oleh%20Haji%20Umroh%20Bandung&query_place_id=ChIJo1ycr-zhaC4RXVsIG3wFtpk","True","True","False","True","True","True","False","False","False","4"
"OOREV2-20260609-0011","batch2_remaining12","Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung","ChIJo1ycr-zhaC4RXVsIG3wFtpk","11076046364151929693","Produsen makanan","Jl. Raya Tangkuban Parahu No. 17. Ds. Cibogo, Kec. Lembang, Cibogo, Barat, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","5",,"suka banget sama mini pack dan bingkisan uniknyaaaa, cocokk buat dijadiin oleh oleh haji. sangatt recommendedðŸ˜","","id","2026-05-22T09:50:16.356Z","reva","1","False","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT205ZlQxZHVSMTlWYmxSQ1h6WmhaRlJzZWpCZmNsRRAB!2m1!1s0x0:0x99b6057c1b085b5d!3m1!1s2@1:CAIQACodChtycF9oOm9fT1duR19VblRCXzZhZFRsejBfclE%7C%7C?hl=id","https://www.google.com/maps/search/?api=1&query=Bakulsaudi%20%2F%20Grosir%20dan%20Gudang%20Kurma%20Bandung%20%2F%20Pusat%20Kurma%20Termurah%20Bandung%20%2F%20Pusat%20Oleh%20Oleh%20Haji%20Umroh%20Bandung&query_place_id=ChIJo1ycr-zhaC4RXVsIG3wFtpk","True","True","False","False","True","False","False","False","False","2"
