"review_batch","place_name","raw_reviews","text_reviews","avg_text_review_stars","product_mention_ratio","aspect_useful_ratio","tourism_context_mentions","sentiment_readiness","readiness_reason"
"batch2_remaining12","*UMMI* Snack Lembang","23","11","5","0.636","0.818","0","weak","review teks atau sinyal produk masih rendah"
"batch2_remaining12","Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung","20","18","5","0.722","0.833","0","medium","cukup untuk uji awal, tapi belum kuat untuk final"
"batch2_remaining12","Barokah Fresh Milk","30","15","4.6","0.533","1","1","medium","cukup untuk uji awal, tapi belum kuat untuk final"
"batch2_remaining12","Bolu susu Lembang Cikole","21","13","4.85","0.308","0.769","0","medium","cukup untuk uji awal, tapi belum kuat untuk final"
"batch2_remaining12","Brownies Susu Lembang - Ini Asli Lembang","21","11","4.18","0.636","0.909","1","weak","review teks atau sinyal produk masih rendah"
"batch2_remaining12","Bubunasnack","30","16","2.88","0.312","0.938","0","medium","cukup untuk uji awal, tapi belum kuat untuk final"
"batch2_remaining12","Kangsule Kampoeng Susu Lembang","30","18","3.78","0.444","0.778","1","medium","cukup untuk uji awal, tapi belum kuat untuk final"
"batch2_remaining12","Karma Oleh Oleh Bandung","30","17","4.41","0.647","0.824","0","medium","cukup untuk uji awal, tapi belum kuat untuk final"
"batch2_remaining12","Pabrik Tahu PD Uties","30","13","4.85","0.692","0.692","0","medium","cukup untuk uji awal, tapi belum kuat untuk final"
"batch2_remaining12","Pabrik Tahu Sibungsu","27","11","3.91","0.545","0.727","0","weak","review teks atau sinyal produk masih rendah"
"batch2_remaining12","PD.Bagus Tahu Dan Tempe Special","21","14","4.71","0.571","0.714","0","medium","cukup untuk uji awal, tapi belum kuat untuk final"
"batch2_remaining12","Siliwangi Bolu Kukus Lembang, Bandung","26","18","4.83","0.444","0.889","1","medium","cukup untuk uji awal, tapi belum kuat untuk final"
