"place_name","text_reviews","avg_text_review_stars","product_mentions","taste_mentions","price_mentions","packaging_mentions","service_mentions","queue_mentions","parking_mentions","tourism_context_mentions","product_mention_ratio","aspect_useful_reviews","aspect_useful_ratio"
"*UMMI* Snack Lembang","11","5","7","6","3","2","0","0","0","0","0.636","9","0.818"
"Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung","18","5","13","5","7","13","6","1","1","0","0.722","15","0.833"
"Bandung Miyucheeze","23","4.91","6","20","8","2","5","1","1","1","0.261","22","0.957"
"Barokah Fresh Milk","15","4.6","8","12","5","1","1","0","1","1","0.533","15","1"
"Bolu susu Lembang Cikole","13","4.85","4","6","5","2","4","0","0","0","0.308","10","0.769"
"Brownies Susu Lembang - Ini Asli Lembang","11","4.18","7","6","5","4","2","0","4","1","0.636","10","0.909"
"Bubunasnack","16","2.88","5","5","11","2","10","1","3","0","0.312","15","0.938"
"Central Snack","17","3.76","6","6","11","1","7","1","1","2","0.353","16","0.941"
"Donatsu - Donat Susu Lembang","28","5","17","23","2","1","18","0","0","0","0.607","28","1"
"Kangsule Kampoeng Susu Lembang","18","3.78","8","4","3","5","5","1","2","1","0.444","14","0.778"
"Karma Oleh Oleh Bandung","17","4.41","11","1","5","10","3","1","1","0","0.647","14","0.824"
"Kartika Sari Lembang","19","4.37","9","4","1","8","2","2","3","1","0.474","15","0.789"
"Keripik Tempe Tembul","29","4.66","12","24","7","6","8","3","0","0","0.414","27","0.931"
"Kue Balok Jaya Giri","15","4.6","9","9","1","1","1","1","1","0","0.6","13","0.867"
"Pabrik Bolu Susu Lembang","17","4.12","10","11","8","6","6","1","1","2","0.588","15","0.882"
"Pabrik Tahu PD Uties","13","4.85","9","8","0","2","0","0","0","0","0.692","9","0.692"
"Pabrik Tahu Sibungsu","11","3.91","6","5","1","0","1","0","0","0","0.545","8","0.727"
"PD.Bagus Tahu Dan Tempe Special","14","4.71","8","8","2","3","2","0","0","0","0.571","10","0.714"
"Serba Susu Lembang","22","4.36","13","11","3","9","5","1","2","1","0.591","18","0.818"
"Siliwangi Bolu Kukus Lembang, Bandung","18","4.83","8","12","4","3","6","1","0","1","0.444","16","0.889"
"Susu Murni KPSBU Lembang","12","4.92","9","4","3","3","2","1","2","0","0.75","12","1"
"Toko Kasohor Almond Crispy Cheese Bandung","15","4.73","4","7","8","3","1","1","0","1","0.267","12","0.8"
