"review_clean_id","place_name","place_id","cid","category","address","stars","rating","text","text_translated","original_language","published_at","reviewer_name","reviewer_total_reviews","is_local_guide","review_url","source_url","review_usable","aspect_product","aspect_taste","aspect_price","aspect_packaging","aspect_service","aspect_queue","aspect_parking","aspect_tourism_context","aspect_count","review_batch"
"OOREV-20260609-0001","Donatsu - Donat Susu Lembang","ChIJi7Sm-CHhaC4RXfVvX8XFJlE","5847578617687569757","Toko Donat","Jl. Raya Lembang No.410, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","5","","pelayanannya bagus ramah dan donatnya enak lembut manis nya pas","","id","2026-06-09T11:38:32.215Z","Also Aer","0","False","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2paNlNUWlhhV1psTnpCTWF6SllTMEpMVGxGUVZuYxAB!2m1!1s0x0:0x5126c5c55f6ff55d!3m1!1s2@1:CAIQACodChtycF9oOjZ6STZXaWZlNzBMazJYS0JLTlFQVnc%7C%7C?hl=id","https://www.google.com/maps/search/?api=1&query=Donatsu%20-%20Donat%20Susu%20Lembang&query_place_id=ChIJi7Sm-CHhaC4RXfVvX8XFJlE","True","True","True","False","False","True","False","False","False","3","batch1_test10"
"OOREV-20260609-0002","Donatsu - Donat Susu Lembang","ChIJi7Sm-CHhaC4RXfVvX8XFJlE","5847578617687569757","Toko Donat","Jl. Raya Lembang No.410, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","5","","Donatnya empuk. Anak anak suka bgt pilih kreasi donatnya. ðŸ‘","","id","2026-06-08T03:27:59.858Z","Akhmad Shofwan Ramdhan J","2","False","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25SNE5XaDVTMGhJUTNNd1dHTmZjMHhOYW1SV2VuYxAB!2m1!1s0x0:0x5126c5c55f6ff55d!3m1!1s2@1:CAIQACodChtycF9oOnR4NWh5S0hIQ3MwWGNfc0xNamRWenc%7C%7C?hl=id","https://www.google.com/maps/search/?api=1&query=Donatsu%20-%20Donat%20Susu%20Lembang&query_place_id=ChIJi7Sm-CHhaC4RXfVvX8XFJlE","True","True","True","False","False","False","False","False","False","2","batch1_test10"
"OOREV-20260609-0003","Donatsu - Donat Susu Lembang","ChIJi7Sm-CHhaC4RXfVvX8XFJlE","5847578617687569757","Toko Donat","Jl. Raya Lembang No.410, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","5","","Donatnya enak dan banyak variannya,pelayananya mantap","","id","2026-06-07T02:31:03.346Z","Andi Andi","3","False","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2s5eGNFUjZkRmx2TmxkeVoxbGpXVEJXUkRFelMxRRAB!2m1!1s0x0:0x5126c5c55f6ff55d!3m1!1s2@1:CAIQACodChtycF9oOk9xcER6dFlvNldyZ1ljWTBWRDEzS1E%7C%7C?hl=id","https://www.google.com/maps/search/?api=1&query=Donatsu%20-%20Donat%20Susu%20Lembang&query_place_id=ChIJi7Sm-CHhaC4RXfVvX8XFJlE","True","True","True","False","False","True","False","False","False","3","batch1_test10"
"OOREV-20260609-0004","Donatsu - Donat Susu Lembang","ChIJi7Sm-CHhaC4RXfVvX8XFJlE","5847578617687569757","Toko Donat","Jl. Raya Lembang No.410, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","5","","Donatnya enak dan pelayanan nya okee banget","","id","2026-06-05T06:54:43.472Z","Selestiani","3","False","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21ndGIxQTRMVXBrYTNWUFNVNXVibUpSTUVaQ01XYxAB!2m1!1s0x0:0x5126c5c55f6ff55d!3m1!1s2@1:CAIQACodChtycF9oOmgtb1A4LUpka3VPSU5ubmJRMEZCMWc%7C%7C?hl=id","https://www.google.com/maps/search/?api=1&query=Donatsu%20-%20Donat%20Susu%20Lembang&query_place_id=ChIJi7Sm-CHhaC4RXfVvX8XFJlE","True","True","True","False","False","True","False","False","False","3","batch1_test10"
"OOREV-20260609-0005","Donatsu - Donat Susu Lembang","ChIJi7Sm-CHhaC4RXfVvX8XFJlE","5847578617687569757","Toko Donat","Jl. Raya Lembang No.410, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","5","","Donatnyaaaa enak manisnya pas, pelayanannya sangat baikk, linhkungan jgaa bersihh ðŸ¤ðŸ»","","id","2026-06-05T06:34:56.542Z","Wida Nursaadah","4","False","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pSZk5FTTNhVGxUWWtVMVJtdHhYekZRUm1OcVRXYxAB!2m1!1s0x0:0x5126c5c55f6ff55d!3m1!1s2@1:CAIQACodChtycF9oOjRfNEM3aTlTYkU1RmtxXzFQRmNqTWc%7C%7C?hl=id","https://www.google.com/maps/search/?api=1&query=Donatsu%20-%20Donat%20Susu%20Lembang&query_place_id=ChIJi7Sm-CHhaC4RXfVvX8XFJlE","True","True","True","False","False","True","False","False","False","3","batch1_test10"
"OOREV-20260609-0006","Donatsu - Donat Susu Lembang","ChIJi7Sm-CHhaC4RXfVvX8XFJlE","5847578617687569757","Toko Donat","Jl. Raya Lembang No.410, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","5","","Donatnya enak, banyak varian rasanya. Pelayanannya juga sangat ramah","","id","2026-06-05T06:34:49.218Z","Tiara Ap","1","False","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25kRk5YUjJNbXB1ZG5KVmNsbE5TVWRtUmtNeExVRRAB!2m1!1s0x0:0x5126c5c55f6ff55d!3m1!1s2@1:CAIQACodChtycF9oOndFNXR2MmpudnJVcllNSUdmRkMxLUE%7C%7C?hl=id","https://www.google.com/maps/search/?api=1&query=Donatsu%20-%20Donat%20Susu%20Lembang&query_place_id=ChIJi7Sm-CHhaC4RXfVvX8XFJlE","True","True","True","False","False","True","False","False","False","3","batch1_test10"
"OOREV-20260609-0007","Donatsu - Donat Susu Lembang","ChIJi7Sm-CHhaC4RXfVvX8XFJlE","5847578617687569757","Toko Donat","Jl. Raya Lembang No.410, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","5","","Pelayanannya baikkðŸ¤©","","id","2026-06-05T06:34:02.871Z","Vanesa Olivia","1","False","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25oM01sRXRTVzVaYTFCUWNWQTFNMUpHTTIweVFXYxAB!2m1!1s0x0:0x5126c5c55f6ff55d!3m1!1s2@1:CAIQACodChtycF9oOnh3MlEtSW5Za1BQcVA1M1JGM20yQWc%7C%7C?hl=id","https://www.google.com/maps/search/?api=1&query=Donatsu%20-%20Donat%20Susu%20Lembang&query_place_id=ChIJi7Sm-CHhaC4RXfVvX8XFJlE","True","False","False","False","False","True","False","False","False","1","batch1_test10"
"OOREV-20260609-0008","Donatsu - Donat Susu Lembang","ChIJi7Sm-CHhaC4RXfVvX8XFJlE","5847578617687569757","Toko Donat","Jl. Raya Lembang No.410, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","5","","Enak guys recomend","","id","2026-06-05T06:33:56.537Z","Winda Sri Yunita","1","False","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pod01UaGFRVWRmVjNaUGRUazFUSEZzZW1aWWEwRRAB!2m1!1s0x0:0x5126c5c55f6ff55d!3m1!1s2@1:CAIQACodChtycF9oOjhwMThaQUdfV3ZPdTk1THFsemZYa0E%7C%7C?hl=id","https://www.google.com/maps/search/?api=1&query=Donatsu%20-%20Donat%20Susu%20Lembang&query_place_id=ChIJi7Sm-CHhaC4RXfVvX8XFJlE","True","False","True","False","False","False","False","False","False","1","batch1_test10"
"OOREV-20260609-0009","Donatsu - Donat Susu Lembang","ChIJi7Sm-CHhaC4RXfVvX8XFJlE","5847578617687569757","Toko Donat","Jl. Raya Lembang No.410, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","5","","enakk, baikk tetehhya, bersih.. pelayanannya cepet ðŸ¤","","id","2026-06-03T12:32:35.141Z","nnomiips","1","False","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT201NWVqTjBjM0ZqVGpod2ExTjRaazFpVnpRd1JHYxAB!2m1!1s0x0:0x5126c5c55f6ff55d!3m1!1s2@1:CAIQACodChtycF9oOm55ejN0c3FjTjhwa1N4Zk1iVzQwRGc%7C%7C?hl=id","https://www.google.com/maps/search/?api=1&query=Donatsu%20-%20Donat%20Susu%20Lembang&query_place_id=ChIJi7Sm-CHhaC4RXfVvX8XFJlE","True","False","True","False","False","True","False","False","False","2","batch1_test10"
"OOREV-20260609-0010","Donatsu - Donat Susu Lembang","ChIJi7Sm-CHhaC4RXfVvX8XFJlE","5847578617687569757","Toko Donat","Jl. Raya Lembang No.410, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia","5","","sukaa banget samaa suasanaa nya, pelayanannya ramah.. tetehnya cantik.. rasanya lengkap ðŸ¤","","id","2026-06-03T12:30:56.679Z","naomi","2","False","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xGeGVVdzVZMkp2TVhBMFpHSTNVbEJFTUdaWFZYYxAB!2m1!1s0x0:0x5126c5c55f6ff55d!3m1!1s2@1:CAIQACodChtycF9oOlFxeUw5Y2JvMXA0ZGI3UlBEMGZXVXc%7C%7C?hl=id","https://www.google.com/maps/search/?api=1&query=Donatsu%20-%20Donat%20Susu%20Lembang&query_place_id=ChIJi7Sm-CHhaC4RXfVvX8XFJlE","True","False","True","False","False","True","False","False","False","2","batch1_test10"
