"name","manual_recommendation_status","main_recommendation_eligible","severity","issues","price_range_manual","price_min_idr","price_max_idr","price_has_plus","price_bucket_from_min","price_confidence_normalized","durability_normalized","manual_status_normalized","evidence_source_manual"
"Donatsu - Donat Susu Lembang","active","True","OK","","Rp 40.000 - Rp 90.000","40000","90000","False","<50k","high","rendah","complete","Google Food/GoFood"
"Serba Susu Lembang","active","True","OK","","Rp 15.000 - Rp 85.000","15000","85000","False","<50k","high","tinggi","complete","Shopee/Blibli"
"Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung","active","True","OK","","Rp 35.000 - Rp 300.000+","35000","300000","True","<50k","medium","tinggi","complete","General Knowledge (Toko Kurma)"
"Bandung Miyucheeze","active","True","P2","evidence_general_knowledge_only","Rp 50.000 - Rp 100.000","50000","100000","False","50k-100k","medium","sedang","complete","General Knowledge"
"Karma Oleh Oleh Bandung","active","True","P2","evidence_general_knowledge_only","Rp 10.000 - Rp 150.000","10000","150000","False","<50k","high","tinggi","complete","General Knowledge"
"Keripik Tempe Tembul","active","True","P2","evidence_general_knowledge_only","Rp 15.000 - Rp 35.000","15000","35000","False","<50k","high","tinggi","complete","General Knowledge"
"Siliwangi Bolu Kukus Lembang, Bandung","active","True","OK","","Rp 34.000 - Rp 47.000","34000","47000","False","<50k","high","sedang","complete","GoFood/Internet"
"Barokah Fresh Milk","active","True","P2","evidence_general_knowledge_only","Rp 10.000 - Rp 25.000","10000","25000","False","<50k","medium","sedang","complete","General Knowledge"
"Pabrik Bolu Susu Lembang","active","True","OK","","Rp 35.000 - Rp 55.000","35000","55000","False","<50k","high","sedang","complete","Shopee/ResearchGate/GoFood"
"Pabrik Tahu PD Uties","active","True","P2","evidence_general_knowledge_only","Rp 5.000 - Rp 25.000","5000","25000","False","<50k","medium","rendah","complete","General Knowledge"
"PD.Bagus Tahu Dan Tempe Special","active","True","P2","evidence_general_knowledge_only","Rp 10.000 - Rp 30.000","10000","30000","False","<50k","medium","rendah","complete","General Knowledge"
"Susu Murni KPSBU Lembang","active","True","P2","evidence_general_knowledge_only","Rp 12.000 - Rp 35.000","12000","35000","False","<50k","high","sedang","complete","General Knowledge"
"Kue Balok Jaya Giri","active","True","P2","evidence_general_knowledge_only","Rp 20.000 - Rp 35.000","20000","35000","False","<50k","medium","rendah","complete","General Knowledge"
"Kartika Sari Lembang","active","True","P2","evidence_general_knowledge_only","Rp 50.000 - Rp 120.000","50000","120000","False","50k-100k","high","sedang","complete","General Knowledge"
"*UMMI* Snack Lembang","active","True","P2","evidence_general_knowledge_only","Rp 15.000 - Rp 45.000","15000","45000","False","<50k","medium","tinggi","complete","General Knowledge"
"Bolu susu Lembang Cikole","active","True","P2","evidence_general_knowledge_only","Rp 35.000 - Rp 55.000","35000","55000","False","<50k","high","sedang","complete","General Knowledge"
"Central Snack","active","True","P2","evidence_general_knowledge_only","Rp 10.000 - Rp 40.000","10000","40000","False","<50k","medium","tinggi","complete","General Knowledge"
"Brownies Susu Lembang - Ini Asli Lembang","active","True","P2","evidence_general_knowledge_only","Rp 35.000 - Rp 60.000","35000","60000","False","<50k","medium","sedang","complete","General Knowledge"
"Toko Kasohor Almond Crispy Cheese Bandung","active","True","P2","evidence_general_knowledge_only","Rp 45.000 - Rp 80.000","45000","80000","False","<50k","high","tinggi","complete","General Knowledge"
"Kangsule Kampoeng Susu Lembang","needs_review","False","P2","evidence_general_knowledge_only; metadata_complete_but_not_main_eligible","Rp 10.000 - Rp 50.000","10000","50000","False","<50k","medium","tinggi","complete","General Knowledge"
"Pabrik Tahu Sibungsu","held_manual","False","P2","evidence_general_knowledge_only; metadata_complete_but_not_main_eligible","Rp 15.000 - Rp 30.000","15000","30000","False","<50k","medium","rendah","complete","General Knowledge"
"Bubunasnack","active_low_rank","True","P2","evidence_general_knowledge_only; metadata_complete_but_low_rank","Rp 15.000 - Rp 35.000","15000","35000","False","<50k","medium","tinggi","complete","General Knowledge"
