hotel_id,source_property_token,source_page_number,name,raw_type,property_segment,is_room_level_listing,is_apartment_listing,is_budget_chain_listing,latitude,longitude,coordinate_available,description,source_link,check_in_time,check_out_time,price_lowest,price_before_taxes_fees,price_display,hotel_class,hotel_class_label,overall_rating,reviews,location_rating,star_5_count,star_4_count,star_3_count,star_2_count,star_1_count,rating_distribution_total,positive_rating_ratio,neutral_rating_ratio,negative_rating_ratio,rating_sentiment_score,adjusted_rating_sentiment_score,rating_sentiment_label,review_confidence_label,review_count_p95,rating_sentiment_source,rating_sentiment_model_version,amenities,primary_image_url,image_count,nearby_places_count,review_breakdown_aspect_count,review_breakdown_positive,review_breakdown_negative,review_breakdown_neutral,review_breakdown_top_aspects,image_available,rating_available,price_available,amenities_available,description_available,source_link_available,checkin_checkout_available,hotel_class_available,reviews_breakdown_available,has_wifi,has_parking,has_pool,has_air_conditioning,has_restaurant,has_room_service,has_laundry,wheelchair_accessible,kid_friendly,pet_friendly,smoke_free,kitchen_available,data_quality_score,canonical_source,generated_at,rating_sentiment_prior_score,rating_sentiment_shrinkage_strength,adjusted_rating_sentiment_label
HOTEL-001,ChkIhpbLk4319qOQARoML2cvMTJobXA2NnZiEAE,1,Valore Hotel Cimahi,hotel,hotel,False,False,False,-6.8977855,107.5370591,True,"Hotel santai yang menawarkan restoran kasual, kolam renang outdoor, dan gym, plus sarapan gratis.",http://valorebaros.com/,14,12,327472,270624,Rp 327.472,3,Hotel bintang 3,4.0,2426,3.7,1135,628,396,122,145,2426,0.7267106347897774,0.16323165704863973,0.11005770816158285,0.6166529266281945,0.6183,Sangat Positif,high_review_confidence,582.2,rating_distribution,hotel_rating_sentiment_v1,"Breakfast, Free Wi-Fi, Parking, Outdoor pool, Air conditioning, Fitness center, Restaurant, Room service, Full-service laundry, Accessible, Kid-friendly",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFP084BKWqyLzkTcRhZp_D1RtfYGtZYE1MwtN65UZ4A_CmwWBo4W6x9U5_UBNUQAxmO1QA9gJ0XvTFMDeE7E6QqMBprHh4w134L0l2lNaViJiyMgRDnJqesxJ8e3NGyhXZ6vG4=s10000,9,3,5,65,41,11,Properti; Lokasi; Kamar; Tidur; Sarapan,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,1.0,dataset_hotel/dataset_hotel_cimahi_semua_kolom (2).csv,2026-05-29T06:18:52.483544Z,0.6377,50.0,Sangat Positif
HOTEL-002,ChoIsey75unY18asARoNL2cvMTFzYzdscWNxNBAB,1,HOTEL PARAHYANGAN,hotel,hotel,False,False,False,-6.9112319,107.5784938,True,,https://instagram.com/hotelparahyanganbandung?igshid=YmMyMTA2M2Y=,14,,155872,141704,Rp 155.872,,,3.9,373,3.3,211,55,28,17,62,373,0.7131367292225201,0.07506702412868632,0.21179624664879357,0.5013404825737265,0.5175,Positif,high_review_confidence,582.2,rating_distribution,hotel_rating_sentiment_v1,"Breakfast, Free Wi-Fi, Free parking, Pool, Full-service laundry",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGFoYvrGe6nJPPNJMpWG9YfbbQnOvYV7IGoSaobpxYaINh34n-5kcAyRtvQ7uI8xM7kHLL18tCHem7AwReaU1n_YF5x4mIPfafZPkLD586uRnaTa0BGbrI09GT7VR8CV8zgTnoR=s10000,9,3,0,0,0,0,,True,True,True,True,False,True,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,0.78,dataset_hotel/dataset_hotel_cimahi_semua_kolom (2).csv,2026-05-29T06:18:52.484094Z,0.6377,50.0,Positif
HOTEL-003,ChoI_r-itfLm_86iARoNL2cvMTF2ZGgxczByaBAB,1,The Cluster Harris,hotel,hotel,False,False,False,-6.8948241,107.5397126,True,,http://bit.ly/TheClusterHarris,14,12,293936,240744,Rp 293.936,,,4.5,57,3.8,43,7,4,1,2,57,0.8771929824561403,0.07017543859649122,0.05263157894736842,0.8245614035087718,0.7372,Sangat Positif,medium_review_confidence,582.2,rating_distribution,hotel_rating_sentiment_v1,"Breakfast ($), Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Full-service laundry, Smoke-free property",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFd8t2l5_NBVLh2I_nnz0EH9fqNX1XAF8rYevQDgVX-zcWiLNnt4f0AdkLu_ICtbgC4KrDSQ3k9-9IXTiakM8myc0tqNeVhUJUSXSIWbsZdpFo5w3gJOEo2-iME9s6pzE468IDjKQ=s10000,9,3,0,0,0,0,,True,True,True,True,False,True,True,False,False,True,True,False,True,True,True,True,False,False,False,True,False,0.84,dataset_hotel/dataset_hotel_cimahi_semua_kolom (2).csv,2026-05-29T06:18:52.484555Z,0.6377,50.0,Sangat Positif
HOTEL-004,ChoIlomK3OPc-9PSARoNL2cvMTFzZ3Z2c2RsZBAB,1,Andalucia Lodge & Brunch Bandung,hotel,hotel,False,False,False,-6.8925826,107.5744608,True,"Hotel sederhana yang menawarkan restoran cepat saji & teras atap, ditambah Wi-Fi & tempat parkir.",https://bookingku.bookandlink.com/booking-page.php?id=andalucia-lodge-brunch,,12,291744,238944,Rp 291.744,,,4.7,235,3.4,185,32,12,0,6,235,0.9234042553191489,0.05106382978723404,0.02553191489361702,0.8978723404255319,0.8522,Sangat Positif,high_review_confidence,582.2,rating_distribution,hotel_rating_sentiment_v1,"Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHOgVVUW_Yym-NnlaolL7ScCXDYC5FzDtF8aHiMyZAFyskwpc6FnABIsxkb9mX08_5auM1MOxfnbWKxyZ2UTF2G-6vKi2B03kBVXvPXDIrNep8VYB_8IelEW90IW0Gpq0qbBRcx=s10000,9,4,3,18,0,1,Properti; Kamar; Layanan,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,False,False,False,False,False,False,0.9,dataset_hotel/dataset_hotel_cimahi_semua_kolom (2).csv,2026-05-29T06:18:52.484785Z,0.6377,50.0,Sangat Positif
HOTEL-005,ChkI4ODEh_6yjekpGg0vZy8xMW1kcGdkYnA4EAE,1,Asthaloka,hotel,hotel,False,False,False,-6.8938506,107.5735287,True,,,14,12,288880,238752,Rp 288.880,,,4.9,362,3.3,333,18,3,2,6,362,0.9696132596685083,0.008287292817679558,0.022099447513812154,0.9475138121546962,0.9099,Sangat Positif,high_review_confidence,582.2,rating_distribution,hotel_rating_sentiment_v1,"Free Wi-Fi, Free parking, Air conditioning, Accessible",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHn9C_xT5sx66cfsNqI1I93KyiiTLz3ltMrSWyuaYiqeAxFLbe9WWEyrQhN44Q5TLc-i70i1F6UJ3v_ycIAfRQtZw2PXtORBwye-cuogMPPXWWZ0doi6koPNQnyMoPh7XLVMJ0yaFf1NQ0=s10000,9,4,5,31,4,1,Layanan; Tidur; Kebersihan; Properti; Lokasi,True,True,True,True,False,False,True,False,True,True,True,False,True,False,False,False,True,False,False,False,False,0.82,dataset_hotel/dataset_hotel_cimahi_semua_kolom (2).csv,2026-05-29T06:18:52.485024Z,0.6377,50.0,Sangat Positif
HOTEL-006,ChkImM3K_bPfx9khGg0vZy8xMWhqMW5idjJjEAE,1,Sari Ater Kamboti Bandung,hotel,hotel,False,False,False,-6.883268,107.5801017,True,"Kamar & suite bernuansa hangat, beberapa dilengkapi dapur, di hotel santai yang menawarkan sarapan & restoran.",https://sariaterkamboti.com/,14,12,347296,287024,Rp 347.296,4,Hotel bintang 4,4.6,1808,4.5,1248,395,113,20,32,1808,0.9087389380530974,0.0625,0.028761061946902654,0.8799778761061947,0.8608,Sangat Positif,high_review_confidence,582.2,rating_distribution,hotel_rating_sentiment_v1,"Breakfast ($), Free Wi-Fi, Parking ($), Outdoor pool, Air conditioning, Fitness center, Spa, Bar, Restaurant, Room service, Kitchen in some rooms, Airport shuttle, Full-service laundry, Accessible, Business center",https://lh3.googleusercontent.com/gps-cs-s/APNQkAG8BZl8qDEFuPrz3QhWjMWtYhZHZUNOC7SejBUzLs0xnh7crxrC5mgSO87fVC-8hs-EvvFLC42nZWixP_MN_5gqbivNdPO3AhLsqnb1innQscWUJU7trl_OC5ZLsKKLqhM-M0QHBg=s10000,9,4,6,70,12,13,Properti; Keluarga; Kebugaran; Kolam Renang; Sarapan; Kamar Mandi,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,1.0,dataset_hotel/dataset_hotel_cimahi_semua_kolom (2).csv,2026-05-29T06:18:52.485276Z,0.6377,50.0,Sangat Positif
HOTEL-007,ChkI8LXMlrq7jfE2Gg0vZy8xMXpod241aDBxEAE,1,C Family Hotel,hotel,hotel,False,False,False,-6.877606,107.548351,True,,,,12,500928,500928,Rp 500.928,,,4.8,77,3.7,72,1,1,0,3,77,0.948051948051948,0.012987012987012988,0.03896103896103896,0.9090909090909091,0.8022,Sangat Positif,medium_review_confidence,582.2,rating_distribution,hotel_rating_sentiment_v1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG8Vf-Mcrfajrihk0H3dgVfBZye99O5sMa-UqCNSw_PQ_IRNQrW8gRgYdjaKtd5_S38bXVClAavNHRVR49FmxQarpkYPHXfIr47APPv3VqYDROt0BmWcDPwTPvsIbiiChpjSR-v6xY8kAfb=s10000,9,3,0,0,0,0,,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.58,dataset_hotel/dataset_hotel_cimahi_semua_kolom (2).csv,2026-05-29T06:18:52.485479Z,0.6377,50.0,Sangat Positif
HOTEL-008,ChoIhfO1y6HN4cP3ARoNL2cvMTFiNXI4ODEwYxAB,1,Cottonwood Bed & Breakfast House Bandung,hotel,guest_house,False,False,False,-6.8863181,107.577594,True,"Guesthouse simpel dengan teras taman dan kafe, serta Wi-Fi.",https://www.instagram.com/cottonwoodstays,14,,395152,323632,Rp 395.152,2,Hotel bintang 2,4.6,853,3.8,577,199,58,8,11,853,0.9097303634232122,0.06799531066822978,0.022274325908558032,0.8874560375146542,0.8677,Sangat Positif,high_review_confidence,582.2,rating_distribution,hotel_rating_sentiment_v1,"Free Wi-Fi, Free parking, Pool, Air conditioning, Restaurant, Room service, Full-service laundry, Kid-friendly",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGamNJVI6kt983RU1Zh6C2ipC6zXs7mxm-Vk0X0K9gXmeEJ4y6W1PWLrWc7j4_lyq8Jrpqr90YWNeseelOubhOumoz6WZrsdmAuAML-W4met3n9l8HwYeqZLlN6iE1XLKQkZSTB=s10000,9,4,6,176,13,15,Properti; Bar; Sarapan; Kebersihan; Suasana; Tidur,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,False,False,0.94,dataset_hotel/dataset_hotel_cimahi_semua_kolom (2).csv,2026-05-29T06:18:52.485720Z,0.6377,50.0,Sangat Positif
HOTEL-009,ChoIieOMh4K6yq3_ARoNL2cvMTFzcnh4d3JkZxAB,1,Sans Hotel Skyland Pasteur Bandung,hotel,hotel,False,False,True,-6.8828529,107.5794329,True,,https://www.sanshotels.com/id-id/hotel/indonesia/bandung/sukajadi/sukawarna/sans-hotel-dago-skyland?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,14,12,164008,134320,Rp 164.008,,,4.2,210,4.4,150,17,10,7,26,210,0.7952380952380952,0.047619047619047616,0.15714285714285714,0.638095238095238,0.638,Sangat Positif,high_review_confidence,582.2,rating_distribution,hotel_rating_sentiment_v1,"Breakfast ($), Free Wi-Fi, Free parking, Indoor pool, Hot tub, Air conditioning, Spa, Bar, Restaurant, Room service, Kitchen in some rooms, Airport shuttle, Accessible, Smoke-free property",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHFMzkkY09DuMCZaEEI5db64AFcC7XB95QbDlcly1Pjb-rOg9VFw2_2vEWqQ0kNiwPvc8YS75TBDWjWn7p4SVaPMDt5y3_epNqYAh_vzbzuDfBSzG095bYBMyyOPt9yTaiZm7xm=s10000,9,4,0,0,0,0,,True,True,True,True,False,True,True,False,False,True,True,True,True,True,True,False,True,False,False,True,True,0.84,dataset_hotel/dataset_hotel_cimahi_semua_kolom (2).csv,2026-05-29T06:18:52.485924Z,0.6377,50.0,Sangat Positif
HOTEL-010,ChkIqpHLucaglcxpGg0vZy8xMXliaDVoNTJ4EAE,1,Awana Dream Gateway Pasteur,hotel,apartment,False,True,False,-6.8918604,107.56504,True,,,,,,,,,,5.0,7,3.1,7,0,0,0,0,7,1.0,0.0,0.0,1.0,0.6822,Sangat Positif,low_review_confidence,582.2,rating_distribution,hotel_rating_sentiment_v1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFND2feb8BvwzQtuRrGKKcifFw-cOfPuFwymHmnu3DiCVHncg8IaFNOvE-XY33VdLAwcAs4sXLbsO4_QOqi1eoJfWLeGr7i-6vyvxlzDdInFK7SlQofbomNQJ-zbyTlvnKynMi8Ag=s10000,8,3,0,0,0,0,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.44,dataset_hotel/dataset_hotel_cimahi_semua_kolom (2).csv,2026-05-29T06:18:52.486167Z,0.6377,50.0,Sangat Positif
