hotel_training_id,property_token,duplicate_occurrence_count,source_pages,source_file,source_page_number,search_timestamp,query,gl,hl,currency,check_in_date,check_out_date,adults,children,vacation_rentals_search,search_total_results,search_properties_count,search_pages_processed,raw_type,property_segment,name,latitude,longitude,coordinate_available,link,check_in_time,check_out_time,price_lowest,price_before_taxes_fees,total_price_lowest,total_price_before_taxes_fees,price_source_count,price_sources,overall_rating,reviews,location_rating,rating_sentiment_score,adjusted_rating_sentiment_score,rating_sentiment_label,adjusted_rating_sentiment_label,review_confidence_label,review_count_p95,rating_sentiment_source,rating_sentiment_model_version,rating_sentiment_prior_score,rating_sentiment_shrinkage_strength,amenities,amenities_count,excluded_amenities,excluded_amenities_count,essential_info,essential_info_count,nearby_place_names,nearby_places_count,primary_image_url,image_count,coordinate_available_flag,rating_available,price_available,amenities_available,image_available,source_link_available,checkin_checkout_available,nearby_places_available,data_quality_score,prices_json,nearby_places_json,health_and_safety_json,generated_at
HTRAIN-0001,ChoQkKPN8eXwso6bARoNL2cvMTF2M2ZmZDBfZxAC,1,1,dataset_google-hotels-search-scraper_2026-06-01_15-03-10-905.json,1,2026-06-01T15:03:02.373633,"penginapan in Kabupaten Bandung, Jawa Barat",id,id,IDR,2026-07-02,2026-07-03,2,0,True,4090,511,29,vacation rental,vacation_rental,Amarillo Lembang,-6.8272,107.6396,True,https://www.booking.com/hotel/id/amarillo-lembang.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-9758959&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-9758959_grp-3_gendate-20260524,15.00,12.00,1363636,1227272,1363636,1227272,1,Booking.com,4.75,13,3.5,0.875,0.5544,Sangat Positif,Positif,low_review_confidence,131.0,overall_rating_fallback,hotel_google_search_rating_sentiment_v1,0.4711,50.0,Dapur; Kompor; Mesin cuci,3,Tidak ber-AC; Tidak ada ranjang bayi; Tidak ada lift; Tidak memiliki gym; Tidak ada penghangat; Tidak ada papan setrika; Tidak ada microwave; Tidak ada alat panggang luar ruangan; Tidak ada teras; Tidak boleh membawa hewan; Tidak bebas asap rokok; Tidak ada TV kabel; Tidak dapat diakses pengguna kursi roda,13,Seluruh cottage; 10 orang; 4 kamar tidur; 2 kamar mandi; 5 tempat tidur; 220 m²,6,Bandar Udara Internasional Jawa Barat Kertajati; Cibiuk Resto Lembang,2,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlbWNZwXU4abzJuZ9Z9boCShI2bWjU43_NJstO-nenTQs3CN9IeqdcYt-G9uiZka2FjzLLzbldhOAucHZNmb8CxgtUnUi4xlH8yQ2B1J3CeJeyHDxiiXAw==.jpg,9,True,True,True,True,True,True,True,True,1.0,"[{""source"":""Booking.com"",""logo"":""https://www.gstatic.com/travel-hotels/branding/61aadbe1-e141-4d2e-a831-b6a18727e130.png"",""num_guests"":10,""rate_per_night"":{""lowest"":""Rp 1.363.636"",""extracted_lowest"":1363636,""before_taxes_fees"":""Rp 1.227.272"",""extracted_before_taxes_fees"":1227272},""free_cancellation"":true,""free_cancellation_until_date"":""30 Jun"",""free_cancellation_until_time"":""23.59""}]","[{""name"":""Bandar Udara Internasional Jawa Barat Kertajati"",""transportations"":[{""type"":""Taxi"",""duration"":""2 j 15 mnt""}]},{""name"":""Cibiuk Resto Lembang""}]",,2026-06-02T03:19:26.009893Z
HTRAIN-0002,ChoQ7dXNoPTaud76ARoNL2cvMTF6Mzl0cXN2dBAC,1,1,dataset_google-hotels-search-scraper_2026-06-01_15-03-10-905.json,1,2026-06-01T15:03:02.373633,"penginapan in Kabupaten Bandung, Jawa Barat",id,id,IDR,2026-07-02,2026-07-03,2,0,True,4090,511,29,vacation rental,room_level_listing,Bantal Guling Trans - Family Triple Room,-6.9302,107.6395,True,https://www.freecancellations.com/search/F2giQ1MASnYAXFIBVVhYTQ8KV0hlQFBE?lat=-6.9302&lng=107.63953&language=en,14.00,12.00,188474,188474,188474,188474,1,freecancellations.com,2.5,8,,-0.25,0.3716,Negatif,Positif,low_review_confidence,131.0,overall_rating_fallback,hotel_google_search_rating_sentiment_v1,0.4711,50.0,Ber-AC; Cocok untuk anak; Bebas asap rokok; TV Kabel; Parkir gratis; Wi-Fi gratis,6,Tidak menyediakan jemputan bandara,1,4 orang; 12 kamar tidur; 6 kamar mandi; 2 tempat tidur,4,,0,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/static.cupid.travel/hotels/248139690.jpg?w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,9,True,True,True,True,True,True,True,False,0.95,"[{""source"":""freecancellations.com"",""logo"":""https://www.gstatic.com/travel-hotels/branding/13148659453950554256.png"",""num_guests"":2,""rate_per_night"":{""lowest"":""Rp 188.474"",""extracted_lowest"":188474}}]",,,2026-06-02T03:19:26.009893Z
HTRAIN-0003,ChkQi9--y6ub4LhMGg0vZy8xMXpiZDNjYjhfEAI,2,1;2,dataset_google-hotels-search-scraper_2026-06-01_15-03-10-905.json,1,2026-06-01T15:03:02.373633,"penginapan in Kabupaten Bandung, Jawa Barat",id,id,IDR,2026-07-02,2026-07-03,2,0,True,4090,511,29,vacation rental,villa,Beverly Hill Mountain View Villa 8BR,-6.8659,107.6349,True,,14.00,11.00,14229140,14229140,14229140,14229140,1,Hotels.com,5,2,,1.0,0.4914,Sangat Positif,Positif,low_review_confidence,131.0,overall_rating_fallback,hotel_google_search_rating_sentiment_v1,0.4711,50.0,Balkon; Cocok untuk anak; Dapur; Microwave; Kolam renang luar; Kompor; Bebas asap rokok; TV Kabel; Dapat diakses pengguna kursi roda; Parkir gratis; Wi-Fi gratis,11,Tidak menyediakan jemputan bandara; Tidak ada kolam renang di dalam ruangan; Tidak boleh membawa hewan,3,Seluruh vila; 24 orang; 8 kamar tidur; 8 kamar mandi; 8 tempat tidur; 46 m²,6,,0,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/static.cupid.travel/hotels/ex_8e6914f1_z.jpg?w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,9,True,True,True,True,True,False,True,False,0.85,"[{""source"":""Hotels.com"",""logo"":""https://www.gstatic.com/travel-hotels/branding/16815192664768424423.png"",""num_guests"":2,""rate_per_night"":{""lowest"":""Rp 12.577.810"",""extracted_lowest"":12577810,""before_taxes_fees"":""Rp 11.434.308"",""extracted_before_taxes_fees"":11434308}}]",,,2026-06-02T03:19:26.009893Z
HTRAIN-0004,ChkQuIjl-_arqrB8Gg0vZy8xMXhmdDJmZ24xEAI,2,1;23,dataset_google-hotels-search-scraper_2026-06-01_15-03-10-905.json,1,2026-06-01T15:03:02.373633,"penginapan in Kabupaten Bandung, Jawa Barat",id,id,IDR,2026-07-02,2026-07-03,2,0,True,4090,511,29,vacation rental,apartment,Cozy Studio at Apt Mekarwangi Square By Travelio,-6.9561,107.593,True,https://www.bluepillow.com/search/62de88bfde4e4eebed126c81?dest=ago&cat=Vacation+rental+(other)&lat=-6.95607&lng=107.59304&language=en,,,497307,497307,497307,497307,1,Bluepillow.com,,,3,,,Tidak Tersedia,Tidak Tersedia,missing_review_confidence,131.0,unavailable,hotel_google_search_rating_sentiment_v1,0.4711,50.0,Ber-AC; Dapur; Bebas asap rokok; TV Kabel; Dapat diakses pengguna kursi roda,5,Tidak menyediakan jemputan bandara; Tanpa parkir; Tidak ada Wi-Fi,3,Rumah lengkap; 15 orang; 10 kamar tidur; 10 tempat tidur,4,Klinik Utama Cibaduyut; Bandar Udara Internasional Jawa Barat Kertajati; Ayam & Sop Iga Sapi Jontor Cibaduyut,3,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/619621861.jpg?k=844c31daf45facfc67930eca4a9a311621b6b887eccf0962703eb4e31404cb89&o=&s=312x,2,True,False,True,True,True,True,False,True,0.8,"[{""source"":""Bluepillow.com"",""logo"":""https://www.gstatic.com/travel-hotels/branding/190ff319-d0fd-4c45-bfc8-bad6f5f395f2.png"",""num_guests"":2,""rate_per_night"":{""lowest"":""Rp 497.307"",""extracted_lowest"":497307}}]","[{""name"":""Klinik Utama Cibaduyut"",""transportations"":[{""type"":""Walking"",""duration"":""4 mnt""}]},{""name"":""Bandar Udara Internasional Jawa Barat Kertajati"",""transportations"":[{""type"":""Taxi"",""duration"":""1 j 28 mnt""},{""type"":""Public transport"",""duration"":""5 j 13 mnt""}]},{""name"":""Ayam & Sop Iga Sapi Jontor Cibaduyut"",""transportations"":[{""type"":""Walking"",""duration"":""8 mnt""}]}]",,2026-06-02T03:19:26.009893Z
HTRAIN-0005,ChkQ6qDejeXq7YoMGg0vZy8xMXliMmNoejg2EAI,1,1,dataset_google-hotels-search-scraper_2026-06-01_15-03-10-905.json,1,2026-06-01T15:03:02.373633,"penginapan in Kabupaten Bandung, Jawa Barat",id,id,IDR,2026-07-02,2026-07-03,2,0,True,4090,511,29,vacation rental,hotel,Feby Maisonatte by OYO Rooms,-6.8897,107.5826,True,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D5237209%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,14.00,11.00,182055,182055,182055,182055,1,Vio.com,3.115,421,4.1,0.0575,0.1718,Netral,Netral,high_review_confidence,131.0,overall_rating_fallback,hotel_google_search_rating_sentiment_v1,0.4711,50.0,,0,Tidak ber-AC; Tidak menyediakan jemputan bandara; Tidak memiliki akses ke pantai; Tidak ada lift; Tidak memiliki perapian; Tidak memiliki gym; Tak ada bak air panas; Tidak ada dapur; Tidak ada microwave; Tidak boleh membawa hewan; Tidak bebas asap rokok; Tidak ada TV kabel; Tidak dapat diakses pengguna kursi roda,13,Rumah lengkap; 4 orang; 2 kamar tidur; 2 kamar mandi,4,Bandung Pasteur 2; Bandar Udara Internasional Jawa Barat Kertajati; de sanirasa,3,https://p.fih.io/v2/nSr0o-3gbZN8o1xMecXCcG-BkDeQVo3k-wOeVogkTe7ajuFOX7O-WA8aRWhXz1jsToZif_TsA_xCWfhWRa0Zhpjt4XcGv1E1HQ-EWZETzDbkgFnMFpCT_h3rEIj0u5ubPi0TybPhVHfoITF4en3ketkYyx1j1dLbUfhlOgkNcIcn9PwNtk_AU2csbUk6dd9sEIgtPWr2pQoMEqcf5fQOj4gVcYQwOAM6IiyYD4BSyNyblRtH2nCutuIacvXA9EltddFd0EQk0IHphIg_aV-8ws64z7TWYUhi-v9HkOKaa3Z8FwNnXzeIdPQ9VfJobww_5j9PZENvdSC7onf_vi0EfOQK9m59FI6sJw,9,True,True,True,False,True,True,True,True,0.85,"[{""source"":""Vio.com"",""logo"":""https://www.gstatic.com/travel-hotels/branding/4215705592604686762.png"",""num_guests"":2,""rate_per_night"":{""lowest"":""Rp 182.055"",""extracted_lowest"":182055}}]","[{""name"":""Bandung Pasteur 2"",""transportations"":[{""type"":""Walking"",""duration"":""5 mnt""}]},{""name"":""Bandar Udara Internasional Jawa Barat Kertajati"",""transportations"":[{""type"":""Taxi"",""duration"":""1 j 38 mnt""},{""type"":""Public transport"",""duration"":""3 j 56 mnt""}]},{""name"":""de sanirasa""}]","{""groups"":[{""title"":""Enhanced cleaning"",""list"":[{""title"":""Disinfectant used to clean the property"",""available"":true}]},{""title"":""Minimized contact"",""list"":[{""title"":""No-contact check-in and check-out"",""available"":true}]}]}",2026-06-02T03:19:26.009893Z
HTRAIN-0006,ChkQ5s7BqIT6-Y8DGg0vZy8xMXo0Y25odHMzEAI,1,1,dataset_google-hotels-search-scraper_2026-06-01_15-03-10-905.json,1,2026-06-01T15:03:02.373633,"penginapan in Kabupaten Bandung, Jawa Barat",id,id,IDR,2026-07-02,2026-07-03,2,0,True,4090,511,29,vacation rental,apartment,"High Livin Apartment Baros - Apartment, 1 Bedroom",-6.8985,107.5366,True,https://www.freecancellations.com/search/F2giQ1MDHnIAXFIBVVhYTQ8KV0hpR1xL?lat=-6.89849&lng=107.53661&language=en,14.00,12.00,352697,352697,352697,352697,1,freecancellations.com,2.5,2,,-0.25,0.4434,Negatif,Positif,low_review_confidence,131.0,overall_rating_fallback,hotel_google_search_rating_sentiment_v1,0.4711,50.0,Ber-AC; Cocok untuk anak; Dapur; Bebas asap rokok; TV Kabel; Dapat diakses pengguna kursi roda; Parkir gratis,7,Tidak menyediakan jemputan bandara; Tidak ada Wi-Fi,2,6 orang; 4 kamar tidur; 4 kamar mandi; 3 tempat tidur,4,,0,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/static.cupid.travel/hotels/ex_4a61d24e_z.jpg?w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,9,True,True,True,True,True,True,True,False,0.95,"[{""source"":""freecancellations.com"",""logo"":""https://www.gstatic.com/travel-hotels/branding/13148659453950554256.png"",""num_guests"":2,""rate_per_night"":{""lowest"":""Rp 352.697"",""extracted_lowest"":352697},""free_cancellation"":true,""free_cancellation_until_date"":""17 Jun"",""free_cancellation_until_time"":""16.59""}]",,,2026-06-02T03:19:26.009893Z
HTRAIN-0007,ChkQ0svA2LTB0Z0oGg0vZy8xMW1reTFqcHJiEAI,2,1;23,dataset_google-hotels-search-scraper_2026-06-01_15-03-10-905.json,1,2026-06-01T15:03:02.373633,"penginapan in Kabupaten Bandung, Jawa Barat",id,id,IDR,2026-07-02,2026-07-03,2,0,True,4090,511,29,vacation rental,apartment,High Livin Apartment Baros - Two-Bedroom Apartment,-6.8977,107.5373,True,https://www.bluepillow.com/search/6398a52bc551970d3c7210ea?dest=bkng&cat=Apartment&lat=-6.89771&lng=107.53733&language=en,14.00,12.00,352697,352697,352697,352697,1,Bluepillow.com,2.5,2,3.7,-0.25,0.4434,Negatif,Positif,low_review_confidence,131.0,overall_rating_fallback,hotel_google_search_rating_sentiment_v1,0.4711,50.0,Ber-AC; Cocok untuk anak; Ranjang bayi; Elevator; Dapur; Kolam renang luar; Bebas asap rokok; TV Kabel; Mesin cuci; Dapat diakses pengguna kursi roda; Parkir gratis,11,Tidak menyediakan jemputan bandara; Tidak ada kolam renang di dalam ruangan; Tidak ada Wi-Fi,3,Apartemen lengkap; 6 orang; 3 kamar tidur; 2 kamar mandi; 3 tempat tidur,5,SD Santo Yusup Baros; Bandar Udara Internasional Soekarno–Hatta; Kuluban - Cimahi Baros,3,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/315976469.jpg?k=4d93bac3fcf3812ddd14d88dec006ac18ada9ad3b064c3458a4b16f66cf35091&o=&a=1538557,9,True,True,True,True,True,True,True,True,1.0,"[{""source"":""Bluepillow.com"",""logo"":""https://www.gstatic.com/travel-hotels/branding/190ff319-d0fd-4c45-bfc8-bad6f5f395f2.png"",""num_guests"":2,""rate_per_night"":{""lowest"":""Rp 352.697"",""extracted_lowest"":352697},""free_cancellation"":true,""free_cancellation_until_date"":""17 Jun"",""free_cancellation_until_time"":""16.59""}]","[{""name"":""SD Santo Yusup Baros"",""transportations"":[{""type"":""Walking"",""duration"":""2 mnt""}]},{""name"":""Bandar Udara Internasional Soekarno–Hatta"",""transportations"":[{""type"":""Public transport"",""duration"":""2 j 25 mnt""},{""type"":""Taxi"",""duration"":""2 j 30 mnt""}]},{""name"":""Kuluban - Cimahi Baros"",""transportations"":[{""type"":""Walking"",""duration"":""4 mnt""}]}]",,2026-06-02T03:19:26.009893Z
HTRAIN-0008,ChkQwNDX2YP4gP5BGg0vZy8xMXo0eThfaHQyEAI,2,1;2,dataset_google-hotels-search-scraper_2026-06-01_15-03-10-905.json,1,2026-06-01T15:03:02.373633,"penginapan in Kabupaten Bandung, Jawa Barat",id,id,IDR,2026-07-02,2026-07-03,2,0,True,4090,511,29,vacation rental,hotel,OYO 944 Doorman Residence,-6.918,107.5996,True,https://www.bluepillow.com/search/61828d159e3163a56a29a8ed?dest=ago&cat=Vacation+rental+(other)&lat=-6.91797&lng=107.59957&language=en,,,244106,244106,244106,244106,1,Bluepillow.com,,,,,,Tidak Tersedia,Tidak Tersedia,missing_review_confidence,131.0,unavailable,hotel_google_search_rating_sentiment_v1,0.4711,50.0,Ber-AC; Cocok untuk anak; Bebas asap rokok; TV Kabel; Dapat diakses pengguna kursi roda; Parkir gratis; Wi-Fi gratis,7,Tidak menyediakan jemputan bandara,1,Rumah lengkap; 15 orang; 10 kamar tidur; 10 tempat tidur,4,,0,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/201583156.jpg?k=d46b79e965eaefe29639937d495f73538a1f1e98d91fcf29d87c13f3884250ea&o=&s=312x,8,True,False,True,True,True,True,False,False,0.75,"[{""source"":""Bluepillow.com"",""logo"":""https://www.gstatic.com/travel-hotels/branding/190ff319-d0fd-4c45-bfc8-bad6f5f395f2.png"",""num_guests"":2,""rate_per_night"":{""lowest"":""Rp 244.106"",""extracted_lowest"":244106},""free_cancellation"":true,""free_cancellation_until_date"":""1 Jul""}]",,,2026-06-02T03:19:26.009893Z
HTRAIN-0009,ChoQ7ZfMjMTNp5DiARoNL2cvMTF4Z2I3anpfdBAC,1,1,dataset_google-hotels-search-scraper_2026-06-01_15-03-10-905.json,1,2026-06-01T15:03:02.373633,"penginapan in Kabupaten Bandung, Jawa Barat",id,id,IDR,2026-07-02,2026-07-03,2,0,True,4090,511,29,vacation rental,hotel,RedDoorz at Argapuri Resort Gambung,-7.1318,107.5129,True,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D23402067%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,14.00,12.00,154416,140330,154416,140330,1,Vio.com,3.75,36,2.5,0.375,0.4309,Positif,Positif,medium_review_confidence,131.0,overall_rating_fallback,hotel_google_search_rating_sentiment_v1,0.4711,50.0,Bebas asap rokok; Parkir gratis,2,Tidak ber-AC; Tidak menyediakan jemputan bandara; Tidak memiliki akses ke pantai; Tidak ada lift; Tidak memiliki perapian; Tidak memiliki gym; Tak ada bak air panas; Tidak ada dapur; Tidak ada microwave; Tidak boleh membawa hewan; Tidak ada TV kabel; Tidak dapat diakses pengguna kursi roda,12,Apartemen lengkap; 10 orang; 5 kamar tidur; 3 kamar mandi,4,Bandar Udara Internasional Jawa Barat Kertajati; Tepi Sungai Resto Pasirjambu,2,https://p.fih.io/v2/nSr0o-3gbZN8o1xMecXCcG-BkDeQVo3k-wOeVogkTe7ajuFOX7O-WA8aRWhXz1jsToZif_TsA_xCWfhWRa0Zi8eQ5TV17H07ZxqNXsN2wnLYkWX1Io6tnx2fBK7wrq25MDFB55npFV_fFzF4en3ketkYyx1j1dLbUfhlOgkNcIcn9PwNtk_AU2csbUk6dd9sHY0tPSPNwSMVP41Co8xrk5IVcZA9FTY5IRf5D5p_rfLdqA8owF2uvvgZfdja2mQNavhezwUz4pWtqbVDaUuR88y62LeDTUtp5OtVy-yYe3J9OxdwBVSISekX6z7Fpvj14Q-ULYTIZGrvRg,9,True,True,True,True,True,True,True,True,1.0,"[{""source"":""Vio.com"",""logo"":""https://www.gstatic.com/travel-hotels/branding/4215705592604686762.png"",""num_guests"":2,""rate_per_night"":{""lowest"":""Rp 154.416"",""extracted_lowest"":154416,""before_taxes_fees"":""Rp 140.330"",""extracted_before_taxes_fees"":140330}}]","[{""name"":""Bandar Udara Internasional Jawa Barat Kertajati"",""transportations"":[{""type"":""Taxi"",""duration"":""2 j 12 mnt""}]},{""name"":""Tepi Sungai Resto Pasirjambu""}]",,2026-06-02T03:19:26.009893Z
HTRAIN-0010,ChkQ1rLejcyj75g5Gg0vZy8xMXhmdDJqOXExEAI,1,1,dataset_google-hotels-search-scraper_2026-06-01_15-03-10-905.json,1,2026-06-01T15:03:02.373633,"penginapan in Kabupaten Bandung, Jawa Barat",id,id,IDR,2026-07-02,2026-07-03,2,0,True,4090,511,29,vacation rental,hotel,RedDoorz near Jatinangor Town Square,-6.9428,107.7735,True,,14.00,12.00,263899,241432,263899,241432,1,freecancellations.com,3.4608,597,3.2,0.2304,0.2969,Positif,Positif,high_review_confidence,131.0,overall_rating_fallback,hotel_google_search_rating_sentiment_v1,0.4711,50.0,Ber-AC; Kolam renang luar; Bebas asap rokok; TV Kabel,4,Tidak menyediakan jemputan bandara; Tidak memiliki akses ke pantai; Tidak ada lift; Tidak memiliki perapian; Tidak memiliki gym; Tak ada bak air panas; Tidak ada kolam renang di dalam ruangan; Tidak ada dapur; Tidak ada microwave; Tidak boleh membawa hewan; Tidak dapat diakses pengguna kursi roda; Tanpa parkir; Tidak ada Wi-Fi,13,Rumah lengkap; 5 orang; 6 kamar tidur; 6 kamar mandi; 4 tempat tidur,5,"TSH Motor; Bandar Udara Internasional Jawa Barat Kertajati; Waroeng Spesial Sambal ""SS"" Jatinangor",3,https://p.fih.io/v2/nSr0o-3gbZN8o1xMecXCcG-BkDeQVo3k-wOeVogkTe7ajuFOX7O-WA8aRWhXz1jsToZif_TsA_xCWfhWRa0Zr8e7mhAuvm8GHA_Ufalb4B37i2jaEIr4-hjiKI_ktZ-dAjxz3pbmCVHUBzF4en3ketkYyx1j1dLbUfhlOgkNcIcn9PwNtk_AU2csbUk6dd9sGqAEVmr2qjQMPI095Pdv3pEtFPIxOxxOPC-YWoFEg4yXvxhQ3nG9m-EOZqnW2koRKfhO30Ezy-jlqLVLbUiR88O59smfYXZutv95tqqYVgc4Ay50AjSmYLgqU5E9Rgh64AZ_KQd1YCJrIaTfB181lq6oULlvh7yT,9,True,True,True,True,True,False,True,True,0.9,"[{""source"":""freecancellations.com"",""logo"":""https://www.gstatic.com/travel-hotels/branding/13148659453950554256.png"",""num_guests"":2,""rate_per_night"":{""lowest"":""Rp 284.761"",""extracted_lowest"":284761},""free_cancellation"":true,""free_cancellation_until_date"":""30 Jun"",""free_cancellation_until_time"":""16.59""}]","[{""name"":""TSH Motor"",""transportations"":[{""type"":""Walking"",""duration"":""3 mnt""}]},{""name"":""Bandar Udara Internasional Jawa Barat Kertajati"",""transportations"":[{""type"":""Taxi"",""duration"":""1 j 14 mnt""},{""type"":""Public transport"",""duration"":""6 j 33 mnt""}]},{""name"":""Waroeng Spesial Sambal \""SS\"" Jatinangor"",""transportations"":[{""type"":""Walking"",""duration"":""5 mnt""}]}]","{""groups"":[{""title"":""Enhanced cleaning"",""list"":[{""title"":""Disinfectant used to clean the property"",""available"":true}]}]}",2026-06-02T03:19:26.009893Z
