priority,penginapan_id,name,finding_codes,finding_count,recommended_next_step
P1,LODGE-00087,Budi House Food Station - Deluxe Twin Room,POSSIBLE_DUPLICATE_NAME_COORD; ROOM_LEVEL_LISTING,2,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00088,Budi House Food Station - Standard Double Room,POSSIBLE_DUPLICATE_NAME_COORD; ROOM_LEVEL_LISTING,2,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00120,Sans Stay Skyland Pasteur Bandung - Deluxe Double Room,POSSIBLE_DUPLICATE_NAME_COORD; ROOM_LEVEL_LISTING,2,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00121,Sans Stay Skyland Pasteur Bandung - Standard Double Room,POSSIBLE_DUPLICATE_NAME_COORD; ROOM_LEVEL_LISTING,2,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00150,Budi House Food Station - Superior Double Room,POSSIBLE_DUPLICATE_NAME_COORD; ROOM_LEVEL_LISTING,2,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00239,Little Blue House - Queen Room,POSSIBLE_DUPLICATE_NAME_COORD; ROOM_LEVEL_LISTING,2,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00488,Penginapan Barkah - Family Room,POSSIBLE_DUPLICATE_NAME_COORD; ROOM_LEVEL_LISTING,2,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00489,Penginapan Barkah - Family Room,POSSIBLE_DUPLICATE_NAME_COORD; ROOM_LEVEL_LISTING,2,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00490,Penginapan Barkah - Standard Family Room,POSSIBLE_DUPLICATE_NAME_COORD; ROOM_LEVEL_LISTING,2,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00510,Pondok Stevia Ciwidey - Deluxe Double Room,POSSIBLE_DUPLICATE_NAME_COORD; ROOM_LEVEL_LISTING,2,Review duplicate candidate; gabungkan jika memang properti sama.
