property_type,capacity_confidence,capacity_estimation_reason,rows
apartment,high_capacity_confidence,bedroom_count_name_pattern,147
apartment,high_capacity_confidence,guest_count_name_pattern,3
apartment,low_capacity_confidence,apartment_default_no_capacity_source,89
apartment,medium_capacity_confidence,studio_name_pattern,105
apartment,medium_capacity_confidence,double_or_standard_room_name_pattern,8
guest_house,low_capacity_confidence,guest_house_default_per_room,115
guest_house,medium_capacity_confidence,double_or_standard_room_name_pattern,16
guest_house,medium_capacity_confidence,family_room_name_pattern,9
guest_house,medium_capacity_confidence,room_bedroom_name_pattern,8
guest_house,medium_capacity_confidence,single_room_name_pattern,2
guest_house,medium_capacity_confidence,triple_room_name_pattern,2
hotel,low_capacity_confidence,hotel_default_per_room,475
hotel,medium_capacity_confidence,double_or_standard_room_name_pattern,7
hotel,medium_capacity_confidence,family_room_name_pattern,3
hotel,medium_capacity_confidence,room_bedroom_name_pattern,1
hotel,medium_capacity_confidence,single_room_name_pattern,1
vacation_rental,high_capacity_confidence,bedroom_count_name_pattern,21
vacation_rental,low_capacity_confidence,villa_or_rental_default_no_capacity_source,225
vacation_rental,medium_capacity_confidence,double_or_standard_room_name_pattern,16
vacation_rental,medium_capacity_confidence,family_room_name_pattern,6
vacation_rental,medium_capacity_confidence,single_room_name_pattern,1
villa,high_capacity_confidence,bedroom_count_name_pattern,119
villa,high_capacity_confidence,guest_count_name_pattern,2
villa,low_capacity_confidence,villa_or_rental_default_no_capacity_source,192
villa,medium_capacity_confidence,double_or_standard_room_name_pattern,16
villa,medium_capacity_confidence,family_room_name_pattern,10
villa,medium_capacity_confidence,single_room_name_pattern,1
villa,medium_capacity_confidence,studio_name_pattern,1
villa,medium_capacity_confidence,triple_room_name_pattern,1
