penginapan_id,name,property_type_final_after_p3,latitude,longitude,region_validation_label,price_lowest,price_display,overall_rating,reviews,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_sentiment_label,amenities,primary_image_url,link,data_quality_score,primary_dedupe_status,primary_dedupe_merged_from_ids,data_focus_manual_decision,data_focus_manual_note,data_focus_merge_target_id,completion_priority_order,completion_priority_data_focus,completion_flags_data_focus,completion_route_data_focus,completion_score_data_focus
LODGE-00491,Baraya Homestay,guest_house,-7.1842,107.5617,bandung_raya_valid,,,,,0,,Belum tersedia,Balkon; Parkir gratis,https://pix8.agoda.net/hotelImages/45050846/0/3a5be94343bb007d0d3e5a9132959da7.jpg?ce=0,https://www.agoda.com/baraya-homestay-h45050846/hotel/bandung-id.html,0.65,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_place_rating_reviews_and_price,3
LODGE-00684,Ciwidey Homestay 4 Bedroom,guest_house,-7.1327,107.4215,bandung_raya_valid,,,,,0,,Belum tersedia,Jemputan bandara; Balkon; Dapur; Pemanggang luar ruang; Boleh bawa hewan peliharaan; Mesin cuci; Dapat diakses pengguna kursi roda; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/4998501/0/9c198987c1d22b87bafea756f38e9fbf.jpg?ce=2,https://www.agoda.com/ciwidey-homestay_2/hotel/bandung-id.html,0.65,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_place_rating_reviews_and_price,3
LODGE-00685,Ciwidey Homestay 6 Bedroom,guest_house,-7.1229,107.424,bandung_raya_valid,,,,,16,0.6768618238265566,Positif,Balkon; Dapur; Pemanggang luar ruang; Boleh bawa hewan peliharaan; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/21599013/0/1438dee526a5beb0fe03df9c4f27e11a.jpg?ce=0,https://www.agoda.com/ciwidey-homestay-4-bedroom/hotel/bandung-id.html,0.65,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price,scrape_place_rating_reviews_and_price,4
LODGE-00686,D'Lily Guest House Syariah,guest_house,-7.0877,107.4778,bandung_raya_valid,,,,,0,,Belum tersedia,Balkon; Dapur; Pemanggang luar ruang; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/47415998/0/faed449ca389a13d7a997eaf9bf7a07a.jpg?ce=2,https://www.agoda.com/d-lily-guest-house-syariah/hotel/bandung-id.html,0.65,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_place_rating_reviews_and_price,3
LODGE-00492,Homestay Bumina EENK Bandung Pangalengan,guest_house,-7.2329,107.5215,bandung_raya_valid,,,,,22,0.699295691274523,Positif,Balkon; Dapur; Parkir gratis,https://pix8.agoda.net/hotelImages/50448001/0/29c091a34c669bf1c2ddaaf6a296a738.jpg?ce=0,https://www.agoda.com/homestay-bumina-eenk-bandung-pangalengan/hotel/palayangan-id.html,0.65,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price,scrape_place_rating_reviews_and_price,4
LODGE-00015,Lavin Soka Homestay - Tent,guest_house,-6.7204,107.3809,bandung_raya_valid,,,,,0,,Belum tersedia,Ber-AC; Cocok untuk anak; Bebas asap rokok; Parkir gratis; Wi-Fi gratis,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/487778069.jpg?k=72b7c75f11b8389dc0a280055383941f221b18824aefb58105fad540b1a822dd&o=&s=312x,https://www.bluepillow.com/search/68e3dd51f93025efadacb0e4?dest=nuit&cat=House&lat=-6.7204&lng=107.38087&language=en,0.65,keep_primary_deduped,LODGE-00016,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_place_rating_reviews_and_price,3
LODGE-00704,Mila's Homestay,guest_house,-6.7979,107.1674,bandung_raya_valid,,,,,155,0.6477124026713426,Positif,Jemputan bandara,https://p.fih.io/v2/nSr0o-3gbZN8o1xMecXCcG-BkDeQVo3k-wOeVogkTe7ajuFOX7O-WA8aRWhXz1jsToZif_TsA_xCWfhWRa0Z26Kmkyh28S4-Gw61eptJ2zDkiELaB5KeiTzOda_09r27KC5l0p_eFHjtdjF4en3ketkYyx1j1dLbUfhlOgkNcIcn9PwNtk_AU2csbUk6dd9sHrY9VmP2oVsLB5Ip-_d7po4WFPszFWsfHTvud8FTru3ZvzZImnCUquEZUr_G51U7NKkP-EYxNDJtzFSD7XQ8sg,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D4265823%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,0.65,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price,scrape_place_rating_reviews_and_price,4
LODGE-00493,Pangalengan Homestay By Lunam,guest_house,-7.1793,107.5703,bandung_raya_valid,,,,,0,,Belum tersedia,Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/61862188/0/13da013cf304418cb2552e176da13f6a.jpg?ce=0,https://www.agoda.com/pangalengan-homestay-by-lunam/hotel/bandung-id.html,0.65,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_place_rating_reviews_and_price,3
LODGE-01621,OYO 94030 Ar Guest House Syariah,guest_house,-7.0344,107.5457,bandung_raya_valid,,,,,30,0.6090540026148948,Positif,Ber-AC; Bebas asap rokok; TV Kabel; Parkir gratis; Wi-Fi gratis,https://images.trvl-media.com/lodging/106000000/105870000/105863700/105863667/0f29b8b1.jpg?impolicy=ccrop&w=1000&h=666&q=medium,https://www.bluepillow.com/search/67a23c8f905c444f2d07439f?dest=ago&cat=Vacation+rental+(other)&lat=-7.03442&lng=107.54573&language=en,0.6,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price,scrape_place_rating_reviews_and_price,4
LODGE-00427,Salsabilla Guest House Syariah by Oyo,guest_house,-6.8871,107.5225,bandung_raya_valid,,,,,0,,Belum tersedia,,https://p.fih.io/v2/nSr0o-3gbZN8o1xMecXCcG-BkDeQVo3k-wOeVogkTe7ajuFOX7O-WA8aRWhXz1jsToZif_TsA_xCWfhWRa0Z0suVpis1938TLymFbIZ6swzvlyGOT6izhz_-coyjgYqkDjURyrrIC0neDzF4en3ketkYyx1j1dLbUfhlOgkNcIcn9PwNtk_AU2csYWt6dZQ5HrU9YH_Mi1sOBJIp-_VR0o0tdfMtAxxDIiyYD4BSyNiZqAt1xXDKjOEhYqjEzXNlZvlZrwQd46Cqs4hADF-SisC4h7-DTktP9tNbouiPaQZ4OCFwEhjRY-A8ePJ9Uldy4T87SVhJaCmoaWk-_3XmyoPAZE8kPHeod_SAAmf4E-CeBPDhsV0zjwUDu5-t5UVY5R_5RRfFEiFjkRkZ1hssNTBxo3bheRgrhFHCxF1s6jruooVcNYVf3ZFylPTvgUQ1JHOu4emG50fYyQeqkiOQ34rNDxzOkapT83O3_GX0YkP4t8RuMpKRG_D_ID4oEkvkaw_XbdLV0xkg_dJwGGDUSOb4076m0J-Y,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D22592803%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,0.5,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment|missing_amenities,scrape_place_rating_reviews_and_price,2
