penginapan_id,name,property_type_final_after_p3,latitude,longitude,region_validation_label,price_lowest,price_display,overall_rating,reviews,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_sentiment_label,amenities,primary_image_url,link,data_quality_score,primary_dedupe_status,primary_dedupe_merged_from_ids,data_focus_manual_decision,data_focus_manual_note,data_focus_merge_target_id,completion_priority_order,completion_priority_data_focus,completion_flags_data_focus,completion_route_data_focus,completion_score_data_focus,review_completion_rating_reviews_filled,review_completion_sentiment_filled,review_completion_price_candidate_available,review_completion_note,google_hotels_price_apply_status,google_hotels_price_apply_note,google_hotels_price_source_query,google_hotels_price_source_file,google_hotels_price_property_token
LODGE-00037,Homestay Budihouse,guest_house,-6.8908,107.5589,bandung_raya_valid,193998.0,Rp 193.998,4.1,576.0,0,,Belum tersedia,Free Wi-Fi; Free parking; Air conditioning; Restaurant; Kitchen in some rooms; Airport shuttle; Full-service laundry; Accessible; Kid-friendly; Smoke-free property,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGahLcOzshrIwgnFBviOn1kYeCSm_YH6C_f-zkmNft2c_xzWHgBgWDWOd-DpdbBK8665ko8tHG8f23m29qpVc3BnKYTcRQWwj3OaSuAi_NwKNLHTD12surY7gWXv3qI8-6MA_eaCKoP8I7d=s10000,http://www.budihouse.id/,1.0,unique_primary,,,,,4,P2_sentiment_missing,missing_sentiment,scrape_reviews_for_sentiment,5,False,False,False,,,,,,
LODGE-00895,Cozy Homestay,guest_house,-6.8896,107.5849,bandung_raya_valid,141103.0,Rp 141.103,4.5,32.0,0,,Belum tersedia,Free Wi-Fi; Free parking; Air conditioning,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHe7Mt7kupE-z3WaQHbqqO6_BymJ3jUT8M74bf44PNZRc-c5ESCpzpisRvFLwb4tHZ0pGBS2JztvA4QqPTY4haYBGx5G32J6Fz_eDkzNov7IBaNIZUsnNREiLDHAh5wHaAb0bt5nw=s10000,https://www.reddoorz.com/en-ph/hotel/indonesia/bandung/sukajadi/sukagalih/cozy-homestay?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,1.0,unique_primary,,,,,4,P2_sentiment_missing,missing_sentiment,scrape_reviews_for_sentiment,5,False,False,False,,,,,,
LODGE-00905,G10 Guest House Near Asia Afrika Bandung,guest_house,-6.9296,107.6152,bandung_raya_valid,315247.0,Rp 315.247,4.585,23.0,0,,Belum tersedia,Jemputan bandara; Bebas asap rokok; Parkir gratis; Wi-Fi gratis,https://p.fih.io/v2/nSr0o-3gbZN8o1xMecXCcG-BkDeQVo3k-wOeVogkTe7ajuFOX7O-WA8aRWhXz1jsToZif_TsA_xCWfhWRa0ZjquKsyc71kw6DQmFF7Jn-h3mr3zpGuGIqjT-B4npiIqQKxF75uj3MVHlFzF4en3ketkYyx1j1dLbUfhlOgkNcIcn9PwNtk_AU2csbUk6dd9sAqAHbCDMwTwIOo0X-dpRpY0tdfs3OwwxOS_5D8V9vcybqAtA32aV4_4nfcPa23gaeuxSyAYc8ejpgaVDL2aj8MKX8qecSERP8tBUtfWPZ3J-FwAKETeIYL49a-F4UB9A-xFAd1xnN3WrankP_GKD6IL4AQZ7PFqnNsSjH2_N22zj5rUFwGNO6LGvvssL,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D74484909%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,1.0,unique_primary,,,,,4,P2_sentiment_missing,missing_sentiment,scrape_reviews_for_sentiment,5,False,False,False,,,,,,
LODGE-01133,Hotel Doorman Guest House,guest_house,-6.9175,107.5997,bandung_raya_valid,203064.0,Rp 203.064,4.6,337.0,0,,Belum tersedia,Free Wi-Fi; Free parking; Air conditioning; Restaurant; Kid-friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEQY6KuDwLGnjCACW1BgzcCmnLJFyKd9tpWotL_bCuAMZmGftGKauZpth2GKCwx67Kux2E0II62foUfjPIigzjnPTD8jZCdnpbITqOtUuYAnjg5UnNyQZIqFGYGApw6-ZEc0HAn=s10000,https://www.oyorooms.com/h/59016?utm_source=Google_gmb_ID&utm_medium=Organic&utm_campaign=ID_BDG061&latitude=-6.91797&longitude=107.5996&locale=id,0.95,unique_primary,,,,,4,P2_sentiment_missing,missing_sentiment,scrape_reviews_for_sentiment,5,False,False,False,,,,,,
LODGE-00070,OYO 3463 Cimahi Guest House,guest_house,-6.8982,107.5613,bandung_raya_valid,130628.0,Rp 130.628,3.7,323.0,0,,Belum tersedia,Free Wi-Fi; Free parking; Air conditioning,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEB1NEb4X-DGKjkIq2KQnvM8mLhP5DquKHDxeggagqnHKdzGWzE4utQHTr-Vk62jyuuYYEP-r-nXuAtkHPP1tSp2W6qPizQ4BhsYYohSXYv4_EGTFPrlo_vU96YJt1lY_V4E83SvQ=s10000,https://www.oyorooms.com/ID/101591/,0.95,keep_primary_deduped,LODGE-00371,,,,4,P2_sentiment_missing,missing_sentiment,scrape_reviews_for_sentiment,5,False,False,False,,,,,,
LODGE-00080,Cottonwood Bed & Breakfast House Bandung,guest_house,-6.8863181,107.577594,bandung_raya_valid,395152.0,Rp 395.152,4.6,853.0,0,,Belum tersedia,"Free Wi-Fi, Free parking, Pool, Air conditioning, Restaurant, Room service, Full-service laundry, Kid-friendly",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGamNJVI6kt983RU1Zh6C2ipC6zXs7mxm-Vk0X0K9gXmeEJ4y6W1PWLrWc7j4_lyq8Jrpqr90YWNeseelOubhOumoz6WZrsdmAuAML-W4met3n9l8HwYeqZLlN6iE1XLKQkZSTB=s10000,https://www.instagram.com/cottonwoodstays,0.94,unique_primary,,,,,4,P2_sentiment_missing,missing_sentiment,scrape_reviews_for_sentiment,5,False,False,False,,,,,,
LODGE-00081,LN9 Bandung Guest House,guest_house,-6.8823948,107.5793923,bandung_raya_valid,154062.0,Rp 154.062,4.3,585.0,0,,Belum tersedia,"Free Wi-Fi, Free parking, Air conditioning, Pet-friendly, Full-service laundry, Kid-friendly, Smoke-free property",https://lh3.googleusercontent.com/gps-cs-s/APNQkAH0ukW0sahK6TzBAfk_nvMU7rKBk5Q6hqJzfVy7U75FRc7UyEB8tDQel8Fu_R3CGlgg1QNNG6qbDljDFdHHfoN8rXwCp4V3uQBEeSsYam_xJ4Vrt8yxpXTRadKUpQ9ko58tREDq=s10000,,0.94,unique_primary,,,,,4,P2_sentiment_missing,missing_sentiment|missing_source_link,scrape_reviews_for_sentiment,4,False,False,False,,,,,,
LODGE-00114,Micasa Guest House Bandung,guest_house,-6.8892,107.5795,bandung_raya_valid,98135.0,Rp 98.135,3.3,302.0,0,,Belum tersedia,Free Wi-Fi; Free parking; Pool; Air conditioning; Kid-friendly,https://lh5.googleusercontent.com/proxy/TP6FMbgGvK1yDix8f6I_0baLAiMlbMFGNsqZra7Fruk1mupOLyRpoODkdgAl3G5z2ILpWG4CQxmP3NWpRCRjFJsEGOpuvQTEBd_b3HRk_lt060TqqQga3DFRpOjBF-BP8V7r7rhWihKF5bYVSRHFiCSumKEkhy47KypDPRgNWQ=s10000,,0.85,unique_primary,,,,,4,P2_sentiment_missing,missing_sentiment|missing_source_link,scrape_reviews_for_sentiment,4,False,False,False,,,,,,
LODGE-01383,Nice Guest House,guest_house,-6.8722,107.5987,bandung_raya_valid,135064.0,Rp 135.064,4.3,258.0,0,,Belum tersedia,Free Wi-Fi; Free parking; Air conditioning; Restaurant; Kid-friendly,https://cdn.worldota.net/t/1024x768/content/54/7a/547af70f43d90c423f2511a85b825526314af56a.jpeg,,0.85,unique_primary,,,,,4,P2_sentiment_missing,missing_sentiment|missing_source_link,scrape_reviews_for_sentiment,4,False,False,False,,,,,,
LODGE-00222,Calda Homestay Syariah,guest_house,-6.8685,107.5728,bandung_raya_valid,522900.0,Rp 522.900,4.7,86.0,0,,Belum tersedia,,https://cdn.worldota.net/t/1024x768/content/f7/10/f71014253bb9f23d7e765a935d062a13c6834701.JPEG,,0.7,unique_primary,,,,,4,P2_sentiment_missing,missing_sentiment|missing_source_link|missing_amenities,scrape_reviews_for_sentiment,3,False,False,False,,,,,,
