penginapan_id,name,property_type,overall_rating,reviews,price_lowest,price_display,amenities,primary_image_url,link,data_quality_score,data_quality_label,hotel_adjusted_sentiment_label,hotel_review_confidence_label,rating_sentiment_score,name_looks_detail_listing,capacity_min_estimated,capacity_max_estimated,capacity_confidence,capacity_estimation_reason,attention_score,attention_level,attention_reasons,recommended_data_action,property_type_hint,property_type_hint_reason
LODGE-00432,1BR Grand Sofia Moslem Family,hotel,1.0,1.0,,,,https://lh5.googleusercontent.com/p/LQ8ENFfxHrVhwGEK5Ht37g=s10000,,0.44,low,Belum tersedia,missing_review_confidence,-1.0,True,1,2,medium_capacity_confidence,room_bedroom_name_pattern,14,high,low_data_quality|missing_price|missing_amenities|missing_source_link|looks_like_detail_or_unit_listing|property_type_maybe_needs_review,review_parent_child_or_mark_secondary,apartment,name_contains_other_property_type_keyword
LODGE-01642,Homey and Chic 2Br Apartment Newton Residence,apartment,,,,,,https://dimg04.c-ctrip.com/images//0220g12000kvx3y778323_Mtrip_D.jpg,https://www.trip.com/hotels/detail/?hotelid=78060908&Allianceid=1318093&sid=269617419&utm_medium=vr&utm_campaign=vrwebsite&utm_source=googlevr&trip_sub1=googlevrwebsite,0.5,medium,Belum tersedia,missing_review_confidence,,True,3,4,high_capacity_confidence,bedroom_count_name_pattern,13,high,missing_rating_and_price|missing_any_sentiment|missing_amenities|looks_like_detail_or_unit_listing|property_type_maybe_needs_review,review_parent_child_or_mark_secondary,vacation_rental,name_contains_other_property_type_keyword
LODGE-00026,Paddies Homestay (Full Room),guest_house,,,,,,https://p.fih.io/v2/nSr0o-3gbZN8o1xMecXCcG-BkDeQVo3k-wOeVogkTe7ajuFOX7O-WA8aRWhXz1jsToZif_TsA_xCWfhWRa0Zn4WrrRsyynMAOye9Gttg3A3lj37_Fu7mpTrbcKWggpeRNCd37JnBWl_vdjF4en3ketkYyx1j1dLbUfhlOgkNcIcn9PwNtk_AU2csbUk6dd9sALYtMGbOtVcUBJIp5cwO044tS5R3FWkPPxbHUphSye2VvSZA0XGA4uEaF8Dazl0JLvhe1Fokz4HlvJtANEi_64C78ZqSYkt6--tUpqiPe3J9OxdwBVSISekXR6YM0vPnHDzgp_2pDz51jQ,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D7143014%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,0.5,medium,Belum tersedia,missing_review_confidence,,True,1,2,low_capacity_confidence,guest_house_default_per_room,13,high,missing_rating_and_price|missing_any_sentiment|missing_amenities|looks_like_detail_or_unit_listing|property_type_maybe_needs_review,review_parent_child_or_mark_secondary,vacation_rental,name_contains_other_property_type_keyword
LODGE-00409,Lovina Nature House - pet friendly - Villa with Garden View,villa,,,,,Ber-AC; Balkon; Cocok untuk anak; Papan setrika; Kolam renang luar; Boleh bawa hewan peliharaan; Bebas asap rokok; TV Kabel; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/62424095/0/f6dd4162459c57375c68a53c0b8e29d2.jpeg?ce=0,,0.55,medium,Belum tersedia,missing_review_confidence,,True,4,8,low_capacity_confidence,villa_or_rental_default_no_capacity_source,13,high,missing_rating_and_price|missing_any_sentiment|missing_source_link|looks_like_detail_or_unit_listing|property_type_maybe_needs_review|capacity_low_confidence_for_unit_property,review_parent_child_or_mark_secondary,vacation_rental,name_contains_other_property_type_keyword
LODGE-00803,Villa - Two-Bedroom House,villa,,,,,Dapur; TV Kabel; Mesin cuci; Parkir gratis,,https://www.bluepillow.com/search/6582e15a6c560103cb44b364?dest=bkng&cat=House&lat=-7.13267&lng=107.41806&language=en,0.55,medium,Belum tersedia,missing_review_confidence,,True,2,4,high_capacity_confidence,bedroom_count_name_pattern,13,high,missing_rating_and_price|missing_any_sentiment|missing_image|looks_like_detail_or_unit_listing|property_type_maybe_needs_review,review_parent_child_or_mark_secondary,vacation_rental,name_contains_other_property_type_keyword
LODGE-00386,Villa Madasaeda by GroRental - Villa,villa,,,,,Ber-AC; Balkon; Cocok untuk anak; Ranjang bayi; Elevator; Dapur; Pemanggang luar ruang; Kompor; Bebas asap rokok; TV Kabel; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/48128776/0/4b60af0da8ae9df29f738de314d59385.jpg?ce=0,,0.6,medium,Belum tersedia,missing_review_confidence,,True,4,8,low_capacity_confidence,villa_or_rental_default_no_capacity_source,13,high,missing_rating_and_price|missing_any_sentiment|missing_source_link|looks_like_detail_or_unit_listing|property_type_maybe_needs_review|capacity_low_confidence_for_unit_property,review_parent_child_or_mark_secondary,vacation_rental,name_contains_other_property_type_keyword
LODGE-00499,Bumina EENK - Two-Bedroom House,apartment,,,,,Cocok untuk anak; Papan setrika; Dapur; Bebas asap rokok; TV Kabel; Parkir gratis,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/static.cupid.travel/hotels/525539254.jpg?w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,,0.55,medium,Belum tersedia,missing_review_confidence,,True,3,4,high_capacity_confidence,bedroom_count_name_pattern,12,high,missing_rating_and_price|missing_any_sentiment|missing_source_link|looks_like_detail_or_unit_listing|property_type_maybe_needs_review,review_parent_child_or_mark_secondary,vacation_rental,name_contains_other_property_type_keyword
LODGE-01647,Comfortable Studio Room Apartment at Stanford Jatinangor,apartment,,,,,,https://p.fih.io/v2/nSr0o-3gbZN8o1xMecXCcG-BkDeQVo3k-wOeVogkTe7ajuFOX7O-WA8aRWhXz1jsToZif_TsA_xCWfhWRa0ZsIq6vHkL7jsZLBmRec4UtTqflSHmRZaRiDbQPqmgoPGdLR8Vy4fGNHXRJTF4en3ketkYyx1j1dLbUfhlOgkNcIcn9PwNtk_AU2csbUk6dd9sGqAEVmr2qjQMPI095Pdv3pEtFPIxOxxOPC-YWoFEg4zfvBhQ3nG9m-EOZqmd2GQZLfhO30Ezy-iuqptDaUuB88O59snUY1hmsvxptq-YVgdyAC58AyOIa-U9DpE9Rgh64AZ_KQd1YCJhjSodouVQie8y6BsK741j,,0.45,medium,Belum tersedia,missing_review_confidence,,False,1,2,medium_capacity_confidence,studio_name_pattern,12,high,missing_rating_and_price|missing_any_sentiment|missing_amenities|missing_source_link|looks_like_detail_or_unit_listing,review_parent_child_or_mark_secondary,,
LODGE-00390,homestay Bumisarehat - One-Bedroom House,apartment,,,,,Balkon; Cocok untuk anak; Dapur; Kompor; Boleh bawa hewan peliharaan; Bebas asap rokok; TV Kabel; Mesin cuci; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/41658469/0/962524dc35b49cf503996d8b160308fc.jpg?ce=0,,0.6,medium,Belum tersedia,missing_review_confidence,,True,1,2,high_capacity_confidence,bedroom_count_name_pattern,12,high,missing_rating_and_price|missing_any_sentiment|missing_source_link|looks_like_detail_or_unit_listing|property_type_maybe_needs_review,review_parent_child_or_mark_secondary,guest_house|vacation_rental,name_contains_other_property_type_keyword
LODGE-00772,Homestay Nadiviya Alamendah - Three-Bedroom House,guest_house,,,,,Dapur; Boleh bawa hewan peliharaan; TV Kabel; Parkir gratis,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/q-xx.bstatic.com/xdata/images/hotel/max1024x683/629007069.jpg?k=19fdd948df04e377ce61ad78c5ba5ee98335f95099d66717c9ae2181817fa7a4&o=&a=2344045&w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,,0.6,medium,Belum tersedia,missing_review_confidence,,True,5,6,medium_capacity_confidence,room_bedroom_name_pattern,12,high,missing_rating_and_price|missing_any_sentiment|missing_source_link|looks_like_detail_or_unit_listing|property_type_maybe_needs_review,review_parent_child_or_mark_secondary,vacation_rental,name_contains_other_property_type_keyword
