penginapan_id,name,property_type,latitude,longitude,distance_km_reference,hotel_recommendation_score,hotel_distance_score,hotel_rating_score,hotel_sentiment_ranking_score,hotel_price_score,hotel_data_quality_score,hotel_review_confidence_score,overall_rating,reviews,price_lowest,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label
LODGE-01295,Pension Guesthouse,guest_house,-6.9092,107.6235,1.0429215493573876,86.33022690445739,0.8274143490298508,0.9199999999999999,0.8385811026925467,0.8688092838925929,0.9,1.0,4.6,223.0,455359.0,44,0.6771622053850935,Positif,high_review_confidence
LODGE-01350,De Halimun Guest House,guest_house,-6.9264,107.6214,1.021683524206001,84.9690703578401,0.8303325772437175,0.8800000000000001,0.833187092995378,0.8918993433389809,0.85,0.8912033607791858,4.4,983.0,403920.0,25,0.6663741859907558,Positif,high_review_confidence
LODGE-01257,High Livin Apartment Asia Afrika,apartment,-6.9239,107.6177,0.7282347598682185,83.07219651683515,0.8728692537236424,0.76,0.6922027378072423,0.984769062597183,0.9,0.774982946196141,3.8,810.0,197029.0,16,0.3844054756144846,Positif,high_review_confidence
LODGE-00961,Mogens Guest House,guest_house,-6.912,107.6063,1.539621265669375,82.6660785775254,0.7645702704907661,0.9199999999999999,0.7895101889924239,0.9195837136863153,1.0,0.7583999916770635,4.6,699.0,342246.0,15,0.5790203779848477,Positif,high_review_confidence
LODGE-00958,Meize City Center Hotel Bandung,hotel,-6.9148,107.6178,0.3327594235870805,81.03159233465276,0.9376008934295316,0.8400000000000001,0.5,0.9688391255915372,1.0,0.0,4.2,3756.0,232517.0,0,,Belum tersedia,missing_review_confidence
LODGE-00936,Hotel Rumah Tawa Syariah,hotel,-6.917,107.6149,0.4669417054744735,80.66513499319767,0.914588131604387,0.8800000000000001,0.5,0.9631854523333623,1.0,0.0,4.4,356.0,245112.0,0,,Belum tersedia,missing_review_confidence
LODGE-01018,Reddoorz Near Trans Studio Mall 2,apartment,-6.9314,107.6243,1.6487533833991743,80.560639235869,0.7520206739031958,0.8400000000000001,0.6647090264686755,0.9960404985251522,1.0,1.0,4.2,403.0,171919.0,94,0.32941805293735105,Positif,high_review_confidence
LODGE-01081,Vio Hotel Veteran,hotel,-6.9193,107.6149,0.5049781218723309,79.92729803151906,0.9082688231101309,0.86,0.5,0.9528001101736852,1.0,0.0,4.3,1669.0,268248.0,0,,Belum tersedia,missing_review_confidence
LODGE-01221,Apartement Grand Asia Afrika Bandung by House Of Tofi,apartment,-6.9242,107.6183,0.7502224800855941,79.74120241775205,0.8695315733115031,1.0,0.5,0.9235868465260456,0.9,0.0,5.0,194.0,333328.0,0,,Belum tersedia,missing_review_confidence
LODGE-01251,Good Deal Studio Apartment At Green Kosambi Bandung,apartment,-6.9166,107.6241,0.5609282281509707,79.67591881513025,0.8991304679475279,1.0,0.5,0.7683386397212765,0.9,0.0,5.0,1.0,679183.0,0,,Belum tersedia,missing_review_confidence
