penginapan_id,name,property_type,property_type_final,property_type_final_after_p3,latitude,longitude,region_bucket,overall_rating,reviews,price_lowest,price_display,data_quality_score,data_quality_label,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label,capacity_min_estimated,capacity_max_estimated,capacity_confidence,listing_policy_status,ranking_tier_after_p2,ranking_tier_after_p3,primary_ranking_allowed_after_p3,secondary_ranking_allowed_after_p3,drop_from_dataset_after_p3,manual_validation_needed_after_p3,manual_validation_topic_after_p3,p3_validation_applied,p3_decision,p3_note,candidate_parent_name,same_name_count_p3
LODGE-00019,Villa Mang Oyan - Two-Bedroom Villa,villa,villa,villa,-6.6121,107.4684,bandung_raya_other,,,,,0.65,medium,0,,Belum tersedia,missing_review_confidence,2,4,high_capacity_confidence,needs_parent_child_validation,needs_parent_child_validation,dropped_duplicate_detail_listing,False,False,True,False,,True,drop_duplicate_detail_listing,Nama detail/unit duplikat; satu record terbaik dipertahankan.,Villa Mang Oyan,2
LODGE-00025,Villa Niscala 2 - Two-Bedroom Villa,villa,villa,villa,-6.6163,107.5002,bandung_raya_other,,,,,0.55,medium,0,,Belum tersedia,missing_review_confidence,2,4,high_capacity_confidence,needs_parent_child_validation,needs_parent_child_validation,dropped_duplicate_detail_listing,False,False,True,False,,True,drop_duplicate_detail_listing,Nama detail/unit duplikat; satu record terbaik dipertahankan.,Villa Niscala 2,2
LODGE-00026,Paddies Homestay (Full Room),guest_house,guest_house,guest_house,-6.8398,107.0831,bandung_raya_other,,,,,0.5,medium,0,,Belum tersedia,missing_review_confidence,1,2,low_capacity_confidence,needs_parent_child_validation,needs_parent_child_validation,dropped_duplicate_detail_listing,False,False,True,False,,True,drop_duplicate_detail_listing,Nama detail/unit duplikat; satu record terbaik dipertahankan.,Paddies Homestay (Full Room),2
LODGE-00074,Valle Verde Villas - Two-Bedroom Villa,villa,villa,villa,-6.8189,107.5445,cimahi_baros_pasteur,3.9,4.0,2017880.0,Rp 2.017.880,0.95,high,0,,Belum tersedia,missing_review_confidence,2,4,high_capacity_confidence,needs_parent_child_validation,needs_parent_child_validation,dropped_duplicate_detail_listing,False,False,True,False,,True,drop_duplicate_detail_listing,Nama detail/unit duplikat; satu record terbaik dipertahankan.,Valle Verde Villas,2
LODGE-00135,Daymentroom Apartemen R711 2 BR Pasteur Bandung,apartment,apartment,apartment,-6.890200615,107.5656357,cimahi_baros_pasteur,3.5,4.0,500000.0,Rp 500.000,0.84,high,0,,Belum tersedia,missing_review_confidence,3,4,high_capacity_confidence,needs_parent_child_validation,needs_parent_child_validation,dropped_duplicate_detail_listing,False,False,True,False,,True,drop_duplicate_detail_listing,Nama detail/unit duplikat; satu record terbaik dipertahankan.,Daymentroom Apartemen R711 Pasteur Bandung,2
LODGE-00468,Sewa Apartemen Bandung,apartment,apartment,apartment,-6.8911488,107.5665687,cimahi_baros_pasteur,,,,,0.26,low,0,,Belum tersedia,missing_review_confidence,2,4,low_capacity_confidence,hold_low_quality_manual_completion,dropped_low_quality_generic_name,dropped_low_quality_generic_name,False,False,True,False,,False,,,,1
LODGE-00470,OYO 93923 Gateway Pasteur Apartment By,apartment,apartment,apartment,-6.8898271,107.5660289,cimahi_baros_pasteur,,,,,0.12,low,0,,Belum tersedia,missing_review_confidence,2,4,low_capacity_confidence,hold_low_quality_manual_completion,dropped_low_quality_incomplete_name,dropped_low_quality_incomplete_name,False,False,True,False,,False,,,,1
LODGE-00513,Villa Penginapan Purnama - Standard Double Room,villa,villa,villa,-7.1142,107.446,kbb_tengah_barat,2.0,1.0,181320.0,Rp 181.320,0.95,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,needs_parent_child_validation,needs_parent_child_validation,dropped_duplicate_detail_listing,False,False,True,False,,True,drop_duplicate_detail_listing,Nama detail/unit duplikat; satu record terbaik dipertahankan.,Villa Penginapan Purnama,2
LODGE-00528,Ciwidey Jungle Villa - One-Bedroom Villa,villa,villa,villa,-7.1261,107.5146,kbb_tengah_barat,4.25,8.0,,,0.85,high,0,,Belum tersedia,missing_review_confidence,2,2,high_capacity_confidence,needs_parent_child_validation,needs_parent_child_validation,dropped_duplicate_detail_listing,False,False,True,False,,True,drop_duplicate_detail_listing,Nama detail/unit duplikat; satu record terbaik dipertahankan.,Ciwidey Jungle Villa,4
LODGE-00529,Ciwidey Jungle Villa - One-Bedroom Villa,villa,villa,villa,-7.1261,107.5146,kbb_tengah_barat,4.25,8.0,,,0.85,high,0,,Belum tersedia,missing_review_confidence,2,2,high_capacity_confidence,needs_parent_child_validation,needs_parent_child_validation,dropped_duplicate_detail_listing,False,False,True,False,,True,drop_duplicate_detail_listing,Nama detail/unit duplikat; satu record terbaik dipertahankan.,Ciwidey Jungle Villa,4
