penginapan_id,target_name,target_type,target_bucket,target_latitude,target_longitude,result_name,result_type,result_latitude,result_longitude,distance_km,name_similarity,price_lowest,price_display,overall_rating,reviews,link,property_token,audit_status,source_query,source_page
LODGE-00199,Cluster Harris Home Stay & Kos,guest_house,cimahi,-6.8953136,107.538659,The Cluster Harris,hotel,-6.894824100000001,107.53971260000002,0.128,0.667,325902.0,Rp 325.902,4.6,61,http://bit.ly/TheClusterHarris,ChoI_r-itfLm_86iARoNL2cvMTF2ZGgxczByaBAB,safe_price_candidate,"hotel in Kota Bandung, Jawa Barat",1
LODGE-00199,Cluster Harris Home Stay & Kos,guest_house,cimahi,-6.8953136,107.538659,The Cluster Harris,hotel,-6.894824100000001,107.53971260000002,0.128,0.667,325888.0,Rp 325.888,4.6,61,http://bit.ly/TheClusterHarris,ChoI_r-itfLm_86iARoNL2cvMTF2ZGgxczByaBAB,safe_price_candidate,"hotel in Kota Bandung, Jawa Barat",12
LODGE-01594,Zatarana Guest House Syariah,guest_house,guest_house_bandung,-6.8956,107.6198,Selaras Guest House & Restaurant,hotel,-6.9047624999999995,107.62374319999999,1.108,0.69,379313.0,Rp 379.313,4.6,1182,https://www.instagram.com/selarasghr/,ChgIlIPchaOmvtBRGgwvZy8xMXg5YnRkenQQAQ,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",10
LODGE-01582,Rumah Nenekoe Guest House,guest_house,guest_house_bandung,-6.9345,107.6213,Jaksa Guest House Bandung,hotel,-6.930638,107.60412,1.944,0.667,211775.0,Rp 211.775,4.6,107,,ChoI7_jM19vX8ojAARoNL2cvMTFjc3Bza2YwMhAB,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",17
LODGE-01568,Guest House Rumah Tawa 2,guest_house,guest_house_bandung,-6.9304,107.6219,Guest House Rumah Tawa Syariah 1,hotel,-6.929651600000001,107.6223502,0.097,0.821,192472.0,Rp 192.472,4.3,143,,ChkI14uQh5aq3_siGg0vZy8xMWI2bGd3N2ZxEAE,safe_price_candidate,"hotel in Kota Bandung, Jawa Barat",21
LODGE-01568,Guest House Rumah Tawa 2,guest_house,guest_house_bandung,-6.9304,107.6219,Guest House Rumah Tawa Syariah 1,hotel,-6.929651600000001,107.6223502,0.097,0.821,192472.0,Rp 192.472,4.3,143,,ChkI14uQh5aq3_siGg0vZy8xMWI2bGd3N2ZxEAE,safe_price_candidate,"hotel in Kota Bandung, Jawa Barat",24
LODGE-00341,Sukaraja Guest House Bandung,guest_house,cimahi,-6.8917943,107.5694466,Sutan Raja Guest House Bandung,hotel,-6.9291085,107.62437,7.347,0.905,224281.0,Rp 224.281,4.2,330,http://www.saparajahotels.com/,ChkI9PXR5euZ5txhGg0vZy8xMWI3NzRocHF3EAE,needs_review_name_only,"hotel in Kota Bandung, Jawa Barat",21
LODGE-01634,My Family Guest House,guest_house,guest_house_bandung,-6.9021,107.6133,Mogens Guest House,hotel,-6.911974,107.60634399999999,1.34,0.667,349981.0,Rp 349.981,4.6,700,https://sites.google.com/view/mogensguesthouse/,ChkIloHE9OG8s88cGg0vZy8xMWM2enE1bHhwEAE,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",5
LODGE-01634,My Family Guest House,guest_house,guest_house_bandung,-6.9021,107.6133,My Hotel,hotel,-6.9021631,107.61323200000001,0.01,0.174,248108.0,Rp 248.108,4.8,12,,ChoIgumd_NP_mdiGARoNL2cvMTFyZ2g3ODdiYhAB,safe_price_candidate,"hotel in Kota Bandung, Jawa Barat",17
LODGE-01634,My Family Guest House,guest_house,guest_house_bandung,-6.9021,107.6133,Ouma Guest House,vacation rental,-6.902039051055908,107.59624481201172,1.883,0.757,1056236.0,Rp 1.056.236,5.0,16,,ChkQpJOXsf7R74cMGg0vZy8xMXlwNmp0NDdwEAI,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",24
