penginapan_id,target_name,target_type,target_bucket,target_latitude,target_longitude,result_name,result_type,result_latitude,result_longitude,distance_km,name_similarity,token_overlap,price_lowest,price_display,overall_rating,reviews,link,property_token,audit_status,source_query,source_page
LODGE-00199,Cluster Harris Home Stay & Kos,guest_house,cimahi,-6.8953136,107.538659,The Cluster Harris,hotel,-6.894824100000001,107.53971260000002,0.128,0.667,1.0,325902.0,Rp 325.902,4.6,61,http://bit.ly/TheClusterHarris,ChoI_r-itfLm_86iARoNL2cvMTF2ZGgxczByaBAB,safe_price_candidate,"hotel in Kota Bandung, Jawa Barat",1
LODGE-00199,Cluster Harris Home Stay & Kos,guest_house,cimahi,-6.8953136,107.538659,The Cluster Harris,hotel,-6.894824100000001,107.53971260000002,0.128,0.667,1.0,325888.0,Rp 325.888,4.6,61,http://bit.ly/TheClusterHarris,ChoI_r-itfLm_86iARoNL2cvMTF2ZGgxczByaBAB,safe_price_candidate,"hotel in Kota Bandung, Jawa Barat",12
LODGE-01568,Guest House Rumah Tawa 2,guest_house,guest_house_bandung,-6.9304,107.6219,Guest House Rumah Tawa Syariah 1,hotel,-6.929651600000001,107.6223502,0.097,0.821,0.8,192472.0,Rp 192.472,4.3,143,,ChkI14uQh5aq3_siGg0vZy8xMWI2bGd3N2ZxEAE,safe_price_candidate,"hotel in Kota Bandung, Jawa Barat",21
LODGE-01568,Guest House Rumah Tawa 2,guest_house,guest_house_bandung,-6.9304,107.6219,Guest House Rumah Tawa Syariah 1,hotel,-6.929651600000001,107.6223502,0.097,0.821,0.8,192472.0,Rp 192.472,4.3,143,,ChkI14uQh5aq3_siGg0vZy8xMWI2bGd3N2ZxEAE,safe_price_candidate,"hotel in Kota Bandung, Jawa Barat",24
LODGE-01532,D'Sovia Hotel Bandung,hotel,hotel_bandung,-6.9172,107.598,Grand Sovia Hotel,hotel,-6.9123731,107.6027986,0.754,0.778,0.5,315583.0,Rp 315.583,4.2,4360,,ChoI8frDxOi5nN7HARoNL2cvMTFiNzN3dnc0NhAB,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",3
LODGE-01532,D'Sovia Hotel Bandung,hotel,hotel_bandung,-6.9172,107.598,Grand Sovia Hotel,hotel,-6.9123731,107.6027986,0.754,0.778,0.5,342160.0,Rp 342.160,4.2,4360,,ChoI8frDxOi5nN7HARoNL2cvMTFiNzN3dnc0NhAB,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",4
LODGE-01579,RedDoorz @ Talaga Bodas,hotel,hotel_bandung,-6.9282,107.6202,RedDoorz @ Hotel Lodaya Bandung,hotel,-6.930950999999999,107.6230349,0.438,0.722,0.5,146830.0,Rp 146.830,3.6,595,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/lengkong/hotel-lodaya-syariah-bandung?utm_source=google&utm_medium=mybusiness&utm_campaign=webclick,ChcIoOnF0qjxmstfGgsvZy8xdG05ZGxsMBAB,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",17
LODGE-01563,Airy Supratman 23 Bandung,hotel,hotel_bandung,-6.9065,107.6294,Hotel Supratman,hotel,-6.9015577,107.6268575,0.617,0.692,1.0,182000.0,Rp 182.000,4.3,448,,ChgIv_Da2L7IuOPQARoLL2cvMXdqd3h5ZGQQAQ,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",12
LODGE-01563,Airy Supratman 23 Bandung,hotel,hotel_bandung,-6.9065,107.6294,Hotel Supratman,hotel,-6.9015577,107.6268575,0.617,0.692,1.0,300996.0,Rp 300.996,4.3,448,,ChgIv_Da2L7IuOPQARoLL2cvMXdqd3h5ZGQQAQ,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",18
LODGE-01580,RedDoorz near Asia Afrika 2,hotel,hotel_bandung,-6.9316,107.6193,RedDoorz Plus near Asia Afrika 3,hotel,-6.9236328,107.6098026,1.373,0.857,0.75,282885.0,Rp 282.885,4.0,684,,ChkIqZuateDW68RtGg0vZy8xMWY0d3RoejczEAE,needs_review_name_distance,"hotel in Kota Bandung, Jawa Barat",7
