penginapan_id,target_name,target_type,target_bucket,target_latitude,target_longitude,result_name,result_type,result_latitude,result_longitude,distance_km,name_similarity,price_lowest,price_display,overall_rating,reviews,link,property_token,audit_status,source_query,source_page
LODGE-00199,Cluster Harris Home Stay & Kos,guest_house,cimahi,-6.8953136,107.538659,The Cluster Harris,hotel,-6.894824100000001,107.53971260000002,0.128,0.667,325902.0,Rp 325.902,4.6,61,http://bit.ly/TheClusterHarris,ChoI_r-itfLm_86iARoNL2cvMTF2ZGgxczByaBAB,safe_price_candidate,"hotel in Kota Bandung, Jawa Barat",1
LODGE-00264,KARIZMA RESIDENCE,hotel,cimahi,-6.8896251,107.5791915,V Hotel & Residence,hotel,-6.8818934,107.5847237,1.055,0.714,413091.0,Rp 413.091,4.6,7774,http://www.vhotelresidence.com/,ChgIo5_Hg6au1sZCGgwvZy8xaGhoaDlibTIQAQ,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",6
LODGE-00341,Sukaraja Guest House Bandung,guest_house,cimahi,-6.8917943,107.5694466,Sutan Raja Guest House Bandung,hotel,-6.9291085,107.62437,7.347,0.905,224281.0,Rp 224.281,4.2,330,http://www.saparajahotels.com/,ChkI9PXR5euZ5txhGg0vZy8xMWI3NzRocHF3EAE,needs_review_name_only,"hotel in Kota Bandung, Jawa Barat",21
LODGE-01514,Airy Braga Lembong 21 Bandung,hotel,hotel_bandung,-6.9177,107.6125,éL Hotel Bandung,hotel,-6.9161169,107.61061939999999,0.272,0.091,768864.0,Rp 768.864,4.6,20593,https://bandung.el-hotels.com/,ChkIt_OxzobQofPZARoML2cvMWhmOTFienM4EAE,safe_price_candidate,"hotel in Kota Bandung, Jawa Barat",2
LODGE-01521,Bantal Guling Asia Afrika,hotel,hotel_bandung,-6.926,107.6056,Bantal Guling Pasar Baru,hotel,-6.918733400000001,107.5998994,1.024,0.816,101176.0,Rp 101.176,4.0,594,http://bantalgulinggroup.com/,ChkIn-62vJfFnPIwGg0vZy8xMWNtOTV2ejZ3EAE,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",4
LODGE-01532,D'Sovia Hotel Bandung,hotel,hotel_bandung,-6.9172,107.598,Grand Sovia Hotel,hotel,-6.9123731,107.6027986,0.754,0.778,315583.0,Rp 315.583,4.2,4360,,ChoI8frDxOi5nN7HARoNL2cvMTFiNzN3dnc0NhAB,safe_price_candidate,"hotel in Kota Bandung, Jawa Barat",3
LODGE-01539,Hotel RedDoorz Malabar 39,hotel,hotel_bandung,-6.9241,107.6249,RedDoorz @ Buah Batu 3,hotel,-6.9409605999999995,107.62993990000001,1.956,0.718,167392.0,Rp 167.392,3.0,144,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/buah-batu/kliningan/reddoorz-buah-batu-3?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,ChoIj_PJ6sSx1_7bARoNL2cvMTFoN2NidGcxcRAB,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",23
LODGE-01547,RedDoorz Plus Near BIP,hotel,hotel_bandung,-6.9077,107.613,éL Hotel Bandung,hotel,-6.9161169,107.61061939999999,0.972,0.111,768864.0,Rp 768.864,4.6,20593,https://bandung.el-hotels.com/,ChkIt_OxzobQofPZARoML2cvMWhmOTFienM4EAE,safe_price_candidate,"hotel in Kota Bandung, Jawa Barat",2
LODGE-01563,Airy Supratman 23 Bandung,hotel,hotel_bandung,-6.9065,107.6294,Hotel Supratman,hotel,-6.9015577,107.6268575,0.617,0.692,182000.0,Rp 182.000,4.3,448,,ChgIv_Da2L7IuOPQARoLL2cvMXdqd3h5ZGQQAQ,safe_price_candidate,"hotel in Kota Bandung, Jawa Barat",12
LODGE-01564,Airy Veteran 30 Bandung,hotel,hotel_bandung,-6.9192,107.615,Vio Hotel Veteran,hotel,-6.9192735,107.6149464,0.01,0.692,275307.0,Rp 275.307,4.3,1684,https://viohotel.com/vio-veteran,ChkIiaaC7sHj4vY9Gg0vZy8xMWJid19fZmo5EAE,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",11
