penginapan_id,name,apply_status,price_before,price_after,rating_before,rating_after,reviews_before,reviews_after,source_query,source_file,property_token,distance_km,audit_note
LODGE-00116,Pasteur Beautiful Luxury Home,applied_price,,2500000.0,3.85,3.85,1.0,1.0,"hotel in Cimahi, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-48-22-530.json,ChkQ4Nqm7sHs0c0iGg0vZy8xMW5ienM3dmRuEAI,0.002204,Exact normalized name and coordinate distance <= 100m.
LODGE-00132,West Point Hotel Bandung,applied_price,,521112.0,4.3,4.3,4377.0,4377.0,"penginapan in Kabupaten Bandung Barat, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-53-48-084.json,ChkI-MLUrd7Bm-x6Gg0vZy8xMWM1N21mOXM2EAE,0.004611,Exact normalized name and coordinate distance <= 100m.
LODGE-00141,OYO 1859 Rancabali Residence,applied_price,,106320.0,4.3,4.3,91.0,91.0,"hotel in Cimahi, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-48-22-530.json,ChoIsbPa4NuT0IzzARoNL2cvMTFqMGswN21jbBAB,0.0,Exact normalized name and coordinate distance <= 100m.
LODGE-00185,Villa Kyuri Lembang,applied_rating_reviews,1177454.0,1177454.0,,5.0,,13.0,"penginapan in Kabupaten Bandung Barat, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-53-48-084.json,ChoIifzJq8rXu7bFARoNL2cvMTFzc2ZtN2JmbBAB,0.017056,Exact normalized name and coordinate distance <= 100m.
LODGE-00212,Tirtasari Nice Guest House,applied_rating_reviews,160025.0,160025.0,,3.15,,2.0,"penginapan murah in Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-46-16-156.json,ChkQ1eLf7o24nNskGg0vZy8xMW5wcWQ4OXdmEAI,0.004234,Exact normalized name and coordinate distance <= 100m.
LODGE-00366,Mason Pine Hotel,applied_price,,1672943.0,4.8,4.8,18346.0,18346.0,"penginapan in Kabupaten Bandung Barat, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-53-48-084.json,ChgI6dC34L-Ht-jrARoLL2cvMXRuX3dycnQQAQ,0.00538,Exact normalized name and coordinate distance <= 100m.
LODGE-00435,Bobo inn Baros,applied_price,,299250.0,4.0,4.0,1.0,1.0,"hotel in Cimahi, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-48-22-530.json,ChkIppP16P-y6M98Gg0vZy8xMWx0ZnFrbGd3EAE,0.0,Exact normalized name and coordinate distance <= 100m.
LODGE-00438,Hen's Guest House,applied_price,,363917.0,4.6,4.6,245.0,245.0,"hotel in Cimahi, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-48-22-530.json,ChoIwMeLsbef79n5ARoNL2cvMTFjNWZoNmR0YxAB,0.0,Exact normalized name and coordinate distance <= 100m.
LODGE-00449,Seven Homestay,applied_price,,343852.0,4.8,4.8,40.0,40.0,"hotel in Cimahi, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-48-22-530.json,ChkI7buhhOudwsFGGg0vZy8xMWgyamIwYl96EAE,0.0,Exact normalized name and coordinate distance <= 100m.
LODGE-00584,Seribu Pulau Pangalengan,applied_rating_reviews,719218.0,719218.0,,4.2,,165.0,"penginapan in Kabupaten Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-51-18-035.json,ChkI2buX0ZHVn84rGg0vZy8xMXZ4M2p0NnR6EAE,0.012011,Exact normalized name and coordinate distance <= 100m.
