penginapan_id,primary_name,scrape_name,match_method,match_confidence,distance_km,primary_property_type,scrape_type,primary_priority_before,primary_price_before,scrape_price_lowest,scrape_price_display,primary_rating_before,primary_reviews_before,scrape_overall_rating,scrape_reviews,fillable_price,fillable_rating_reviews,query,source_file,page_number,property_token,link,price_sources,hotel_class,check_in_time,check_out_time,primary_image_url,amenities
LODGE-00856,Amaris Hotel Cihampelas,Amaris Hotel Cihampelas,exact_normalized_name,safe_apply_candidate,0.006054,hotel,hotel,OK_complete_enough,377816.0,381711.0,Rp 381.711,4.2,4066.0,4.3,4083.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,1,ChkIk8igpuqhs84PGg0vZy8xMWgwNHY2MzNfEAE,https://mysantika.com/indonesia/bandung/amaris-hotel-cihampelas-bandung,,Hotel bintang 2,14.00,12.00,,Free breakfast; Free Wi-Fi; Free parking; Pools; Air conditioning; Restaurant; Room service; Full-service laundry; Accessible; Kid-friendly
LODGE-00940,Hotel Savoy Homann Bandung,Hotel Savoy Homann Bandung,exact_normalized_name,safe_apply_candidate,0.005298,hotel,hotel,OK_complete_enough,558746.0,500576.0,Rp 500.576,4.6,10318.0,4.6,10333.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,1,ChYIlrawjPep7IRPGgovbS8wM2dfeTdoEAE,https://savoyhomannbandung.com/,,Hotel bintang 4,14.00,12.00,,Breakfast ($); Free Wi-Fi; Parking ($); Indoor pool; Hot tub; Air conditioning; Fitness center; Spa; Bar; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Business center; Kid-friendly; Smoke-free property
LODGE-00864,Aryaduta Bandung,Aryaduta Bandung,exact_normalized_name,safe_apply_candidate,0.003087,hotel,hotel,OK_complete_enough,863377.0,806627.0,Rp 806.627,4.6,9892.0,4.6,9915.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,1,ChcIwLXQwuSb8_QiGgsvZy8xdGN3YzJwXxAB,https://www.aryaduta.com/en/hotel/ABD/aryaduta-bandung?utm_source=digital-direct&utm_medium=web-link&utm_campaign=lps&utm_term=button,,Hotel bintang 5,14.00,12.00,,Breakfast ($); Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Fitness center; Bar; Restaurant; Room service; Full-service laundry; Accessible; Business center; Kid-friendly
LODGE-01091,de Java Hotel,de Java Hotel,exact_normalized_name,safe_apply_candidate,0.007096,hotel,hotel,OK_complete_enough,510866.0,558850.0,Rp 558.850,4.4,4348.0,4.4,4346.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,1,ChkIm4Xg4vqr88WSARoML2cvMXBwMnRfNHRnEAE,http://www.dejavahotel.com/,,Hotel bintang 4,14.00,12.00,,Breakfast; Free Wi-Fi; Free parking; Indoor pool; Air conditioning; Fitness center; Spa; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Business center; Kid-friendly
LODGE-00869,Bali World Hotel,Bali World Hotel,exact_normalized_name,safe_apply_candidate,0.005486,hotel,hotel,OK_complete_enough,306176.0,344453.0,Rp 344.453,4.2,3821.0,4.2,3826.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,1,ChkIxOGp0vDFjco1Gg0vZy8xMWI2YnNzNWx2EAE,http://www.baliworldhotel.com/,,Hotel bintang 3,14.00,12.00,,Free breakfast; Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Fitness center; Restaurant; Room service; Full-service laundry; Accessible; Business center; Kid-friendly
LODGE-01185,Serela Waringin Hotel,Serela Waringin Hotel,exact_normalized_name,safe_apply_candidate,0.006531,hotel,hotel,OK_complete_enough,333867.0,330361.0,Rp 330.361,3.9,2031.0,3.9,2066.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,1,ChkI-tWg_-ePmpELGg0vZy8xMWI2ZHBwbG5wEAE,https://booking.kagumhotels.com/offers?hotel=SWRG,,Hotel bintang 3,15.00,12.00,,Breakfast; Free Wi-Fi; Free parking; Indoor pool; Air conditioning; Restaurant; Room service; Full-service laundry; Accessible; Kid-friendly
LODGE-01042,Sukajadi Hotel and Gallery,Sukajadi Hotel and Gallery,exact_normalized_name,safe_apply_candidate,0.004389,hotel,hotel,OK_complete_enough,399200.0,415502.0,Rp 415.502,4.3,3482.0,4.3,3489.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,1,ChcI6bWnv8KjzehYGgsvZy8xdGY1NF8zMRAB,https://www.sukajadihotel.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,Hotel bintang 3,14.00,12.00,,Breakfast ($); Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Fitness center; Kitchen in some rooms; Airport shuttle; Accessible; Kid-friendly
LODGE-01037,Sentra Inn Bandung,Sentra Inn Bandung,exact_normalized_name,safe_apply_candidate,0.00636,hotel,hotel,OK_complete_enough,210956.0,235334.0,Rp 235.334,4.3,438.0,4.3,439.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,1,ChoIocPy-oPtjfLnARoNL2cvMTFieGR2a2o2bBAB,http://www.rehat.co.id/,,Hotel bintang 3,12.00,14.00,,Free Wi-Fi; Free parking; Air conditioning
LODGE-01095,éL Hotel Bandung,éL Hotel Bandung,exact_normalized_name,safe_apply_candidate,0.002849,hotel,hotel,OK_complete_enough,758887.0,768873.0,Rp 768.873,4.6,20541.0,4.6,20593.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,1,ChkIt_OxzobQofPZARoML2cvMWhmOTFienM4EAE,https://bandung.el-hotels.com/,,Hotel bintang 4,15.00,12.00,,Breakfast; Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Fitness center; Spa; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Business center; Kid-friendly
LODGE-01216,Amaroossa Hotel Bandung,Amaroossa Hotel Bandung,exact_normalized_name,safe_apply_candidate,0.002189,hotel,hotel,P3_source_link_missing,441589.0,460000.0,Rp 460.000,4.3,4458.0,4.3,4465.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,1,ChgI3tD-1LvbvJWMARoLL2cvMXRkajZqN3oQAQ,,,Hotel bintang 4,14.00,12.00,,Breakfast; Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Fitness center; Spa; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Kid-friendly
