penginapan_id,primary_name,scrape_name,match_method,match_confidence,distance_km,primary_property_type,scrape_type,primary_priority_before,primary_price_before,scrape_price_lowest,scrape_price_display,primary_rating_before,primary_reviews_before,scrape_overall_rating,scrape_reviews,fillable_price,fillable_rating_reviews,query,source_file,page_number,property_token,link,price_sources,hotel_class,check_in_time,check_out_time,primary_image_url,amenities,_has_price,_has_rating,_has_reviews,_distance,_price,recommended_action,audit_note
LODGE-00116,Pasteur Beautiful Luxury Home,Pasteur Beautiful Luxury Home,exact_normalized_name,safe_apply_candidate,0.002204,vacation_rental,vacation rental,P1_price_missing,,2500000.0,Rp 2.500.000,3.85,1.0,4.4,11.0,True,False,"hotel in Cimahi, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-48-22-530.json,16,ChkQ4Nqm7sHs0c0iGg0vZy8xMW5ienM3dmRuEAI,https://www.booking.com/hotel/id/paasteur-beautiful-luxury-house.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-3802345&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-3802345_grp-1_gendate-20260531,Booking.com,,12.00,10.00,,Ber-AC; Dapur; Microwave; Kompor; Boleh bawa hewan peliharaan; Bebas asap rokok; TV Kabel,1,1,1,0.002204,2500000.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-00132,West Point Hotel Bandung,West Point Hotel Bandung,exact_normalized_name,safe_apply_candidate,0.004611,hotel,hotel,P1_price_missing,,521112.0,Rp 521.112,4.3,4377.0,4.3,4387.0,True,False,"penginapan in Kabupaten Bandung Barat, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-53-48-084.json,11,ChkI-MLUrd7Bm-x6Gg0vZy8xMWM1N21mOXM2EAE,http://www.westpointbandung.com/,,Hotel bintang 4,15.00,12.00,,Breakfast; Free Wi-Fi; Parking; Air conditioning; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Kid-friendly,1,1,1,0.004611,521112.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-00141,OYO 1859 Rancabali Residence,OYO 1859 Rancabali Residence,exact_normalized_name,safe_apply_candidate,0.0,hotel,hotel,P1_price_missing,,106320.0,Rp 106.320,4.3,91.0,4.3,89.0,True,False,"hotel in Cimahi, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-48-22-530.json,2,ChoIsbPa4NuT0IzzARoNL2cvMTFqMGswN21jbBAB,https://www.oyorooms.com/h/85033?utm_source=Google_gmb_ID&utm_medium=Organic&utm_campaign=ID_KBB006&latitude=-6.88779&longitude=107.5654&locale=id,,Hotel bintang 2,13.30,12.30,,Free Wi-Fi; Air conditioning,1,1,1,0.0,106320.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-00185,Villa Kyuri Lembang,Villa Kyuri Lembang,exact_normalized_name,safe_apply_candidate,0.017056,villa,hotel,P1_rating_reviews_missing,1177454.0,1426581.0,Rp 1.426.581,,,5.0,13.0,False,True,"penginapan in Kabupaten Bandung Barat, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-53-48-084.json,17,ChoIifzJq8rXu7bFARoNL2cvMTFzc2ZtN2JmbBAB,http://linktr.ee/VillaKyuriLembang,,,,,,,1,1,1,0.017056,1426581.0,fill_rating_reviews,Exact normalized name and coordinate distance <= 100m.
LODGE-00212,Tirtasari Nice Guest House,Tirtasari Nice Guest House,exact_normalized_name,safe_apply_candidate,0.004234,guest_house,vacation rental,P1_rating_reviews_missing,160025.0,176104.0,Rp 176.104,,,3.15,2.0,False,True,"penginapan murah in Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-46-16-156.json,5,ChkQ1eLf7o24nNskGg0vZy8xMW5wcWQ4OXdmEAI,https://www.bluepillow.com/search/639a1d0bdf5d94a879ffe5f1?dest=ago&cat=apartment&lat=-6.87501&lng=107.57574&language=en,Bluepillow.com,,14.00,,,Ber-AC; Cocok untuk anak; Bebas asap rokok; TV Kabel; Parkir gratis; Wi-Fi gratis,1,1,1,0.004234,176104.0,fill_rating_reviews,Exact normalized name and coordinate distance <= 100m.
LODGE-00366,Mason Pine Hotel,Mason Pine Hotel,exact_normalized_name,safe_apply_candidate,0.00538,hotel,hotel,P1_price_missing,,1672943.0,Rp 1.672.943,4.8,18346.0,4.8,18444.0,True,False,"penginapan in Kabupaten Bandung Barat, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-53-48-084.json,20,ChgI6dC34L-Ht-jrARoLL2cvMXRuX3dycnQQAQ,http://www.masonpinehotel.com/,,Hotel bintang 5,15.00,12.00,,Breakfast; Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Fitness center; Spa; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Business center; Kid-friendly,1,1,1,0.00538,1672943.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-00435,Bobo inn Baros,Bobo inn Baros,exact_normalized_name,safe_apply_candidate,0.0,hotel,hotel,P1_price_missing,,299250.0,Rp 299.250,4.0,1.0,4.0,1.0,True,False,"hotel in Cimahi, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-48-22-530.json,1,ChkIppP16P-y6M98Gg0vZy8xMWx0ZnFrbGd3EAE,,,,,,,,1,1,1,0.0,299250.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-00438,Hen's Guest House,Hen's Guest House,exact_normalized_name,safe_apply_candidate,0.0,guest_house,hotel,P1_price_missing,,363917.0,Rp 363.917,4.6,245.0,4.7,244.0,True,False,"hotel in Cimahi, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-48-22-530.json,1,ChoIwMeLsbef79n5ARoNL2cvMTFjNWZoNmR0YxAB,,,,,,,,1,1,1,0.0,363917.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-00449,Seven Homestay,Seven Homestay,exact_normalized_name,safe_apply_candidate,0.0,guest_house,hotel,P1_price_missing,,343852.0,Rp 343.852,4.8,40.0,4.8,40.0,True,False,"hotel in Cimahi, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-48-22-530.json,2,ChkI7buhhOudwsFGGg0vZy8xMWgyamIwYl96EAE,,,,,,,,1,1,1,0.0,343852.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-00584,Seribu Pulau Pangalengan,Seribu Pulau Pangalengan,exact_normalized_name,safe_apply_candidate,0.012011,vacation_rental,hotel,P1_rating_reviews_missing,719218.0,470000.0,Rp 470.000,,,4.2,165.0,False,True,"penginapan in Kabupaten Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-51-18-035.json,12,ChkI2buX0ZHVn84rGg0vZy8xMXZ4M2p0NnR6EAE,http://seribupulau.id/,,,,,,,1,1,1,0.012011,470000.0,fill_rating_reviews,Exact normalized name and coordinate distance <= 100m.
LODGE-00684,Ciwidey Homestay 4 Bedroom,Ciwidey Homestay 4 Bedroom,exact_normalized_name,safe_apply_candidate,0.039161,guest_house,vacation rental,P1_core_rating_price_missing,,2019017.0,Rp 2.019.017,,,,,True,False,"villa in Ciwidey, Kabupaten Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-57-07-934 (1).json,2,ChoQ8ND5uIenzpzUARoNL2cvMTF4OHk4Y3gyeBAC,https://www.bluepillow.com/search/61828bf09e3163a56a28b769?dest=ago&cat=Vacation+rental+(other)&lat=-7.13304&lng=107.42159&language=en,Bluepillow.com,,,,,Cocok untuk anak; Papan setrika; Dapur; Boleh bawa hewan peliharaan; TV Kabel; Dapat diakses pengguna kursi roda; Parkir gratis; Wi-Fi gratis,1,0,0,0.039161,2019017.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-00686,D'Lily Guest House Syariah,D'Lily Guest House Syariah,exact_normalized_name,safe_apply_candidate,0.039439,guest_house,vacation rental,P1_price_missing,,1395853.0,Rp 1.395.853,4.4,22.0,,,True,False,"villa in Ciwidey, Kabupaten Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-57-07-934 (1).json,1,ChkQvdTN4sqOrtsaGg0vZy8xMXhjX3ZoNndoEAI,https://www.bluepillow.com/search/65e2266493553be8f55669ab?dest=ago&cat=Vacation+rental+(other)&lat=-7.08795&lng=107.47755&language=en,Bluepillow.com,,,,,Dapur; TV Kabel; Parkir gratis; Wi-Fi gratis,1,0,0,0.039439,1395853.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-00769,"Bobocabin Ranca upas, Bandung","Bobocabin Ranca upas, Bandung",exact_normalized_name,safe_apply_candidate,0.003458,hotel,hotel,P1_price_missing,,659558.0,Rp 659.558,4.4,990.0,4.4,996.0,True,False,"penginapan in Kabupaten Bandung Barat, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-53-48-084.json,4,ChoIvNuU5fGCyLWKARoNL2cvMTFyX2czZzVnNhAB,https://bobobox.com/bobocabin/jawa-barat/bobocabin-ranca-upas-1017/,,Hotel bintang 4,14.00,,,Free Wi-Fi; Parking,1,1,1,0.003458,659558.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-00770,Ciwidey Jungle Camp,Ciwidey Jungle Camp,exact_normalized_name,safe_apply_candidate,0.002469,hotel,hotel,P1_price_missing,,318938.0,Rp 318.938,4.4,64.0,4.4,65.0,True,False,"penginapan in Kabupaten Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-51-18-035.json,8,ChkI8typgsOamLhdGg0vZy8xMXM0el9fbnJkEAE,https://wa.me/villa.ciwidey,,,,,,,1,1,1,0.002469,318938.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-00771,Grand Sunshine Resort & Convention,Grand Sunshine Resort & Convention,exact_normalized_name,safe_apply_candidate,0.005337,hotel,hotel,P1_price_missing,,820800.0,Rp 820.800,4.8,16012.0,4.8,16154.0,True,False,"penginapan in Kabupaten Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-51-18-035.json,5,ChkIqreZv_eF9fc7Gg0vZy8xMWgza3o4MGhmEAE,http://www.grand-sunshine.com/,,Hotel bintang 4,14.00,12.00,,Free breakfast; Free Wi-Fi; Free parking; Outdoor pool; Hot tub; Air conditioning; Fitness center; Spa; Bar; Restaurant; Room service; Kitchen in some rooms; Airport shuttle; Full-service laundry; Accessible; Business center; Kid-friendly,1,1,1,0.005337,820800.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-00773,Hotel Pesona Ciwidey,Hotel Pesona Ciwidey,exact_normalized_name,safe_apply_candidate,0.004807,hotel,hotel,P1_price_missing,,386598.0,Rp 386.598,4.3,1593.0,4.3,1597.0,True,False,"penginapan in Kabupaten Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-51-18-035.json,1,ChkIw-KXpuLi0aUHGg0vZy8xMWdkMWtfNmxmEAE,,,,15.00,11.00,,Free Wi-Fi; Free parking; Outdoor pool; Room service; Kid-friendly,1,1,1,0.004807,386598.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-00774,Hotel Soreang,Hotel Soreang,exact_normalized_name,safe_apply_candidate,0.002626,hotel,hotel,P1_price_missing,,260379.0,Rp 260.379,4.3,728.0,4.3,731.0,True,False,"penginapan in Kabupaten Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-51-18-035.json,1,ChoIkOOvjpGg4aW3ARoNL2cvMTFoeV9ybjJxdhAB,http://soreanghotel.zoombookdirect.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=google_my_business,,,14.00,12.00,,Breakfast ($); Free Wi-Fi; Free parking; Air conditioning; Restaurant; Room service,1,1,1,0.002626,260379.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-00776,LuxCamp Riverside Pangalengan by Horison,LuxCamp Riverside Pangalengan by Horison,exact_normalized_name,safe_apply_candidate,0.004753,hotel,hotel,P1_price_missing,,1053671.0,Rp 1.053.671,4.4,209.0,4.4,212.0,True,False,"penginapan in Kabupaten Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-51-18-035.json,1,ChoI296ihb_fqJimARoNL2cvMTFweXJ5NTJ2NBAB,http://www.myhorison.com/,,Hotel bintang 3,14.00,12.00,,Breakfast; Wi-Fi; Room service; Smoke-free property,1,1,1,0.004753,1053671.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-00778,PURNAMA,PURNAMA,exact_normalized_name,safe_apply_candidate,0.005776,hotel,hotel,P1_price_missing,,170371.0,Rp 170.371,3.6,134.0,3.6,135.0,True,False,"penginapan in Kabupaten Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-51-18-035.json,3,ChkIksba3sHwmfhrGg0vZy8xMWhidDV4bnBoEAE,,,,12.00,12.00,,Free Wi-Fi; Free parking; Room service,1,1,1,0.005776,170371.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-00787,Sutan Raja Hotel and Convention Centre,Sutan Raja Hotel and Convention Centre,exact_normalized_name,safe_apply_candidate,0.090674,hotel,hotel,P1_price_missing,,567709.0,Rp 567.709,4.4,6483.0,4.4,6494.0,True,False,"penginapan in Kabupaten Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-51-18-035.json,1,ChkItP_u1dbbia7sARoML2cvMXE2amJmeHc3EAE,http://sutanrajasoreang.com/,,Hotel bintang 4,14.00,12.00,,Breakfast ($); Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Fitness center; Spa; Restaurant; Room service; Full-service laundry; Accessible; Kid-friendly; Smoke-free property,1,1,1,0.090674,567709.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-00788,The kabayan villa pangalengan (sunrise view),The kabayan villa pangalengan (sunrise view),exact_normalized_name,safe_apply_candidate,0.005205,villa,hotel,P1_price_missing,,527507.0,Rp 527.507,4.7,101.0,4.7,102.0,True,False,"penginapan in Kabupaten Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-51-18-035.json,1,ChoI8Iz-kPLu0cnxARoNL2cvMTF0cmRodzF2bRAB,https://instagram.com/thekabayan_sunriseview?igshid=MzNlNGNkZWQ4Mg==,,,,,,,1,1,1,0.005205,527507.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-01397,Selaras Guest House & Restaurant,Selaras Guest House & Restaurant,exact_normalized_name,safe_apply_candidate,0.006335,guest_house,hotel,P1_price_missing,,379313.0,Rp 379.313,4.6,1180.0,4.6,1181.0,True,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,7,ChgIlIPchaOmvtBRGgwvZy8xMXg5YnRkenQQAQ,https://www.instagram.com/selarasghr/,,Hotel bintang 2,14.00,12.00,,Breakfast; Free Wi-Fi; Free parking; Air conditioning; Restaurant; Room service; Full-service laundry; Kid-friendly,1,1,1,0.006335,379313.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-01495,SunMoon,SunMoon,exact_normalized_name,safe_apply_candidate,0.000622,vacation_rental,hotel,P1_price_missing,,238243.0,Rp 238.243,4.475,313.0,4.7,78.0,True,False,"penginapan murah in Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-46-16-156.json,20,ChoIy4zVrozf2vOeARoNL2cvMTFwdjk3ZHFxchAB,,,Hotel bintang 3,14.00,12.00,,Free Wi-Fi; Free parking; Air conditioning,1,1,1,0.000622,238243.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-01536,Hotel Butik Sawunggaling,Hotel Butik Sawunggaling,exact_normalized_name,safe_apply_candidate,0.005612,hotel,hotel,P1_price_missing,,548485.0,Rp 548.485,4.2,812.0,4.2,813.0,True,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,17,ChgIk9_41vbRhPuDARoLL2cvMXRka3pfMngQAQ,,,Hotel bintang 2,14.00,12.00,,Breakfast ($); Free Wi-Fi; Free parking; Air conditioning; Restaurant; Room service; Kid-friendly,1,1,1,0.005612,548485.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-01556,Teratai,Teratai,exact_normalized_name,safe_apply_candidate,0.003981,hotel,hotel,P1_price_missing,,81251.0,Rp 81.251,4.1,95.0,4.1,96.0,True,False,"penginapan murah in Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-46-16-156.json,2,ChkI49T8s6TVhbkDGg0vZy8xMWoxbTExdzAwEAE,,,Hotel bintang 2,14.00,12.00,,Free Wi-Fi; Free parking; Air conditioning; Smoke-free property,1,1,1,0.003981,81251.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-01571,Hotel Bali Indah,Hotel Bali Indah,exact_normalized_name,safe_apply_candidate,0.004895,hotel,hotel,P1_price_missing,,149463.0,Rp 149.463,3.5,999.0,3.5,998.0,True,False,"penginapan murah in Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-46-16-156.json,4,ChgItNip3pnw5OGgARoLL2cvMXRkdDM3amIQAQ,,,Hotel bintang 3,14.00,12.00,,Free Wi-Fi; Free parking; Pool; Kid-friendly,1,1,1,0.004895,149463.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-01589,Urban Merdeka by UHM,Urban Merdeka by UHM,exact_normalized_name,safe_apply_candidate,0.001634,hotel,hotel,P1_price_missing,,110943.0,Rp 110.943,4.2,164.0,4.1,164.0,True,False,"guest house in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-43-42-412.json,2,ChoI66aGy_j0pNDUARoNL2cvMTFmcmZtN3BudBAB,,,Hotel bintang 3,,,,Free Wi-Fi; Free parking,1,1,1,0.001634,110943.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-01601,RUMAH TAMU bandung,RUMAH TAMU bandung,exact_normalized_name,safe_apply_candidate,0.004177,hotel,hotel,P1_price_missing,,243144.0,Rp 243.144,4.6,36.0,4.6,37.0,True,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,16,ChkItov636_b59N-Gg0vZy8xMW54M3Jrc3I4EAE,http://rumah-tamu.com/,,Hotel bintang 2,,,,,1,1,1,0.004177,243144.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-01607,Ahadiat Hotel & Bungalow,Ahadiat Hotel & Bungalow,exact_normalized_name,safe_apply_candidate,0.004754,hotel,hotel,P1_price_missing,,290336.0,Rp 290.336,4.5,2293.0,4.5,2294.0,True,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,13,ChgIpd374reJ5ZOoARoLL2cvMXRscjJucTcQAQ,,,Hotel bintang 3,14.00,12.00,,Free breakfast; Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Kid-friendly,1,1,1,0.004754,290336.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-01608,Best Western Setiabudhi Bandung,Best Western Setiabudhi Bandung,exact_normalized_name,safe_apply_candidate,0.00119,hotel,hotel,P1_price_missing,,795979.0,Rp 795.979,4.8,464.0,4.8,472.0,True,False,"penginapan in Kabupaten Bandung Barat, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-53-48-084.json,20,ChkI0PqAu4r-m_MWGg0vZy8xMXhncTBzcDl2EAE,https://www.bestwestern.com/en_US.html,,Hotel bintang 4,14.00,12.00,,Free breakfast; Free Wi-Fi; Free parking; Indoor pool; Air conditioning; Fitness center; Spa; Restaurant; Room service; Kitchen in some rooms; Full-service laundry; Accessible,1,1,1,0.00119,795979.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-01609,Cottage Syariah GS Rumah Kayu,Cottage Syariah GS Rumah Kayu,exact_normalized_name,safe_apply_candidate,0.004078,hotel,hotel,P1_price_missing,,272728.0,Rp 272.728,4.0,469.0,3.9,469.0,True,False,"penginapan in Kabupaten Bandung Barat, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-53-48-084.json,6,ChoIheO_qKe18v_oARoNL2cvMTFmNHd2M2hmZhAB,,,Hotel bintang 2,14.00,12.00,,Free Wi-Fi; Free parking; Pool; Air conditioning; Restaurant; Kid-friendly,1,1,1,0.004078,272728.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-01610,Favehotel Hyper Square,Favehotel Hyper Square,exact_normalized_name,safe_apply_candidate,0.003286,hotel,hotel,P1_price_missing,,396992.0,Rp 396.992,4.4,6458.0,4.4,6372.0,True,False,"guest house in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-43-42-412.json,19,ChgIhoTH4rzHkrIbGgwvZy8xcTZral9wMTEQAQ,http://hypersquare.favehotels.com/,,Hotel bintang 3,14.00,12.00,,Breakfast ($); Free Wi-Fi; Parking ($); Air conditioning; Spa; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Kid-friendly,1,1,1,0.003286,396992.0,fill_price,Exact normalized name and coordinate distance <= 100m.
LODGE-01619,Namin Hotel - Bandung,Namin Hotel - Bandung,exact_normalized_name,safe_apply_candidate,0.011546,hotel,hotel,P1_price_missing,,432393.0,Rp 432.393,4.2,1352.0,4.2,1351.0,True,False,"penginapan murah in Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-46-16-156.json,16,ChoI4oCK3ZvYh7HTARoNL2cvMTFidjN2cHBwchAB,http://www.hotelnamin.com/,,Hotel bintang 3,14.00,12.00,,Breakfast; Free Wi-Fi; Free parking; Air conditioning; Restaurant; Room service; Airport shuttle; Full-service laundry; Kid-friendly,1,1,1,0.011546,432393.0,fill_price,Exact normalized name and coordinate distance <= 100m.
