source_file,query,vacation_rentals_query,page_number,raw_type,name,name_norm,description,property_token,latitude,longitude,price_lowest,price_display,price_before_taxes_fees,total_price_lowest,total_price_display,overall_rating,reviews,hotel_class,extracted_hotel_class,check_in_time,check_out_time,link,price_source_count,price_sources,amenities,amenities_count,primary_image_url,images_count
dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,"hotel in Kota Bandung, Jawa Barat",False,1,hotel,Amaris Hotel Cihampelas,amaris hotel cihampelas,"Kamar penuh warna di hotel simpel dengan restoran dan kolam renang anak, serta sarapan gratis & Wi-Fi.",ChkIk8igpuqhs84PGg0vZy8xMWgwNHY2MzNfEAE,-6.8902366,107.6037406,381711.0,Rp 381.711,315463.0,763422.0,Rp 763.422,4.3,4083.0,Hotel bintang 2,2.0,14.00,12.00,https://mysantika.com/indonesia/bandung/amaris-hotel-cihampelas-bandung,0,,Free breakfast; Free Wi-Fi; Free parking; Pools; Air conditioning; Restaurant; Room service; Full-service laundry; Accessible; Kid-friendly,10,,9
dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,"hotel in Kota Bandung, Jawa Barat",False,1,hotel,Gino Feruci Kebonjati Hotel,gino feruci kebonjati hotel,"Hotel santai dengan bar karaoke dan restoran, serta spa, toko suvenir, dan Wi-Fi gratis.",ChgIq9vj9MS0htyjARoLL2cvMXRnbGN2M24QAQ,-6.9163786,107.5988089,232210.0,Rp 232.210,211100.0,464420.0,Rp 464.420,4.3,4747.0,Hotel bintang 4,4.0,15.00,12.00,https://booking.kagumhotels.com/offers?hotel=GFKJ,0,,Breakfast; Free Wi-Fi; Free parking; Indoor pool; Air conditioning; Fitness center; Spa; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Kid-friendly,13,,9
dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,"hotel in Kota Bandung, Jawa Barat",False,1,hotel,Grand Serela Setiabudhi Bandung,grand serela setiabudhi bandung,"Hotel santai dengan spa, gym, dan kolam renang, serta restoran, 7 ruang pertemuan, dan bar.",ChcIt-aNy6-PgI9QGgsvZy8xdjVkczA2MRAB,-6.8810424999999995,107.60121459999999,324268.0,Rp 324.268,265576.0,648535.0,Rp 648.535,4.0,3046.0,Hotel bintang 4,4.0,15.00,,https://booking.kagumhotels.com/offers?hotel=GRSS,0,,Breakfast; Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Fitness center; Spa; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Kid-friendly,13,,9
dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,"hotel in Kota Bandung, Jawa Barat",False,1,hotel,Hotel Savoy Homann Bandung,hotel savoy homann bandung,"Hotel kelas atas dengan restoran atrium yang trendi, kolam renang indoor, dan bar santai dengan musik live.",ChYIlrawjPep7IRPGgovbS8wM2dfeTdoEAE,-6.9219824,107.6104446,500576.0,Rp 500.576,455417.0,1001152.0,Rp 1.001.152,4.6,10333.0,Hotel bintang 4,4.0,14.00,12.00,https://savoyhomannbandung.com/,0,,Breakfast ($); Free Wi-Fi; Parking ($); Indoor pool; Hot tub; Air conditioning; Fitness center; Spa; Bar; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Business center; Kid-friendly; Smoke-free property,17,,8
dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,"hotel in Kota Bandung, Jawa Barat",False,1,hotel,Aryaduta Bandung,aryaduta bandung,"Kamar dan suite simpel di hotel mewah dengan 3 restoran, kolam renang outdoor, dan lapangan tenis.",ChcIwLXQwuSb8_QiGgsvZy8xdGN3YzJwXxAB,-6.9093233,107.6118848,806627.0,Rp 806.627,733298.0,1613254.0,Rp 1.613.254,4.6,9915.0,Hotel bintang 5,5.0,14.00,12.00,https://www.aryaduta.com/en/hotel/ABD/aryaduta-bandung?utm_source=digital-direct&utm_medium=web-link&utm_campaign=lps&utm_term=button,0,,Breakfast ($); Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Fitness center; Bar; Restaurant; Room service; Full-service laundry; Accessible; Business center; Kid-friendly,13,,9
dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,"hotel in Kota Bandung, Jawa Barat",False,1,hotel,de Java Hotel,de java hotel,"Kamar indah, beberapa dengan pemandangan kota, di hotel mewah dengan restoran, kolam renang di atap, dan bar.",ChkIm4Xg4vqr88WSARoML2cvMXBwMnRfNHRnEAE,-6.8888532,107.59705629999999,558850.0,Rp 558.850,508045.0,1117700.0,Rp 1.117.700,4.4,4346.0,Hotel bintang 4,4.0,14.00,12.00,http://www.dejavahotel.com/,0,,Breakfast; Free Wi-Fi; Free parking; Indoor pool; Air conditioning; Fitness center; Spa; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Business center; Kid-friendly,14,,9
dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,"hotel in Kota Bandung, Jawa Barat",False,1,hotel,Bali World Hotel,bali world hotel,"Kamar sederhana di hotel kasual dengan sarapan gratis, restoran, bar, kolam renang, dan spa.",ChkIxOGp0vDFjco1Gg0vZy8xMWI2YnNzNWx2EAE,-6.9384194,107.66324569999999,344453.0,Rp 344.453,282106.0,688905.0,Rp 688.905,4.2,3826.0,Hotel bintang 3,3.0,14.00,12.00,http://www.baliworldhotel.com/,0,,Free breakfast; Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Fitness center; Restaurant; Room service; Full-service laundry; Accessible; Business center; Kid-friendly,12,,9
dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,"hotel in Kota Bandung, Jawa Barat",False,1,hotel,Serela Waringin Hotel,serela waringin hotel,"Hotel elegan yang memiliki ruang pertemuan, restoran 24 jam, dan bistro/bar kasual, serta kolam renang.",ChkI-tWg_-ePmpELGg0vZy8xMWI2ZHBwbG5wEAE,-6.917548,107.5927659,330361.0,Rp 330.361,300328.0,660721.0,Rp 660.721,3.9,2066.0,Hotel bintang 3,3.0,15.00,12.00,https://booking.kagumhotels.com/offers?hotel=SWRG,0,,Breakfast; Free Wi-Fi; Free parking; Indoor pool; Air conditioning; Restaurant; Room service; Full-service laundry; Accessible; Kid-friendly,10,,9
dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,"hotel in Kota Bandung, Jawa Barat",False,1,hotel,Tama Boutique Hotel,tama boutique hotel,"Kamar tenang, beberapa dengan balkon, di hotel trendi yang menawarkan teras dan sarapan gratis.",ChkIgvT1heP2u79vGg0vZy8xMWJ4ZHloa21jEAE,-6.9038264,107.59853079999999,699300.0,Rp 699.300,577934.0,1398600.0,Rp 1.398.600,4.5,1195.0,Hotel bintang 3,3.0,14.00,12.00,http://tama-boutique.com/,0,,Breakfast; Free Wi-Fi; Free parking; Air conditioning; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Kid-friendly,10,,9
dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,"hotel in Kota Bandung, Jawa Barat",False,1,hotel,Sukajadi Hotel and Gallery,sukajadi hotel and gallery,"Hotel sederhana yang dilengkapi dengan restoran internasional dan galeri seni, serta kolam renang outdoor.",ChcI6bWnv8KjzehYGgsvZy8xdGY1NF8zMRAB,-6.8856388,107.5969927,415502.0,Rp 415.502,415502.0,831005.0,Rp 831.005,4.3,3489.0,Hotel bintang 3,3.0,14.00,12.00,https://www.sukajadihotel.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,0,,Breakfast ($); Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Fitness center; Kitchen in some rooms; Airport shuttle; Accessible; Kid-friendly,10,,9
