search_query,target_id,target_name,result_source,result_name,distance_km,name_similarity,price_lowest,price_display,overall_rating,reviews,address,property_token,audit_status
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Kampioen Bed and Breakfast,0.0,1.0,,,4.3,524.0,,ChoI4qeR88vVod2uARoNL2cvMTFmNmNxZnl0dxAB,no_price
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Merial Syariah Boutique Hotel,0.185,0.204,343980.0,Rp 343.980,4.7,232.0,,ChoI0OXCjfTV47iSARoNL2cvMTF2cXoxMDB0axAB,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Ottenville Boutique Hotel,0.191,0.267,232084.0,Rp 232.084,4.3,699.0,,ChcIxf-Ds6Wq3ospGgsvZy8xdGQ5YjVjMRAB,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Cottonwood Boutique Heritage Otten,0.252,0.267,600198.0,Rp 600.198,4.7,368.0,,ChkI84Td5aDi8s5lGg0vZy8xMW5tbmhmcnE0EAE,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Little Mykonos,0.885,0.2,424801.0,Rp 424.801,4.7,491.0,,ChkIkPuSxL3W4Y1kGg0vZy8xMWpfMjJ4Z3dkEAE,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,OsteL,0.718,0.194,204744.0,Rp 204.744,4.8,427.0,,ChoIm5CmsaiykcTtARoNL2cvMTFoNGN5bmR3cBAB,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Summerbird - Bed and Brasserie,1.041,0.556,450210.0,Rp 450.210,4.5,1594.0,,ChoI9faKrJnf_qWuARoNL2cvMTFiNnp2Y3o0dxAB,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Tokyo Cubo,0.766,0.222,188173.0,Rp 188.173,4.7,620.0,,ChoIhKHWzYjGvvaEARoNL2cvMTFoNV90MF9mbBAB,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,OYO 1446 Patradisa Hotel,1.211,0.136,106005.0,Rp 106.005,3.4,542.0,,ChgIrcmU3pLy1piLARoLL2cvMXYyMDM0amQQAQ,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Rehat at Paskal Pelangi,0.743,0.261,185107.0,Rp 185.107,4.6,327.0,,ChoIq7-Nj5n_9_afARoNL2cvMTFtY3QxOWhtehAB,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Rehat at Hotel Patradissa Stasiun Bandung,0.783,0.2,131255.0,Rp 131.255,4.1,1077.0,,ChcIk_2G06ux6e5MGgsvZy8xdGYycDBsOBAB,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,The Paskal Lane,0.553,0.324,377398.0,Rp 377.398,4.4,183.0,,ChoIsIqc2Kia7dHQARoNL2cvMTF2cHQ2bnp0NRAB,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Mogens Guest House,0.995,0.364,349981.0,Rp 349.981,4.6,700.0,,ChkIloHE9OG8s88cGg0vZy8xMWM2enE1bHhwEAE,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Promenade Hotel Bandung,0.851,0.229,193823.0,Rp 193.823,3.9,1726.0,,ChkIlYr2ho-f9LC3ARoML2cvMTF4cXpnNG15EAE,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Tama Boutique Hotel,0.354,0.256,699300.0,Rp 699.300,4.5,1195.0,,ChkIgvT1heP2u79vGg0vZy8xMWJ4ZHloa21jEAE,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,VIO Hotel Westhoff,0.559,0.263,268248.0,Rp 268.248,4.3,1482.0,,ChkI_r7mw-fUs8sHGg0vZy8xMWI2cHp5NXE1EAE,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Ruby Hotel Syariah,0.314,0.158,420000.0,Rp 420.000,4.6,1132.0,,ChoI09Hvh7uMx6v8ARoNL2cvMTFid3lfcmdfYxAB,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Hotel California Bandung,0.397,0.278,472179.0,Rp 472.179,4.5,3286.0,,ChkIp5Pe74Td4pzYARoML2cvMXBwMnRsZHFkEAE,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Little Mykonos - Deluxe Queen Room,0.885,0.207,527512.0,Rp 527.512,4.5,8.0,,ChoQtM6l-ZXsgYCLARoNL2cvMTFtY2t0aGp6NRAC,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,The Jarrdin by Bethania Pro - Studio with Balcony,0.405,0.364,232909.0,Rp 232.909,,,,ChoQh4zm1O_V_u2WARoNL2cvMTFuOWNjaDVwcxAC,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Urbanview Hotel Sakura Bandung,0.409,0.333,215727.0,Rp 215.727,4.2,155.0,,ChkIosaX5Mn4tqZeGg0vZy8xMWdjeXNzN2xjEAE,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Sans Hotel Alexander Bandung,0.407,0.3,320458.0,Rp 320.458,4.3,433.0,,ChkIvcy49bWVhIdIGg0vZy8xMXJwajltX2xmEAE,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Mutiara Hotel and Convention Bandung,0.921,0.333,426526.0,Rp 426.526,4.2,2467.0,,ChkI5-mHr4qr4JKWARoML2cvMTF5c3NiNmc1EAE,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Hotel Sakura Bandung,0.388,0.188,275859.0,Rp 275.859,4.2,677.0,,ChkI84DT5Z2m4bXDARoML2cvMTFyOGM4NjFiEAE,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Andelir Hotel,0.912,0.242,286753.0,Rp 286.753,4.4,908.0,,ChgIhrOSlfLy4qjKARoLL2cvMXRoNDZoeTIQAQ,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Sans Hotel Grand Viveana Bandung,0.657,0.455,350955.0,Rp 350.955,4.3,936.0,,ChkIvpWgnKGZ4_UuGg0vZy8xMWc4OGR0aGYzEAE,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,West Inn Hotel,0.785,0.176,294068.0,Rp 294.068,4.3,214.0,,ChoI6Myb3OnYtbaSARoNL2cvMTFzZHE1ajIyMRAB,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Excellent Seven - E7 Hotel,0.448,0.182,240786.0,Rp 240.786,3.9,545.0,,ChgIzJCN6OWW4PIHGgwvZy8xcHp3a3hjODYQAQ,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Elenor's Home @ Eyckman,0.933,0.298,166059.0,Rp 166.059,4.4,363.0,,ChkIu5n74prRkM4vGg0vZy8xMWJ3a2huaDc3EAE,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Buton Backpacker Lodge,0.77,0.292,167924.0,Rp 167.924,4.6,504.0,,ChkI45mk6Mvmg4wZGg0vZy8xMWNzcWR2OXhxEAE,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,YOKOTEL CITY,0.395,0.158,361718.0,Rp 361.718,4.6,525.0,,ChkIsbL8uqfE5MdTGg0vZy8xMWZxcGwzeTNyEAE,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,RedDoorz Plus @ Cipaganti Street 3,0.215,0.31,325670.0,Rp 325.670,4.7,142.0,,ChoInoTf8OSdw_vHARoNL2cvMTFoM3owY2ZnZhAB,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,De Batara Hotel,0.739,0.343,263117.0,Rp 263.117,4.1,3107.0,,ChgIvsap4-L087taGgwvZy8xMnZzc2dzeGQQAQ,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,OYO Life 92976 Apartement Jarrdin By Apato,0.403,0.308,123566.0,Rp 123.566,5.0,1.0,,ChoIi8OK-N_PmY2QARoNL2cvMTF2ZG55ajd3YhAB,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Rumah Westhoff,0.42,0.2,,,4.9,50.0,,ChkIpbrLxJvtnPJEGg0vZy8xMXFtejl0NzFtEAE,no_price
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,BUKA,0.974,0.133,233147.0,Rp 233.147,4.4,220.0,,ChoI3ouu4L2Tk7OAARoNL2cvMTFiNV8wMWZqbBAB,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Grand Pacific Hotel,0.652,0.308,428201.0,Rp 428.201,4.4,2984.0,,ChcIwMCmgOGJ0uE6GgsvZy8xdG44bno4OBAB,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,FULMAR Dago,0.859,0.108,592807.0,Rp 592.807,4.7,262.0,,ChoIzt3Nxrbq4ceJARoNL2cvMTF0eTJ5X2R5YxAB,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Two Bedroom Apartment,0.365,0.383,381544.0,Rp 381.544,,,,ChkQmY2Kjbfmo9FrGg0vZy8xMXhkMzM1ZGdjEAI,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,The Paskal Lane,0.557,0.324,374965.0,Rp 374.965,,,,ChoQ9u_Y4ImCvYbIARoNL2cvMTF6MjFoZDQzdhAC,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,favehotel Premier - Cihampelas,0.919,0.222,400854.0,Rp 400.854,4.6,9691.0,,ChgIkoGojsXHsNT8ARoLL2cvMXRncWZ2NXkQAQ,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Griya Indah Hotel,0.723,0.27,135457.0,Rp 135.457,4.0,198.0,,ChgI0uv16a3H3IGrARoLL2cvMXRtbWhzOGwQAQ,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Vio Hotel Cihampelas,0.713,0.3,262759.0,Rp 262.759,4.2,2052.0,,ChkIqYeArZGBid9rGg0vZy8xMWI1XzAzcTJfEAE,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,"Bobopod Paskal, Bandung",0.782,0.1,220369.0,Rp 220.369,4.6,1663.0,,ChoIvuOSsbuTmOeXARoNL2cvMTFmNjJqcWJfdBAB,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Kenangan Hotel,1.021,0.353,250124.0,Rp 250.124,4.4,747.0,,ChcIi4LPp_DO5dliGgsvZy8xdGRqbXoxOBAB,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Townhouse Oak Cihampelas Near Ciwalk Formerly Promenade Hotel,0.87,0.237,203958.0,Rp 203.958,2.7,44.0,,ChoI-sSPoNLc-JSoARoNL2cvMTF4NnFtaGdjXxAB,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Zodiak - Taurus,0.886,0.256,239331.0,Rp 239.331,4.0,1799.0,,ChkIjs2Wp-Wft5HkARoML2cvMTF4YjVwZGtnEAE,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Bobobox Pods Cipaganti,0.229,0.167,215680.0,Rp 215.680,4.6,444.0,,ChoIpcmCrZ-qwP6IARoNL2cvMTFoMWZ3a3FwZhAB,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Hotel Serena Bandung,0.84,0.188,228538.0,Rp 228.538,3.8,1425.0,,ChgI5MWB1rOa3fL_ARoLL2cvMXRmcTFyeTIQAQ,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Atlantic City Hotel Bandung,0.494,0.256,431393.0,Rp 431.393,4.3,3370.0,,ChoIoKC2hcC0huygARoNL2cvMTFieGMzeDJzMxAB,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,The Wastoekentjana,0.889,0.15,,,4.9,34.0,,ChoI9tPNitK45PriARoNL2cvMTFrajRseGdsahAB,no_price
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Hotel Nyland Cipaganti,0.219,0.381,377287.0,Rp 377.287,4.4,430.0,,ChkIp4Xup8fKofl0Gg0vZy8xMWNuOHRodmtwEAE,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Shakti Capsule Cihampelas,0.847,0.275,148363.0,Rp 148.363,4.4,377.0,,ChkI3OGQsfrctKsMGg0vZy8xMWd5YzhrOTUyEAE,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Grand Sovia Hotel,0.906,0.27,342173.0,Rp 342.173,4.2,4360.0,,ChoI8frDxOi5nN7HARoNL2cvMTFiNzN3dnc0NhAB,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,RedDoorz near Istana Plaza 2,0.353,0.327,227753.0,Rp 227.753,3.6,166.0,,ChkIwb3Mg_mhz95fGg0vZy8xMWgzbGN5czQxEAE,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Hotel Santika Pasirkaliki - Bandung,0.774,0.222,732241.0,Rp 732.241,4.7,829.0,,ChkImo_Bzbm4v-YvGg0vZy8xMXNmN3cyMHAzEAE,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Hotel Cemerlang Bandung,0.998,0.229,521805.0,Rp 521.805,4.3,1982.0,,ChgI4Z_Qwqmz0bZiGgwvZy8xaGM0MXh6NF8QAQ,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Airy Cicendo Otten 6 Bandung,0.187,0.261,,,4.5,49.0,,ChkI0snojcOO3KV3Gg0vZy8xMWM1aHg5azk5EAE,no_price
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,The Paskal Lane,0.557,0.324,374965.0,Rp 374.965,,,,ChoQ9u_Y4ImCvYbIARoNL2cvMTF6MjFoZDQzdhAC,price_available_but_needs_match_check
Kampioen Bed and Breakfast Kota Bandung Jawa Barat Indonesia,LODGE-01541,Kampioen Bed and Breakfast,properties,Homey Living 2Br At Jarrdin Cihampelas Apartment,0.997,0.169,409334.0,Rp 409.334,,,,ChoQz4uP68WbnIXuARoNL2cvMTF5YzRmazM1ORAC,price_available_but_needs_match_check
