search_query,target_id,target_name,result_source,result_name,distance_km,name_similarity,price_lowest,price_display,overall_rating,reviews,property_token,audit_status
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,High Livin Apartment Baros - Two-Bedroom Apartment,2.532,0.073,449639.0,Rp 449.639,2.5,2.0,ChkQ0svA2LTB0Z0oGg0vZy8xMW1reTFqcHJiEAI,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Hotel Tjimahi,0.0,1.0,,,3.9,763.0,ChgIsNT1jP7yudu-ARoLL2cvMXRmODlwdDgQAQ,target_found_no_price
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Valore Hotel Cimahi,2.518,0.5,330472.0,Rp 330.472,4.0,2433.0,ChkIhpbLk4319qOQARoML2cvMTJobXA2NnZiEAE,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,The Cluster Harris,2.125,0.19,325902.0,Rp 325.902,4.6,61.0,ChoI_r-itfLm_86iARoNL2cvMTF2ZGgxczByaBAB,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,The Cluster Harris,2.782,0.19,293892.0,Rp 293.892,,,ChkQ1bqNnMbesvVVGg0vZy8xMW1kc3Azdm1jEAI,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Apartment 1BR Gateway Pasteur By Kevin Property,2.341,0.078,336118.0,Rp 336.118,,,ChoQ4uO_5eL--sekARoNL2cvMTF5bjJibnNnbRAC,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Strategic 2BR at Gateway Pasteur Apt By Travelio,2.593,0.163,745219.0,Rp 745.219,,,ChoQr627utbu_vz8ARoNL2cvMTF5bjF4bnAydhAC,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,C Family Hotel,0.032,0.133,397035.0,Rp 397.035,4.9,95.0,ChkI8LXMlrq7jfE2Gg0vZy8xMXpod241aDBxEAE,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,High Livin Apartment Pasteur - Studio Apartment,2.348,0.077,434526.0,Rp 434.526,2.65,3.0,ChoQorq6ndff9_emARoNL2cvMTFucHhubHRwMBAC,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Andalucia Lodge & Brunch Bandung,3.299,0.207,291751.0,Rp 291.751,4.7,237.0,ChoIlomK3OPc-9PSARoNL2cvMTFzZ3Z2c2RsZBAB,other_property_price_ignore
