penginapan_id,target_name,property_type,priority,target_latitude,target_longitude,search_query,result_title,categoryName,address,result_latitude,result_longitude,distance_km,name_similarity,totalScore,reviewsCount,url,website,placeId,cid,audit_status
LODGE-00781,RedDoorz Resort at Hajeka Pangalengan Bandung,hotel,P1_core_rating_price_missing,-7.1974,107.5447,RedDoorz Resort at Hajeka Pangalengan Bandung Pangalengan Kabupaten Bandung Jawa Barat Indonesia,RedDoorz Resort at Hajeka Pangalengan Bandung,Rumah,"Warnasari, Kec. Pangalengan, Kabupaten Bandung, Jawa Barat, Indonesia",-7.1973901,107.5446624,0.004,1.0,,,https://www.google.com/maps/search/?api=1&query=RedDoorz%20Resort%20at%20Hajeka%20Pangalengan%20Bandung&query_place_id=ChIJdyFvYmuRaC4RJpoCmv44p4w,https://br.bluepillow.com/search/695ea3d3ac408a6eb70d0f21?dest=bkng&cat=House&p_id=589de4257c00cb10c8d9309f&language=pt,ChIJdyFvYmuRaC4RJpoCmv44p4w,10135132152577301030,no_rating_candidate
LODGE-00282,BUMI LOKA residence,hotel,P1_core_rating_price_missing,-6.8669,107.4576,BUMI LOKA residence Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia,BUMI LOKA residence,Cottage,"Bojonghaleuang, Kec. Batujajar, Kabupaten Bandung Barat, Jawa Barat, Indonesia",-6.8669018,107.4575501,0.006,1.0,,,https://www.google.com/maps/search/?api=1&query=BUMI%20LOKA%20residence&query_place_id=ChIJ--zwIEL7aC4RnqMGnsSba3A,https://www.booking.com/hotel/id/bumi-loka-residence.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-13913669&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-13913669_grp-1_gendate-20260531,ChIJ--zwIEL7aC4RnqMGnsSba3A,8100739623523099550,no_rating_candidate
LODGE-01640,Easton Park Residence Naffi Rooms by Mustika,hotel,P1_core_rating_price_missing,-6.9361,107.7653,Easton Park Residence Naffi Rooms by Mustika Bandung Jawa Barat Indonesia,Easton Park Residence Naffi Rooms by Mustika,Vila,"Cibeusi, Kec. Jatinangor, Kabupaten Sumedang, Jawa Barat, Indonesia",-6.9361458,107.7652664,0.006,1.0,,,https://www.google.com/maps/search/?api=1&query=Easton%20Park%20Residence%20Naffi%20Rooms%20by%20Mustika&query_place_id=ChIJrRKGFKfEaC4RvsvGPKUmU2M,https://www.trip.com/hotels/detail/?hotelid=133368695&Allianceid=1318093&sid=269617419&utm_medium=vr&utm_campaign=vrwebsite&utm_source=googlevr&trip_sub1=googlevrwebsite,ChIJrRKGFKfEaC4RvsvGPKUmU2M,7157106723952970686,no_rating_candidate
LODGE-00814,Artana 2 Chipsari by OYO,hotel,P1_core_rating_price_missing,-7.1933,107.545,Artana 2 Chipsari by OYO Pangalengan Kabupaten Bandung Jawa Barat Indonesia,Artana 2 Chipsari by OYO,Apartemen,"Warnasari, Kec. Pangalengan, Kabupaten Bandung, Jawa Barat, Indonesia",-7.1933112,107.5450287,0.003,1.0,,,https://www.google.com/maps/search/?api=1&query=Artana%202%20Chipsari%20by%20OYO&query_place_id=ChIJMUPkUWmRaC4R5le71jZyIaU,https://deals.vio.com/?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D58734807%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,ChIJMUPkUWmRaC4R5le71jZyIaU,11898917270345963494,no_rating_candidate
LODGE-00814,Artana 2 Chipsari by OYO,hotel,P1_core_rating_price_missing,-7.1933,107.545,Artana 2 Chipsari by OYO Pangalengan Kabupaten Bandung Jawa Barat Indonesia,OYO 92217 Artana Bed and Breakfast.NearSitu Cileunca,Hotel,"Jl. Raya Situ Cileunca Rt.04 Rw.09 Kampung Cibeunying, Desa, Warnasari, Kec. Pangalengan, Kabupaten Bandung, Jawa Barat 40378, Indonesia",-7.1931352,107.5449735,0.019,0.301,3.5,162.0,https://www.google.com/maps/search/?api=1&query=OYO%2092217%20Artana%20Bed%20and%20Breakfast.NearSitu%20Cileunca&query_place_id=ChIJIQ1Rk3KRaC4RMv1Mo3eu4NI,https://artanabedbreakfast.com/,ChIJIQ1Rk3KRaC4RMv1Mo3eu4NI,15195336971612126514,noisy_candidate
LODGE-00810,RedDoorz near Situ Cileunca Pangalengan,hotel,P1_core_rating_price_missing,-7.1872,107.5555,RedDoorz near Situ Cileunca Pangalengan Pangalengan Kabupaten Bandung Jawa Barat Indonesia,RedDoorz near Situ Cileunca Pangalengan - Single Room,Rumah,"Pangalengan, Kec. Pangalengan, Kabupaten Bandung, Jawa Barat, Indonesia",-7.1778998,107.5683594,1.756,0.85,,,https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Situ%20Cileunca%20Pangalengan%20-%20Single%20Room&query_place_id=ChIJy6Hq_VWRaC4RLWi8L4jC83E,https://br.bluepillow.com/search/694986250c60a53fb7d39613?dest=nuit&cat=Vacation+rental+(other)&lat=-7.1779&lng=107.56836&language=pt,ChIJy6Hq_VWRaC4RLWi8L4jC83E,8211120435798763565,no_rating_candidate
LODGE-00810,RedDoorz near Situ Cileunca Pangalengan,hotel,P1_core_rating_price_missing,-7.1872,107.5555,RedDoorz near Situ Cileunca Pangalengan Pangalengan Kabupaten Bandung Jawa Barat Indonesia,RedDoorz near Situ Cileunca Pangalengan,Hotel,"Jl. Situ Cileunca No.46, Pulosari, Kec. Pangalengan, Kabupaten Bandung, Jawa Barat 40378, Indonesia",-7.1871529,107.5555102,0.005,1.0,3.1,43.0,https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Situ%20Cileunca%20Pangalengan&query_place_id=ChIJjYNXCACRaC4RbD5Mz7km9Pc,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/pangalengan/pangalengan/reddoorz-near-situ-cileunca-pengelangan?,ChIJjYNXCACRaC4RbD5Mz7km9Pc,17866948201174285932,safe_candidate
LODGE-00810,RedDoorz near Situ Cileunca Pangalengan,hotel,P1_core_rating_price_missing,-7.1872,107.5555,RedDoorz near Situ Cileunca Pangalengan Pangalengan Kabupaten Bandung Jawa Barat Indonesia,RedDoorz near Situ Cileunca Pangalengan,Vila,"Pulosari, Kec. Pangalengan, Kabupaten Bandung, Jawa Barat, Indonesia",-7.1872492,107.5555115,0.006,1.0,,,https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Situ%20Cileunca%20Pangalengan&query_place_id=ChIJh2_4vFyRaC4RIyUIYGhKDaU,https://www.trip.com/hotels/detail/?hotelid=129102697&Allianceid=1318093&sid=269617419&utm_medium=vr&utm_campaign=vrwebsite&utm_source=googlevr&trip_sub1=googlevrwebsite,ChIJh2_4vFyRaC4RIyUIYGhKDaU,11893244003103548707,no_rating_candidate
LODGE-00814,Artana 2 Chipsari by OYO,hotel,P1_core_rating_price_missing,-7.1933,107.545,Artana 2 Chipsari by OYO Pangalengan Kabupaten Bandung Jawa Barat Indonesia,oyo,Hotel,"kp kiaracondong, RT.2/RW.001, Warnasari, Pangalengan, Bandung Regency, West Java 40378, Indonesia",-7.1944453,107.5417683,0.379,0.25,2.6,29.0,https://www.google.com/maps/search/?api=1&query=oyo&query_place_id=ChIJ17C8Sv6TaC4RifKsXcS5Y8c,,ChIJ17C8Sv6TaC4RifKsXcS5Y8c,14367531489278358153,noisy_candidate
LODGE-00685,Ciwidey Homestay 6 Bedroom,guest_house,P1_core_rating_price_missing,-7.1229,107.424,Ciwidey Homestay 6 Bedroom Ciwidey Kabupaten Bandung Jawa Barat Indonesia,Ciwidey Homestay 6 Bedroom,Vila,"Alamendah, Kec. Rancabali, Kabupaten Bandung, Jawa Barat, Indonesia",-7.1229253,107.4239884,0.003,1.0,,,https://www.google.com/maps/search/?api=1&query=Ciwidey%20Homestay%206%20Bedroom&query_place_id=ChIJ0XTBD-eMaC4RftvySaaaZJ8,https://www.agoda.com/ciwidey-homestay-4-bedroom/hotel/bandung-id.html,ChIJ0XTBD-eMaC4RftvySaaaZJ8,11485474988697508734,no_rating_candidate
