penginapan_id,target_name,property_type,priority,target_latitude,target_longitude,search_query,result_title,categoryName,address,result_latitude,result_longitude,distance_km,name_similarity,totalScore,reviewsCount,url,website,placeId,cid,audit_status
LODGE-00010,Wildan Guesthouse,guest_house,P1_rating_reviews_missing,-6.8017,107.0619,Wildan Guesthouse Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia,Wildan's Guest House,Penginapan,"Jl. Mangunkerta Gg. Aljihad No.24, Mangunkerta, Kec. Cugenang, Kabupaten Cianjur, Jawa Barat 43252, Indonesia",-6.8017989,107.0623147,0.047,0.919,4.6,47.0,https://www.google.com/maps/search/?api=1&query=Wildan's%20Guest%20House&query_place_id=ChIJ3Xk9cr5NaC4RZViK8wVynL8,,ChIJ3Xk9cr5NaC4RZViK8wVynL8,13807035927497431141,safe_candidate
LODGE-00015,Lavin Soka Homestay - Tent,guest_house,P1_core_rating_price_missing,-6.7204,107.3809,Lavin Soka Homestay - Tent Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia,Boemi Aki Kamsoer,Guest house,"Desa Margamukti, Kampung Rancamanyar RT 02 RW 08, Margamukti, Pangalengan, Bandung Regency, West Java 40378, Indonesia",-7.1879515,107.6006415,57.369,0.293,4.4,150.0,https://www.google.com/maps/search/?api=1&query=Boemi%20Aki%20Kamsoer&query_place_id=ChIJLfNKoJeWaC4RGXT6qHVpxBQ,,ChIJLfNKoJeWaC4RGXT6qHVpxBQ,1496436930260923417,noisy_candidate
LODGE-00143,ADS House Padalarang - Guesthouse Aesthetic,guest_house,P1_rating_reviews_missing,-6.8495,107.4725,ADS House Padalarang - Guesthouse Aesthetic Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia,ADS House Padalarang - Guesthouse Aesthetic,Vila,"Jayamekar, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat, Indonesia",-6.8494897,107.4725418,0.005,1.0,,,https://www.google.com/maps/search/?api=1&query=ADS%20House%20Padalarang%20-%20Guesthouse%20Aesthetic&query_place_id=ChIJz7GSk6n8aC4RETIsnlNP0Xc,https://www.booking.com/hotel/id/ads-house.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-14631479&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-14631479_grp-3_gendate-20260531,ChIJz7GSk6n8aC4RETIsnlNP0Xc,8633769181200527889,no_rating_candidate
LODGE-00282,BUMI LOKA residence,hotel,P1_core_rating_price_missing,-6.8669,107.4576,BUMI LOKA residence Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia,Bumi Asi Residence,Pembangunan Perumahan,"5F4G+CQ7, Jl. Pasir Gede, Padalarang, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553, Indonesia",-6.8439579,107.4769167,3.325,0.865,4.5,48.0,https://www.google.com/maps/search/?api=1&query=Bumi%20Asi%20Residence&query_place_id=ChIJ28eq8Kz8aC4RvPR4XuApmGw,,ChIJ28eq8Kz8aC4RvPR4XuApmGw,7825050396190635196,noisy_candidate
LODGE-00427,Salsabilla Guest House Syariah by Oyo,guest_house,P1_core_rating_price_missing,-6.8871,107.5225,Salsabilla Guest House Syariah by Oyo Cimahi Jawa Barat Indonesia,Salsabila Guest House,Rumah Pondokan,"Jl. Ibu Ganirah, Cibeber, Kec. Cimahi Sel., Kota Cimahi, Jawa Barat 40531, Indonesia",-6.8871632,107.5223337,0.02,0.764,4.5,49.0,https://www.google.com/maps/search/?api=1&query=Salsabila%20Guest%20House&query_place_id=ChIJAUS1VsrlaC4R7xO9CU9qIio,,ChIJAUS1VsrlaC4R7xO9CU9qIio,3036105986499482607,needs_review_candidate
LODGE-00429,Danapati Homestay,guest_house,P1_core_rating_price_missing,-6.8558,107.4809,Danapati Homestay Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia,Danapati Homestay,Hotel,"Dortmund B1, Kertajaya, Kec. Padalarang, Bandung, Jawa Barat 40553, Indonesia",-6.8557696,107.4808872,0.004,1.0,5.0,20.0,https://www.google.com/maps/search/?api=1&query=Danapati%20Homestay&query_place_id=ChIJ3fvzULnpaC4RYJa22MdaN1E,https://www.tiktok.com/@danapati.homestay?_t=ZS-8x3oWTNVCfR&_r=1,ChIJ3fvzULnpaC4RYJa22MdaN1E,5852246055172085344,safe_candidate
LODGE-00430,OYO 90892 My Guest House Syariah,guest_house,P1_core_rating_price_missing,-6.9004,107.5225,OYO 90892 My Guest House Syariah Cimahi Jawa Barat Indonesia,OYO 90892 My Guest House Syariah,Hotel,"Waterboom Panorama, Tagog M, KP Cempaka No.0, Cempakamekar, Padalarang, Cimahi City, West Java 40553, Indonesia",-6.8074224,107.4601148,12.423,1.0,2.9,14.0,https://www.google.com/maps/search/?api=1&query=OYO%2090892%20My%20Guest%20House%20Syariah&query_place_id=ChIJS2O8IQblaC4RpMEJErTscd8,https://www.oyorooms.com/ID/171357/,ChIJS2O8IQblaC4RpMEJErTscd8,16100910400967131556,needs_review_candidate
LODGE-00491,Baraya Homestay,guest_house,P1_core_rating_price_missing,-7.1842,107.5617,Baraya Homestay Pangalengan Kabupaten Bandung Jawa Barat Indonesia,Baraya Travel Soreang,Biro Perjalanan dan Wisata,"Jl. Raya Soreang - Banjaran No.323, RT.03/RW.14, Soreang, Kec. Soreang, Kabupaten Bandung, Jawa Barat 40911, Indonesia",-7.03052,107.531675,17.407,0.556,4.1,127.0,https://www.google.com/maps/search/?api=1&query=Baraya%20Travel%20Soreang&query_place_id=ChIJY8PUmIvtaC4RA_P5MzxjWo0,https://baraya-travel.com/contact,ChIJY8PUmIvtaC4RA_P5MzxjWo0,10185562617473004291,noisy_candidate
LODGE-00492,Homestay Bumina EENK Bandung Pangalengan,guest_house,P1_core_rating_price_missing,-7.2329,107.5215,Homestay Bumina EENK Bandung Pangalengan Pangalengan Kabupaten Bandung Jawa Barat Indonesia,Homestay Bumina Eenk,Hostel,"QG8C+QJR, Sukaluyu, Kec. Pangalengan, Kabupaten Bandung, Jawa Barat 40378, Indonesia",-7.2330015,107.5215193,0.011,0.769,4.9,27.0,https://www.google.com/maps/search/?api=1&query=Homestay%20Bumina%20Eenk&query_place_id=ChIJ64msNgCRaC4R5c3uTCZgifs,https://buminaeenk.com/,ChIJ64msNgCRaC4R5c3uTCZgifs,18125123892945014245,safe_candidate
LODGE-00493,Pangalengan Homestay By Lunam,guest_house,P1_core_rating_price_missing,-7.1793,107.5703,Pangalengan Homestay By Lunam Pangalengan Kabupaten Bandung Jawa Barat Indonesia,Pangalengan Homestay By Lunam,Rental Akomodasi,"Pangalengan, Kec. Pangalengan, Kabupaten Bandung, Jawa Barat, Indonesia",-7.1793375,107.5703278,0.005,1.0,,,https://www.google.com/maps/search/?api=1&query=Pangalengan%20Homestay%20By%20Lunam&query_place_id=ChIJIxiEulWRaC4RM7-qjmbEV_c,https://www.agoda.com/pangalengan-homestay-by-lunam/hotel/bandung-id.html,ChIJIxiEulWRaC4RM7-qjmbEV_c,17822929995101290291,no_rating_candidate
LODGE-00568,Homestay VV&V,guest_house,P1_rating_reviews_missing,-7.1353,107.4067,Homestay VV&V Ciwidey Kabupaten Bandung Jawa Barat Indonesia,HomeStay VV&V,Rumah wisata,"VC99+489, Alamendah, Kec. Rancabali, Kabupaten Bandung, Jawa Barat 40973, Indonesia",-7.1322219,107.4183608,1.331,1.0,5.0,1.0,https://www.google.com/maps/search/?api=1&query=HomeStay%20VV%26V&query_place_id=ChIJWa2_dwCNaC4RzaeORvrh_Uw,,ChIJWa2_dwCNaC4RzaeORvrh_Uw,5547838781032146893,safe_candidate
LODGE-00569,Homestay murah ciwidey,guest_house,P1_rating_reviews_missing,-7.1195,107.4319,Homestay murah ciwidey Ciwidey Kabupaten Bandung Jawa Barat Indonesia,Homestay murah ciwidey,Vila,"Patengan, Jalan Raya, Alamendah, Kec. Rancabali, Kabupaten Bandung, Jawa Barat 40973, Indonesia",-7.1196588,107.4322283,0.04,1.0,5.0,27.0,https://www.google.com/maps/search/?api=1&query=Homestay%20murah%20ciwidey&query_place_id=ChIJXcZOdbKNaC4R1MGy0cbKw1o,,ChIJXcZOdbKNaC4R1MGy0cbKw1o,6540294039142580692,safe_candidate
LODGE-00591,Tiara Guest House,guest_house,P1_rating_reviews_missing,-6.7975,107.1724,Tiara Guest House Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia,Tiara Guest House Bandung,Guest house,"Jl. Setramurni Tengah II No.5, Sukarasa, Kec. Sukasari, Kota Bandung, Jawa Barat 40152, Indonesia",-6.8752914,107.5829284,46.142,1.0,4.9,230.0,https://www.google.com/maps/search/?api=1&query=Tiara%20Guest%20House%20Bandung&query_place_id=ChIJH1tUWSnnaC4RVWbgH0lMUEY,,ChIJH1tUWSnnaC4RVWbgH0lMUEY,5066633457742931541,needs_review_candidate
LODGE-00631,Alma Strawberry ( Home stay ),guest_house,P1_rating_reviews_missing,-7.1323,107.4169,Alma Strawberry ( Home stay ) Ciwidey Kabupaten Bandung Jawa Barat Indonesia,Alma Strawberry ( Home stay ),Vila,"Alamendah, Kec. Rancabali, Kabupaten Bandung, Jawa Barat, Indonesia",-7.1323199,107.4169235,0.003,1.0,,,https://www.google.com/maps/search/?api=1&query=Alma%20Strawberry%20(%20Home%20stay%20)&query_place_id=ChIJa1LZ0fGMaC4RSV06t34TPv4,,ChIJa1LZ0fGMaC4RSV06t34TPv4,18320101769150618953,no_rating_candidate
LODGE-00684,Ciwidey Homestay 4 Bedroom,guest_house,P1_rating_reviews_missing,-7.1327,107.4215,Ciwidey Homestay 4 Bedroom Ciwidey Kabupaten Bandung Jawa Barat Indonesia,Homestay di Ciwidey,Rumah wisata,"Jl. Ciwidey-Patengan Km.08 Barutunggul, Alamendah, Kec. Rancabali, Kabupaten Bandung, Jawa Barat 40973, Indonesia",-7.1346204,107.4171055,0.53,0.476,4.6,13.0,https://www.google.com/maps/search/?api=1&query=Homestay%20di%20Ciwidey&query_place_id=ChIJ4afiCR-NaC4R4fAUm3G6Pe4,https://www.tiktok.com/@homestayciwidey66?_r=1&_t=ZS-91RnlPcCpk4,ChIJ4afiCR-NaC4R4fAUm3G6Pe4,17167082351702110433,noisy_candidate
