penginapan_id,name,property_type,property_type_final,property_type_final_after_p3,latitude,longitude,region_bucket,overall_rating,reviews,price_lowest,price_display,data_quality_score,data_quality_label,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label,capacity_min_estimated,capacity_max_estimated,capacity_confidence,listing_policy_status,ranking_tier_after_p2,ranking_tier_after_p3,primary_ranking_allowed_after_p3,secondary_ranking_allowed_after_p3,drop_from_dataset_after_p3,manual_validation_needed_after_p3,manual_validation_topic_after_p3,p3_validation_applied,p3_decision,p3_note,candidate_parent_name,same_name_count_p3
LODGE-00001,Paddies Homestay New - Deluxe Double Room,guest_house,guest_house,guest_house,-6.8405,107.0849,bandung_raya_other,3.9,5.0,168100.0,Rp 168.100,1.0,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00002,Paddies Homestay New - Family Room,guest_house,guest_house,guest_house,-6.8405,107.0849,bandung_raya_other,3.9,5.0,295292.0,Rp 295.292,1.0,high,0,,Belum tersedia,missing_review_confidence,3,4,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00003,Paddies Homestay New - Family Room,guest_house,guest_house,guest_house,-6.8405,107.0849,bandung_raya_other,3.9,5.0,168100.0,Rp 168.100,0.95,high,0,,Belum tersedia,missing_review_confidence,3,4,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00004,Wildan Homestay - Economy Twin Room,guest_house,guest_house,guest_house,-6.8018,107.0623,bandung_raya_other,4.8846,13.0,1752101.0,Rp 1.752.101,0.9,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,needs_price_type_validation,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00017,Paddies Homestay (Full Room),guest_house,guest_house,guest_house,-6.8399,107.083,bandung_raya_other,,,,,0.65,medium,0,,Belum tersedia,missing_review_confidence,1,2,low_capacity_confidence,needs_parent_child_validation,needs_parent_child_validation,held_room_level_child,False,False,False,False,,True,hold_room_level_child,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama.",Paddies Homestay (Full Room),2
LODGE-00021,Wonderful dedicated room with garden,vacation_rental,vacation_rental,vacation_rental,-6.884,107.0839,bandung_raya_other,,,,,0.65,medium,0,,Belum tersedia,missing_review_confidence,4,8,low_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00029,Calda Homestay Syariah - Deluxe Family Room,guest_house,guest_house,guest_house,-6.8685,107.5727,cimahi_baros_pasteur,4.5,8.0,453442.0,Rp 453.442,1.0,high,0,,Belum tersedia,missing_review_confidence,3,4,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00030,Calda Homestay Syariah - Superior Family Room,guest_house,guest_house,guest_house,-6.8685,107.5727,cimahi_baros_pasteur,4.5,8.0,579329.0,Rp 579.329,1.0,high,0,,Belum tersedia,missing_review_confidence,3,4,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00041,Nabila Syar'i Guest House - Standard Double Room,guest_house,guest_house,guest_house,-6.8566,107.5164,cimahi_baros_pasteur,5.0,6.0,442849.0,Rp 442.849,1.0,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00106,Guest house premium - Double Room with Balcony,guest_house,guest_house,guest_house,-6.9575,107.5702,cimahi_baros_pasteur,,,237986.0,Rp 237.986,0.85,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
