penginapan_id,name,normalized_name,property_token,property_type,raw_type,is_room_level_listing,is_apartment_listing,is_villa_listing,is_budget_chain_listing,latitude,longitude,region_bucket,region_validation_label,region_validation_reason,distance_from_bandung_center_km,overall_rating,reviews,location_rating,price_lowest,price_before_taxes_fees,price_display,check_in_time,check_out_time,amenities,nearby_place_names,primary_image_url,image_count,link,rating_sentiment_score,adjusted_rating_sentiment_score,rating_sentiment_label,adjusted_rating_sentiment_label,review_confidence_label,rating_sentiment_source,data_quality_score,data_quality_label,dedupe_key,dedupe_group_size,dedupe_source_files,dedupe_source_queries,dedupe_raw_master_ids,source_system,generated_at,is_parent_master,final_child_count,has_final_child_listing,excluded_child_listing_count,name_looks_detail_listing,parent_penginapan_id,hotel_review_count_analyzed,hotel_sentiment_score,hotel_sentiment_confidence_mean,positive_review_count,neutral_review_count,negative_review_count,review_target_count,hotel_adjusted_sentiment_score,hotel_sentiment_label,hotel_adjusted_sentiment_label,hotel_review_confidence,hotel_review_confidence_label,hotel_sentiment_model_source,hotel_sentiment_model_version,hotel_sentiment_prior_score,hotel_sentiment_review_count_p95,hotel_sentiment_available,amenities_text_available,has_wifi,has_parking,has_ac,has_pool,has_kitchen,has_breakfast,has_laundry,kid_friendly,pet_friendly,wheelchair_accessible,smoke_free,has_gym,has_hot_tub,has_balcony_or_terrace,has_elevator,has_airport_shuttle,has_cable_tv,has_iron,has_heater_or_fireplace,amenity_boolean_count,amenity_boolean_source,price_available,price_bucket_global,price_bucket_by_type,price_bucket_by_type_q33,price_bucket_by_type_q66,price_confidence,price_is_estimated,price_bucket_method,bedroom_count_estimated,capacity_min_estimated,capacity_max_estimated,capacity_confidence,capacity_estimation_reason,capacity_is_estimated,capacity_source,attention_score,attention_level,attention_reasons,recommended_data_action,property_type_hint,property_type_hint_reason,refined_detail_listing_group,refined_detail_listing_action,refined_detail_listing_priority,refined_price_status,refined_price_action,refined_price_note,refined_low_quality_status,refined_low_quality_action,refined_low_quality_note,refined_overall_data_action,listing_policy_status,listing_policy_action,listing_policy_reason,primary_ranking_allowed,secondary_ranking_allowed,manual_validation_needed,manual_validation_topic,validator_priority,validator_question,allowed_manual_decisions,suggested_default_decision,same_name_count_in_dataset,manual_decision,manual_note,property_type_final,ranking_tier_after_p1,primary_ranking_allowed_after_p1,secondary_ranking_allowed_after_p1,drop_from_dataset_after_p1,manual_validation_needed_after_p1,manual_validation_topic_after_p1,p1_validation_applied,ranking_tier_after_p2,primary_ranking_allowed_after_p2,secondary_ranking_allowed_after_p2,drop_from_dataset_after_p2,manual_validation_needed_after_p2,manual_validation_topic_after_p2,p2_validation_applied,p2_decision,p2_note,property_type_final_after_p3,ranking_tier_after_p3,primary_ranking_allowed_after_p3,secondary_ranking_allowed_after_p3,drop_from_dataset_after_p3,manual_validation_needed_after_p3,manual_validation_topic_after_p3,p3_validation_applied,p3_decision,p3_note,candidate_parent_name,same_name_count_p3
LODGE-00001,Paddies Homestay New - Deluxe Double Room,paddies homestay new,ChkQiJug89qt5r1iGg0vZy8xMXg2ZG4ybDh0EAI,guest_house,vacation rental,False,False,False,False,-6.8405,107.0849,bandung_raya_other,bandung_raya_valid,inside_broad_bandung_raya,59.593,3.9,5.0,2.3,168100.0,168100.0,Rp 168.100,14.0,12.0,Ranjang bayi; Kolam renang di dalam ruangan; Boleh bawa hewan peliharaan; Bebas asap rokok,Bandar Udara Internasional Soekarno–Hatta; Dapur Kedai Tutut dan Seafood,https://static.cupid.travel/hotels/287927111.jpg,9,https://www.bluepillow.com/search/65ca7da9671b07d23c6d918d?dest=bkng&cat=House&lat=-6.84047&lng=107.08491&language=en,0.45,0.6844,Positif,Sangat Positif,low_review_confidence,overall_rating_fallback,1.0,high,token::ChkQiJug89qt5r1iGg0vZy8xMXg2ZG4ybDh0EAI,1,dataset_google-hotels-search-scraper_2026-06-02_04-47-56-242.json,"Rongga, Kabupaten Bandung Barat",HRAW-01696,google_hotels_search_raw_master,2026-06-05T08:01:21.260751Z,True,0,False,54,True,,0,,,,,,,,Belum tersedia,Belum tersedia,,missing_review_confidence,unavailable,,,,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,3,amenities_text_rule_v1,True,budget_under_200k,budget_by_type,206199.96,394935.0,high_price_confidence,True,global_idr_threshold_v1_and_property_type_quantile_v1,,1,2,medium_capacity_confidence,double_or_standard_room_name_pattern,True,name_and_property_type_rule_v1,5,medium,looks_like_detail_or_unit_listing|property_type_maybe_needs_review,review_parent_child_or_mark_secondary,vacation_rental,name_contains_other_property_type_keyword,room_level_detail,hold_as_child_detail,high_attention,,,,,,,hold_or_secondary_detail_listing,held_child_room_level,do_not_rank_as_parent,"nama terlihat sebagai kamar, bukan properti utama",False,False,False,,,,,,1,,,guest_house,held_child_room_level,False,False,False,False,,False,held_child_room_level,False,False,False,False,,False,,,guest_house,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00002,Paddies Homestay New - Family Room,paddies homestay new,ChkQ0qntvM2Xy5BzGg0vZy8xMXoyMWJ3MmY3EAI,guest_house,vacation rental,False,False,False,False,-6.8405,107.0849,bandung_raya_other,bandung_raya_valid,inside_broad_bandung_raya,59.593,3.9,5.0,2.3,295292.0,295292.0,Rp 295.292,14.0,12.0,Ranjang bayi; Kolam renang di dalam ruangan; Boleh bawa hewan peliharaan; Bebas asap rokok,Bandar Udara Internasional Soekarno–Hatta; Chichipi rumah rasa,https://static.cupid.travel/hotels/287927111.jpg,9,https://www.bluepillow.com/search/65ca7da9671b07d23c6d918d/712005904?dest=bkng&cat=House&lat=-6.84047&lng=107.08491&language=en,0.45,0.6844,Positif,Sangat Positif,low_review_confidence,overall_rating_fallback,1.0,high,token::ChkQ0qntvM2Xy5BzGg0vZy8xMXoyMWJ3MmY3EAI,1,dataset_google-hotels-search-scraper_2026-06-02_04-47-56-242.json,"Rongga, Kabupaten Bandung Barat",HRAW-01699,google_hotels_search_raw_master,2026-06-05T08:01:21.260751Z,True,0,False,54,True,,0,,,,,,,,Belum tersedia,Belum tersedia,,missing_review_confidence,unavailable,,,,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,3,amenities_text_rule_v1,True,standard_200k_500k,mid_range_by_type,206199.96,394935.0,high_price_confidence,True,global_idr_threshold_v1_and_property_type_quantile_v1,,3,4,medium_capacity_confidence,family_room_name_pattern,True,name_and_property_type_rule_v1,5,medium,looks_like_detail_or_unit_listing|property_type_maybe_needs_review,review_parent_child_or_mark_secondary,vacation_rental,name_contains_other_property_type_keyword,room_level_detail,hold_as_child_detail,high_attention,,,,,,,hold_or_secondary_detail_listing,held_child_room_level,do_not_rank_as_parent,"nama terlihat sebagai kamar, bukan properti utama",False,False,False,,,,,,2,,,guest_house,held_child_room_level,False,False,False,False,,False,held_child_room_level,False,False,False,False,,False,,,guest_house,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00003,Paddies Homestay New - Family Room,paddies homestay new,ChoQhuzjkeTFva_fARoNL2cvMTF6NGNwdGtxXxAC,guest_house,vacation rental,False,False,False,False,-6.8405,107.0849,bandung_raya_other,bandung_raya_valid,inside_broad_bandung_raya,59.593,3.9,5.0,,168100.0,168100.0,Rp 168.100,14.0,12.0,Boleh bawa hewan peliharaan; Bebas asap rokok,,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/static.cupid.travel/hotels/287927116.jpg?w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,9,https://www.freecancellations.com/search/F2ZyS1YGTHpRDVVVDVlSEgtYDU00Q1dD?lat=-6.84046&lng=107.08491&language=en,0.45,0.6844,Positif,Sangat Positif,low_review_confidence,overall_rating_fallback,0.95,high,token::ChoQhuzjkeTFva_fARoNL2cvMTF6NGNwdGtxXxAC,2,dataset_google-hotels-search-scraper_2026-06-02_04-47-56-242.json,"Rongga, Kabupaten Bandung Barat",HRAW-01570; HRAW-01691,google_hotels_search_raw_master,2026-06-05T08:01:21.260751Z,True,0,False,54,True,,0,,,,,,,,Belum tersedia,Belum tersedia,,missing_review_confidence,unavailable,,,,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,2,amenities_text_rule_v1,True,budget_under_200k,budget_by_type,206199.96,394935.0,high_price_confidence,True,global_idr_threshold_v1_and_property_type_quantile_v1,,3,4,medium_capacity_confidence,family_room_name_pattern,True,name_and_property_type_rule_v1,5,medium,looks_like_detail_or_unit_listing|property_type_maybe_needs_review,review_parent_child_or_mark_secondary,vacation_rental,name_contains_other_property_type_keyword,room_level_detail,hold_as_child_detail,high_attention,,,,,,,hold_or_secondary_detail_listing,held_child_room_level,do_not_rank_as_parent,"nama terlihat sebagai kamar, bukan properti utama",False,False,False,,,,,,2,,,guest_house,held_child_room_level,False,False,False,False,,False,held_child_room_level,False,False,False,False,,False,,,guest_house,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00004,Wildan Homestay - Economy Twin Room,wildan homestay economy,ChkQkY_H_O--4oZLGg0vZy8xMXd0dzhudHAyEAI,guest_house,vacation rental,False,False,False,False,-6.8018,107.0623,bandung_raya_other,bandung_raya_valid,inside_broad_bandung_raya,62.804,4.8846,13.0,2.6,1752101.0,1578463.0,Rp 1.752.101,13.3,12.0,Jemputan bandara; Cocok untuk anak; Kolam renang di dalam ruangan; Papan setrika; Dapur; Bebas asap rokok; Mesin cuci; Parkir gratis; Wi-Fi gratis,Bandar Udara Internasional Soekarno–Hatta; Rumah Makan Saung Awi 88,https://p.fih.io/v2/nSr0o-3gbZN8o1xMecXCcG-BkDeQVo3k-wOeVogkTe7ajuFOX7O-WA8aRWhXz1jsToZif_TsA_xCWfhWRa0ZiJaQvQ0t3Uw5FT6KH55x0DfB8kvTAeGc_zj3B7yoqI2XVgVj2Z-6Il_DBzF4en3ketkYyx1j1dLbUfhlOgkNcIcn9PwNtk_AU2csbUk6dd9sWYhZZ2bLtSQWP41C4PdruZMqfo8yAGlOIznTD4R8rfKDqwRbxV_L46cgSN_A210aZtZC-Wkf3-HxtZpcMGaA3uWi_buUSFh17v4zm8GxZ3FcPzF8ES23DMQVVtx3QVdY_w46P1lON3CWRHYxtmCB6Lf-SBocARGBauCXHmb0W9qaK9nb-2RGoWUxr9Pi8i87pRDvd238Ag9gijRmojIuAD1YolPfeRsVyUrvvh9k7SbovoZTF75OprVoiMGLrGsXAW6t6ravkkj33RWl0SHk4dXnNTnlkYA061-wzU7pfkf_tcdte5qzfbzXIQ9rBHTNCxTeDdXHhg7rz3-GnysPMl4w8H2ODK_y8_lDHcn2cD3k8bWmk3pMb5kpXZMgZNUT5cHNBQVkRwJJLlD7WXWHRUVVFwHqpOQDApoWVNRG62qyoKvh1g,8,,0.9423,0.7562,Sangat Positif,Sangat Positif,low_review_confidence,overall_rating_fallback,0.9,high,token::ChkQkY_H_O--4oZLGg0vZy8xMXd0dzhudHAyEAI,1,dataset_google-hotels-search-scraper_2026-06-02_04-47-56-242.json,"Rongga, Kabupaten Bandung Barat",HRAW-01580,google_hotels_search_raw_master,2026-06-05T08:01:21.260751Z,True,0,False,54,True,,0,,,,,,,,Belum tersedia,Belum tersedia,,missing_review_confidence,unavailable,,,,False,True,True,True,False,True,True,False,True,True,False,False,True,False,False,False,False,True,False,True,False,9,amenities_text_rule_v1,True,premium_1m_3m,premium_by_type,206199.96,394935.0,high_price_confidence,True,global_idr_threshold_v1_and_property_type_quantile_v1,,1,2,medium_capacity_confidence,double_or_standard_room_name_pattern,True,name_and_property_type_rule_v1,8,high,missing_source_link|looks_like_detail_or_unit_listing|property_type_maybe_needs_review|price_outlier_for_type,review_parent_child_or_mark_secondary,vacation_rental,name_contains_other_property_type_keyword,room_level_detail,hold_as_child_detail,high_attention,verify_price_source,manual_source_check,harga tinggi dengan rating/source lemah perlu cek sumber,,,,hold_or_secondary_detail_listing,needs_price_type_validation,hold_from_primary_until_checked,harga atau tipe properti perlu validasi sebelum masuk ranking utama,False,False,True,price_type_validation,P1,Apakah harga dan tipe properti ini benar dari sumber asli?,accept_high_price|fix_property_type|hold_from_primary|drop_if_invalid,hold_from_primary,1,hold_from_primary,"Harga benar, tetapi ini unit kamar child, bukan properti utama.",guest_house,held_child_room_level,False,False,False,False,,True,held_child_room_level,False,False,False,False,,False,,,guest_house,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00005,Villa wanacosta - Three-Bedroom Villa,villa wanacosta villa,ChoQ8NDo3qil2rz_ARoNL2cvMTF5Y2dwdzNxNRAC,villa,vacation rental,False,False,True,False,-6.6463,107.5338,bandung_raya_other,bandung_raya_valid,inside_broad_bandung_raya,31.59,,,2.4,2476294.0,2476294.0,Rp 2.476.294,14.0,12.0,Ber-AC; Cocok untuk anak; Ranjang bayi; Elevator; Perapian; Penghangat; Bak air panas; Kolam renang di dalam ruangan; Papan setrika; Dapur; Kompor; Bebas asap rokok; TV Kabel; Mesin cuci; Parkir gratis; Wi-Fi gratis,Bandar Udara Internasional Soekarno–Hatta; Bijan Restoran Nusantara,https://static.cupid.travel/hotels/590676084.jpg,9,https://www.bluepillow.com/search/68119d4a6178c7268f2b2987?dest=bkng&cat=Villa&lat=-6.64633&lng=107.53378&language=en,,,Tidak Tersedia,Tidak Tersedia,missing_review_confidence,unavailable,0.85,high,token::ChoQ8NDo3qil2rz_ARoNL2cvMTF5Y2dwdzNxNRAC,2,dataset_google-hotels-search-scraper_2026-06-02_06-07-02-077.json; dataset_google-hotels-search-scraper_2026-06-02_06-09-56-864.json,"Cikalongwetan, Kabupaten Bandung Barat; Cipeundeuy, Kabupaten Bandung Barat",HRAW-02111; HRAW-02286,google_hotels_search_raw_master,2026-06-05T08:01:21.260751Z,True,0,False,54,True,,0,,,,,,,,Belum tersedia,Belum tersedia,,missing_review_confidence,unavailable,,,,False,True,True,True,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,True,True,13,amenities_text_rule_v1,True,premium_1m_3m,mid_range_by_type,1224503.76,3226560.88,high_price_confidence,True,global_idr_threshold_v1_and_property_type_quantile_v1,3.0,4,6,high_capacity_confidence,bedroom_count_name_pattern,True,name_and_property_type_rule_v1,7,high,missing_rating_or_reviews|missing_any_sentiment|looks_like_detail_or_unit_listing,review_parent_child_or_mark_secondary,,,whole_house_or_large_unit,keep_secondary_or_review_parent_status,high_attention,,,,,,,keep_secondary_or_review_parent_status,secondary_large_unit,secondary_for_group_or_villa_query,"rumah/villa besar relevan untuk rombongan, bukan default utama",False,True,False,,,,,,2,,,villa,secondary_large_unit,False,True,False,False,,False,secondary_large_unit,False,True,False,False,,False,,,villa,secondary_large_unit,False,True,False,False,,False,,,,1
LODGE-00006,Desaku Indah Home-stay,desaku indah home stay,ChkQ056xwaC6tJZQGg0vZy8xMW1reTFoejduEAI,vacation_rental,vacation rental,False,False,False,False,-6.8002,107.0624,bandung_raya_other,bandung_raya_valid,inside_broad_bandung_raya,62.83,,,2.6,302781.0,302781.0,Rp 302.781,,,Papan setrika; TV Kabel; Mesin cuci; Parkir gratis; Wi-Fi gratis,Bandar Udara Internasional Soekarno–Hatta; Karedok Dapur Kuring,https://pix8.agoda.net/hotelImages/31669633/0/6355306d6278fec78c246dd4447e222c.jpg?ca=29&ce=0&s=312x,6,https://www.bluepillow.com/search/62de8c21de4e4eebed151a65?dest=ago&cat=Apartment&lat=-6.80023&lng=107.0624&language=en,,,Tidak Tersedia,Tidak Tersedia,missing_review_confidence,unavailable,0.8,high,token::ChkQ056xwaC6tJZQGg0vZy8xMW1reTFoejduEAI,1,dataset_google-hotels-search-scraper_2026-06-02_04-47-56-242.json,"Rongga, Kabupaten Bandung Barat",HRAW-01595,google_hotels_search_raw_master,2026-06-05T08:01:21.260751Z,True,0,False,54,False,,0,,,,,,,,Belum tersedia,Belum tersedia,,missing_review_confidence,unavailable,,,,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,5,amenities_text_rule_v1,True,standard_200k_500k,budget_by_type,523875.0,1259833.4,high_price_confidence,True,global_idr_threshold_v1_and_property_type_quantile_v1,,4,8,low_capacity_confidence,villa_or_rental_default_no_capacity_source,True,name_and_property_type_rule_v1,5,medium,missing_rating_or_reviews|missing_any_sentiment|capacity_low_confidence_for_unit_property,no_action_or_low_priority,,,,,,,,,,,,,primary_candidate,allow_primary_ranking,data tidak terkena kebijakan hold/secondary,True,True,False,,,,,,5,,,vacation_rental,primary_candidate,True,True,False,False,,False,primary_candidate,True,True,False,False,,False,,,vacation_rental,primary_candidate,True,True,False,False,,False,,,,1
LODGE-00007,Villa Soli Deo Gloria,villa soli deo gloria,ChoQgqWXgrG314mcARoNL2cvMTF6NHNsNHI0ZxAC,villa,vacation rental,False,False,True,False,-6.6295,107.5543,bandung_raya_other,bandung_raya_valid,inside_broad_bandung_raya,32.81,,,,1017687.0,925219.0,Rp 1.017.687,14.0,11.0,Dapur; Kolam renang luar; Teras; TV Kabel; Dapat diakses pengguna kursi roda; Parkir gratis; Wi-Fi gratis,,https://images.trvl-media.com/lodging/84000000/83350000/83348000/83347926/w720h960x0y320-8adc460c_z.jpg,6,https://www.expedia.com/Hotel.h83347926.Hotel-Information?mdpcid=META.HPA.WEB-ORGANIC.VR,,,Tidak Tersedia,Tidak Tersedia,missing_review_confidence,unavailable,0.8,high,token::ChoQgqWXgrG314mcARoNL2cvMTF6NHNsNHI0ZxAC,1,dataset_google-hotels-search-scraper_2026-06-02_06-09-56-864.json,"Cikalongwetan, Kabupaten Bandung Barat",HRAW-02298,google_hotels_search_raw_master,2026-06-05T08:01:21.260751Z,True,0,False,54,False,LODGE-00007,24,0.7962594128029378,0.8997688906377658,23.0,0.0,1.0,1.0,0.6565298605342457,Positif,Positif,0.8537091765993627,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.39999999999986,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,7,amenities_text_rule_v1,True,premium_1m_3m,budget_by_type,1224503.76,3226560.88,high_price_confidence,True,global_idr_threshold_v1_and_property_type_quantile_v1,,4,8,low_capacity_confidence,villa_or_rental_default_no_capacity_source,True,name_and_property_type_rule_v1,3,low,missing_rating_or_reviews|capacity_low_confidence_for_unit_property,no_action_or_low_priority,,,,,,,,,,,,,primary_candidate,allow_primary_ranking,data tidak terkena kebijakan hold/secondary,True,True,False,,,,,,2,,,villa,primary_candidate,True,True,False,False,,False,primary_candidate,True,True,False,False,,False,,,villa,primary_candidate,True,True,False,False,,False,,,,1
LODGE-00008,Villa Tepi Bukit,villa tepi bukit,ChkQ-enjuI_woPQ0Gg0vZy8xMXhmcHRfY2o4EAI,villa,vacation rental,False,False,True,False,-6.7639,107.0594,bandung_raya_other,bandung_raya_valid,inside_broad_bandung_raya,64.111,,,2.7,2417535.0,2417535.0,Rp 2.417.535,,,Dapur; TV Kabel; Parkir gratis,Bandar Udara Internasional Soekarno–Hatta; Bumi Aki Puncak - Restoran Keluarga Sejak 1987,https://pix8.agoda.net/hotelImages/40905795/0/f0d8e0cdaf3ab9ec88193904e1f94608.jpg?ce=0&s=312x,3,https://www.bluepillow.com/search/655205031811a9820ec31084?dest=ago&cat=House&lat=-6.76392&lng=107.05941&language=en,,,Tidak Tersedia,Tidak Tersedia,missing_review_confidence,unavailable,0.8,high,token::ChkQ-enjuI_woPQ0Gg0vZy8xMXhmcHRfY2o4EAI,1,dataset_google-hotels-search-scraper_2026-06-02_04-47-56-242.json,"Rongga, Kabupaten Bandung Barat",HRAW-01609,google_hotels_search_raw_master,2026-06-05T08:01:21.260751Z,True,0,False,54,False,LODGE-00008,4,0.912110155875463,0.94140880417618,4.0,0.0,0.0,1.0,0.6133597110326948,Positif,Positif,0.4268545882996813,low_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.39999999999986,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3,amenities_text_rule_v1,True,premium_1m_3m,mid_range_by_type,1224503.76,3226560.88,high_price_confidence,True,global_idr_threshold_v1_and_property_type_quantile_v1,,4,8,low_capacity_confidence,villa_or_rental_default_no_capacity_source,True,name_and_property_type_rule_v1,3,low,missing_rating_or_reviews|capacity_low_confidence_for_unit_property,no_action_or_low_priority,,,,,,,,,,,,,primary_candidate,allow_primary_ranking,data tidak terkena kebijakan hold/secondary,True,True,False,,,,,,1,,,villa,primary_candidate,True,True,False,False,,False,primary_candidate,True,True,False,False,,False,,,villa,primary_candidate,True,True,False,False,,False,,,,1
LODGE-00009,Villa wanacosta - Three-Bedroom Villa,villa wanacosta villa,ChoQ7Znauo2C5urhARoNL2cvMTFuaGxobjRtcRAC,villa,vacation rental,False,False,True,False,-6.6463,107.5338,bandung_raya_other,bandung_raya_valid,inside_broad_bandung_raya,31.59,,,,2250001.0,1840910.0,Rp 2.250.001,14.0,12.0,Ber-AC; Gym; Penghangat; Papan setrika; Dapur; Kompor; Boleh bawa hewan peliharaan; TV Kabel; Mesin cuci,,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlYG65CxyC0DxfNwA8wBjniP_J-73mAP58dJEO70sEZal01dEetCqND78wQYBhCSvQg1xUtPTtVxgDic9rpn91GVOV1MqHt_WYUIa2LTELF9PVSAsXk2Qw==.jpg,9,https://www.booking.com/hotel/id/villa-wanacosta.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-12674072&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-12674072_grp-0_gendate-20260524,,,Tidak Tersedia,Tidak Tersedia,missing_review_confidence,unavailable,0.8,high,token::ChoQ7Znauo2C5urhARoNL2cvMTFuaGxobjRtcRAC,2,dataset_google-hotels-search-scraper_2026-06-02_06-07-02-077.json; dataset_google-hotels-search-scraper_2026-06-02_06-09-56-864.json,"Cikalongwetan, Kabupaten Bandung Barat; Cipeundeuy, Kabupaten Bandung Barat",HRAW-02106; HRAW-02282,google_hotels_search_raw_master,2026-06-05T08:01:21.260751Z,True,0,False,54,True,,0,,,,,,,,Belum tersedia,Belum tersedia,,missing_review_confidence,unavailable,,,,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,True,8,amenities_text_rule_v1,True,premium_1m_3m,mid_range_by_type,1224503.76,3226560.88,high_price_confidence,True,global_idr_threshold_v1_and_property_type_quantile_v1,3.0,4,6,high_capacity_confidence,bedroom_count_name_pattern,True,name_and_property_type_rule_v1,7,high,missing_rating_or_reviews|missing_any_sentiment|looks_like_detail_or_unit_listing,review_parent_child_or_mark_secondary,,,whole_house_or_large_unit,keep_secondary_or_review_parent_status,high_attention,,,,,,,keep_secondary_or_review_parent_status,secondary_large_unit,secondary_for_group_or_villa_query,"rumah/villa besar relevan untuk rombongan, bukan default utama",False,True,False,,,,,,2,,,villa,secondary_large_unit,False,True,False,False,,False,secondary_large_unit,False,True,False,False,,False,,,villa,secondary_large_unit,False,True,False,False,,False,,,,1
LODGE-00010,Wildan Guesthouse,wildan guesthouse,ChoQrNyz8pqbmOWeARoNL2cvMTF2c3Y3M2oyNxAC,guest_house,vacation rental,False,False,False,False,-6.8017,107.0619,bandung_raya_other,bandung_raya_valid,inside_broad_bandung_raya,62.849,,,2.6,1379101.0,1253728.0,Rp 1.379.101,,,Gym; Dapur; Parkir gratis; Wi-Fi gratis,Bandar Udara Internasional Soekarno–Hatta; Dapur Dahar,https://pix8.agoda.net/hotelImages/agoda-homes/9742517/0a4046509be42c1b885838851b6312d2.jpg?ca=9&ce=1,9,https://www.agoda.com/wildan-guesthouse/hotel/puncak-id.html,,,Tidak Tersedia,Tidak Tersedia,missing_review_confidence,unavailable,0.8,high,token::ChoQrNyz8pqbmOWeARoNL2cvMTF2c3Y3M2oyNxAC,1,dataset_google-hotels-search-scraper_2026-06-02_04-47-56-242.json,"Rongga, Kabupaten Bandung Barat",HRAW-01558,google_hotels_search_raw_master,2026-06-05T08:01:21.260751Z,True,0,False,54,False,,0,,,,,,,,Belum tersedia,Belum tersedia,,missing_review_confidence,unavailable,,,,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4,amenities_text_rule_v1,True,premium_1m_3m,premium_by_type,206199.96,394935.0,high_price_confidence,True,global_idr_threshold_v1_and_property_type_quantile_v1,,1,2,low_capacity_confidence,guest_house_default_per_room,True,name_and_property_type_rule_v1,8,high,missing_rating_or_reviews|missing_any_sentiment|property_type_maybe_needs_review|price_outlier_for_type,verify_price_source,vacation_rental,name_contains_other_property_type_keyword,,,,verify_price_source,manual_source_check,harga tinggi dengan rating/source lemah perlu cek sumber,,,,verify_price_or_type,needs_price_type_validation,hold_from_primary_until_checked,harga atau tipe properti perlu validasi sebelum masuk ranking utama,False,False,True,price_type_validation,P1,Apakah harga dan tipe properti ini benar dari sumber asli?,accept_high_price|fix_property_type|hold_from_primary|drop_if_invalid,hold_from_primary,1,accept_high_price,Harga Wildan Guesthouse sudah divalidasi benar.,guest_house,primary_high_price_validated,True,True,False,False,,True,primary_high_price_validated,True,True,False,False,,False,,,guest_house,primary_high_price_validated,True,True,False,False,,False,,,,1
