penginapan_id,name,property_type,overall_rating,reviews,price_lowest,price_display,amenities,primary_image_url,link,data_quality_score,data_quality_label,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label,rating_sentiment_score,name_looks_detail_listing,capacity_min_estimated,capacity_max_estimated,capacity_confidence,attention_score,attention_level,attention_reasons,recommended_data_action,refined_detail_listing_group,refined_detail_listing_action,refined_detail_listing_priority,refined_price_status,refined_price_action,refined_price_note,refined_low_quality_status,refined_low_quality_action,refined_low_quality_note,refined_overall_data_action
LODGE-00432,1BR Grand Sofia Moslem Family,hotel,1.0,1.0,,,,https://lh5.googleusercontent.com/p/LQ8ENFfxHrVhwGEK5Ht37g=s10000,,0.44,low,0,,Belum tersedia,missing_review_confidence,-1.0,True,1,2,medium_capacity_confidence,14,high,low_data_quality|missing_price|missing_amenities|missing_source_link|looks_like_detail_or_unit_listing|property_type_maybe_needs_review,review_parent_child_or_mark_secondary,apartment_unit_detail,secondary_option_not_primary_parent,high_attention,,,,low_quality_detail_listing,hold_as_child_or_secondary,data lemah dan nama terlihat sebagai kamar/unit,hold_or_secondary_detail_listing
LODGE-00433,ALONICA guesthouse,guest_house,3.0,2.0,,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFhXK4RjWYD-onQM1pSaeZzRU-0HEqY-6v9N93lz6iPYMq6-JLgLMTT1kGO7KHMf9EvTQbGR2ysnxV2cJUy2O8F7KDh7ycsJDvnbXmGs3i3JXaWFgFv314B1EtAMSg7Jq7kkUdD=s10000,,0.44,low,0,,Belum tersedia,missing_review_confidence,0.0,False,1,2,low_capacity_confidence,11,high,low_data_quality|missing_price|missing_amenities|missing_source_link|property_type_maybe_needs_review,verify_property_type,,,,,,,content_completion_needed,complete_amenities_or_image_if_needed,"data inti ada sebagian, tapi tampilan/filter masih lemah",complete_amenities_or_image_if_needed
LODGE-00434,Awana Dream Gateway Pasteur,apartment,5.0,7.0,,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFND2feb8BvwzQtuRrGKKcifFw-cOfPuFwymHmnu3DiCVHncg8IaFNOvE-XY33VdLAwcAs4sXLbsO4_QOqi1eoJfWLeGr7i-6vyvxlzDdInFK7SlQofbomNQJ-zbyTlvnKynMi8Ag=s10000,,0.44,low,7,0.6344453548511988,Positif,medium_review_confidence,1.0,False,2,4,low_capacity_confidence,10,high,low_data_quality|missing_price|missing_amenities|missing_source_link|capacity_low_confidence_for_unit_property,complete_amenities_if_needed,,,,,,,content_completion_needed,complete_amenities_or_image_if_needed,"data inti ada sebagian, tapi tampilan/filter masih lemah",complete_amenities_or_image_if_needed
LODGE-00435,Bobo inn Baros,hotel,4.0,1.0,,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEdUTThndecbj_0rUD20fT1ybnD6DrQxZvAHiVUdLcMRMeuiyxon5JXGS0K4IMuFXngKcoYRO7t0gA1iNE-F8uOTIU_1CDUnvjriWEA5Hjozh2kJeH7Bi7nJsM8EbY2lH2wUSt8=s10000,,0.44,low,0,,Belum tersedia,missing_review_confidence,1.0,False,1,2,low_capacity_confidence,9,high,low_data_quality|missing_price|missing_amenities|missing_source_link,complete_amenities_if_needed,,,,,,,content_completion_needed,complete_amenities_or_image_if_needed,"data inti ada sebagian, tapi tampilan/filter masih lemah",complete_amenities_or_image_if_needed
LODGE-00436,Collection O By Boboin Baros Near Stasiun Cimahi,hotel,4.0,2.0,,,,https://lh5.googleusercontent.com/p/Sw6sbnryuH7XP-Paifllcg=s10000,,0.44,low,0,,Belum tersedia,missing_review_confidence,0.5,False,1,2,low_capacity_confidence,9,high,low_data_quality|missing_price|missing_amenities|missing_source_link,complete_amenities_if_needed,,,,,,,content_completion_needed,complete_amenities_or_image_if_needed,"data inti ada sebagian, tapi tampilan/filter masih lemah",complete_amenities_or_image_if_needed
LODGE-00437,Guest House TERAS WARUGA SYARIAH,guest_house,4.8,5.0,,,,https://cdn.worldota.net/t/1024x768/content/6b/ba/6bba7801dfed8b1ee9be0f91dde199ff84312b3e.JPEG,,0.44,low,1,0.5974597920924052,Positif,low_review_confidence,1.0,False,1,2,low_capacity_confidence,11,high,low_data_quality|missing_price|missing_amenities|missing_source_link|property_type_maybe_needs_review,verify_property_type,,,,,,,content_completion_needed,complete_amenities_or_image_if_needed,"data inti ada sebagian, tapi tampilan/filter masih lemah",complete_amenities_or_image_if_needed
LODGE-00438,Hen's Guest House,guest_house,4.6,245.0,,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFSbIYxjw1i6DGd3SC09MXkOTSKNpLxUVBb2G9rSb8Fx7uPDryuaCzAV_zJvPOXHuw6dITXNQk18Ehsjj-yRw2YUE5RH_yobOomblFudEixOyv-imtPFOJxGYTYFytVSddXN7QC2U8sXUcS=s10000,,0.44,low,0,,Belum tersedia,missing_review_confidence,0.8693877551020408,False,1,2,low_capacity_confidence,11,high,low_data_quality|missing_price|missing_amenities|missing_source_link|property_type_maybe_needs_review,verify_property_type,,,,,,,content_completion_needed,complete_amenities_or_image_if_needed,"data inti ada sebagian, tapi tampilan/filter masih lemah",complete_amenities_or_image_if_needed
LODGE-00439,Homestay,guest_house,5.0,1.0,,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEqaOcPdwXQ7OCZegZeXTVxnAU1_YD7RnmePX56PR4BjzVuympYr-YLwIrsD297ElfqakxDJ7IM9F4Bq7ddl159iPX398agfFIHmD6K6NQrkpvVUI0LUVtNIf3DXOnUozOiIsE4=s10000,,0.44,low,2,0.6024622361871446,Positif,low_review_confidence,1.0,False,1,2,low_capacity_confidence,11,high,low_data_quality|missing_price|missing_amenities|missing_source_link|property_type_maybe_needs_review,verify_property_type,,,,,,,content_completion_needed,complete_amenities_or_image_if_needed,"data inti ada sebagian, tapi tampilan/filter masih lemah",complete_amenities_or_image_if_needed
LODGE-00440,Imah Incu Inn,hotel,4.4,64.0,,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG3HRzNTDRQJiWQO0EnxahrPzfmP4JqVNE17LI9V00CIF8s3aLKmsAaNIX3YYFEL7-GH9hOlsM_RuqS9z6SPhwvaadu3BzrkkeK6cm4uWoEf4BgKElPFtsC0ySh4CNbzrPby8Xa=s10000,,0.44,low,6,0.5939956340191701,Positif,medium_review_confidence,0.796875,False,1,2,low_capacity_confidence,9,high,low_data_quality|missing_price|missing_amenities|missing_source_link,complete_amenities_if_needed,,,,,,,content_completion_needed,complete_amenities_or_image_if_needed,"data inti ada sebagian, tapi tampilan/filter masih lemah",complete_amenities_or_image_if_needed
LODGE-00441,JK House Bandung,hotel,4.7,23.0,,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEyNm3lIUWIL7hSrVpoyKO1CJS5emS7_N5pIcz-lPo_SbcZYzCVEH1_A68iet4dY6Kz1H_JkIpvmQUn6KiY4rggE14GDfZwrkKsfqb2OddjPvxSfKK_YnqthNlB4hBJZnAhhrYx=s10000,,0.44,low,12,0.6316495659938545,Positif,medium_review_confidence,0.8695652173913043,False,1,2,low_capacity_confidence,11,high,low_data_quality|missing_price|missing_amenities|missing_source_link|property_type_maybe_needs_review,verify_property_type,,,,,,,content_completion_needed,complete_amenities_or_image_if_needed,"data inti ada sebagian, tapi tampilan/filter masih lemah",complete_amenities_or_image_if_needed
