severity,code,field,penginapan_id,name,message,recommended_action
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00001,Paddies Homestay New - Deluxe Double Room,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00002,Paddies Homestay New - Family Room,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00003,Paddies Homestay New - Family Room,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00005,Villa wanacosta - Three-Bedroom Villa,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00007,Villa Soli Deo Gloria,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00009,Villa wanacosta - Three-Bedroom Villa,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00012,Villa Mang Oyan - Two-Bedroom Villa,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00015,Lavin Soka Homestay - Tent,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00016,Lavin Soka Homestay - Tent,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00019,Villa Mang Oyan - Two-Bedroom Villa,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00020,Villa Niscala 2 - Two-Bedroom Villa,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00025,Villa Niscala 2 - Two-Bedroom Villa,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00027,Villa Soli Deo Gloria,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00029,Calda Homestay Syariah - Deluxe Family Room,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00030,Calda Homestay Syariah - Superior Family Room,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00031,Clamitan House - Villa,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00034,High Livin Apartment Baros - One-Bedroom Apartment,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00035,High Livin Apartment Baros - Three-Bedroom Apartment,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00036,High Livin Apartment Baros - Two-Bedroom Apartment,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00040,Luxury Living At The Edge,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00041,Nabila Syar'i Guest House - Standard Double Room,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00051,Valle Verde Villas - Three-Bedroom Villa,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00052,Valle Verde Villas - Two-Bedroom Villa,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00053,Valore Hotel Cimahi,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00057,Clamitan House - Villa,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00070,OYO 3463 Cimahi Guest House,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00074,Valle Verde Villas - Two-Bedroom Villa,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
MANUAL_REVIEW,POSSIBLE_DUPLICATE_NAME_COORD,"normalized_name,latitude,longitude",LODGE-00087,Budi House Food Station - Deluxe Twin Room,Nama normalized + koordinat rounded masih sama dengan baris lain.,"Review manual; jika benar properti sama, gabungkan atau pilih record kualitas terbaik."
