penginapan_id,name,property_type,latitude,longitude,overall_rating,reviews,exact_google_maps_url,maps_match_name,maps_match_address,match_confidence,source_type
LODGE-00973,POP! Hotel Festival Citylink Bandung,hotel,-6.9295,107.5862,4.3,5170.0,https://www.google.com/maps/search/?api=1&query=POP%21+Hotel+Festival+Citylink+-+Bandung+-6.9295%2C107.5862&query_place_id=ChIJgehj_KfoaC4Rl7YUbnJLUPw,POP! Hotel Festival Citylink - Bandung,"Jl. Peta No.241, Suka Asih, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40323, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-00888,Ciparay Residence,hotel,-6.9592,107.6424,4.275,43.0,https://www.google.com/maps/search/?api=1&query=Ciparay+Residence+-6.9592%2C107.6424&query_place_id=ChIJ8ZLKX0joaC4R0UIl6g1D4Sw,Ciparay Residence,"Kujangsari, Bandung Kidul, Bandung City, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-01047,TechieRoom Swift at Clove Garden Residence,hotel,-6.8729,107.6404,4.2,8.0,https://www.google.com/maps/search/?api=1&query=TechieRoom+Swift+at+Clove+Garden+Residence+-6.8729%2C107.6404&query_place_id=ChIJyW5oyxPnaC4RlgJXTyAUDt0,TechieRoom Swift at Clove Garden Residence,"Cibeunying, Cimenyan, Bandung Regency, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-00905,G10 Guest House Near Asia Afrika Bandung,guest_house,-6.9296,107.6152,4.585,23.0,https://www.google.com/maps/search/?api=1&query=G10+Guest+House+Near+Asia+Afrika+Bandung+-6.9296%2C107.6152&query_place_id=ChIJKX35I4LoaC4R5f9QXt_mGv4,G10 Guest House Near Asia Afrika Bandung,"Cikawao, Lengkong, Bandung City, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-00568,Homestay VV&V,guest_house,-7.1353,107.4067,5.0,1.0,https://www.google.com/maps/search/?api=1&query=Homestay+VV%26V+-7.1353%2C107.4067&query_place_id=ChIJu3sP5oyMaC4RWdvtQoAJr2Y,Homestay VV&V,"Lebakmuncang, Ciwidey, Bandung Regency, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-01022,Roemah Asri Villa - Resor Dago Pakar,villa,-6.8677,107.6465,4.585,35.0,https://www.google.com/maps/search/?api=1&query=Roemah+Asri+Villa+-+Resor+Dago+Pakar+-6.8677%2C107.6465&query_place_id=ChIJ1fddIGvnaC4RGryVUdUkXhA,Roemah Asri Villa - Resor Dago Pakar,"Mekarsaluyu, Cimenyan, Bandung Regency, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-01243,Dago Escape Villa by Kozystay - Bandung,villa,-6.856,107.6544,4.675,21.0,https://www.google.com/maps/search/?api=1&query=Dago+Escape+Villa+by+Kozystay+-+Bandung+-6.856%2C107.6544&query_place_id=ChIJG3aSC0XnaC4RiJCYlE_BMis,Dago Escape Villa by Kozystay - Bandung,"Mekarsaluyu, Cimenyan, Bandung Regency, West Java, Indonesia",medium,Google Maps business result + Google Maps URL query_place_id
LODGE-01233,Calma Villa by Kozystay - Bandung,villa,-6.8314,107.629,5.0,16.0,https://www.google.com/maps/search/?api=1&query=Calma+Villa+by+Kozystay+-+Bandung+-6.8314%2C107.629&query_place_id=ChIJkfSTuNvgaC4RUctWoaacAKc,Calma Villa by Kozystay - Bandung,"Pagerwangi, Lembang, West Bandung Regency, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-01277,Jasmine Cozy Villa 3 Bedrooms With a Private Heated Swimming Pool and a Billiard Table,villa,-6.8674,107.6367,3.525,16.0,https://www.google.com/maps/search/?api=1&query=Jasmine+Cozy+Villa+3+Bedrooms+With+a+Private+Heated+Swimming+Pool+and+a+Billiard+Table+-6.8674%2C107.6367&query_place_id=ChIJfYKU7xXnaC4RobsGTRUHZPk,Jasmine Cozy Villa 3 Bedrooms With a Private Heated Swimming Pool and a Billiard Table,"Mekarsaluyu, Cimenyan, Bandung Regency, West Java, Indonesia",medium,Google Maps business result + Google Maps URL query_place_id
LODGE-01281,Kirei Mountain View Villa 7 Bedrooms With a Private Swimming Pool,villa,-6.8581,107.6496,4.1692,13.0,https://www.google.com/maps/search/?api=1&query=Kirei+Mountain+View+Villa+7+Bedrooms+With+a+Private+Heated+Swimming+Pool+-6.8581%2C107.6496&query_place_id=ChIJKZVQk0bnaC4RMNfgs3gAIiM,Kirei Mountain View Villa 7 Bedrooms With a Private Heated Swimming Pool,"Mekarsaluyu, Cimenyan, Bandung Regency, West Java, Indonesia",medium,Google Maps business result + Google Maps URL query_place_id
LODGE-01321,Sunset City View Villa 5 Bedrooms With a Private Heated Swimming Pool,villa,-6.8617,107.6498,4.5909,11.0,https://www.google.com/maps/search/?api=1&query=Sunset+City+View+Villa+5+Bedrooms+With+a+Private+Heated+Swimming+Pool+-6.8617%2C107.6498&query_place_id=ChIJf5-gg0HnaC4R0Y9hsqUTxCw,Sunset City View Villa 5 Bedrooms With a Private Heated Swimming Pool,"Mekarsaluyu, Cimenyan, Bandung Regency, West Java, Indonesia",medium,Google Maps business result + Google Maps URL query_place_id
LODGE-00066,Josh House KBP Villa,villa,-6.8694,107.4546,4.45,8.0,https://www.google.com/maps/search/?api=1&query=Josh+House+KBP+Villa+-6.8694%2C107.4546&query_place_id=ChIJobDOZmr7aC4RTxhY7RCY3z4,Josh House KBP Villa,"Bojonghaleuang, Batujajar, West Bandung Regency, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-00516,Villa Syariah Ciwidey Bandung Arreneuz View Kebun,villa,-7.1062,107.4262,4.45,8.0,https://www.google.com/maps/search/?api=1&query=Villa+Syariah+Ciwidey+Bandung+Arreneuz+View+Kebun+-7.1062%2C107.4262&query_place_id=ChIJ11UWTdGMaC4R61Ko-RU8je4,Villa Syariah Ciwidey Bandung Arreneuz View Kebun,"Lebakmuncang, Ciwidey, Bandung Regency, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-00042,Naomi Home Villa Bandung near Wahoo & Whoosh,villa,-6.8695,107.4571,4.6,6.0,https://www.google.com/maps/search/?api=1&query=Naomi+Home+Villa+Bandung+near+Wahoo+%26+Whoosh+-6.8695%2C107.4571&query_place_id=ChIJSSoPy0H7aC4Rh1kf1YmBLI0,Naomi Home Villa Bandung near Wahoo & Whoosh,"Bojonghaleuang, Batujajar, West Bandung Regency, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-00977,Platinum Yellow Bandung Villa 24 Pax Private Pool,villa,-6.8578,107.654,4.0,6.0,https://www.google.com/maps/search/?api=1&query=Platinum+Yellow+Bandung+Villa+24+Pax+Private+Pool+-6.8578%2C107.654&query_place_id=ChIJfXZHWETnaC4RvKOJ-yPnniw,Platinum Yellow Bandung Villa 24 Pax Private Pool,"Mekarsaluyu, Cimenyan, Bandung Regency, West Java, Indonesia",medium,Google Maps business result + Google Maps URL query_place_id
LODGE-01320,Sunrise City View Villa 9 Bedrooms With a Private Swimming Pool and a Billiard Table,villa,-6.8627,107.651,4.15,4.0,https://www.google.com/maps/search/?api=1&query=Sunrise+City+View+Villa+9+Bedrooms+With+a+Private+Swimming+Pool+and+a+Billiard+Table+-6.8627%2C107.651&query_place_id=ChIJ87dKnEHnaC4R64SUsUqS8eY,Sunrise City View Villa 9 Bedrooms With a Private Swimming Pool and a Billiard Table,"Mekarsaluyu, Cimenyan, Bandung Regency, West Java, Indonesia",medium,Google Maps business result + Google Maps URL query_place_id
LODGE-01248,Family Only Amazing City View Villa - De Reiz Firen Syariah,villa,-6.867,107.6394,3.15,3.0,https://www.google.com/maps/search/?api=1&query=Family+Only+Amazing+City+View+Villa+-+De+Reiz+Firen+Syariah+-6.867%2C107.6394&query_place_id=ChIJ_zi42BXnaC4RmBUiDD35-DY,Family Only Amazing City View Villa - De Reiz Firen Syariah,"Mekarsaluyu, Cimenyan, Bandung Regency, West Java, Indonesia",medium,Google Maps business result + Google Maps URL query_place_id
LODGE-01362,Griya Keraton Villa by Kozystay - Bandung,villa,-6.8411,107.6594,4.75,3.0,https://www.google.com/maps/search/?api=1&query=Griya+Keraton+Villa+by+Kozystay+-+Bandung+-6.8411%2C107.6594&query_place_id=ChIJA4XUqK3gaC4RG6iuwHRzuao,Griya Keraton Villa by Kozystay - Bandung,"Ciburial, Cimenyan, Bandung Regency, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
