penginapan_id,name,property_type,latitude,longitude,overall_rating,reviews,p2_sentiment_policy_status,recommended_action,decision_reason,accepted_review_rows,accepted_review_text_rows,held_review_rows,held_status_summary,start_url
LODGE-00973,POP! Hotel Festival Citylink Bandung,hotel,-6.9295,107.5862,4.3,5170.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,0,,https://www.google.com/maps/search/?api=1&query=POP%21%20Hotel%20Festival%20Citylink%20Bandung%20-6.9295%2C107.5862
LODGE-00915,Grand Pacific Hotel,hotel,-6.9088,107.5979,4.4,2978.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,90,held_foreign_result:90,https://www.google.com/maps/search/?api=1&query=Grand%20Pacific%20Hotel%20-6.9088%2C107.5979
LODGE-01086,Zodiak,hotel,-6.9123,107.5994,3.7,2708.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,0,,https://www.google.com/maps/search/?api=1&query=Zodiak%20-6.9123%2C107.5994
LODGE-01087,Zodiak - Taurus,hotel,-6.9115,107.5982,4.0,1796.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,0,,https://www.google.com/maps/search/?api=1&query=Zodiak%20-%20Taurus%20-6.9115%2C107.5982
LODGE-00950,Kollektiv,hotel,-6.878,107.5868,4.7,1486.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,0,,https://www.google.com/maps/search/?api=1&query=Kollektiv%20-6.878%2C107.5868
LODGE-00937,Hotel Sabang,hotel,-6.9095,107.6239,4.4,744.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,0,,https://www.google.com/maps/search/?api=1&query=Hotel%20Sabang%20-6.9095%2C107.6239
LODGE-00774,Hotel Soreang,hotel,-7.014,107.5311,4.3,728.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,0,,https://www.google.com/maps/search/?api=1&query=Hotel%20Soreang%20-7.014%2C107.5311
LODGE-01355,Feby Maisonatte by OYO Rooms,hotel,-6.8897,107.5826,3.115,421.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,60,held_name_mismatch:60,https://www.google.com/maps/search/?api=1&query=Feby%20Maisonatte%20by%20OYO%20Rooms%20-6.8897%2C107.5826
LODGE-01272,Hotel Victory,hotel,-6.9068,107.5958,4.1,386.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,210,held_foreign_result:210,https://www.google.com/maps/search/?api=1&query=Hotel%20Victory%20-6.9068%2C107.5958
LODGE-00897,Daun Residence,hotel,-6.8899,107.6136,4.5,382.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,0,,https://www.google.com/maps/search/?api=1&query=Daun%20Residence%20-6.8899%2C107.6136
