searchString,reviewerId,reviewerUrl,name,reviewerNumberOfReviews,isLocalGuide,reviewerPhotoUrl,text,textTranslated,publishAt,publishedAtDate,likesCount,reviewId,reviewUrl,reviewOrigin,stars,rating,responseFromOwnerDate,responseFromOwnerText,reviewImageUrls,reviewContext,reviewDetailedRating,visitedIn,originalLanguage,translatedLanguage,isAdvertisement,placeId,location,address,neighborhood,street,city,postalCode,state,countryCode,categoryName,categories,title,totalScore,permanentlyClosed,temporarilyClosed,reviewsCount,url,price,cid,fid,hotelStars,imageUrl,scrapedAt,language,kgmid,target_penginapan_id,target_name,target_type,audit_status,audit_reason,name_similarity
"RedDoorz near Exit Toll Pasteur 5 -6.8862,107.5841",114166853886730520754,https://www.google.com/maps/contrib/114166853886730520754?hl=id,Info Reservasi,154,True,https://lh3.googleusercontent.com/a-/ALV-UjXgZ0jzRLjjnkH2jCOMshvfyjyrOjXh1-uLrXEMsoKpMqX1KSk=s1920-c-rp-mo-ba12-br100,RedDoorz near Exit Toll Pasteur 4,,2 hari lalu,2026-06-11T07:24:42.570Z,0,Ci9DQUlRQUNvZENodHljRjlvT200NGQxUlBVWFI1ZWxKNFpIbFBNemhIWjFKVVMwRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT200NGQxUlBVWFI1ZWxKNFpIbFBNemhIWjFKVVMwRRAB!2m1!1s0x0:0x735dbd1f0325e53e!3m1!1s2@1:CAIQACodChtycF9oOm44d1RPUXR5elJ4ZHlPMzhHZ1JUS0E%7C%7C?hl=id,Google,5,,,,[],{'Detail penting': 'Info kontak untuk booking kamar\n𝘞𝘢 𝐎ꐪᘖᘖ-𝐥𝐥𝟛𝟡-𝟟ᘖ𝟞𝟝 (𝒑𝒆𝒎𝒊𝒍𝒊𝒌)'},{},,id,,False,ChIJ4xy5KqvnaC4RPuUlAx-9XXM,"{'lat': -6.8905976, 'lng': 107.5790232}","Jl. Cibogo No.7, Sukawarna, Kec. Sukajadi, West Bandung, Jawa Barat 40164, Indonesia","Sukawarna, Kecamatan Sukajadi",Jl. Cibogo No.7,West Bandung,40164,Jawa Barat,ID,Hotel,['Hotel'],RedDoorz near Exit Toll Pasteur 4,2.8,False,False,79,https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Exit%20Toll%20Pasteur%204&query_place_id=ChIJ4xy5KqvnaC4RPuUlAx-9XXM,US$5,8313008428090254654,0x2e68e7ab2ab91ce3:0x735dbd1f0325e53e,Hotel bintang 2,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH-zqXVXezw3blkikVIV4ACJNSrGvPxdb4fOOCEBPy62-hMhlLmem3H8pC2JEzOKx-8VL4jM0vLw-ZOLp6TwwfKMWaUZ1K_Uxl_onaMN2PK8mlsa-SdzK4ZZUVk4Pu_Zj-JeOJf=w408-h272-k-no,2026-06-13T18:05:11.175Z,id,/g/11n7cztmsl,LODGE-01000,RedDoorz near Exit Toll Pasteur 5,hotel,needs_review_name_partial,"nama place sebagian mirip, perlu cek ringan",0.714
"RedDoorz near Exit Toll Pasteur 5 -6.8862,107.5841",115507674376283995289,https://www.google.com/maps/contrib/115507674376283995289?hl=id,Rahman Purba,2,False,https://lh3.googleusercontent.com/a/ACg8ocKo6zNymxV9Ys8loEGxpvdPEM14O90DGIgkfrHQQasPyZWiiw=s1920-c-rp-mo-br100,,,2 minggu lalu,2026-05-29T19:36:16.600Z,0,Ci9DQUlRQUNvZENodHljRjlvT21GYWNYcHVlRGxaUkVsTmEwbFVUWG8xYnpGV1NuYxAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21GYWNYcHVlRGxaUkVsTmEwbFVUWG8xYnpGV1NuYxAB!2m1!1s0x0:0x735dbd1f0325e53e!3m1!1s2@1:CAIQACodChtycF9oOmFacXpueDlZRElNa0lUTXo1bzFWSnc%7C%7C?hl=id,Google,5,,,,[],"{'Jenis perjalanan': 'Bisnis', 'Grup perjalanan': 'Pasangan', 'Sorotan hotel': 'Mewah'}","{'Kamar': 5, 'Layanan': 5, 'Lokasi': 5}",,,,False,ChIJ4xy5KqvnaC4RPuUlAx-9XXM,"{'lat': -6.8905976, 'lng': 107.5790232}","Jl. Cibogo No.7, Sukawarna, Kec. Sukajadi, West Bandung, Jawa Barat 40164, Indonesia","Sukawarna, Kecamatan Sukajadi",Jl. Cibogo No.7,West Bandung,40164,Jawa Barat,ID,Hotel,['Hotel'],RedDoorz near Exit Toll Pasteur 4,2.8,False,False,79,https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Exit%20Toll%20Pasteur%204&query_place_id=ChIJ4xy5KqvnaC4RPuUlAx-9XXM,US$5,8313008428090254654,0x2e68e7ab2ab91ce3:0x735dbd1f0325e53e,Hotel bintang 2,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH-zqXVXezw3blkikVIV4ACJNSrGvPxdb4fOOCEBPy62-hMhlLmem3H8pC2JEzOKx-8VL4jM0vLw-ZOLp6TwwfKMWaUZ1K_Uxl_onaMN2PK8mlsa-SdzK4ZZUVk4Pu_Zj-JeOJf=w408-h272-k-no,2026-06-13T18:05:11.175Z,id,/g/11n7cztmsl,LODGE-01000,RedDoorz near Exit Toll Pasteur 5,hotel,needs_review_name_partial,"nama place sebagian mirip, perlu cek ringan",0.714
"RedDoorz near Exit Toll Pasteur 5 -6.8862,107.5841",110609071110947293971,https://www.google.com/maps/contrib/110609071110947293971?hl=id,Json Ra,0,False,https://lh3.googleusercontent.com/a/ACg8ocLDwT3WD_30bNH2KxQKh6sFXmeM62ThvZkfDtJ7cXquENGhRg=s1920-c-rp-mo-br100,,,2 minggu lalu,2026-05-26T08:51:21.797Z,0,Ci9DQUlRQUNvZENodHljRjlvT2tFNFQwdDViMVEyTXpNdFIwVjRhMjl5WDNSamJtYxAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tFNFQwdDViMVEyTXpNdFIwVjRhMjl5WDNSamJtYxAB!2m1!1s0x0:0x735dbd1f0325e53e!3m1!1s2@1:CAIQACodChtycF9oOkE4T0t5b1Q2MzMtR0V4a29yX3Rjbmc%7C%7C?hl=id,Google,1,,,,[],{},{},,,,False,ChIJ4xy5KqvnaC4RPuUlAx-9XXM,"{'lat': -6.8905976, 'lng': 107.5790232}","Jl. Cibogo No.7, Sukawarna, Kec. Sukajadi, West Bandung, Jawa Barat 40164, Indonesia","Sukawarna, Kecamatan Sukajadi",Jl. Cibogo No.7,West Bandung,40164,Jawa Barat,ID,Hotel,['Hotel'],RedDoorz near Exit Toll Pasteur 4,2.8,False,False,79,https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Exit%20Toll%20Pasteur%204&query_place_id=ChIJ4xy5KqvnaC4RPuUlAx-9XXM,US$5,8313008428090254654,0x2e68e7ab2ab91ce3:0x735dbd1f0325e53e,Hotel bintang 2,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH-zqXVXezw3blkikVIV4ACJNSrGvPxdb4fOOCEBPy62-hMhlLmem3H8pC2JEzOKx-8VL4jM0vLw-ZOLp6TwwfKMWaUZ1K_Uxl_onaMN2PK8mlsa-SdzK4ZZUVk4Pu_Zj-JeOJf=w408-h272-k-no,2026-06-13T18:05:11.175Z,id,/g/11n7cztmsl,LODGE-01000,RedDoorz near Exit Toll Pasteur 5,hotel,needs_review_name_partial,"nama place sebagian mirip, perlu cek ringan",0.714
"RedDoorz near Exit Toll Pasteur 5 -6.8862,107.5841",116084028620439409846,https://www.google.com/maps/contrib/116084028620439409846?hl=id,Aldy Isbianto,8,False,https://lh3.googleusercontent.com/a-/ALV-UjWMy6IFDdU-57Y81oOpFZfOvqZMwQWAADOThZvvwGg3MNzcvLBI=s1920-c-rp-mo-br100,"Hotel buruk banget tidak rekomen, udah pesan melalui Agoda masa bilangnya penuh mana udah bayar",,3 minggu lalu,2026-05-20T10:15:50.046Z,0,Ci9DQUlRQUNvZENodHljRjlvT2tsbmNIbEVla0Z4UWxOdU1YQmhVMFU0WVZCVGVXYxAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tsbmNIbEVla0Z4UWxOdU1YQmhVMFU0WVZCVGVXYxAB!2m1!1s0x0:0x735dbd1f0325e53e!3m1!1s2@1:CAIQACodChtycF9oOklncHlEekFxQlNuMXBhU0U4YVBTeWc%7C%7C?hl=id,Google,1,,,,[],"{'Jenis perjalanan': 'Liburan', 'Grup perjalanan': 'Tunggal'}","{'Kamar': 1, 'Layanan': 1, 'Lokasi': 1}",,id,,False,ChIJ4xy5KqvnaC4RPuUlAx-9XXM,"{'lat': -6.8905976, 'lng': 107.5790232}","Jl. Cibogo No.7, Sukawarna, Kec. Sukajadi, West Bandung, Jawa Barat 40164, Indonesia","Sukawarna, Kecamatan Sukajadi",Jl. Cibogo No.7,West Bandung,40164,Jawa Barat,ID,Hotel,['Hotel'],RedDoorz near Exit Toll Pasteur 4,2.8,False,False,79,https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Exit%20Toll%20Pasteur%204&query_place_id=ChIJ4xy5KqvnaC4RPuUlAx-9XXM,US$5,8313008428090254654,0x2e68e7ab2ab91ce3:0x735dbd1f0325e53e,Hotel bintang 2,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH-zqXVXezw3blkikVIV4ACJNSrGvPxdb4fOOCEBPy62-hMhlLmem3H8pC2JEzOKx-8VL4jM0vLw-ZOLp6TwwfKMWaUZ1K_Uxl_onaMN2PK8mlsa-SdzK4ZZUVk4Pu_Zj-JeOJf=w408-h272-k-no,2026-06-13T18:05:11.175Z,id,/g/11n7cztmsl,LODGE-01000,RedDoorz near Exit Toll Pasteur 5,hotel,needs_review_name_partial,"nama place sebagian mirip, perlu cek ringan",0.714
"RedDoorz near Exit Toll Pasteur 5 -6.8862,107.5841",101640166438163473643,https://www.google.com/maps/contrib/101640166438163473643?hl=id,rina herawati,0,False,https://lh3.googleusercontent.com/a/ACg8ocJsZvoDjOKf2Sqz5_-i7bGNumn3G4wbqTH1kPTHjOCb_pp1jw=s1920-c-rp-mo-br100,,,4 minggu lalu,2026-05-16T14:26:03.775Z,0,Ci9DQUlRQUNvZENodHljRjlvT2pWaGRsTkZObDlzYWpGcFgxVnZRMWhMY3pGQlNHYxAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pWaGRsTkZObDlzYWpGcFgxVnZRMWhMY3pGQlNHYxAB!2m1!1s0x0:0x735dbd1f0325e53e!3m1!1s2@1:CAIQACodChtycF9oOjVhdlNFNl9sajFpX1VvQ1hLczFBSGc%7C%7C?hl=id,Google,5,,,,[],{},{},,,,False,ChIJ4xy5KqvnaC4RPuUlAx-9XXM,"{'lat': -6.8905976, 'lng': 107.5790232}","Jl. Cibogo No.7, Sukawarna, Kec. Sukajadi, West Bandung, Jawa Barat 40164, Indonesia","Sukawarna, Kecamatan Sukajadi",Jl. Cibogo No.7,West Bandung,40164,Jawa Barat,ID,Hotel,['Hotel'],RedDoorz near Exit Toll Pasteur 4,2.8,False,False,79,https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Exit%20Toll%20Pasteur%204&query_place_id=ChIJ4xy5KqvnaC4RPuUlAx-9XXM,US$5,8313008428090254654,0x2e68e7ab2ab91ce3:0x735dbd1f0325e53e,Hotel bintang 2,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH-zqXVXezw3blkikVIV4ACJNSrGvPxdb4fOOCEBPy62-hMhlLmem3H8pC2JEzOKx-8VL4jM0vLw-ZOLp6TwwfKMWaUZ1K_Uxl_onaMN2PK8mlsa-SdzK4ZZUVk4Pu_Zj-JeOJf=w408-h272-k-no,2026-06-13T18:05:11.175Z,id,/g/11n7cztmsl,LODGE-01000,RedDoorz near Exit Toll Pasteur 5,hotel,needs_review_name_partial,"nama place sebagian mirip, perlu cek ringan",0.714
"RedDoorz near Exit Toll Pasteur 5 -6.8862,107.5841",115177966064316960902,https://www.google.com/maps/contrib/115177966064316960902?hl=id,Toyib Kusuma Jaya,1210,True,https://lh3.googleusercontent.com/a-/ALV-UjXs6WCa6IqLRsZ6aJew1j0YcjE_QqcyUAvZciVN6oB8n_tbiSLY=s1920-c-rp-mo-ba12-br100,"kamar nya cocok untuk backpacker dan baudget backpacker emang.
fasilitas cukup lengkap walaupun tidak ada amenities sabun, tissue dan air",,sebulan lalu,2026-05-08T02:00:33.403Z,0,Ci9DQUlRQUNvZENodHljRjlvT25FdGJUSkNVSGhKUldka1gwNUpTM0JJVVZaZlowRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25FdGJUSkNVSGhKUldka1gwNUpTM0JJVVZaZlowRRAB!2m1!1s0x0:0x735dbd1f0325e53e!3m1!1s2@1:CAIQACodChtycF9oOnEtbTJCUHhJRWdkX05JS3BIUVZfZ0E%7C%7C?hl=id,Google,4,,,,"['https://lh3.googleusercontent.com/grass-cs/ANxoTn339YSl9S-YkAfNJKWgv9ci3_0OKjz3fb4vOY4pIKgpRtbEiQTuhuvwG5Ud5ucoNQm6JPA3bEClcqjH0NH1i8PYS2tqNUkfZpZLLV6s5mcT0sbMvkLVZ0_Mk4v_ieDWb1OPReTuBP2J_lo=k-no', 'https://lh3.googleusercontent.com/grass-cs/ANxoTn3e1qtriSJDgsMkh9vC7nb6IB2KT2Wnscyo47yzHgnRC-ShjybZq6P0q6gQF-ahG50N-v7Id8fboCq5yts_osbZncSDmrLcivWXEjTgvKObpX7ToT8ZVFk6VUg8F_fva10-X0ju-Dl3yaI=k-no', 'https://lh3.googleusercontent.com/grass-cs/ANxoTn0f49qZbmlcUKY9D5c9fnvHKFvB8PryVlZHBBhqCQ94ewP2_lOeyvncsxUFYuc6w_L6VoBYwAwUm-DWtkL8FtLhxnD8w6xhLx5diL0KONOFH2lPBPTNcRMZaF4o6IHN1y8WfPsePQHWbvfG=k-no']","{'Jenis perjalanan': 'Liburan', 'Grup perjalanan': 'Tunggal'}","{'Kamar': 4, 'Layanan': 5, 'Lokasi': 5}",,id,,False,ChIJ4xy5KqvnaC4RPuUlAx-9XXM,"{'lat': -6.8905976, 'lng': 107.5790232}","Jl. Cibogo No.7, Sukawarna, Kec. Sukajadi, West Bandung, Jawa Barat 40164, Indonesia","Sukawarna, Kecamatan Sukajadi",Jl. Cibogo No.7,West Bandung,40164,Jawa Barat,ID,Hotel,['Hotel'],RedDoorz near Exit Toll Pasteur 4,2.8,False,False,79,https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Exit%20Toll%20Pasteur%204&query_place_id=ChIJ4xy5KqvnaC4RPuUlAx-9XXM,US$5,8313008428090254654,0x2e68e7ab2ab91ce3:0x735dbd1f0325e53e,Hotel bintang 2,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH-zqXVXezw3blkikVIV4ACJNSrGvPxdb4fOOCEBPy62-hMhlLmem3H8pC2JEzOKx-8VL4jM0vLw-ZOLp6TwwfKMWaUZ1K_Uxl_onaMN2PK8mlsa-SdzK4ZZUVk4Pu_Zj-JeOJf=w408-h272-k-no,2026-06-13T18:05:11.175Z,id,/g/11n7cztmsl,LODGE-01000,RedDoorz near Exit Toll Pasteur 5,hotel,needs_review_name_partial,"nama place sebagian mirip, perlu cek ringan",0.714
"RedDoorz near Exit Toll Pasteur 5 -6.8862,107.5841",110127789143503696110,https://www.google.com/maps/contrib/110127789143503696110?hl=id,Taufik Lavenzo,24,True,https://lh3.googleusercontent.com/a-/ALV-UjWwKgBXA8tswbKmMivTA1gshbyyucsz1Q53172RMgpDPe1j4g4=s1920-c-rp-mo-ba12-br100,"Aku kalau booking Penginapan lewat aplikasi RedDoorz terus masukin kode promo #RDAFFPENGINAPAN2026 atau #RDAFFEXTRAMURAH2026
Bisa dapat potongan harga hingga 30% coba deh, Kodenya bisa di pakek berkali2",,sebulan lalu,2026-05-05T20:36:37.960Z,0,Ci9DQUlRQUNvZENodHljRjlvT2tsMlowMXdOR1p6UTFCdk9WTnpWMVU1TXpaR2VYYxAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tsMlowMXdOR1p6UTFCdk9WTnpWMVU1TXpaR2VYYxAB!2m1!1s0x0:0x735dbd1f0325e53e!3m1!1s2@1:CAIQACodChtycF9oOkl2Z01wNGZzQ1BvOVNzV1U5MzZGeXc%7C%7C?hl=id,Google,5,,,,[],{},"{'Kamar': 5, 'Layanan': 5, 'Lokasi': 5}",,id,,False,ChIJ4xy5KqvnaC4RPuUlAx-9XXM,"{'lat': -6.8905976, 'lng': 107.5790232}","Jl. Cibogo No.7, Sukawarna, Kec. Sukajadi, West Bandung, Jawa Barat 40164, Indonesia","Sukawarna, Kecamatan Sukajadi",Jl. Cibogo No.7,West Bandung,40164,Jawa Barat,ID,Hotel,['Hotel'],RedDoorz near Exit Toll Pasteur 4,2.8,False,False,79,https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Exit%20Toll%20Pasteur%204&query_place_id=ChIJ4xy5KqvnaC4RPuUlAx-9XXM,US$5,8313008428090254654,0x2e68e7ab2ab91ce3:0x735dbd1f0325e53e,Hotel bintang 2,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH-zqXVXezw3blkikVIV4ACJNSrGvPxdb4fOOCEBPy62-hMhlLmem3H8pC2JEzOKx-8VL4jM0vLw-ZOLp6TwwfKMWaUZ1K_Uxl_onaMN2PK8mlsa-SdzK4ZZUVk4Pu_Zj-JeOJf=w408-h272-k-no,2026-06-13T18:05:11.175Z,id,/g/11n7cztmsl,LODGE-01000,RedDoorz near Exit Toll Pasteur 5,hotel,needs_review_name_partial,"nama place sebagian mirip, perlu cek ringan",0.714
"RedDoorz near Exit Toll Pasteur 5 -6.8862,107.5841",105512067367168687922,https://www.google.com/maps/contrib/105512067367168687922?hl=id,Richo 17,27,True,https://lh3.googleusercontent.com/a-/ALV-UjUZAQYLSavU089Qxr40fL3akXGH38NQKeExXEFLC8Wg5BPIKA5v=s1920-c-rp-mo-ba12-br100,"Worth it..
Kamar bersih, pelayanan baik..
Bisa pesen kopi sambil nyantai di lantai 2..",,sebulan lalu,2026-05-05T02:33:52.893Z,0,Ci9DQUlRQUNvZENodHljRjlvT2tkeGRYVkZXbXBQTjFsYVQyazJOWFUzWWsxTmJtYxAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tkeGRYVkZXbXBQTjFsYVQyazJOWFUzWWsxTmJtYxAB!2m1!1s0x0:0x735dbd1f0325e53e!3m1!1s2@1:CAIQACodChtycF9oOkdxdXVFWmpPN1laT2k2NXU3Yk1Nbmc%7C%7C?hl=id,Google,5,,,,[],"{'Jenis perjalanan': 'Liburan', 'Grup perjalanan': 'Keluarga', 'Sorotan hotel': 'Tenang'}","{'Kamar': 5, 'Layanan': 5, 'Lokasi': 5}",,id,,False,ChIJ4xy5KqvnaC4RPuUlAx-9XXM,"{'lat': -6.8905976, 'lng': 107.5790232}","Jl. Cibogo No.7, Sukawarna, Kec. Sukajadi, West Bandung, Jawa Barat 40164, Indonesia","Sukawarna, Kecamatan Sukajadi",Jl. Cibogo No.7,West Bandung,40164,Jawa Barat,ID,Hotel,['Hotel'],RedDoorz near Exit Toll Pasteur 4,2.8,False,False,79,https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Exit%20Toll%20Pasteur%204&query_place_id=ChIJ4xy5KqvnaC4RPuUlAx-9XXM,US$5,8313008428090254654,0x2e68e7ab2ab91ce3:0x735dbd1f0325e53e,Hotel bintang 2,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH-zqXVXezw3blkikVIV4ACJNSrGvPxdb4fOOCEBPy62-hMhlLmem3H8pC2JEzOKx-8VL4jM0vLw-ZOLp6TwwfKMWaUZ1K_Uxl_onaMN2PK8mlsa-SdzK4ZZUVk4Pu_Zj-JeOJf=w408-h272-k-no,2026-06-13T18:05:11.175Z,id,/g/11n7cztmsl,LODGE-01000,RedDoorz near Exit Toll Pasteur 5,hotel,needs_review_name_partial,"nama place sebagian mirip, perlu cek ringan",0.714
"RedDoorz near Exit Toll Pasteur 5 -6.8862,107.5841",114763937520757854473,https://www.google.com/maps/contrib/114763937520757854473?hl=id,Muh Najmi Fauzul Adhim,3,False,https://lh3.googleusercontent.com/a-/ALV-UjWbswK8pW4YsPZ_aHeO04udqynPuHSFW0QQWA5A5j4ERjUClJ7Jsw=s1920-c-rp-mo-br100,"resepsionis dan semua staff tidak ramah, mau pesan lewat aplikasi ditolak dan disuruh bayar cash dengan harga yg lebih mahal!! MATA DUITAN TAPI PELAYANAN JELEK BANGET bahasa nya jelek, adab jelek, ga sopan, kamar sempit ga ada wifi, tidak ada alat mandi, AC eror , ga recommended lah pokonya kalo ada yg mau cek in pikir pikir dulu karena walaupun  kita bayar cash dan beda harga dri apk, pelayanan nya tidak sesuai",,sebulan lalu,2026-05-04T06:00:56.545Z,0,Ci9DQUlRQUNvZENodHljRjlvT2tOV1RWRXhTV2RpZGxOU2ExSlBkWEpJWVY5TE1rRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tOV1RWRXhTV2RpZGxOU2ExSlBkWEpJWVY5TE1rRRAB!2m1!1s0x0:0x735dbd1f0325e53e!3m1!1s2@1:CAIQACodChtycF9oOkNWTVExSWdidlNSa1JPdXJIYV9LMkE%7C%7C?hl=id,Google,1,,,,[],{},"{'Kamar': 1, 'Layanan': 1, 'Lokasi': 1}",,id,,False,ChIJ4xy5KqvnaC4RPuUlAx-9XXM,"{'lat': -6.8905976, 'lng': 107.5790232}","Jl. Cibogo No.7, Sukawarna, Kec. Sukajadi, West Bandung, Jawa Barat 40164, Indonesia","Sukawarna, Kecamatan Sukajadi",Jl. Cibogo No.7,West Bandung,40164,Jawa Barat,ID,Hotel,['Hotel'],RedDoorz near Exit Toll Pasteur 4,2.8,False,False,79,https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Exit%20Toll%20Pasteur%204&query_place_id=ChIJ4xy5KqvnaC4RPuUlAx-9XXM,US$5,8313008428090254654,0x2e68e7ab2ab91ce3:0x735dbd1f0325e53e,Hotel bintang 2,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH-zqXVXezw3blkikVIV4ACJNSrGvPxdb4fOOCEBPy62-hMhlLmem3H8pC2JEzOKx-8VL4jM0vLw-ZOLp6TwwfKMWaUZ1K_Uxl_onaMN2PK8mlsa-SdzK4ZZUVk4Pu_Zj-JeOJf=w408-h272-k-no,2026-06-13T18:05:11.175Z,id,/g/11n7cztmsl,LODGE-01000,RedDoorz near Exit Toll Pasteur 5,hotel,needs_review_name_partial,"nama place sebagian mirip, perlu cek ringan",0.714
"RedDoorz near Exit Toll Pasteur 5 -6.8862,107.5841",107369164587499217053,https://www.google.com/maps/contrib/107369164587499217053?hl=id,Julian Gasviadi Al-Ghivari,4,False,https://lh3.googleusercontent.com/a-/ALV-UjVo5StTQeqlwIDex5C9akwIa8IbcFqGZjdlL-568Fs6rF5ztMrq=s1920-c-rp-mo-br100,,,sebulan lalu,2026-04-23T12:23:15.171Z,0,Ci9DQUlRQUNvZENodHljRjlvT2tSUFJqQnBWRWREUTFKTGNFMXVSRkF3TTBSVVRHYxAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tSUFJqQnBWRWREUTFKTGNFMXVSRkF3TTBSVVRHYxAB!2m1!1s0x0:0x735dbd1f0325e53e!3m1!1s2@1:CAIQACodChtycF9oOkRPRjBpVEdDQ1JLcE1uRFAwM0RUTGc%7C%7C?hl=id,Google,5,,,,[],{},{},,,,False,ChIJ4xy5KqvnaC4RPuUlAx-9XXM,"{'lat': -6.8905976, 'lng': 107.5790232}","Jl. Cibogo No.7, Sukawarna, Kec. Sukajadi, West Bandung, Jawa Barat 40164, Indonesia","Sukawarna, Kecamatan Sukajadi",Jl. Cibogo No.7,West Bandung,40164,Jawa Barat,ID,Hotel,['Hotel'],RedDoorz near Exit Toll Pasteur 4,2.8,False,False,79,https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Exit%20Toll%20Pasteur%204&query_place_id=ChIJ4xy5KqvnaC4RPuUlAx-9XXM,US$5,8313008428090254654,0x2e68e7ab2ab91ce3:0x735dbd1f0325e53e,Hotel bintang 2,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH-zqXVXezw3blkikVIV4ACJNSrGvPxdb4fOOCEBPy62-hMhlLmem3H8pC2JEzOKx-8VL4jM0vLw-ZOLp6TwwfKMWaUZ1K_Uxl_onaMN2PK8mlsa-SdzK4ZZUVk4Pu_Zj-JeOJf=w408-h272-k-no,2026-06-13T18:05:11.175Z,id,/g/11n7cztmsl,LODGE-01000,RedDoorz near Exit Toll Pasteur 5,hotel,needs_review_name_partial,"nama place sebagian mirip, perlu cek ringan",0.714
