searchString,reviewerId,reviewerUrl,name,reviewerNumberOfReviews,isLocalGuide,reviewerPhotoUrl,text,textTranslated,publishAt,publishedAtDate,likesCount,reviewId,reviewUrl,reviewOrigin,stars,rating,responseFromOwnerDate,responseFromOwnerText,reviewImageUrls,reviewContext,reviewDetailedRating,visitedIn,originalLanguage,translatedLanguage,isAdvertisement,placeId,location,address,neighborhood,street,city,postalCode,state,countryCode,categoryName,categories,title,totalScore,permanentlyClosed,temporarilyClosed,reviewsCount,url,price,cid,fid,hotelStars,imageUrl,scrapedAt,language,kgmid,_source_file,target_penginapan_id,target_name,target_type,audit_status,audit_reason,name_similarity
"Villa Kayu Ciwidey -7.1118,107.4237",105027155046551278465,https://www.google.com/maps/contrib/105027155046551278465?hl=id,Lidya Sftri,213,True,https://lh3.googleusercontent.com/a-/ALV-UjU3SGO3TOGOfYF4za5kQ2np4hJbol4Jb4254fX83LHCY_4NoNs=s1920-c-rp-mo-ba12-br100,"Vila cemara kayu yang sempit, walau kayu bangunan tetap kokoh, tv 14 inch yang gak ada chanellnya:(
tv tcl 32 inch rusak
kamar ada 2, banyak free dikasih extrabed buat kami b8 sangat sempit karna memang saya tdk teliti memilih vila yang kecil,
dapur lengkap dengan kompor dan alat masak,
kamar mandi air banyak dan tersedia wh

pemandangan bagus, depan banyak kebun strowberry, udara bagus sejuk ademm
penjga vila lumayan ketus hehe atau emg seperti itu to overall cukup worth it",,3 minggu lalu,2026-05-21T16:01:59.301Z,0,Ci9DQUlRQUNvZENodHljRjlvT25oU2JWODRXbEZVVVhORWIxY3pUbUpRTkdoS1lXYxAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25oU2JWODRXbEZVVVhORWIxY3pUbUpRTkdoS1lXYxAB!2m1!1s0x0:0x5f2ebcacc694395a!3m1!1s2@1:CAIQACodChtycF9oOnhSbV84WlFUUXNEb1czTmJQNGhKYWc%7C%7C?hl=id,Google,4,,,,"['https://lh3.googleusercontent.com/grass-cs/ANxoTn1fgHWQqNMv2-wrmo-koxavp4axNOIxT0ZGegH3vvj7srDOSa_HeHvZ1wjnTK9L4SQNrhjNS8EoAuF1Rj1K3ROBry9KgSe8e4iwINshtJAXOrcERnicx4IH51sAwWItDWQSdPlekGsS68gZ=k-no', 'https://lh3.googleusercontent.com/grass-cs/ANxoTn3zaayyLt1n_1RKzvlyy905gY8Ap2Qktvv5Aahgmd2dBfbFoJ0joMJOaEsEfokQtipuPd6DZ9DYDWqbE8xyYPo_3UjSh-8flgFsi7S0zHpIH5XwtpZtrHzhv0_VC-0Y-xETnJUbe5QtrnDZ=k-no', 'https://lh3.googleusercontent.com/grass-cs/ANxoTn19oB77qlTR9S393yD0JM595jW9g6BgzEuiW91fFbVC-b9QibnlkmlQAGBgiaf6NFZKTSRaRA0meHvNz9HkGXRARWRysgfxa87mVlmS5rh09gOKjTqLoLnOM83K1JEKSwZvPmmNptZIkB8V=k-no', 'https://lh3.googleusercontent.com/grass-cs/ANxoTn1vpu6agd-xa7NwIWH3yW4o0ypNj1y8XdolpBX9RxNTbrLRi0jBhiolLOQi0kZnhR5ocNU7uKrrlj6Mkr4yA952FdwRIK_1RLIxlnpqwYULVg44nswmlp-h4YfpZ_reJS8G-hyea_iqnos=k-no', 'https://lh3.googleusercontent.com/grass-cs/ANxoTn0GxZdgiW_sDlymSSNmj8DMYVMfBLWnybb3NDKviMNXvD77lw7714QdVUlcif1bLQRr2Hp4UDvmkDyiSpLgYzRzg97Ggfl_k_LStiaYEt9DCJEG-yWNJ6VP4h9ZOUf9nQM_SYVfyhSZ1T4=k-no', 'https://lh3.googleusercontent.com/grass-cs/ANxoTn1RYW-LEIK60yvNxbxcVUctT73mFdJt0K9Nl6IsW5L8YWM3GCIDZYnxab_TpnwFmizVTLAQTDrC4I2sTOgf_uK9zOGRc2wVbPZdFH6rKhDxQPMgL6EEDyu53C07lrzSXIBDwJvBvtGVlioV=k-no']",{},{},,id,,False,ChIJ6SiDh_iNaC4RWjmUxqy8Ll8,"{'lat': -7.111767, 'lng': 107.4237344}","Simpang Ciweday Margamulya No.21, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Lebakmuncang, Kecamatan Ciwidey",Simpang Ciweday Margamulya No.21,Kabupaten Bandung,40973,Jawa Barat,ID,Vila,['Vila'],Villa Kayu Ciwidey,4.7,False,False,39,https://www.google.com/maps/search/?api=1&query=Villa%20Kayu%20Ciwidey&query_place_id=ChIJ6SiDh_iNaC4RWjmUxqy8Ll8,,6858626732783843674,0x2e688df8878328e9:0x5f2ebcacc694395a,,http://pix8.agoda.net/hotelImages/63721361/0/58c5ae5788831a3b5ac85886e00ac06a.jpg?ce=0,2026-06-13T18:21:38.782Z,id,/g/11frwv41g4,dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00524,Villa Kayu Ciwidey,villa,accepted_exact_name,nama place cocok dengan target,1.0
"Villa Kayu Ciwidey -7.1118,107.4237",109663505410870311097,https://www.google.com/maps/contrib/109663505410870311097?hl=id,Apo Kidd,198,True,https://lh3.googleusercontent.com/a-/ALV-UjUFsitiVEBhICvSHxD3f977g6Vtj52Y7IQH8VxTRKudEz2Vq6XX=s1920-c-rp-mo-ba12-br100,Nice Villa... ❤️,Vila yang bagus... ❤️,sebulan lalu,2026-05-12T03:11:12.123Z,0,Ci9DQUlRQUNvZENodHljRjlvT2psMUxYZHhjeTFSZDJGSVpGcFVVMXBXZG5kSGNYYxAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2psMUxYZHhjeTFSZDJGSVpGcFVVMXBXZG5kSGNYYxAB!2m1!1s0x0:0x5f2ebcacc694395a!3m1!1s2@1:CAIQACodChtycF9oOjl1LXdxcy1Rd2FIZFpUU1pWdndHcXc%7C%7C?hl=id,Google,5,,,,['https://lh3.googleusercontent.com/grass-cs/ANxoTn3ssa9QM4XRD5WBaY3_dyv2wEGUYLbiCr7BmzJxqMXqhaSQoDHf7trX05jefV_b9BGO4Aaonu-TNRNj0qPAiA99W1lFoa_IfGUpbfxc9KDJM4xt65br6rDrKI75GGQl7nROZKFSeETticE=k-no'],{},{},,en,id,False,ChIJ6SiDh_iNaC4RWjmUxqy8Ll8,"{'lat': -7.111767, 'lng': 107.4237344}","Simpang Ciweday Margamulya No.21, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Lebakmuncang, Kecamatan Ciwidey",Simpang Ciweday Margamulya No.21,Kabupaten Bandung,40973,Jawa Barat,ID,Vila,['Vila'],Villa Kayu Ciwidey,4.7,False,False,39,https://www.google.com/maps/search/?api=1&query=Villa%20Kayu%20Ciwidey&query_place_id=ChIJ6SiDh_iNaC4RWjmUxqy8Ll8,,6858626732783843674,0x2e688df8878328e9:0x5f2ebcacc694395a,,http://pix8.agoda.net/hotelImages/63721361/0/58c5ae5788831a3b5ac85886e00ac06a.jpg?ce=0,2026-06-13T18:21:38.782Z,id,/g/11frwv41g4,dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00524,Villa Kayu Ciwidey,villa,accepted_exact_name,nama place cocok dengan target,1.0
"Villa Kayu Ciwidey -7.1118,107.4237",116144724414714064625,https://www.google.com/maps/contrib/116144724414714064625?hl=id,Win wiN,8,False,https://lh3.googleusercontent.com/a-/ALV-UjXXbAHP2eX7vatIl1qJ0nZlhkPjQyj_4kqCjx6wFrq6xMDMAHAF=s1920-c-rp-mo-br100,,,sebulan lalu,2026-05-04T06:02:22.426Z,0,Ci9DQUlRQUNvZENodHljRjlvT20xbldVMWxRV0ZUYlhFNGVIVmhSRWRFWWt0YVZGRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT20xbldVMWxRV0ZUYlhFNGVIVmhSRWRFWWt0YVZGRRAB!2m1!1s0x0:0x5f2ebcacc694395a!3m1!1s2@1:CAIQACodChtycF9oOm1nWU1lQWFTbXE4eHVhREdEYktaVFE%7C%7C?hl=id,Google,5,,,,[],{},{},,,,False,ChIJ6SiDh_iNaC4RWjmUxqy8Ll8,"{'lat': -7.111767, 'lng': 107.4237344}","Simpang Ciweday Margamulya No.21, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Lebakmuncang, Kecamatan Ciwidey",Simpang Ciweday Margamulya No.21,Kabupaten Bandung,40973,Jawa Barat,ID,Vila,['Vila'],Villa Kayu Ciwidey,4.7,False,False,39,https://www.google.com/maps/search/?api=1&query=Villa%20Kayu%20Ciwidey&query_place_id=ChIJ6SiDh_iNaC4RWjmUxqy8Ll8,,6858626732783843674,0x2e688df8878328e9:0x5f2ebcacc694395a,,http://pix8.agoda.net/hotelImages/63721361/0/58c5ae5788831a3b5ac85886e00ac06a.jpg?ce=0,2026-06-13T18:21:38.782Z,id,/g/11frwv41g4,dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00524,Villa Kayu Ciwidey,villa,accepted_exact_name,nama place cocok dengan target,1.0
"Villa Kayu Ciwidey -7.1118,107.4237",108599384024909724304,https://www.google.com/maps/contrib/108599384024909724304?hl=id,Aisyah S P I,1,False,https://lh3.googleusercontent.com/a-/ALV-UjV8NYrVj8Wi9hXkoFdj1IP6BjAaqMZhzaVLn06YRPOLTdlC0wasJA=s1920-c-rp-mo-br100,,,4 bulan lalu,2026-01-18T13:46:50.534Z,0,Ci9DQUlRQUNvZENodHljRjlvT25VNFdERmhaMUpVUWtWWVdHODRkbTFqT1hsdmRuYxAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25VNFdERmhaMUpVUWtWWVdHODRkbTFqT1hsdmRuYxAB!2m1!1s0x0:0x5f2ebcacc694395a!3m1!1s2@1:CAIQACodChtycF9oOnU4WDFhZ1JUQkVYWG84dm1jOXlvdnc%7C%7C?hl=id,Google,5,,,,[],{},{},,,,False,ChIJ6SiDh_iNaC4RWjmUxqy8Ll8,"{'lat': -7.111767, 'lng': 107.4237344}","Simpang Ciweday Margamulya No.21, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Lebakmuncang, Kecamatan Ciwidey",Simpang Ciweday Margamulya No.21,Kabupaten Bandung,40973,Jawa Barat,ID,Vila,['Vila'],Villa Kayu Ciwidey,4.7,False,False,39,https://www.google.com/maps/search/?api=1&query=Villa%20Kayu%20Ciwidey&query_place_id=ChIJ6SiDh_iNaC4RWjmUxqy8Ll8,,6858626732783843674,0x2e688df8878328e9:0x5f2ebcacc694395a,,http://pix8.agoda.net/hotelImages/63721361/0/58c5ae5788831a3b5ac85886e00ac06a.jpg?ce=0,2026-06-13T18:21:38.782Z,id,/g/11frwv41g4,dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00524,Villa Kayu Ciwidey,villa,accepted_exact_name,nama place cocok dengan target,1.0
"Villa Kayu Ciwidey -7.1118,107.4237",116524624099260245001,https://www.google.com/maps/contrib/116524624099260245001?hl=id,Suryana yana,11,False,https://lh3.googleusercontent.com/a/ACg8ocJqzYsa5owIu6nhNO0AomOWPm1jCpXemPBb0kBek4dhxPIYUTGq=s1920-c-rp-mo-br100,"Parah bgt ini Villa, saat pemesanan Saya sdh ksh note dtg jam 20.00 karena sy plg kerja sore dan akses ke bandung pake mtr, sesampainya dsna saya jam 22.00 karena hujan, break makan dll, saya hubungi pihak Villa ternyata tdk direspon di wa tdk dibls ditlp tdk dibls, Gila.. jam sgto saya binggung harus bagaimana karena tdk ada jwban Pas Assalamualaikum, dan sy pun harus cari penginapan lain karena tdk ada respon dr pihak villa, kan jd kena biaya double, bad attitude bgt tdk ada jwban pdhl sy konsumen, semoga aja ada Karma yg ditanggung kedepannya. Aamiin kobul.. 🤲",,4 bulan lalu,2026-01-16T11:35:58.535Z,1,Ci9DQUlRQUNvZENodHljRjlvT25vMVR6ZEhVV04xT0dwVWEwUm1USE5QY0hONU1rRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25vMVR6ZEhVV04xT0dwVWEwUm1USE5QY0hONU1rRRAB!2m1!1s0x0:0x5f2ebcacc694395a!3m1!1s2@1:CAIQACodChtycF9oOno1TzdHUWN1OGpUa0RmTHNPcHN5MkE%7C%7C?hl=id,Google,1,,,,[],{},{},,id,,False,ChIJ6SiDh_iNaC4RWjmUxqy8Ll8,"{'lat': -7.111767, 'lng': 107.4237344}","Simpang Ciweday Margamulya No.21, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Lebakmuncang, Kecamatan Ciwidey",Simpang Ciweday Margamulya No.21,Kabupaten Bandung,40973,Jawa Barat,ID,Vila,['Vila'],Villa Kayu Ciwidey,4.7,False,False,39,https://www.google.com/maps/search/?api=1&query=Villa%20Kayu%20Ciwidey&query_place_id=ChIJ6SiDh_iNaC4RWjmUxqy8Ll8,,6858626732783843674,0x2e688df8878328e9:0x5f2ebcacc694395a,,http://pix8.agoda.net/hotelImages/63721361/0/58c5ae5788831a3b5ac85886e00ac06a.jpg?ce=0,2026-06-13T18:21:38.782Z,id,/g/11frwv41g4,dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00524,Villa Kayu Ciwidey,villa,accepted_exact_name,nama place cocok dengan target,1.0
"Villa Kayu Ciwidey -7.1118,107.4237",102240419918691598409,https://www.google.com/maps/contrib/102240419918691598409?hl=id,Aprnchii,4,False,https://lh3.googleusercontent.com/a-/ALV-UjWI70va1QzZUMy0JUCKjhGn58ZTAdsgZV1tWpaqMPcYLuDjUFM=s1920-c-rp-mo-br100,Villa nya enak bersih .. Perabot masak lengkap banget .. Kamar ada 3 ruang tengah luas lengkap tv dan speker .. Sofa enak empuk .. 1 kamar d atas deket balkon seru banget cocok buat basecamp anak2 bujang ... Kasur cdangan banyak .. Waterheater ada ..ada penghangat  ruangan juga .. Tmpat parkir ada wlpun space nya ngpas .. Kolem renang ready dg air dingin yg kek aer es hehehe .. Mlm nya cocok buat bakar2an jagung .. Worth it lah dg hrga sgtu .. Sayangnya sy cm smalem sih ... Maklum para buruh mah d udag2 jam kerja .. Next klo ada ksmpatan lagi mau ksni lagi ah ..,,5 bulan lalu,2026-01-03T10:38:03.549Z,0,Ci9DQUlRQUNvZENodHljRjlvT2s5M1pTMVBNVzg0U2tsaVIwSkZRVGx6VVU1NFMxRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2s5M1pTMVBNVzg0U2tsaVIwSkZRVGx6VVU1NFMxRRAB!2m1!1s0x0:0x5f2ebcacc694395a!3m1!1s2@1:CAIQACodChtycF9oOk93ZS1PMW84SkliR0JFQTlzUU54S1E%7C%7C?hl=id,Google,5,,,,"['https://lh3.googleusercontent.com/grass-cs/ANxoTn2v2BUw9lQ5xVoAIg3261JIQq9eieNQYFMK7C_NX2OVoQIsEGOozk3ybd60WGjNS55oNe8x-li5UKYm-9Jx-prxJYR_bOt4RVujgfNQx_aZSFRo0lfAsJHuDNR4H_49kPE10744j27h6LjI=k-no', 'https://lh3.googleusercontent.com/grass-cs/ANxoTn3-hVOcR_zQ_DfvC0ur2VEINRh_s9EbM83QHO1Ajl29LhN45pCtwPODC9VB96SN4uRKqL880wjsCa8iDdSMAFuhlJkCMnuyPpv6HQlzNyrqpe_D762WlXXmLhOJ_gPY710Bngt0H6GZW32v=k-no', 'https://lh3.googleusercontent.com/grass-cs/ANxoTn1FElAOy-gVV1A23es_xCXa2aKXLjoR6cKro-FzXBtHNxuLegCU-Z9gq8CE74ytSl9RVX3kJWAtusqHN0BnbdCR-0D0kg958yWBXyNg9QYYiQQuh1Zp1_xeubUBzdPRKcvSoa8UycSKTNj4=k-no', 'https://lh3.googleusercontent.com/grass-cs/ANxoTn1uI_hBoZs0z5GjRDObQ8jOybvAAz4eRBoG_MHPFRRpAG0ovpIPV9js-eJ0CZ6JY8-R5NJ8iSYyxGcD0ndaJ0llzTeIGmisI_MddhpvvwnlXow7nUzPwsxN1j192KXHsWONxiQ5mp83ew=k-no', 'https://lh3.googleusercontent.com/grass-cs/ANxoTn1FAbbnNPlVncZCsoKRRy8L6_xlie0grLxVsee0MAaLfMHjYYgeHhwqCgp7vulHi0LV7Y5lBF7-Q907uBhGa7K1yJZD9Wp4haS_yiaSif9xtTub_b0M6SGuHGTICKrlGjrtkw-59Dw0HdPt=k-no', 'https://lh3.googleusercontent.com/grass-cs/ANxoTn25uGUN1rkq3QDpj_KDEXn52G00QdGXCQ4q9jageo8jhFaF290NhH4qPl7L-4Pby2WX2uI6UQTU32FHrTxcl7mvshHIz9L9XuJa05vCXWUPdStD4yR3DaVmTeJJ84-JOsmiTZo0YpLymRs=k-no', 'https://lh3.googleusercontent.com/grass-cs/ANxoTn38ShYoItJboD5stXNHwWsCUYzjxoYC3vmRN2yhXsrCScDiHQhmOoVRmZVJAgloA19lWdfR6YjMRxk1NeSvTMgUHam85jo6brvSxA3yEsrPi5ujg5CN97aiq3bDxi4LJi8EtX10kbDY6M0m=k-no']",{},{},,id,,False,ChIJ6SiDh_iNaC4RWjmUxqy8Ll8,"{'lat': -7.111767, 'lng': 107.4237344}","Simpang Ciweday Margamulya No.21, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Lebakmuncang, Kecamatan Ciwidey",Simpang Ciweday Margamulya No.21,Kabupaten Bandung,40973,Jawa Barat,ID,Vila,['Vila'],Villa Kayu Ciwidey,4.7,False,False,39,https://www.google.com/maps/search/?api=1&query=Villa%20Kayu%20Ciwidey&query_place_id=ChIJ6SiDh_iNaC4RWjmUxqy8Ll8,,6858626732783843674,0x2e688df8878328e9:0x5f2ebcacc694395a,,http://pix8.agoda.net/hotelImages/63721361/0/58c5ae5788831a3b5ac85886e00ac06a.jpg?ce=0,2026-06-13T18:21:38.782Z,id,/g/11frwv41g4,dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00524,Villa Kayu Ciwidey,villa,accepted_exact_name,nama place cocok dengan target,1.0
"Villa Kayu Ciwidey -7.1118,107.4237",115292356419999101861,https://www.google.com/maps/contrib/115292356419999101861?hl=id,Muhamad Arie,28,True,https://lh3.googleusercontent.com/a-/ALV-UjV7lpy5jsWbn1aKHsDI5zdCfiIf_UqespzuZqdOIFw1o8ZVEALi=s1920-c-rp-mo-ba12-br100,Comfy!,Nyaman!,6 bulan lalu,2025-11-30T15:54:09.578Z,0,Ci9DQUlRQUNvZENodHljRjlvT25aVFZtZ3pSSFZzWmxoamRGY3lSekJ0UTFoU1RtYxAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25aVFZtZ3pSSFZzWmxoamRGY3lSekJ0UTFoU1RtYxAB!2m1!1s0x0:0x5f2ebcacc694395a!3m1!1s2@1:CAIQACodChtycF9oOnZTVmgzRHVsZlhjdFcyRzBtQ1hSTmc%7C%7C?hl=id,Google,5,,,,[],{},{},,en,id,False,ChIJ6SiDh_iNaC4RWjmUxqy8Ll8,"{'lat': -7.111767, 'lng': 107.4237344}","Simpang Ciweday Margamulya No.21, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Lebakmuncang, Kecamatan Ciwidey",Simpang Ciweday Margamulya No.21,Kabupaten Bandung,40973,Jawa Barat,ID,Vila,['Vila'],Villa Kayu Ciwidey,4.7,False,False,39,https://www.google.com/maps/search/?api=1&query=Villa%20Kayu%20Ciwidey&query_place_id=ChIJ6SiDh_iNaC4RWjmUxqy8Ll8,,6858626732783843674,0x2e688df8878328e9:0x5f2ebcacc694395a,,http://pix8.agoda.net/hotelImages/63721361/0/58c5ae5788831a3b5ac85886e00ac06a.jpg?ce=0,2026-06-13T18:21:38.782Z,id,/g/11frwv41g4,dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00524,Villa Kayu Ciwidey,villa,accepted_exact_name,nama place cocok dengan target,1.0
"Villa Kayu Ciwidey -7.1118,107.4237",113188431545932525857,https://www.google.com/maps/contrib/113188431545932525857?hl=id,Ibad Aziz,21,True,https://lh3.googleusercontent.com/a/ACg8ocJP-sGYFRlBG1PR0g2l3Z6FoWj9MHAsViiTmVSCt7kuQZuquw=s1920-c-rp-mo-ba12-br100,Tempatnya sangat sejuk mudah dijangkau,,6 bulan lalu,2025-11-15T05:23:45.940Z,0,Ci9DQUlRQUNvZENodHljRjlvT2tzNGJsZEplREZ2ZEd4RlJITnpURlpIWmtwWGIyYxAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tzNGJsZEplREZ2ZEd4RlJITnpURlpIWmtwWGIyYxAB!2m1!1s0x0:0x5f2ebcacc694395a!3m1!1s2@1:CAIQACodChtycF9oOks4bldJeDFvdGxFRHNzTFZHZkpXb2c%7C%7C?hl=id,Google,5,,,,[],{},{},,id,,False,ChIJ6SiDh_iNaC4RWjmUxqy8Ll8,"{'lat': -7.111767, 'lng': 107.4237344}","Simpang Ciweday Margamulya No.21, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Lebakmuncang, Kecamatan Ciwidey",Simpang Ciweday Margamulya No.21,Kabupaten Bandung,40973,Jawa Barat,ID,Vila,['Vila'],Villa Kayu Ciwidey,4.7,False,False,39,https://www.google.com/maps/search/?api=1&query=Villa%20Kayu%20Ciwidey&query_place_id=ChIJ6SiDh_iNaC4RWjmUxqy8Ll8,,6858626732783843674,0x2e688df8878328e9:0x5f2ebcacc694395a,,http://pix8.agoda.net/hotelImages/63721361/0/58c5ae5788831a3b5ac85886e00ac06a.jpg?ce=0,2026-06-13T18:21:38.782Z,id,/g/11frwv41g4,dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00524,Villa Kayu Ciwidey,villa,accepted_exact_name,nama place cocok dengan target,1.0
"Villa Kayu Ciwidey -7.1118,107.4237",106317731871829276753,https://www.google.com/maps/contrib/106317731871829276753?hl=id,Arief Hidayat Afendi,22,True,https://lh3.googleusercontent.com/a-/ALV-UjWE6XUhXuPm64XrVPoFU2wtPkx9nGZRjha6BrQlhVZjIjiy1b4=s1920-c-rp-mo-ba12-br100,"Luas dan nyaman, sayang di tengah-tengah perkampungan",,8 bulan lalu,2025-09-26T02:41:45.987Z,0,Ci9DQUlRQUNvZENodHljRjlvT25OV1dqQlJNMVU1VFRoRVJqaEVjMkl3ZGxoUldHYxAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25OV1dqQlJNMVU1VFRoRVJqaEVjMkl3ZGxoUldHYxAB!2m1!1s0x0:0x5f2ebcacc694395a!3m1!1s2@1:CAIQACodChtycF9oOnNWWjBRM1U5TThERjhEc2IwdlhRWGc%7C%7C?hl=id,Google,4,,,,[],{},{},,id,,False,ChIJ6SiDh_iNaC4RWjmUxqy8Ll8,"{'lat': -7.111767, 'lng': 107.4237344}","Simpang Ciweday Margamulya No.21, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Lebakmuncang, Kecamatan Ciwidey",Simpang Ciweday Margamulya No.21,Kabupaten Bandung,40973,Jawa Barat,ID,Vila,['Vila'],Villa Kayu Ciwidey,4.7,False,False,39,https://www.google.com/maps/search/?api=1&query=Villa%20Kayu%20Ciwidey&query_place_id=ChIJ6SiDh_iNaC4RWjmUxqy8Ll8,,6858626732783843674,0x2e688df8878328e9:0x5f2ebcacc694395a,,http://pix8.agoda.net/hotelImages/63721361/0/58c5ae5788831a3b5ac85886e00ac06a.jpg?ce=0,2026-06-13T18:21:38.782Z,id,/g/11frwv41g4,dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00524,Villa Kayu Ciwidey,villa,accepted_exact_name,nama place cocok dengan target,1.0
"Villa Kayu Ciwidey -7.1118,107.4237",115518630457587278560,https://www.google.com/maps/contrib/115518630457587278560?hl=id,Aqeela Rafania Shafza,1,False,https://lh3.googleusercontent.com/a-/ALV-UjXvq-6pMy-fV2oYzglHyZ5AgIhfD71As6aFPaPwxRSF7yg0wos=s1920-c-rp-mo-br100,"23 Agustus 2025 menginap di villa kayu type family deluxe. Cocok untuk keluarga 5-8 orang dewasa dan anak-anak.
Kita datang pukul 12.00 sudah bisa cek in, walaupun awalnya bingung karena tidak ada resepsionis tapi setelah ditelepon ga lama pengurusnya datang.
Tempatnya nyaman, bersih, sejuk dengan fasilitas lengkap.
Parkiran luas, waktu itu masuk 3 mobil yang parkir.
Kasur besar 2 di lantai atas, ada tambahan extra kasur untuk di lantai bawah. Banyak selimut, sprei, bahkan alat sholat pun disediakan.
Kamar mandi bersih, ada air panas (ini penting banget, soalnya dingin bangeett disana)
Dapur lengkap banget, kompor alat masak, piring, sendok, gelas semua ada.
Kolam renang air dingin bersih, puas banget anak-anak berenang.
Terimakasih buat villa kayu, puas banget bawa keluarga nginep di villa kayu. Semoga next bisa menginap lagi. 😍😍",,9 bulan lalu,2025-08-26T11:01:30.895Z,0,Ci9DQUlRQUNvZENodHljRjlvT2pWR2EwVTNPWE5OVjB0S05XaGhUV052TlZoRFIwRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pWR2EwVTNPWE5OVjB0S05XaGhUV052TlZoRFIwRRAB!2m1!1s0x0:0x5f2ebcacc694395a!3m1!1s2@1:CAIQACodChtycF9oOjVGa0U3OXNNV0tKNWhhTWNvNVhDR0E%7C%7C?hl=id,Google,5,,,,[],{},{},,id,,False,ChIJ6SiDh_iNaC4RWjmUxqy8Ll8,"{'lat': -7.111767, 'lng': 107.4237344}","Simpang Ciweday Margamulya No.21, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Lebakmuncang, Kecamatan Ciwidey",Simpang Ciweday Margamulya No.21,Kabupaten Bandung,40973,Jawa Barat,ID,Vila,['Vila'],Villa Kayu Ciwidey,4.7,False,False,39,https://www.google.com/maps/search/?api=1&query=Villa%20Kayu%20Ciwidey&query_place_id=ChIJ6SiDh_iNaC4RWjmUxqy8Ll8,,6858626732783843674,0x2e688df8878328e9:0x5f2ebcacc694395a,,http://pix8.agoda.net/hotelImages/63721361/0/58c5ae5788831a3b5ac85886e00ac06a.jpg?ce=0,2026-06-13T18:21:38.782Z,id,/g/11frwv41g4,dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00524,Villa Kayu Ciwidey,villa,accepted_exact_name,nama place cocok dengan target,1.0
