source_file,target_penginapan_id,target_name,search_string,result_place_title,review_rows,review_text_rows,audit_status,audit_reason
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00080,Cottonwood Bed & Breakfast House Bandung,"Cottonwood Bed & Breakfast House Bandung -6.8863181,107.577594",Cottonwood Bed & Breakfast House Bandung,30,20,accepted_exact_name,nama place cocok dengan target
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-01442,Dancenter Promenade Near Cihampelas Walk,"Dancenter Promenade Near Cihampelas Walk -6.8969,107.6036",Dancenter Promenade Near Cihampelas Walk,30,23,accepted_exact_name,nama place cocok dengan target
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-01133,Hotel Doorman Guest House,"Hotel Doorman Guest House -6.9175,107.5997",Hotel Doorman Guest House,30,16,accepted_exact_name,nama place cocok dengan target
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00081,LN9 Bandung Guest House,"LN9 Bandung Guest House -6.8823948,107.5793923",LN9 Bandung Guest House,30,19,accepted_exact_name,nama place cocok dengan target
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00114,Micasa Guest House Bandung,"Micasa Guest House Bandung -6.8892,107.5795",Micasa Guest House Bandung,30,18,accepted_exact_name,nama place cocok dengan target
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00070,OYO 3463 Cimahi Guest House,"OYO 3463 Cimahi Guest House -6.8982,107.5613",OYO 3463 Cimahi Guest House,30,16,accepted_exact_name,nama place cocok dengan target
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00139,The Cluster Harris,"The Cluster Harris -6.8948241,107.5397126",The Cluster Harris,30,17,accepted_exact_name,nama place cocok dengan target
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00522,Villa Daffa Ciwidey,"Villa Daffa Ciwidey -7.1036,107.4534",Villa Daffa Ciwidey,30,17,accepted_exact_name,nama place cocok dengan target
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00524,Villa Kayu Ciwidey,"Villa Kayu Ciwidey -7.1118,107.4237",Villa Kayu Ciwidey,30,24,accepted_exact_name,nama place cocok dengan target
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00054,Villa Tibra,"Villa Tibra -6.8251,107.5545",Villa Tibra,30,29,accepted_exact_name,nama place cocok dengan target
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-30-12-105.json,LODGE-01217,Anori by Kozystay - Bandung,"Anori by Kozystay - Bandung -6.8693,107.6408",Anori by Kozystay - Bandung,2,0,accepted_exact_name,nama place cocok dengan target
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-30-12-105.json,LODGE-00584,Seribu Pulau Pangalengan,"Seribu Pulau Pangalengan -7.1902,107.5504",Seribu Pulau Pangalengan,30,27,accepted_exact_name,nama place cocok dengan target
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-30-12-105.json,LODGE-01189,Tabgha by Kozystay - Dago,"Tabgha by Kozystay - Dago -6.8548,107.6492",Tabgha by Kozystay,7,7,accepted_exact_name,nama place cocok dengan target
