searchString,reviewerId,reviewerUrl,name,reviewerNumberOfReviews,isLocalGuide,reviewerPhotoUrl,text,textTranslated,publishAt,publishedAtDate,likesCount,reviewId,reviewUrl,reviewOrigin,stars,rating,responseFromOwnerDate,responseFromOwnerText,reviewImageUrls,reviewContext,reviewDetailedRating,visitedIn,originalLanguage,translatedLanguage,isAdvertisement,placeId,location,address,neighborhood,street,city,postalCode,state,countryCode,categoryName,categories,title,totalScore,permanentlyClosed,temporarilyClosed,reviewsCount,url,price,cid,fid,hotelStars,imageUrl,scrapedAt,language,kgmid,_source_file,target_penginapan_id,target_name,target_type,audit_status,audit_reason,name_similarity
"Villa Syariah Ciwidey Bandung Arreneuz View Kebun -7.1062,107.4262",111918078805496713665,https://www.google.com/maps/contrib/111918078805496713665?hl=id,Rizky Sumeindar,2,False,https://lh3.googleusercontent.com/a/ACg8ocIWSQSlejaN5OtsMSunz814Qb1YSBlrkSZ4_FNLDOLt_d9ZbA=s1920-c-rp-mo-br100,,,2 bulan lalu,2026-04-06T05:20:21.080Z,0,Ci9DQUlRQUNvZENodHljRjlvT2xOdlRUbEdlRXg1WW1SemMzUlRhbmhFUTNWelNuYxAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xOdlRUbEdlRXg1WW1SemMzUlRhbmhFUTNWelNuYxAB!2m1!1s0x0:0x82b971676c74fd9e!3m1!1s2@1:CAIQACodChtycF9oOlNvTTlGeEx5YmRzc3RTanhEQ3VzSnc%7C%7C?hl=id,Google,4,,,,[],{},"{'Kamar': 4, 'Layanan': 4, 'Lokasi': 4}",,,,False,ChIJN2g3OgCNaC4Rnv10bGdxuYI,"{'lat': -7.1062425, 'lng': 107.4261805}","VCVG+HGR, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Lebakmuncang, Kecamatan Ciwidey",VCVG+HGR,Kabupaten Bandung,40973,Jawa Barat,ID,Hotel,['Hotel'],Arreneuz Villa Syariah Ciwidey,4.6,False,False,19,https://www.google.com/maps/search/?api=1&query=Arreneuz%20Villa%20Syariah%20Ciwidey&query_place_id=ChIJN2g3OgCNaC4Rnv10bGdxuYI,,9419684784637279646,0x2e688d003a376837:0x82b971676c74fd9e,Hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFda24s0o148ZDjYH6_iaWu-BQ0LcSrsY3dmmz3CzUUMRFQvFUKIRpaiggLvEDq8yKt4df_Qu3QVdrIxyEgHmqPYN0C5dnWMTExREjtzOjmGT9XdgOFpJz9Mgsn5MtriSQRqeJXmA=w426-h240-k-no,2026-06-13T18:22:04.490Z,id,/g/11x2gxgbdp,dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00516,Villa Syariah Ciwidey Bandung Arreneuz View Kebun,villa,needs_review_name_partial,"nama place sebagian mirip, perlu cek ringan",0.667
"Villa Syariah Ciwidey Bandung Arreneuz View Kebun -7.1062,107.4262",109884675529032697303,https://www.google.com/maps/contrib/109884675529032697303?hl=id,Sembilan Sembilan,8,False,https://lh3.googleusercontent.com/a/ACg8ocKIxNyEm3DZqxD619FqvM7-FMBWLAHupiDWc_aM-1fOOejiYw=s1920-c-rp-mo-br100,Meragukan,,3 bulan lalu,2026-03-03T10:54:21.707Z,1,Ci9DQUlRQUNvZENodHljRjlvT2pSUWVWbHFZV3hQYTJWaFVFZEVkV1YwWkZaTE5rRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pSUWVWbHFZV3hQYTJWaFVFZEVkV1YwWkZaTE5rRRAB!2m1!1s0x0:0x82b971676c74fd9e!3m1!1s2@1:CAIQACodChtycF9oOjRQeVlqYWxPa2VhUEdEdWV0ZFZLNkE%7C%7C?hl=id,Google,1,,,,[],{},{'Layanan': 1},,id,,False,ChIJN2g3OgCNaC4Rnv10bGdxuYI,"{'lat': -7.1062425, 'lng': 107.4261805}","VCVG+HGR, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Lebakmuncang, Kecamatan Ciwidey",VCVG+HGR,Kabupaten Bandung,40973,Jawa Barat,ID,Hotel,['Hotel'],Arreneuz Villa Syariah Ciwidey,4.6,False,False,19,https://www.google.com/maps/search/?api=1&query=Arreneuz%20Villa%20Syariah%20Ciwidey&query_place_id=ChIJN2g3OgCNaC4Rnv10bGdxuYI,,9419684784637279646,0x2e688d003a376837:0x82b971676c74fd9e,Hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFda24s0o148ZDjYH6_iaWu-BQ0LcSrsY3dmmz3CzUUMRFQvFUKIRpaiggLvEDq8yKt4df_Qu3QVdrIxyEgHmqPYN0C5dnWMTExREjtzOjmGT9XdgOFpJz9Mgsn5MtriSQRqeJXmA=w426-h240-k-no,2026-06-13T18:22:04.490Z,id,/g/11x2gxgbdp,dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00516,Villa Syariah Ciwidey Bandung Arreneuz View Kebun,villa,needs_review_name_partial,"nama place sebagian mirip, perlu cek ringan",0.667
"Villa Syariah Ciwidey Bandung Arreneuz View Kebun -7.1062,107.4262",100824398114182995855,https://www.google.com/maps/contrib/100824398114182995855?hl=id,Wahyu Triwulan Asih,7,False,https://lh3.googleusercontent.com/a-/ALV-UjXAluJf3ErX_6CPLG_evG3tUKZjeqi3YShWSuxfNWNfMSv6ElYdRw=s1920-c-rp-mo-br100,"Bagus tempatnya, ibuknya baik, pagi2 dikasih sarapan lontong dan goreng tahu lumayan buat ganjel perut. Fasilitasnya lengkap banget buat masak. Kamar mandi juga bagus bersih. Best , ga nyesel nginep disini",,8 bulan lalu,2025-10-07T01:51:07.725Z,0,Ci9DQUlRQUNvZENodHljRjlvT2taSVNHWllaV1I1ZDJ4SVYxRjJiMFpoTUhGTlNGRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2taSVNHWllaV1I1ZDJ4SVYxRjJiMFpoTUhGTlNGRRAB!2m1!1s0x0:0x82b971676c74fd9e!3m1!1s2@1:CAIQACodChtycF9oOkZISGZYZWR5d2xIV1F2b0ZhMHFNSFE%7C%7C?hl=id,Google,5,,,,"['https://lh3.googleusercontent.com/grass-cs/ANxoTn0ilZ_oNClJNPFk7VjwZC9z25ChIsT09Sy6QPkKGn0Bcqf_zvEQyuYMnmedT6qTc1yqv6fSsd6t0qjoP0f5C_9LyW5MZO6wOJAfGyFNPjEPWrx812CqUOWH_z8DRQsrTreA2YWHAZ3jcpYa=k-no', 'https://lh3.googleusercontent.com/grass-cs/ANxoTn2qn-74UiKQVCb-0PXfppArgvZ5kWd8GNUPuLNeyz9i0AgBayrYJsFRmF_35rjglEvE0w_BU-OzQonMAWHqKQiWcq-aReTgpijUw4-oC_-XvN4_57h1uIffJVKk2KViAfNxELfr5dYmEz_s=k-no', 'https://lh3.googleusercontent.com/grass-cs/ANxoTn2iBB-TwUbr9fqfmv7SZo_Nyk_dGgSRKOcyW0kYWQOp6JPk6bbvccYqFgVkR40WU4ClfeWDMjrDdxm9Mj9HYzrqTL4T2vs_rzNTsk6k-X9aRmLkM47oV4CqZSajryUl2WinKmX0PVbBBS22=k-no']",{},{},,id,,False,ChIJN2g3OgCNaC4Rnv10bGdxuYI,"{'lat': -7.1062425, 'lng': 107.4261805}","VCVG+HGR, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Lebakmuncang, Kecamatan Ciwidey",VCVG+HGR,Kabupaten Bandung,40973,Jawa Barat,ID,Hotel,['Hotel'],Arreneuz Villa Syariah Ciwidey,4.6,False,False,19,https://www.google.com/maps/search/?api=1&query=Arreneuz%20Villa%20Syariah%20Ciwidey&query_place_id=ChIJN2g3OgCNaC4Rnv10bGdxuYI,,9419684784637279646,0x2e688d003a376837:0x82b971676c74fd9e,Hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFda24s0o148ZDjYH6_iaWu-BQ0LcSrsY3dmmz3CzUUMRFQvFUKIRpaiggLvEDq8yKt4df_Qu3QVdrIxyEgHmqPYN0C5dnWMTExREjtzOjmGT9XdgOFpJz9Mgsn5MtriSQRqeJXmA=w426-h240-k-no,2026-06-13T18:22:04.490Z,id,/g/11x2gxgbdp,dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00516,Villa Syariah Ciwidey Bandung Arreneuz View Kebun,villa,needs_review_name_partial,"nama place sebagian mirip, perlu cek ringan",0.667
"Villa Syariah Ciwidey Bandung Arreneuz View Kebun -7.1062,107.4262",116255140256340321726,https://www.google.com/maps/contrib/116255140256340321726?hl=id,Gatot Buddy,67,True,https://lh3.googleusercontent.com/a-/ALV-UjWDn3srttc2tFPaZ4gJwni1ZI40qPNjjcjZjExbnZKAUQQ8IL-4jA=s1920-c-rp-mo-ba12-br100,"...hmm for me, a bit noisy, coz this villa is near with Mosque and main road, but ok if you dont mind.","...hmm, menurutku agak berisik, karena vila ini dekat dengan masjid dan jalan utama, tapi tidak apa-apa jika kamu tidak keberatan.",10 bulan lalu,2025-07-30T07:18:05.843Z,0,Ci9DQUlRQUNvZENodHljRjlvT2paTFEyaDNhRzVhVDBVeFRtVkxRbmxWTXpWc0xWRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2paTFEyaDNhRzVhVDBVeFRtVkxRbmxWTXpWc0xWRRAB!2m1!1s0x0:0x82b971676c74fd9e!3m1!1s2@1:CAIQACodChtycF9oOjZLQ2h3aG5aT0UxTmVLQnlVMzVsLVE%7C%7C?hl=id,Google,3,,,,[],{},{},,en,id,False,ChIJN2g3OgCNaC4Rnv10bGdxuYI,"{'lat': -7.1062425, 'lng': 107.4261805}","VCVG+HGR, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Lebakmuncang, Kecamatan Ciwidey",VCVG+HGR,Kabupaten Bandung,40973,Jawa Barat,ID,Hotel,['Hotel'],Arreneuz Villa Syariah Ciwidey,4.6,False,False,19,https://www.google.com/maps/search/?api=1&query=Arreneuz%20Villa%20Syariah%20Ciwidey&query_place_id=ChIJN2g3OgCNaC4Rnv10bGdxuYI,,9419684784637279646,0x2e688d003a376837:0x82b971676c74fd9e,Hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFda24s0o148ZDjYH6_iaWu-BQ0LcSrsY3dmmz3CzUUMRFQvFUKIRpaiggLvEDq8yKt4df_Qu3QVdrIxyEgHmqPYN0C5dnWMTExREjtzOjmGT9XdgOFpJz9Mgsn5MtriSQRqeJXmA=w426-h240-k-no,2026-06-13T18:22:04.490Z,id,/g/11x2gxgbdp,dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00516,Villa Syariah Ciwidey Bandung Arreneuz View Kebun,villa,needs_review_name_partial,"nama place sebagian mirip, perlu cek ringan",0.667
"Villa Syariah Ciwidey Bandung Arreneuz View Kebun -7.1062,107.4262",116916902322267883514,https://www.google.com/maps/contrib/116916902322267883514?hl=id,Charissa Seravinna,0,False,https://lh3.googleusercontent.com/a/ACg8ocLDGlCOuGYbU1suguXJ57wVLGr2UmF_0INT7IXdqI2vzMRfMw=s1920-c-rp-mo-br100,,,setahun lalu,2025-06-03T12:42:11.579Z,0,ChZDSUhNMG9nS0VPVG96NlhlZ3NMeFpBEAE,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VPVG96NlhlZ3NMeFpBEAE!2m1!1s0x0:0x82b971676c74fd9e!3m1!1s2@1:CIHM0ogKEOToz6XegsLxZA%7C%7C?hl=id,Google,5,,,,[],{},{},,,,False,ChIJN2g3OgCNaC4Rnv10bGdxuYI,"{'lat': -7.1062425, 'lng': 107.4261805}","VCVG+HGR, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Lebakmuncang, Kecamatan Ciwidey",VCVG+HGR,Kabupaten Bandung,40973,Jawa Barat,ID,Hotel,['Hotel'],Arreneuz Villa Syariah Ciwidey,4.6,False,False,19,https://www.google.com/maps/search/?api=1&query=Arreneuz%20Villa%20Syariah%20Ciwidey&query_place_id=ChIJN2g3OgCNaC4Rnv10bGdxuYI,,9419684784637279646,0x2e688d003a376837:0x82b971676c74fd9e,Hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFda24s0o148ZDjYH6_iaWu-BQ0LcSrsY3dmmz3CzUUMRFQvFUKIRpaiggLvEDq8yKt4df_Qu3QVdrIxyEgHmqPYN0C5dnWMTExREjtzOjmGT9XdgOFpJz9Mgsn5MtriSQRqeJXmA=w426-h240-k-no,2026-06-13T18:22:04.490Z,id,/g/11x2gxgbdp,dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00516,Villa Syariah Ciwidey Bandung Arreneuz View Kebun,villa,needs_review_name_partial,"nama place sebagian mirip, perlu cek ringan",0.667
"Villa Syariah Ciwidey Bandung Arreneuz View Kebun -7.1062,107.4262",102305000523534953972,https://www.google.com/maps/contrib/102305000523534953972?hl=id,shanty Susanty,1,False,https://lh3.googleusercontent.com/a/ACg8ocJXbQ6dzd1I34t8nOVPVNvi0qtXBewYmF17QTSWuCmRzoy6Hg=s1920-c-rp-mo-br100,"Alhamdulillah tempatnya bersih nyaman udaranya sejuk, cocok untuk healing keluarga,pelayanan ramah, dibelakang ada untuk olah raga hiking juga pokonya shiip kapan2 mau datang lagi..",,setahun lalu,2025-02-23T23:41:48.929Z,0,ChdDSUhNMG9nS0VJQ0FnTURnaXI2TnZnRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURnaXI2TnZnRRAB!2m1!1s0x0:0x82b971676c74fd9e!3m1!1s2@1:CIHM0ogKEICAgMDgir6NvgE%7C%7C?hl=id,Google,5,,,,"['https://lh3.googleusercontent.com/grass-cs/ANxoTn0_D5Bg4ILqgdd0YcldUk80GFR70W1VhKJ1U2CXf0V1KsZin5d5myouokD5yb7KA90iNXJcocxxetRan9bntTd2r7gm_fluwNTZn_K2kiCjD5207kqDWKgUtrDZoFKF87988x4a=k-no', 'https://lh3.googleusercontent.com/grass-cs/ANxoTn3Hd0-bpeNW6FaYESVZAecckhEoCiZfKYADj4CUPlq8fbDUZ4AsIoL3Ak9fZw_9RiZFNpcS7DGGXR0eGmq1lBYl6oFFSbO7xrEF38pJbzNmdLGkDmLjwQfZ7Gh_hVyVWkaV6y0L=k-no', 'https://lh3.googleusercontent.com/grass-cs/ANxoTn2rHSi4WcaPJUhbqjyf6eLFhGoEhvGAGRX4p1yMGrROU3W8NaVy013HohZneYW_ZahVe5agqLfYpDJnHonj5QM0Dip-16diRvwFPtGE6nWAXJQkiiDOeThJZgsvFXlawpIRIGw=k-no']",{},{},,id,,False,ChIJN2g3OgCNaC4Rnv10bGdxuYI,"{'lat': -7.1062425, 'lng': 107.4261805}","VCVG+HGR, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Lebakmuncang, Kecamatan Ciwidey",VCVG+HGR,Kabupaten Bandung,40973,Jawa Barat,ID,Hotel,['Hotel'],Arreneuz Villa Syariah Ciwidey,4.6,False,False,19,https://www.google.com/maps/search/?api=1&query=Arreneuz%20Villa%20Syariah%20Ciwidey&query_place_id=ChIJN2g3OgCNaC4Rnv10bGdxuYI,,9419684784637279646,0x2e688d003a376837:0x82b971676c74fd9e,Hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFda24s0o148ZDjYH6_iaWu-BQ0LcSrsY3dmmz3CzUUMRFQvFUKIRpaiggLvEDq8yKt4df_Qu3QVdrIxyEgHmqPYN0C5dnWMTExREjtzOjmGT9XdgOFpJz9Mgsn5MtriSQRqeJXmA=w426-h240-k-no,2026-06-13T18:22:04.490Z,id,/g/11x2gxgbdp,dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00516,Villa Syariah Ciwidey Bandung Arreneuz View Kebun,villa,needs_review_name_partial,"nama place sebagian mirip, perlu cek ringan",0.667
"Villa Syariah Ciwidey Bandung Arreneuz View Kebun -7.1062,107.4262",117078179674872045865,https://www.google.com/maps/contrib/117078179674872045865?hl=id,Mikhael Ahmad,51,True,https://lh3.googleusercontent.com/a-/ALV-UjXbPkqJDexT6CiSH_312IFBUYXgcxWSy523p2APH01okPGW5mo=s1920-c-rp-mo-ba12-br100,"Nyaman, Asri dan recommended",,setahun lalu,2025-02-18T08:24:16.234Z,0,ChdDSUhNMG9nS0VJQ0FnTUNnc2ZETnpRRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNnc2ZETnpRRRAB!2m1!1s0x0:0x82b971676c74fd9e!3m1!1s2@1:CIHM0ogKEICAgMCgsfDNzQE%7C%7C?hl=id,Google,5,,,,[],{},{},,id,,False,ChIJN2g3OgCNaC4Rnv10bGdxuYI,"{'lat': -7.1062425, 'lng': 107.4261805}","VCVG+HGR, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Lebakmuncang, Kecamatan Ciwidey",VCVG+HGR,Kabupaten Bandung,40973,Jawa Barat,ID,Hotel,['Hotel'],Arreneuz Villa Syariah Ciwidey,4.6,False,False,19,https://www.google.com/maps/search/?api=1&query=Arreneuz%20Villa%20Syariah%20Ciwidey&query_place_id=ChIJN2g3OgCNaC4Rnv10bGdxuYI,,9419684784637279646,0x2e688d003a376837:0x82b971676c74fd9e,Hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFda24s0o148ZDjYH6_iaWu-BQ0LcSrsY3dmmz3CzUUMRFQvFUKIRpaiggLvEDq8yKt4df_Qu3QVdrIxyEgHmqPYN0C5dnWMTExREjtzOjmGT9XdgOFpJz9Mgsn5MtriSQRqeJXmA=w426-h240-k-no,2026-06-13T18:22:04.490Z,id,/g/11x2gxgbdp,dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00516,Villa Syariah Ciwidey Bandung Arreneuz View Kebun,villa,needs_review_name_partial,"nama place sebagian mirip, perlu cek ringan",0.667
"Villa Syariah Ciwidey Bandung Arreneuz View Kebun -7.1062,107.4262",100213351373980255727,https://www.google.com/maps/contrib/100213351373980255727?hl=id,Mega Sonia,2,False,https://lh3.googleusercontent.com/a-/ALV-UjX7xZEllHqDNk0p6cFNvj7vzqBRg7aHqEODcNxgfjseLhacvJ7vMQ=s1920-c-rp-mo-br100,,,setahun lalu,2025-02-15T13:57:25.715Z,0,ChZDSUhNMG9nS0VJQ0FnTUNna3E3alRBEAE,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNna3E3alRBEAE!2m1!1s0x0:0x82b971676c74fd9e!3m1!1s2@1:CIHM0ogKEICAgMCgkq7jTA%7C%7C?hl=id,Google,5,,,,['https://lh3.googleusercontent.com/grass-cs/ANxoTn2DoMIqGjendiy7nMRGcdAQGTYXD2mgDN6hqVJi0QVE2Ym2hzr_Z2xCCiTQNE3CGClZLHans_1OyIg9wfZcIjT3NrsLdye13WkWKd3vZtTeklcESwe7qGadvErvK_ULbchzygeu=k-no'],{},{},,,,False,ChIJN2g3OgCNaC4Rnv10bGdxuYI,"{'lat': -7.1062425, 'lng': 107.4261805}","VCVG+HGR, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Lebakmuncang, Kecamatan Ciwidey",VCVG+HGR,Kabupaten Bandung,40973,Jawa Barat,ID,Hotel,['Hotel'],Arreneuz Villa Syariah Ciwidey,4.6,False,False,19,https://www.google.com/maps/search/?api=1&query=Arreneuz%20Villa%20Syariah%20Ciwidey&query_place_id=ChIJN2g3OgCNaC4Rnv10bGdxuYI,,9419684784637279646,0x2e688d003a376837:0x82b971676c74fd9e,Hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFda24s0o148ZDjYH6_iaWu-BQ0LcSrsY3dmmz3CzUUMRFQvFUKIRpaiggLvEDq8yKt4df_Qu3QVdrIxyEgHmqPYN0C5dnWMTExREjtzOjmGT9XdgOFpJz9Mgsn5MtriSQRqeJXmA=w426-h240-k-no,2026-06-13T18:22:04.490Z,id,/g/11x2gxgbdp,dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00516,Villa Syariah Ciwidey Bandung Arreneuz View Kebun,villa,needs_review_name_partial,"nama place sebagian mirip, perlu cek ringan",0.667
"Villa Syariah Ciwidey Bandung Arreneuz View Kebun -7.1062,107.4262",109512253705686969681,https://www.google.com/maps/contrib/109512253705686969681?hl=id,Fiora Quella Zameena,20,True,https://lh3.googleusercontent.com/a-/ALV-UjW-mKS2mB2sPIznKD5y_jmD2ekF2uV7x_9au-N0vvTCnDD5msA79g=s1920-c-rp-mo-ba12-br100,"villa dengan konsep rumah kayu yg nyaman,suasana tenang dan udara yg sangat sejuk,jauh dari keramaian.cocok untuk refresh sejenak dari kota besar",,setahun lalu,2025-02-14T02:32:24.961Z,0,ChZDSUhNMG9nS0VJQ0FnTUNnLU5DYkpREAE,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNnLU5DYkpREAE!2m1!1s0x0:0x82b971676c74fd9e!3m1!1s2@1:CIHM0ogKEICAgMCg-NCbJQ%7C%7C?hl=id,Google,5,,,,[],{},{},,id,,False,ChIJN2g3OgCNaC4Rnv10bGdxuYI,"{'lat': -7.1062425, 'lng': 107.4261805}","VCVG+HGR, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Lebakmuncang, Kecamatan Ciwidey",VCVG+HGR,Kabupaten Bandung,40973,Jawa Barat,ID,Hotel,['Hotel'],Arreneuz Villa Syariah Ciwidey,4.6,False,False,19,https://www.google.com/maps/search/?api=1&query=Arreneuz%20Villa%20Syariah%20Ciwidey&query_place_id=ChIJN2g3OgCNaC4Rnv10bGdxuYI,,9419684784637279646,0x2e688d003a376837:0x82b971676c74fd9e,Hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFda24s0o148ZDjYH6_iaWu-BQ0LcSrsY3dmmz3CzUUMRFQvFUKIRpaiggLvEDq8yKt4df_Qu3QVdrIxyEgHmqPYN0C5dnWMTExREjtzOjmGT9XdgOFpJz9Mgsn5MtriSQRqeJXmA=w426-h240-k-no,2026-06-13T18:22:04.490Z,id,/g/11x2gxgbdp,dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00516,Villa Syariah Ciwidey Bandung Arreneuz View Kebun,villa,needs_review_name_partial,"nama place sebagian mirip, perlu cek ringan",0.667
"Villa Syariah Ciwidey Bandung Arreneuz View Kebun -7.1062,107.4262",115235003258871157082,https://www.google.com/maps/contrib/115235003258871157082?hl=id,abi gus,4,True,https://lh3.googleusercontent.com/a-/ALV-UjX0fMjA4PJjP9YgSYDLi_BUo6SgZDse1trNacRBD96v95B1hnY=s1920-c-rp-mo-ba12-br100,"Sedikit bercerita tentang villa ini, dlu sekitar tahun 2020 jamannya covid. masyaAllah kagum dengan bangunannya yang berdiri di antara bebukitan dengan hamparan pekebukan luas.udaranya yang segar dan view pemandangan alam yang menakjubkan, subhanallah.
Skrg diawal tahun 2025 ini alhamdulillah Allah kasih kesempatan lagi untuk berkunjung ke villa ini,alhamdulillah masyaAllah tabarakallah tempatnya sekarang jadi lebih bagus. Jadi buat kalian yang baca ulasan ini,villa ini jadi rekomendasi tempat yang wajib di coba apabila kalian lagi berlibur dan kemalaman di ciwidey.jangan lupa persiapkan selimut yg tebal karena di sini di ciwidey suhu udaranya dingin banget.oia bagi kalian yg mau pesan makan jangan khawatit di villa ini menyediakan paket nasi liwet, aneka gorengan, dan ada juga nasi goreng yang semua harganya sangat terjangkau.",,setahun lalu,2025-02-14T01:21:53.071Z,0,ChdDSUhNMG9nS0VJQ0FnTUNndU42cWxBRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNndU42cWxBRRAB!2m1!1s0x0:0x82b971676c74fd9e!3m1!1s2@1:CIHM0ogKEICAgMCguN6qlAE%7C%7C?hl=id,Google,5,,,,['https://lh3.googleusercontent.com/grass-cs/ANxoTn0r3cmaUZ4DW2s2ez8xEWCuXn7PqvHcZRwAWQ4YKdtUrzvzr4ryvOdZrgfMlvDPTmIrqX7GfFgUXxxVJbIbTxqTyxt3EaIQTSWBgeQkqMp8S_MhNX8mo9q5POuCM6jbcKwCc2V9=k-no'],{},{},,id,,False,ChIJN2g3OgCNaC4Rnv10bGdxuYI,"{'lat': -7.1062425, 'lng': 107.4261805}","VCVG+HGR, Lebakmuncang, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973, Indonesia","Lebakmuncang, Kecamatan Ciwidey",VCVG+HGR,Kabupaten Bandung,40973,Jawa Barat,ID,Hotel,['Hotel'],Arreneuz Villa Syariah Ciwidey,4.6,False,False,19,https://www.google.com/maps/search/?api=1&query=Arreneuz%20Villa%20Syariah%20Ciwidey&query_place_id=ChIJN2g3OgCNaC4Rnv10bGdxuYI,,9419684784637279646,0x2e688d003a376837:0x82b971676c74fd9e,Hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFda24s0o148ZDjYH6_iaWu-BQ0LcSrsY3dmmz3CzUUMRFQvFUKIRpaiggLvEDq8yKt4df_Qu3QVdrIxyEgHmqPYN0C5dnWMTExREjtzOjmGT9XdgOFpJz9Mgsn5MtriSQRqeJXmA=w426-h240-k-no,2026-06-13T18:22:04.490Z,id,/g/11x2gxgbdp,dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00516,Villa Syariah Ciwidey Bandung Arreneuz View Kebun,villa,needs_review_name_partial,"nama place sebagian mirip, perlu cek ringan",0.667
