source_file,target_penginapan_id,target_name,search_string,result_place_title,review_rows,review_text_rows,audit_status,audit_reason
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-43-14-258.json,LODGE-00435,Bobo inn Baros,"Bobo inn Baros -6.8986029,107.5368741",Bobo inn Baros,1,0,accepted_exact_name,nama place cocok dengan target
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-43-14-258.json,LODGE-01280,Karaton by Kozystay - Paskal,"Karaton by Kozystay - Paskal -6.913,107.5929",Karaton by Kozystay,5,3,accepted_exact_name,nama place cocok dengan target
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-43-14-258.json,LODGE-00915,Grand Pacific Hotel,"Grand Pacific Hotel -6.9088,107.5979",Hotel Grand Pacific,30,17,held_foreign_result,hasil bukan Indonesia (CA)
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-43-14-258.json,LODGE-01272,Hotel Victory,"Hotel Victory -6.9068,107.5958",A Victory Hotel,30,20,held_foreign_result,hasil bukan Indonesia (US)
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-43-14-258.json,LODGE-01272,Hotel Victory,"Hotel Victory -6.9068,107.5958",A Victory Hotel & Suites - Southfield/Detroit,30,24,held_foreign_result,hasil bukan Indonesia (US)
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-43-14-258.json,LODGE-01272,Hotel Victory,"Hotel Victory -6.9068,107.5958",A Victory Inn & Suites,30,17,held_foreign_result,hasil bukan Indonesia (US)
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-43-14-258.json,LODGE-01272,Hotel Victory,"Hotel Victory -6.9068,107.5958","A Victory Inn Dearborn, MI - West",30,20,held_foreign_result,hasil bukan Indonesia (US)
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-43-14-258.json,LODGE-01272,Hotel Victory,"Hotel Victory -6.9068,107.5958",Old Victory Hotel,30,24,held_foreign_result,hasil bukan Indonesia (US)
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-43-14-258.json,LODGE-01272,Hotel Victory,"Hotel Victory -6.9068,107.5958",Victory Inn,30,21,held_foreign_result,hasil bukan Indonesia (US)
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-43-14-258.json,LODGE-01272,Hotel Victory,"Hotel Victory -6.9068,107.5958",Victory Station Hotel Put in Bay,30,26,held_foreign_result,hasil bukan Indonesia (US)
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-43-14-258.json,LODGE-01138,"Jardin A22, City View, Netflix & WIFI","Jardin A22, City View, Netflix & WIFI -6.8923,107.6049",Jardín Premium Cannabis Dispensary,30,27,held_foreign_result,hasil bukan Indonesia (US)
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-43-14-258.json,LODGE-00519,Kuleum Camp And Cabin By ARBA,"Kuleum Camp And Cabin By ARBA -7.1416,107.396",Camp Cotubic,30,19,held_foreign_result,hasil bukan Indonesia (US)
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-43-14-258.json,LODGE-00519,Kuleum Camp And Cabin By ARBA,"Kuleum Camp And Cabin By ARBA -7.1416,107.396",Camp Kieve,30,16,held_foreign_result,hasil bukan Indonesia (US)
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-43-14-258.json,LODGE-00519,Kuleum Camp And Cabin By ARBA,"Kuleum Camp And Cabin By ARBA -7.1416,107.396",Cedar Bloom Farm,30,28,held_foreign_result,hasil bukan Indonesia (US)
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-43-14-258.json,LODGE-00519,Kuleum Camp And Cabin By ARBA,"Kuleum Camp And Cabin By ARBA -7.1416,107.396",Cher'ere Campground & RV Park,30,26,held_foreign_result,hasil bukan Indonesia (US)
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-43-14-258.json,LODGE-00519,Kuleum Camp And Cabin By ARBA,"Kuleum Camp And Cabin By ARBA -7.1416,107.396",Scout Park,30,17,held_foreign_result,hasil bukan Indonesia (US)
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-43-14-258.json,LODGE-00519,Kuleum Camp And Cabin By ARBA,"Kuleum Camp And Cabin By ARBA -7.1416,107.396",Wavus Camps,22,13,held_foreign_result,hasil bukan Indonesia (US)
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-43-14-258.json,LODGE-01283,La Grande by Djitu Hospitality,"La Grande by Djitu Hospitality -6.9094,107.6104",The Grand LA,30,8,held_foreign_result,hasil bukan Indonesia (US)
