mapping_candidate_id,child_penginapan_id,child_name,child_property_type,child_normalized_name,child_latitude,child_longitude,parent_candidate_id,parent_candidate_name,parent_property_type,parent_name_looks_room_or_unit,parent_latitude,parent_longitude,relation_type,confidence_score,confidence_label,match_basis,evidence,decision_recommendation,is_final_relation
PCM-20260605-0001,LODGE-00022,OYO 3394 Apm Residence Syariah - Deluxe Double Room,room_level_listing,oyo 3394 apm residence syariah,-6.8705,107.0593,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0002,LODGE-00065,Hotel O Cibeureum Residence - Deluxe Double Room,room_level_listing,hotel o cibeureum residence,-6.9106,107.5689,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0003,LODGE-00087,Budi House Food Station - Deluxe Twin Room,room_level_listing,budi house food station,-6.8908,107.559,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0004,LODGE-00088,Budi House Food Station - Standard Double Room,room_level_listing,budi house food station,-6.8908,107.559,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0005,LODGE-00120,Sans Stay Skyland Pasteur Bandung - Deluxe Double Room,room_level_listing,sans stay skyland pasteur bandung,-6.8829,107.5794,LODGE-00048,Sans Hotel Skyland Pasteur Bandung,hotel,False,-6.8829,107.5794,room_of,0.88,high,very_close_coordinate_and_strong_name_overlap,Koordinat sangat dekat dan token nama kuat.,candidate_mapping_review_before_final,False
PCM-20260605-0006,LODGE-00121,Sans Stay Skyland Pasteur Bandung - Standard Double Room,room_level_listing,sans stay skyland pasteur bandung,-6.8829,107.5794,LODGE-00048,Sans Hotel Skyland Pasteur Bandung,hotel,False,-6.8829,107.5794,room_of,0.88,high,very_close_coordinate_and_strong_name_overlap,Koordinat sangat dekat dan token nama kuat.,candidate_mapping_review_before_final,False
PCM-20260605-0007,LODGE-00150,Budi House Food Station - Superior Double Room,room_level_listing,budi house food station,-6.8908,107.559,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0008,LODGE-00206,OYO 2088 Grha Blue Sky Syariah - Standard Double Room,room_level_listing,oyo 2088 grha blue sky syariah,-6.8843,107.5781,LODGE-00082,Grha Blue Sky,hotel,False,-6.8843554,107.5780626,room_of,0.78,medium,close_coordinate_and_name_similarity,Koordinat dekat dan nama masih mirip.,candidate_mapping_review_before_final,False
PCM-20260605-0009,LODGE-00239,Little Blue House - Queen Room,room_level_listing,little blue house,-6.8452,107.5457,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0010,LODGE-00257,ZEN Rooms Cibogo Pasteur,room_level_listing,zen rooms cibogo pasteur,-6.889233,107.579627,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
