possible_duplicate_group_id,possible_duplicate_key,group_size,group_property_types,group_review_type,recommended_decision,penginapan_id,name,normalized_name,property_type,latitude,longitude,overall_rating,reviews,price_lowest,data_quality_score,data_quality_label,link,primary_image_url,dedupe_group_size
DUP-20260605-0001,alesha property apartment|-6.9073|107.6451,2,apartment,same_type_duplicate_candidate,Review duplikat semantik; gabungkan hanya jika bukti cukup.,LODGE-01337,Alesha Property - Studio Apartment,alesha property apartment,apartment,-6.9073,107.6451,,,269248,0.85,high,https://www.bluepillow.com/search/68123ee55250632c5954ac7a?dest=bkng&cat=Apartment&lat=-6.90726&lng=107.64513&language=en,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/660897405.jpg?k=9935e5f18ea4299b78ed7cd6efcc244e146fd6a476e22d79fbaab510b9b8735e&o=&a=1538557,2
DUP-20260605-0001,alesha property apartment|-6.9073|107.6451,2,apartment,same_type_duplicate_candidate,Review duplikat semantik; gabungkan hanya jika bukti cukup.,LODGE-01414,Alesha Property - Studio Apartment,alesha property apartment,apartment,-6.9073,107.6451,,,269248,0.8,high,https://www.freecancellations.com/search/F2d3QFYAS3ZUXFZVWl9TF1xWWxowFlIT?lat=-6.90726&lng=107.64513&language=en,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/q-xx.bstatic.com/xdata/images/hotel/max1024x683/660881699.jpg?k=0e579e638e6be320e98278afdf522149a2dd5554ea31d77353560c47157a0978&o=&a=2344045&w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,2
DUP-20260605-0002,apartemen the edge baros kamarku|-6.8979|107.5368,2,apartment,same_type_duplicate_candidate,Review duplikat semantik; gabungkan hanya jika bukti cukup.,LODGE-00101,Apartemen The Edge Baros - Kamarku,apartemen the edge baros kamarku,apartment,-6.8979256,107.536754,3.6,182,168399,0.88,high,https://www.reddoorz.com/id-id/hotel/indonesia/cimahi/cimahi-selatan/cimahi-selatan/the-edge-apartemen-baros-kamarku?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,https://images.trvl-media.com/lodging/96000000/95550000/95547600/95547516/99cbae30_z.jpg,1
DUP-20260605-0002,apartemen the edge baros kamarku|-6.8979|107.5368,2,apartment,same_type_duplicate_candidate,Review duplikat semantik; gabungkan hanya jika bukti cukup.,LODGE-00350,Apartemen The Edge Baros - Kamarku,apartemen the edge baros kamarku,apartment,-6.8979,107.5368,3.7,188,,0.6,medium,https://www.google.com/aclk?sa=l&ai=DChsSEwi45Leq3eeUAxWNhVoFHTg1BogYACICCAEQDxoCdnU&co=1&ase=2&gclid=EAIaIQobChMIuOS3qt3nlAMVjYVaBR04NQaIEA0YCCABEgKYxvD_BwE&cid=CAASugHkaBDuOMAIatyLAgffK9cK1AkUjQW9LH4orDZ0O9H0sQfncHsU8OSHv8_e018ioU6vazqdYUagu8GGTWzzR8mE4IIKo3req7BqnBtigUECn7743azfksMf0SspbaCP634pmulAhw01Dy3DHj_gLsNEQ2zV_Q9fgUOL_SpvEh08lieKOC4pYwq5XPs81eGR-kyPdR0YEkOMeWhX-yIYHZ3uIO9vrMSIZIpNz3fkNbkpGReNH99jid5R1Nw&category=acrcp_v1_48&sig=AOD64_1Y6mywJqJup8utdAxdafsW9H4N7g&adurl=,,1
DUP-20260605-0003,artotel suites aquila bandung|-6.8954|107.5893,2,hotel,same_type_duplicate_candidate,Review duplikat semantik; gabungkan hanya jika bukti cukup.,LODGE-00853,ARTOTEL Suites Aquila Bandung,artotel suites aquila bandung,hotel,-6.8954,107.5893,4.4,2172,620605,1.0,high,https://artotelwanderlust.com/hotel/artotel-suites-aquila-bandung/g/Jakarta-en.html?checkIn=2025-05-16&checkOut=2025-05-17&id=MA05110755-MA2505000001&encodeId=TUEyNTA1MDAwMDAx,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFxfwmUnhSO8grlvzOGBw9-aYoOnjq4eQ5nMRIH-nhCMGyfZqtkK6oytimblu8Ts1DmUbZWG6PDYbvdQUZJHB4pjy-Aodm2Salrq-2hlKpg8c_5pdfs-lCpjmx74NREgNjmaq3ToLvGXSNW=s10000,2
DUP-20260605-0003,artotel suites aquila bandung|-6.8954|107.5893,2,hotel,same_type_duplicate_candidate,Review duplikat semantik; gabungkan hanya jika bukti cukup.,LODGE-01606,ARTOTEL Suites Aquila Bandung,artotel suites aquila bandung,hotel,-6.8954,107.5893,4.4,2170,,0.6,medium,https://www.google.com/aclk?sa=l&ai=DChsSEwjGy-6DpOaUAxUnjMIIHX4IObwYACICCAEQDRoCamY&co=1&ase=2&gclid=EAIaIQobChMIxsvug6TmlAMVJ4zCCB1-CDm8EA0YByABEgJg-vD_BwE&cid=CAASugHkaEaNfybNslr420Hep2TgCQsfS8p8ycb5dSOtQw1aZHPkeisHdMVJooTnqEBYh3hvVNqsMsOxgfLrWSAq3EYAO9z6i8ldhuKWFLJlFl_8-muY4oZleTqckbPoRkW8hLXiJ1H3WVYEkEwBwVUpjJ1_h8bZHa4oJV5Zg2qhn54fu_MgjfsSSsx_vgjgW0VYLodbKdh1RqGvwOxg5oTuDqJDnHQe9H-dD4DBkkfuiAFyp5nWfZy-Vji5mQA&category=acrcp_v1_48&sig=AOD64_2cUuN9ibwxHIKSEe7B8CMD1-ehJA&adurl=,,1
DUP-20260605-0004,aubrey villa ciwidey chalet|-7.124|107.5054,3,villa,same_type_duplicate_candidate,Review duplikat semantik; gabungkan hanya jika bukti cukup.,LODGE-00525,Aubrey Villa Ciwidey - Chalet,aubrey villa ciwidey chalet,villa,-7.124,107.5054,,,254919,0.85,high,https://www.bluepillow.com/search/59439a957c00cb0e643d6dea?dest=bkng&cat=Villa&lat=-7.12395&lng=107.50541&language=en,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/789463785.jpg?k=7a1d914d7d5a867faf3b526ec73139c0bfdf73be83429c04baf4e69489a66365&o=&a=1538557,3
DUP-20260605-0004,aubrey villa ciwidey chalet|-7.124|107.5054,3,villa,same_type_duplicate_candidate,Review duplikat semantik; gabungkan hanya jika bukti cukup.,LODGE-00558,Aubrey Villa Ciwidey - Chalet,aubrey villa ciwidey chalet,villa,-7.124,107.5054,,,254734,0.8,high,https://www.freecancellations.com/search/F2giQ1NSGHYAXFIBVVhYTQ8KVxxgR1NC?lat=-7.12395&lng=107.50541&language=en,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/static.cupid.travel/hotels/494980276.jpg?w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,7
DUP-20260605-0004,aubrey villa ciwidey chalet|-7.124|107.5054,3,villa,same_type_duplicate_candidate,Review duplikat semantik; gabungkan hanya jika bukti cukup.,LODGE-00559,Aubrey Villa Ciwidey - Chalet,aubrey villa ciwidey chalet,villa,-7.124,107.5054,,,254919,0.8,high,https://www.bluepillow.com/search/59439a957c00cb0e643d6dea/90877402?dest=bkng&cat=Villa&lat=-7.12395&lng=107.50541&language=en,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/789463785.jpg?k=7a1d914d7d5a867faf3b526ec73139c0bfdf73be83429c04baf4e69489a66365&o=&a=1538557,3
DUP-20260605-0005,bantal guling trans|-6.9302|107.6395,3,room_level_listing,room_variant_group,Kelompok room/unit; cari parent utama atau tahan sebagai child tanpa parent.,LODGE-00874,Bantal Guling Trans - Standard Family Room,bantal guling trans,room_level_listing,-6.9302,107.6395,2.5,8,333261,1.0,high,https://www.bluepillow.com/search/654cb6b13011da1e8b79a8c4/127328603?dest=bkng&cat=House&lat=-6.93021&lng=107.63953&language=en,https://static.cupid.travel/hotels/248139690.jpg,1
