penginapan_id,name,property_type,property_type_final_after_p3,latitude,longitude,region_bucket,overall_rating,reviews,price_lowest,price_display,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label,amenities,primary_image_url,link,data_quality_score,data_quality_label,completion_score,completion_priority,completion_flags,recommended_completion_actions,completion_route,scrape_ready,manual_check_needed,completion_note,primary_exact_name_duplicate_count,primary_exact_name_duplicate_flag
LODGE-00427,Salsabilla Guest House Syariah by Oyo,guest_house,guest_house,-6.8871,107.5225,cimahi_baros_pasteur,,,,,0,,Belum tersedia,missing_review_confidence,,https://p.fih.io/v2/nSr0o-3gbZN8o1xMecXCcG-BkDeQVo3k-wOeVogkTe7ajuFOX7O-WA8aRWhXz1jsToZif_TsA_xCWfhWRa0Z0suVpis1938TLymFbIZ6swzvlyGOT6izhz_-coyjgYqkDjURyrrIC0neDzF4en3ketkYyx1j1dLbUfhlOgkNcIcn9PwNtk_AU2csYWt6dZQ5HrU9YH_Mi1sOBJIp-_VR0o0tdfMtAxxDIiyYD4BSyNiZqAt1xXDKjOEhYqjEzXNlZvlZrwQd46Cqs4hADF-SisC4h7-DTktP9tNbouiPaQZ4OCFwEhjRY-A8ePJ9Uldy4T87SVhJaCmoaWk-_3XmyoPAZE8kPHeod_SAAmf4E-CeBPDhsV0zjwUDu5-t5UVY5R_5RRfFEiFjkRkZ1hssNTBxo3bheRgrhFHCxF1s6jruooVcNYVf3ZFylPTvgUQ1JHOu4emG50fYyQeqkiOQ34rNDxzOkapT83O3_GX0YkP4t8RuMpKRG_D_ID4oEkvkaw_XbdLV0xkg_dJwGGDUSOb4076m0J-Y,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D22592803%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,0.5,medium,0.429,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment|missing_amenities,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|scrape_google_maps_reviews_for_sentiment|complete_amenities,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,1,False
LODGE-00429,Danapati Homestay,guest_house,guest_house,-6.8558,107.4809,cimahi_baros_pasteur,,,,,16,0.684409714285377,Positif,high_review_confidence,,https://dimg04.c-ctrip.com/images//1z64m12000s3uz0vz6840_Mtrip_D.jpg,https://www.trip.com/hotels/detail/?hotelid=134166564&Allianceid=1318093&sid=269617419&utm_medium=vr&utm_campaign=vrwebsite&utm_source=googlevr&trip_sub1=googlevrwebsite,0.45,medium,0.571,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_amenities,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|complete_amenities,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,1,False
LODGE-00430,OYO 90892 My Guest House Syariah,guest_house,guest_house,-6.9004,107.5225,cimahi_baros_pasteur,,,,,11,0.5104724113085255,Positif,medium_review_confidence,,https://p.fih.io/v2/nSr0o-3gbZN8o1xMecXCcG-BkDeQVo3k-wOeVogkTe7ajuFOX7O-WA8aRWhXz1jsToZif_TsA_xCWfhWRa0ZgcCPlX0GskUabCqzVoBMwBjjiX77FK77i0zOAIDWt5WhDjFH5oq8EA63DzF4en3ketkYyx1j1dLbUfhlOgkNcIcn9PwNtk_AU2csbUk6dd9sGqAEVmr2qjQMPI095Pdv3pEtFPIxOxxOPC-YWoFEg4zYvzZQ3nG9m-EOZqmZ2WQ7LfhO30Ezy-iqq5thaUi_-8O59snQYlhEsv9HmOGbfAc9AD17WSO2e-YpU5E9Rgh64AZ_KQd1YCLe4vFaW2TvWuOqoxS3NPSX,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D95867550%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,0.45,medium,0.571,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_amenities,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|complete_amenities,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,1,False
LODGE-01640,Easton Park Residence Naffi Rooms by Mustika,hotel,hotel,-6.9361,107.7653,kota_bandung,,,,,0,,Belum tersedia,missing_review_confidence,,https://dimg04.c-ctrip.com/images//1z63y12000r3ikbgg17E0.png_Mtrip_D.jpg,https://www.trip.com/hotels/detail/?hotelid=133368695&Allianceid=1318093&sid=269617419&utm_medium=vr&utm_campaign=vrwebsite&utm_source=googlevr&trip_sub1=googlevrwebsite,0.5,medium,0.429,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment|missing_amenities,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|scrape_google_maps_reviews_for_sentiment|complete_amenities,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,1,False
LODGE-00810,RedDoorz near Situ Cileunca Pangalengan,hotel,hotel,-7.1872,107.5555,kbb_tengah_barat,,,,,25,0.3107238458819872,Positif,high_review_confidence,,https://dimg04.c-ctrip.com/images//1mc1j12000p6low0904D3_Mtrip_D.jpg,https://www.trip.com/hotels/detail/?hotelid=129102697&Allianceid=1318093&sid=269617419&utm_medium=vr&utm_campaign=vrwebsite&utm_source=googlevr&trip_sub1=googlevrwebsite,0.5,medium,0.571,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_amenities,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|complete_amenities,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,1,False
LODGE-00814,Artana 2 Chipsari by OYO,hotel,hotel,-7.1933,107.545,kbb_tengah_barat,,,,,21,0.3145772858873397,Positif,high_review_confidence,,https://p.fih.io/v2/nSr0o-3gbZN8o1xMecXCcG-BkDeQVo3k-wOeVogkTe7ajuFOX7O-WA8aRWhXz1jsToZif_TsA_xCWfhWRa0Z07GXkCYM8SZkCy21GaFr1i2G-EPXDayEtBTPdtLpqOrjAQlw05C6FF-xFzF4en3ketkYyx1j1dLbUfhlOgkNcIcn9PwNtk_AU2csbUk6dd9sWYhZZ2bLtSQWP41C4PdruZMqfo8yAGlOIznTD4R8rfKDqwRbxV_L46cgSN_A210aZtZC-Wkf3-HxtZpcMGaA3uWi_buUSFh17vxbquy2Z3VKCEhgLjWqe90hUeZ_RSYzpAtdQlxXbwvvWmZZgGGBtbjOdCwUNEugcvqpNE_DIc3iBcn9oFcwg1sEzMTt9EYOpwiIURLPIAQ9ix9QtgUgGBxmxVPxYgQvhH7WjCNiwDrLjqtfHbtgzZZrqsKlqw4PPGu-39qd-FTy4xu15yCA39LXMQ_bj6tEo26Mh3fKU0M0ZvbpniawWWPug07k2KfU,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D58734807%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,0.45,medium,0.571,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_amenities,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|complete_amenities,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,1,False
LODGE-00815,RedDoorz @ ADDA Cabin Pengalengan,hotel,hotel,-7.2,107.5438,kbb_tengah_barat,,,,,0,,Belum tersedia,missing_review_confidence,,https://dimg04.c-ctrip.com/images//0224412000sbsuip9BDE1_Mtrip_D.jpg,https://www.trip.com/hotels/detail/?hotelid=133901185&Allianceid=1318093&sid=269617419&utm_medium=vr&utm_campaign=vrwebsite&utm_source=googlevr&trip_sub1=googlevrwebsite,0.45,medium,0.429,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment|missing_amenities,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|scrape_google_maps_reviews_for_sentiment|complete_amenities,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,1,False
LODGE-01631,Cove Vaia,vacation_rental,vacation_rental,-6.8925,107.5841,kota_bandung,,,,,19,0.6664783779495016,Positif,high_review_confidence,,https://p.fih.io/v2/nSr0o-3gbZN8o1xMecXCcG-BkDeQVo3k-wOeVogkTe7ajuFOX7O-WA8aRWhXz1jsToZif_TsA_xCWfhWRa0ZpL-s5CgixmYWGhKjdplQ1zzMu0SKMaiA9zfiIJ_HoJKFCjRK9-vAC3G-CzF4en3ketkYyx1j1dLbUfhlOgkNcIcn9PwNtk_AU2csbUk6dd9sGo49Qn31qiMVOoIxofR_2o8VcZA3AAhCPReYBoJ8vY2Gq2593GaA4u4Ocfrb2nQda_hO30Az3JWrqItPLkiv-8O4z7SdY0hi-v95tuyYfAdwFy1VHDe2dPs_e894bh9DphFMRQJIUS7vRQIPuEnlwYTXSDgmK2SkcveEMG7FAL7fKvT6529xrFNVXR7i-Wcl7Fyn_0KbDnro,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D132582517%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,0.55,medium,0.571,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_amenities,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|complete_amenities,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,1,False
LODGE-00793,Farmstay Manangel,vacation_rental,vacation_rental,-6.7861,107.1329,kbb_tengah_barat,,,,,24,0.6738757612860972,Positif,high_review_confidence,,https://media.staticontent.com/media/pictures/384a804f-e6d3-4414-93c6-88b8dc526ad1,https://www.us.despegar.com/hotels/h-6734904,0.55,medium,0.571,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_amenities,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|complete_amenities,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,1,False
LODGE-00794,Glamping Ciwidey Argapuri,vacation_rental,vacation_rental,-7.1307,107.5138,kbb_tengah_barat,,,,,0,,Belum tersedia,missing_review_confidence,,https://media.staticontent.com/media/pictures/f4dc5d72-92de-4818-8d03-881cd9a32bc8,https://www.us.despegar.com/hotels/h-2449188,0.55,medium,0.429,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment|missing_amenities,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|scrape_google_maps_reviews_for_sentiment|complete_amenities,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,1,False
