penginapan_id,name,property_type,property_type_final,latitude,longitude,region_bucket,overall_rating,reviews,price_lowest,price_display,data_quality_score,data_quality_label,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label,capacity_min_estimated,capacity_max_estimated,capacity_confidence,listing_policy_status,listing_policy_action,manual_decision,manual_note,ranking_tier_after_p1,primary_ranking_allowed_after_p1,secondary_ranking_allowed_after_p1,drop_from_dataset_after_p1,manual_validation_needed_after_p1,manual_validation_topic_after_p1
LODGE-00006,Desaku Indah Home-stay,vacation_rental,vacation_rental,-6.8002,107.0624,bandung_raya_other,,,302781.0,Rp 302.781,0.8,high,0,,Belum tersedia,missing_review_confidence,4,8,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00007,Villa Soli Deo Gloria,villa,villa,-6.6295,107.5543,bandung_raya_other,,,1017687.0,Rp 1.017.687,0.8,high,24,0.6565298605342457,Positif,high_review_confidence,4,8,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00008,Villa Tepi Bukit,villa,villa,-6.7639,107.0594,bandung_raya_other,,,2417535.0,Rp 2.417.535,0.8,high,4,0.6133597110326948,Positif,low_review_confidence,4,8,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00010,Wildan Guesthouse,guest_house,guest_house,-6.8017,107.0619,bandung_raya_other,,,1379101.0,Rp 1.379.101,0.8,high,0,,Belum tersedia,missing_review_confidence,1,2,low_capacity_confidence,needs_price_type_validation,hold_from_primary_until_checked,accept_high_price,Harga Wildan Guesthouse sudah divalidasi benar.,primary_high_price_validated,True,True,False,False,
LODGE-00011,Rice Field View,vacation_rental,vacation_rental,-6.837,107.085,bandung_raya_other,,,1339800.0,Rp 1.339.800,0.75,high,0,,Belum tersedia,missing_review_confidence,4,8,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00013,Cozy tropical houses with humble neighbourhood,vacation_rental,vacation_rental,-6.57,107.4483,bandung_raya_other,,,,,0.65,medium,0,,Belum tersedia,missing_review_confidence,4,8,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00014,Desaku Indah Home-stay,vacation_rental,vacation_rental,-6.8,107.0623,bandung_raya_other,,,,,0.65,medium,0,,Belum tersedia,missing_review_confidence,4,8,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00015,Lavin Soka Homestay - Tent,guest_house,guest_house,-6.7204,107.3809,bandung_raya_other,,,,,0.65,medium,0,,Belum tersedia,missing_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00016,Lavin Soka Homestay - Tent,guest_house,guest_house,-6.7204,107.3809,bandung_raya_other,,,,,0.65,medium,0,,Belum tersedia,missing_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00018,Porlak Jahe GTK ( Giri Tirta Kahuripan ),vacation_rental,vacation_rental,-6.6329,107.5352,bandung_raya_other,,,,,0.65,medium,0,,Belum tersedia,missing_review_confidence,4,8,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00024,Rice Field View,vacation_rental,vacation_rental,-6.8374,107.0847,bandung_raya_other,,,,,0.55,medium,0,,Belum tersedia,missing_review_confidence,4,8,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00027,Villa Soli Deo Gloria,villa,villa,-6.6295,107.5543,bandung_raya_other,,,,,0.5,medium,0,,Belum tersedia,missing_review_confidence,4,8,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00032,Clamitan House Padalarang,vacation_rental,vacation_rental,-6.8495,107.4728,cimahi_baros_pasteur,4.25,17.0,654546.0,Rp 654.546,1.0,high,17,0.6817356875354134,Positif,high_review_confidence,4,8,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00037,Homestay Budihouse,guest_house,guest_house,-6.8908,107.5589,cimahi_baros_pasteur,4.1,576.0,193998.0,Rp 193.998,1.0,high,0,,Belum tersedia,missing_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00038,Hotel Cassadua,hotel,hotel,-6.8898,107.5783,cimahi_baros_pasteur,3.8,939.0,170597.0,Rp 170.597,1.0,high,19,0.389467458456422,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00039,Javaretro Hotel & Suite,hotel,hotel,-6.8885,107.5773,cimahi_baros_pasteur,4.3,463.0,391184.0,Rp 391.184,1.0,high,15,0.5885392628763026,Positif,medium_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00042,Naomi Home Villa Bandung near Wahoo & Whoosh,villa,villa,-6.8695,107.4571,cimahi_baros_pasteur,4.6,6.0,1390000.0,Rp 1.390.000,1.0,high,0,,Belum tersedia,missing_review_confidence,4,8,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00043,Natural Hill Cisarua,hotel,hotel,-6.8111,107.5704,cimahi_baros_pasteur,4.4,2178.0,483107.0,Rp 483.107,1.0,high,16,0.6629271591971309,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00044,RedDoorz @ Amellia Pasteur Bandung,hotel,hotel,-6.8857,107.5785,cimahi_baros_pasteur,4.6,259.0,134098.0,Rp 134.098,1.0,high,19,0.619022980551366,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00045,RedDoorz near Setrasari mall 4,hotel,hotel,-6.8808,107.5792,cimahi_baros_pasteur,3.6,161.0,130091.0,Rp 130.091,1.0,high,18,0.3736309501360407,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-00047,Rumah Kembar DI kawasan wisata lembang,vacation_rental,vacation_rental,-6.8455,107.5451,cimahi_baros_pasteur,4.5,1.0,750000.0,Rp 750.000,1.0,high,21,0.6715045516774317,Positif,high_review_confidence,4,8,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
