penginapan_id,name,property_type_final_after_p3,latitude,longitude,region_validation_label,price_lowest,price_display,overall_rating,reviews,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_sentiment_label,amenities,primary_image_url,link,data_quality_score,primary_dedupe_status,primary_dedupe_merged_from_ids,data_focus_manual_decision,data_focus_manual_note,data_focus_merge_target_id,completion_priority_order,completion_priority_data_focus,completion_flags_data_focus,completion_route_data_focus,completion_score_data_focus,review_completion_rating_reviews_filled,review_completion_sentiment_filled,review_completion_price_candidate_available,review_completion_note
LODGE-00006,Desaku Indah Home-stay,vacation_rental,-6.8002,107.0624,bandung_raya_valid,302781.0,Rp 302.781,,,0,,Belum tersedia,Papan setrika; TV Kabel; Mesin cuci; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/31669633/0/6355306d6278fec78c246dd4447e222c.jpg?ca=29&ce=0&s=312x,https://www.bluepillow.com/search/62de8c21de4e4eebed151a65?dest=ago&cat=Apartment&lat=-6.80023&lng=107.0624&language=en,0.8,manual_resolved_keep_separate,,,,,3,P1_rating_reviews_missing,missing_rating_reviews|missing_sentiment,scrape_place_rating_reviews,4,False,False,False,
LODGE-00007,Villa Soli Deo Gloria,villa,-6.6295,107.5543,bandung_raya_valid,1017687.0,Rp 1.017.687,,,24,0.6565298605342457,Positif,Dapur; Kolam renang luar; Teras; TV Kabel; Dapat diakses pengguna kursi roda; Parkir gratis; Wi-Fi gratis,https://images.trvl-media.com/lodging/84000000/83350000/83348000/83347926/w720h960x0y320-8adc460c_z.jpg,https://www.expedia.com/Hotel.h83347926.Hotel-Information?mdpcid=META.HPA.WEB-ORGANIC.VR,0.8,keep_primary_deduped,LODGE-00027,,,,3,P1_rating_reviews_missing,missing_rating_reviews,scrape_place_rating_reviews,5,False,False,False,
LODGE-00008,Villa Tepi Bukit,villa,-6.7639,107.0594,bandung_raya_valid,2417535.0,Rp 2.417.535,,,4,0.6133597110326948,Positif,Dapur; TV Kabel; Parkir gratis,https://pix8.agoda.net/hotelImages/40905795/0/f0d8e0cdaf3ab9ec88193904e1f94608.jpg?ce=0&s=312x,https://www.bluepillow.com/search/655205031811a9820ec31084?dest=ago&cat=House&lat=-6.76392&lng=107.05941&language=en,0.8,unique_primary,,,,,3,P1_rating_reviews_missing,missing_rating_reviews,scrape_place_rating_reviews,5,False,False,False,
LODGE-00010,Wildan Guesthouse,guest_house,-6.8017,107.0619,bandung_raya_valid,1379101.0,Rp 1.379.101,,,0,,Belum tersedia,Gym; Dapur; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/agoda-homes/9742517/0a4046509be42c1b885838851b6312d2.jpg?ca=9&ce=1,https://www.agoda.com/wildan-guesthouse/hotel/puncak-id.html,0.8,unique_primary,,,,,3,P1_rating_reviews_missing,missing_rating_reviews|missing_sentiment,scrape_place_rating_reviews,4,False,False,False,
LODGE-00011,Rice Field View,vacation_rental,-6.837,107.085,bandung_raya_valid,1339800.0,Rp 1.339.800,,,0,,Belum tersedia,Balkon; Dapur; Kompor; Boleh bawa hewan peliharaan; Mesin cuci; Parkir gratis,https://images.trvl-media.com/lodging/65000000/64740000/64738200/64738112/a0e85469_z.jpg,https://www.us.despegar.com/hotels/h-6753697,0.75,keep_primary_deduped,LODGE-00024,,,,3,P1_rating_reviews_missing,missing_rating_reviews|missing_sentiment,scrape_place_rating_reviews,4,False,False,False,
LODGE-00013,Cozy tropical houses with humble neighbourhood,vacation_rental,-6.57,107.4483,bandung_raya_valid,,,,,0,,Belum tersedia,Ber-AC; Papan setrika; Bebas asap rokok,https://media.vrbo.com/lodging/100000000/99940000/99934400/99934347/95a0d4b0.jpg?impolicy=ccrop&w=1000&h=666&q=medium,https://www.bluepillow.com/search/65cb983c3e6d928972fdce0c?dest=bpex&cat=House&lat=-6.57004&lng=107.44831&language=en,0.65,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_place_rating_reviews_and_price,3,False,False,False,
LODGE-00015,Lavin Soka Homestay - Tent,guest_house,-6.7204,107.3809,bandung_raya_valid,,,,,0,,Belum tersedia,Ber-AC; Cocok untuk anak; Bebas asap rokok; Parkir gratis; Wi-Fi gratis,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/487778069.jpg?k=72b7c75f11b8389dc0a280055383941f221b18824aefb58105fad540b1a822dd&o=&s=312x,https://www.bluepillow.com/search/68e3dd51f93025efadacb0e4?dest=nuit&cat=House&lat=-6.7204&lng=107.38087&language=en,0.65,keep_primary_deduped,LODGE-00016,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_place_rating_reviews_and_price,3,False,False,False,
LODGE-00018,Porlak Jahe GTK ( Giri Tirta Kahuripan ),vacation_rental,-6.6329,107.5352,bandung_raya_valid,,,,,0,,Belum tersedia,Cocok untuk anak; Bebas asap rokok; TV Kabel; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/35725434/0/5903369f14bd744d3d872e85f510c200.jpg?ce=0&s=312x,https://www.bluepillow.com/search/639a1ba8df5d94a879fee477?dest=ago&cat=Vacation+rental+(other)&lat=-6.63288&lng=107.53522&language=en,0.65,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_place_rating_reviews_and_price,3,False,False,False,
LODGE-00032,Clamitan House Padalarang,vacation_rental,-6.8495,107.4728,bandung_raya_valid,654546.0,Rp 654.546,4.25,17.0,17,0.6817356875354134,Positif,Ber-AC; Microwave; Kompor; Boleh bawa hewan peliharaan; Bebas asap rokok; TV Kabel,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlbWNZwXU4abzO91S8LRlqM435gJdAI0yfrPnzlZHYo1yDZpVaP87MT5BN--WSG7aluy5dnaiYP6RUwgMS2IaswGbFHEUX53ZW3H0t_mPPlkms63NVw_yA==.jpg,https://www.booking.com/hotel/id/clamitan-house.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-11507958&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-11507958_grp-2_gendate-20260524,1.0,unique_primary,,,,,99,OK_complete_enough,,ready_for_baseline,6,False,False,False,
LODGE-00037,Homestay Budihouse,guest_house,-6.8908,107.5589,bandung_raya_valid,193998.0,Rp 193.998,4.1,576.0,0,,Belum tersedia,Free Wi-Fi; Free parking; Air conditioning; Restaurant; Kitchen in some rooms; Airport shuttle; Full-service laundry; Accessible; Kid-friendly; Smoke-free property,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGahLcOzshrIwgnFBviOn1kYeCSm_YH6C_f-zkmNft2c_xzWHgBgWDWOd-DpdbBK8665ko8tHG8f23m29qpVc3BnKYTcRQWwj3OaSuAi_NwKNLHTD12surY7gWXv3qI8-6MA_eaCKoP8I7d=s10000,http://www.budihouse.id/,1.0,unique_primary,,,,,4,P2_sentiment_missing,missing_sentiment,scrape_reviews_for_sentiment,5,False,False,False,
LODGE-00038,Hotel Cassadua,hotel,-6.8898,107.5783,bandung_raya_valid,170597.0,Rp 170.597,3.8,939.0,19,0.389467458456422,Netral,Breakfast; Free Wi-Fi; Free parking; Air conditioning; Full-service laundry; Kid-friendly,https://photos.hotelbeds.com/giata/original/23/231511/231511a_hb_a_060.jpg,https://www.oyorooms.com/h/103521?utm_source=Google_gmb_ID&utm_medium=Organic&utm_campaign=ID_BDG204&latitude=-6.88979&longitude=107.5782&locale=id,1.0,unique_primary,,,,,99,OK_complete_enough,,ready_for_baseline,6,False,False,False,
