penginapan_id,name,normalized_name,property_token,property_type,raw_type,is_room_level_listing,is_apartment_listing,is_villa_listing,is_budget_chain_listing,latitude,longitude,region_bucket,region_validation_label,region_validation_reason,distance_from_bandung_center_km,overall_rating,reviews,location_rating,price_lowest,price_before_taxes_fees,price_display,check_in_time,check_out_time,amenities,nearby_place_names,primary_image_url,image_count,link,rating_sentiment_score,adjusted_rating_sentiment_score,rating_sentiment_label,adjusted_rating_sentiment_label,review_confidence_label,rating_sentiment_source,data_quality_score,data_quality_label,dedupe_key,dedupe_group_size,dedupe_source_files,dedupe_source_queries,dedupe_raw_master_ids,source_system,generated_at,is_parent_master,final_child_count,has_final_child_listing,excluded_child_listing_count,name_looks_detail_listing,parent_penginapan_id,hotel_review_count_analyzed,hotel_sentiment_score,hotel_sentiment_confidence_mean,positive_review_count,neutral_review_count,negative_review_count,review_target_count,hotel_adjusted_sentiment_score,hotel_sentiment_label,hotel_adjusted_sentiment_label,hotel_review_confidence,hotel_review_confidence_label,hotel_sentiment_model_source,hotel_sentiment_model_version,hotel_sentiment_prior_score,hotel_sentiment_review_count_p95,hotel_sentiment_available,amenities_text_available,has_wifi,has_parking,has_ac,has_pool,has_kitchen,has_breakfast,has_laundry,kid_friendly,pet_friendly,wheelchair_accessible,smoke_free,has_gym,has_hot_tub,has_balcony_or_terrace,has_elevator,has_airport_shuttle,has_cable_tv,has_iron,has_heater_or_fireplace,amenity_boolean_count,amenity_boolean_source,price_available,price_bucket_global,price_bucket_by_type,price_bucket_by_type_q33,price_bucket_by_type_q66,price_confidence,price_is_estimated,price_bucket_method,bedroom_count_estimated,capacity_min_estimated,capacity_max_estimated,capacity_confidence,capacity_estimation_reason,capacity_is_estimated,capacity_source,attention_score,attention_level,attention_reasons,recommended_data_action,property_type_hint,property_type_hint_reason,refined_detail_listing_group,refined_detail_listing_action,refined_detail_listing_priority,refined_price_status,refined_price_action,refined_price_note,refined_low_quality_status,refined_low_quality_action,refined_low_quality_note,refined_overall_data_action,listing_policy_status,listing_policy_action,listing_policy_reason,primary_ranking_allowed,secondary_ranking_allowed,manual_validation_needed,manual_validation_topic,validator_priority,validator_question,allowed_manual_decisions,suggested_default_decision,same_name_count_in_dataset,manual_decision,manual_note,property_type_final,ranking_tier_after_p1,primary_ranking_allowed_after_p1,secondary_ranking_allowed_after_p1,drop_from_dataset_after_p1,manual_validation_needed_after_p1,manual_validation_topic_after_p1,p1_validation_applied,ranking_tier_after_p2,primary_ranking_allowed_after_p2,secondary_ranking_allowed_after_p2,drop_from_dataset_after_p2,manual_validation_needed_after_p2,manual_validation_topic_after_p2,p2_validation_applied,p2_decision,p2_note,property_type_final_after_p3,ranking_tier_after_p3,primary_ranking_allowed_after_p3,secondary_ranking_allowed_after_p3,drop_from_dataset_after_p3,manual_validation_needed_after_p3,manual_validation_topic_after_p3,p3_validation_applied,p3_decision,p3_note,candidate_parent_name,same_name_count_p3,primary_dedupe_status,primary_dedupe_group_size,primary_dedupe_group_max_distance_km,primary_dedupe_keep_id,primary_dedupe_merged_from_ids,primary_dedupe_note,primary_ranking_allowed_after_dedupe,drop_from_dataset_after_dedupe,far_duplicate_manual_decision,far_duplicate_merge_target_id,far_duplicate_resolution_note,far_duplicate_merged_from_ids,primary_ranking_allowed_after_far_resolution,drop_from_dataset_after_far_resolution,data_focus_manual_decision,data_focus_manual_note,data_focus_merge_target_id,primary_ranking_allowed_data_focus,drop_from_dataset_data_focus
LODGE-00014,Desaku Indah Home-stay,desaku indah home stay,ChkQzsfD__vZwst5Gg0vZy8xMXg4eThkZ2IzEAI,vacation_rental,vacation rental,False,False,False,False,-6.8,107.0623,bandung_raya_other,bandung_raya_valid,inside_broad_bandung_raya,62.845,,,2.6,,,,,,Balkon; Bak air panas; Parkir gratis; Wi-Fi gratis,Bandar Udara Internasional Soekarno–Hatta; RM. Lembur Kuring,https://pix8.agoda.net/hotelImages/31669633/0/b125874824a51f84461f62300d9ca706.jpg?ca=29&ce=0,9,https://www.agoda.com/semi-queen-fit-3-or-more/hotel/puncak-id.html,,,Tidak Tersedia,Tidak Tersedia,missing_review_confidence,unavailable,0.65,medium,token::ChkQzsfD__vZwst5Gg0vZy8xMXg4eThkZ2IzEAI,1,dataset_google-hotels-search-scraper_2026-06-02_04-47-56-242.json,"Rongga, Kabupaten Bandung Barat",HRAW-01753,google_hotels_search_raw_master,2026-06-05T08:01:21.260751Z,True,0,False,54,False,,0,,,,,,,,Belum tersedia,Belum tersedia,,missing_review_confidence,unavailable,,,,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,4,amenities_text_rule_v1,False,unknown,unknown,523875.0,1259833.4,missing_price,False,missing_price,,4,8,low_capacity_confidence,villa_or_rental_default_no_capacity_source,True,name_and_property_type_rule_v1,7,high,missing_rating_and_price|missing_any_sentiment|capacity_low_confidence_for_unit_property,manual_or_source_completion,,,,,,,,,,,,,primary_candidate,allow_primary_ranking,data tidak terkena kebijakan hold/secondary,True,True,False,,,,,,5,,,vacation_rental,primary_candidate,True,True,False,False,,False,primary_candidate,True,True,False,False,,False,,,vacation_rental,primary_candidate,True,True,False,False,,False,,,,1,manual_resolved_drop_duplicate,5,9.2685,LODGE-00006,,Nama sama tetapi koordinat cukup jauh; tidak dihapus otomatis.,True,False,drop_duplicate,LODGE-00006,Duplikat lemah tanpa harga/rating.,,False,True,,,,False,True
LODGE-00016,Lavin Soka Homestay - Tent,lavin soka homestay tent,ChoQgY_40crRvZniARoNL2cvMTFuOWM5bWZicxAC,guest_house,vacation rental,False,False,False,False,-6.7204,107.3809,bandung_raya_other,bandung_raya_valid,inside_broad_bandung_raya,34.234,,,3.4,,,,,,Ber-AC; Cocok untuk anak; Bebas asap rokok,Cikadongdong; Bandar Udara Internasional Soekarno–Hatta; Rumah Makan Saung Bambu,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/static.cupid.travel/hotels/487778069.jpg?w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,5,https://www.freecancellations.com/search/F2cjQQEBG3IHV1BVXlkEEggLD00zRQBG?lat=-6.7204&lng=107.38087&language=en,,,Tidak Tersedia,Tidak Tersedia,missing_review_confidence,unavailable,0.65,medium,token::ChoQgY_40crRvZniARoNL2cvMTFuOWM5bWZicxAC,4,dataset_google-hotels-search-scraper_2026-06-02_06-04-48-982.json; dataset_google-hotels-search-scraper_2026-06-02_06-07-02-077.json; dataset_google-hotels-search-scraper_2026-06-02_06-09-56-864.json,"Cikalongwetan, Kabupaten Bandung Barat; Cipatat, Kabupaten Bandung Barat; Cipeundeuy, Kabupaten Bandung Barat",HRAW-02032; HRAW-02071; HRAW-02220; HRAW-02339,google_hotels_search_raw_master,2026-06-05T08:01:21.260751Z,True,0,False,54,False,,0,,,,,,,,Belum tersedia,Belum tersedia,,missing_review_confidence,unavailable,,,,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,3,amenities_text_rule_v1,False,unknown,unknown,206199.96,394935.0,missing_price,False,missing_price,,1,2,low_capacity_confidence,guest_house_default_per_room,True,name_and_property_type_rule_v1,8,high,missing_rating_and_price|missing_any_sentiment|property_type_maybe_needs_review,manual_or_source_completion,vacation_rental,name_contains_other_property_type_keyword,,,,,,,,,,,primary_candidate,allow_primary_ranking,data tidak terkena kebijakan hold/secondary,True,True,False,,,,,,2,,,guest_house,primary_candidate,True,True,False,False,,False,primary_candidate,True,True,False,False,,False,,,guest_house,primary_candidate,True,True,False,False,,False,,,,1,drop_primary_exact_duplicate,2,0.0,LODGE-00015,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,False,True,,,,,False,True,,,,False,True
LODGE-00019,Villa Mang Oyan - Two-Bedroom Villa,villa mang oyan villa,ChkQpPad_5uvyoRHGg0vZy8xMXo0Y205bnp3EAI,villa,vacation rental,False,False,True,False,-6.6121,107.4684,bandung_raya_other,bandung_raya_valid,inside_broad_bandung_raya,37.814,,,,,,,12.0,12.0,Cocok untuk anak; Bebas asap rokok; Parkir gratis,,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/static.cupid.travel/hotels/537079508.jpg?w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,9,https://www.freecancellations.com/search/F2cjQQEGHXoHV1BVXlkEEggLD08zFwdG?lat=-6.61207&lng=107.46838&language=en,,,Tidak Tersedia,Tidak Tersedia,missing_review_confidence,unavailable,0.65,medium,token::ChkQpPad_5uvyoRHGg0vZy8xMXo0Y205bnp3EAI,4,dataset_google-hotels-search-scraper_2026-06-02_06-07-02-077.json; dataset_google-hotels-search-scraper_2026-06-02_06-09-56-864.json,"Cikalongwetan, Kabupaten Bandung Barat; Cipeundeuy, Kabupaten Bandung Barat",HRAW-02196; HRAW-02241; HRAW-02377; HRAW-02381,google_hotels_search_raw_master,2026-06-05T08:01:21.260751Z,True,0,False,54,True,,0,,,,,,,,Belum tersedia,Belum tersedia,,missing_review_confidence,unavailable,,,,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,3,amenities_text_rule_v1,False,unknown,unknown,1224503.76,3226560.88,missing_price,False,missing_price,2.0,2,4,high_capacity_confidence,bedroom_count_name_pattern,True,name_and_property_type_rule_v1,9,high,missing_rating_and_price|missing_any_sentiment|looks_like_detail_or_unit_listing,review_parent_child_or_mark_secondary,,,villa_or_house_detail,review_parent_child_status,high_attention,,,,,,,review_parent_child_status,needs_parent_child_validation,hold_from_primary_until_parent_child_checked,"nama terlihat detail/unit, perlu cek apakah punya parent",False,False,True,parent_child_validation,P3,"Apakah listing ini properti utama, child/unit, atau duplikat parent?",accept_as_parent|hold_as_child|map_to_parent|drop_if_invalid,hold_as_child,2,,,villa,needs_parent_child_validation,False,False,False,True,parent_child_validation,False,needs_parent_child_validation,False,False,False,True,parent_child_validation,False,,,villa,dropped_duplicate_detail_listing,False,False,True,False,,True,drop_duplicate_detail_listing,Nama detail/unit duplikat; satu record terbaik dipertahankan.,Villa Mang Oyan,2,,1,0.0,,,,False,True,,,,,False,True,,,,False,True
LODGE-00024,Rice Field View,rice field,ChoQqZ7q6-id4NTqARoNL2cvMTF6MTRfbDFfXxAC,vacation_rental,vacation rental,False,False,False,False,-6.8374,107.0847,bandung_raya_other,bandung_raya_valid,inside_broad_bandung_raya,59.665,,,2.3,,,,16.0,11.0,,Bandar Udara Internasional Soekarno–Hatta; Bumi Aki Puncak - Restoran Keluarga Sejak 1987,https://media.staticontent.com/media/pictures/d10b5eb4-32bb-44e2-a2f2-241f9f02a50a,6,https://www.us.despegar.com/hotels/h-6753697,,,Tidak Tersedia,Tidak Tersedia,missing_review_confidence,unavailable,0.55,medium,token::ChoQqZ7q6-id4NTqARoNL2cvMTF6MTRfbDFfXxAC,1,dataset_google-hotels-search-scraper_2026-06-02_04-47-56-242.json,"Rongga, Kabupaten Bandung Barat",HRAW-01709,google_hotels_search_raw_master,2026-06-05T08:01:21.260751Z,True,0,False,54,False,,0,,,,,,,,Belum tersedia,Belum tersedia,,missing_review_confidence,unavailable,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,missing_amenities_text,False,unknown,unknown,523875.0,1259833.4,missing_price,False,missing_price,,4,8,low_capacity_confidence,villa_or_rental_default_no_capacity_source,True,name_and_property_type_rule_v1,9,high,missing_rating_and_price|missing_any_sentiment|missing_amenities|capacity_low_confidence_for_unit_property,manual_or_source_completion,,,,,,,,,,,,,primary_candidate,allow_primary_ranking,data tidak terkena kebijakan hold/secondary,True,True,False,,,,,,2,,,vacation_rental,primary_candidate,True,True,False,False,,False,primary_candidate,True,True,False,False,,False,,,vacation_rental,primary_candidate,True,True,False,False,,False,,,,1,drop_primary_exact_duplicate,2,0.0555,LODGE-00011,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,False,True,,,,,False,True,,,,False,True
LODGE-00025,Villa Niscala 2 - Two-Bedroom Villa,villa niscala 2 villa,ChkQx4zPlOHUyvUdGg0vZy8xMXo0c2pqd2hnEAI,villa,vacation rental,False,False,True,False,-6.6163,107.5002,bandung_raya_other,bandung_raya_valid,inside_broad_bandung_raya,35.97,,,,,,,14.0,12.0,Balkon; Penghangat; Dapur; Pemanggang luar ruang; Kolam renang luar; Boleh bawa hewan peliharaan; TV Kabel; Parkir gratis; Wi-Fi gratis,,https://pix8.agoda.net/hotelImages/48043470/0/bb3a35fa81de05099903901ac8e048cb.jpg?ce=0,9,,,,Tidak Tersedia,Tidak Tersedia,missing_review_confidence,unavailable,0.55,medium,token::ChkQx4zPlOHUyvUdGg0vZy8xMXo0c2pqd2hnEAI,2,dataset_google-hotels-search-scraper_2026-06-02_06-07-02-077.json; dataset_google-hotels-search-scraper_2026-06-02_06-09-56-864.json,"Cikalongwetan, Kabupaten Bandung Barat; Cipeundeuy, Kabupaten Bandung Barat",HRAW-02245; HRAW-02427,google_hotels_search_raw_master,2026-06-05T08:01:21.260751Z,True,0,False,54,True,,0,,,,,,,,Belum tersedia,Belum tersedia,,missing_review_confidence,unavailable,,,,False,True,True,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,8,amenities_text_rule_v1,False,unknown,unknown,1224503.76,3226560.88,missing_price,False,missing_price,2.0,2,4,high_capacity_confidence,bedroom_count_name_pattern,True,name_and_property_type_rule_v1,10,high,missing_rating_and_price|missing_any_sentiment|missing_source_link|looks_like_detail_or_unit_listing,review_parent_child_or_mark_secondary,,,villa_or_house_detail,review_parent_child_status,high_attention,,,,,,,review_parent_child_status,needs_parent_child_validation,hold_from_primary_until_parent_child_checked,"nama terlihat detail/unit, perlu cek apakah punya parent",False,False,True,parent_child_validation,P3,"Apakah listing ini properti utama, child/unit, atau duplikat parent?",accept_as_parent|hold_as_child|map_to_parent|drop_if_invalid,hold_as_child,2,,,villa,needs_parent_child_validation,False,False,False,True,parent_child_validation,False,needs_parent_child_validation,False,False,False,True,parent_child_validation,False,,,villa,dropped_duplicate_detail_listing,False,False,True,False,,True,drop_duplicate_detail_listing,Nama detail/unit duplikat; satu record terbaik dipertahankan.,Villa Niscala 2,2,,1,0.0,,,,False,True,,,,,False,True,,,,False,True
LODGE-00026,Paddies Homestay (Full Room),paddies homestay full,ChoQxfSR_9X39beHARoNL2cvMTF6MTQydjc4aBAC,guest_house,vacation rental,False,False,False,False,-6.8398,107.0831,bandung_raya_other,bandung_raya_valid,inside_broad_bandung_raya,59.801,,,2.3,,,,,,,Bandar Udara Internasional Soekarno–Hatta; Chichipi rumah rasa,https://p.fih.io/v2/nSr0o-3gbZN8o1xMecXCcG-BkDeQVo3k-wOeVogkTe7ajuFOX7O-WA8aRWhXz1jsToZif_TsA_xCWfhWRa0Zn4WrrRsyynMAOye9Gttg3A3lj37_Fu7mpTrbcKWggpeRNCd37JnBWl_vdjF4en3ketkYyx1j1dLbUfhlOgkNcIcn9PwNtk_AU2csbUk6dd9sALYtMGbOtVcUBJIp5cwO044tS5R3FWkPPxbHUphSye2VvSZA0XGA4uEaF8Dazl0JLvhe1Fokz4HlvJtANEi_64C78ZqSYkt6--tUpqiPe3J9OxdwBVSISekXR6YM0vPnHDzgp_2pDz51jQ,9,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D7143014%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,,,Tidak Tersedia,Tidak Tersedia,missing_review_confidence,unavailable,0.5,medium,token::ChoQxfSR_9X39beHARoNL2cvMTF6MTQydjc4aBAC,1,dataset_google-hotels-search-scraper_2026-06-02_04-47-56-242.json,"Rongga, Kabupaten Bandung Barat",HRAW-01630,google_hotels_search_raw_master,2026-06-05T08:01:21.260751Z,True,0,False,54,True,,0,,,,,,,,Belum tersedia,Belum tersedia,,missing_review_confidence,unavailable,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,missing_amenities_text,False,unknown,unknown,206199.96,394935.0,missing_price,False,missing_price,,1,2,low_capacity_confidence,guest_house_default_per_room,True,name_and_property_type_rule_v1,13,high,missing_rating_and_price|missing_any_sentiment|missing_amenities|looks_like_detail_or_unit_listing|property_type_maybe_needs_review,review_parent_child_or_mark_secondary,vacation_rental,name_contains_other_property_type_keyword,other_detail_listing,review_parent_child_status,high_attention,,,,,,,review_parent_child_status,needs_parent_child_validation,hold_from_primary_until_parent_child_checked,"nama terlihat detail/unit, perlu cek apakah punya parent",False,False,True,parent_child_validation,P3,"Apakah listing ini properti utama, child/unit, atau duplikat parent?",accept_as_parent|hold_as_child|map_to_parent|drop_if_invalid,hold_as_child,2,,,guest_house,needs_parent_child_validation,False,False,False,True,parent_child_validation,False,needs_parent_child_validation,False,False,False,True,parent_child_validation,False,,,guest_house,dropped_duplicate_detail_listing,False,False,True,False,,True,drop_duplicate_detail_listing,Nama detail/unit duplikat; satu record terbaik dipertahankan.,Paddies Homestay (Full Room),2,,1,0.0,,,,False,True,,,,,False,True,,,,False,True
LODGE-00027,Villa Soli Deo Gloria,villa soli deo gloria,ChoQhuWV6bXeg8aiARoNL2cvMTFuOWRuMG5keRAC,villa,vacation rental,False,False,True,False,-6.6295,107.5543,bandung_raya_other,bandung_raya_valid,inside_broad_bandung_raya,32.81,,,2.2,,,,,,,Bandar Udara Internasional Soekarno–Hatta; Bijan Restoran Nusantara,https://dimg04.c-ctrip.com/images//0224g12000do5bhelEB9A_Mtrip_D.jpg,9,https://www.trip.com/hotels/detail/?hotelid=97396229&Allianceid=1318093&sid=269617419&utm_medium=vr&utm_campaign=vrwebsite&utm_source=googlevr&trip_sub1=googlevrwebsite,,,Tidak Tersedia,Tidak Tersedia,missing_review_confidence,unavailable,0.5,medium,token::ChoQhuWV6bXeg8aiARoNL2cvMTFuOWRuMG5keRAC,1,dataset_google-hotels-search-scraper_2026-06-02_06-09-56-864.json,"Cikalongwetan, Kabupaten Bandung Barat",HRAW-02412,google_hotels_search_raw_master,2026-06-05T08:01:21.260751Z,True,0,False,54,False,,0,,,,,,,,Belum tersedia,Belum tersedia,,missing_review_confidence,unavailable,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,missing_amenities_text,False,unknown,unknown,1224503.76,3226560.88,missing_price,False,missing_price,,4,8,low_capacity_confidence,villa_or_rental_default_no_capacity_source,True,name_and_property_type_rule_v1,9,high,missing_rating_and_price|missing_any_sentiment|missing_amenities|capacity_low_confidence_for_unit_property,manual_or_source_completion,,,,,,,,,,,,,primary_candidate,allow_primary_ranking,data tidak terkena kebijakan hold/secondary,True,True,False,,,,,,2,,,villa,primary_candidate,True,True,False,False,,False,primary_candidate,True,True,False,False,,False,,,villa,primary_candidate,True,True,False,False,,False,,,,1,drop_primary_exact_duplicate,2,0.0,LODGE-00007,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,False,True,,,,,False,True,,,,False,True
LODGE-00074,Valle Verde Villas - Two-Bedroom Villa,valle verde villas villa,ChoQle2NhZKbzrOwARoNL2cvMTF6MzlyemJfdhAC,villa,vacation rental,False,False,True,False,-6.8189,107.5445,cimahi_baros_pasteur,bandung_raya_valid,rough_coordinate_bucket,13.711,3.9,4.0,,2017880.0,2017880.0,Rp 2.017.880,13.0,11.0,Cocok untuk anak; Dapur; Bebas asap rokok; TV Kabel,,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/static.cupid.travel/hotels/267468278.jpg?w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,9,https://www.freecancellations.com/search/F2cjQQFWFnQHV1BVXlkEEggLDxplFwZL?lat=-6.81892&lng=107.5445&language=en,0.45,0.6887,Positif,Sangat Positif,low_review_confidence,overall_rating_fallback,0.95,high,token::ChoQle2NhZKbzrOwARoNL2cvMTF6MzlyemJfdhAC,2,dataset_google-hotels-search-scraper_2026-06-02_06-09-56-864.json,"Cikalongwetan, Kabupaten Bandung Barat",HRAW-02251; HRAW-02393,google_hotels_search_raw_master,2026-06-05T08:01:21.260751Z,True,0,False,54,True,,0,,,,,,,,Belum tersedia,Belum tersedia,,missing_review_confidence,unavailable,,,,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,4,amenities_text_rule_v1,True,premium_1m_3m,mid_range_by_type,1224503.76,3226560.88,high_price_confidence,True,global_idr_threshold_v1_and_property_type_quantile_v1,2.0,2,4,high_capacity_confidence,bedroom_count_name_pattern,True,name_and_property_type_rule_v1,3,low,looks_like_detail_or_unit_listing,review_parent_child_or_mark_secondary,,,villa_or_house_detail,review_parent_child_status,medium_attention,,,,,,,review_parent_child_status,needs_parent_child_validation,hold_from_primary_until_parent_child_checked,"nama terlihat detail/unit, perlu cek apakah punya parent",False,False,True,parent_child_validation,P3,"Apakah listing ini properti utama, child/unit, atau duplikat parent?",accept_as_parent|hold_as_child|map_to_parent|drop_if_invalid,hold_as_child,2,,,villa,needs_parent_child_validation,False,False,False,True,parent_child_validation,False,needs_parent_child_validation,False,False,False,True,parent_child_validation,False,,,villa,dropped_duplicate_detail_listing,False,False,True,False,,True,drop_duplicate_detail_listing,Nama detail/unit duplikat; satu record terbaik dipertahankan.,Valle Verde Villas,2,,1,0.0,,,,False,True,,,,,False,True,,,,False,True
LODGE-00095,Nabila Syar'i Guest House,nabila syar i guest house,ChgQt5mXp6qL0WMaDS9nLzExeTRtMmo5bmIQAg,guest_house,vacation rental,False,False,False,False,-6.8566,107.5164,cimahi_baros_pasteur,bandung_raya_valid,rough_coordinate_bucket,13.206,4.8889,27.0,3.1,399618.0,330305.0,Rp 399.618,14.0,12.0,Ber-AC; Kolam renang di dalam ruangan; Dapur; Bebas asap rokok; TV Kabel; Parkir gratis; Wi-Fi gratis,Gadobangkong; Bandar Udara Internasional Soekarno–Hatta; Rumah Makan Temurun,https://p.fih.io/v2/nSr0o-3gbZN8o1xMecXCcG-BkDeQVo3k-wOeVogkTe7ajuFOX7O-WA8aRWhXz1jsToZif_TsA_xCWfhWRa0Z2YervSAr9EM5FEjfQ7UaribAuUfIEr-6ph3JNKrkuJjmQyVJxZ7lVQ3KfjF4en3ketkYyx1j1dLbUfhlOgkNcIcn9PwNtk_AU2csbUk6dd9sGqAEVmr2qjQMPI095Pdv3pEtFPIxOxxOPC-YWoFEg4zdvghQ3nG9m-EOZqmc2HQJLvhO30Ezy-ivqotTaEiB3cO59snVY0h2s_9pkOGYfAZiFxNnEjS1Y-cqU5E9Rgh64AZ_KQd1YCIW7G-CsvG5sCXojsLOohtG,9,,0.9444,0.7908,Sangat Positif,Sangat Positif,low_review_confidence,overall_rating_fallback,0.9,high,token::ChgQt5mXp6qL0WMaDS9nLzExeTRtMmo5bmIQAg,3,dataset_google-hotels-search-scraper_2026-06-02_05-03-29-424.json; dataset_google-hotels-search-scraper_2026-06-02_06-07-02-077.json; dataset_google-hotels-search-scraper_2026-06-02_06-09-56-864.json,"Cikalongwetan, Kabupaten Bandung Barat; Cipeundeuy, Kabupaten Bandung Barat; Ngamprah, Kabupaten Bandung Barat",HRAW-01965; HRAW-02118; HRAW-02293,google_hotels_search_raw_master,2026-06-05T08:01:21.260751Z,True,0,False,54,False,,0,,,,,,,,Belum tersedia,Belum tersedia,,missing_review_confidence,unavailable,,,,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,7,amenities_text_rule_v1,True,standard_200k_500k,premium_by_type,206199.96,394935.0,high_price_confidence,True,global_idr_threshold_v1_and_property_type_quantile_v1,,1,2,low_capacity_confidence,guest_house_default_per_room,True,name_and_property_type_rule_v1,3,low,missing_source_link|property_type_maybe_needs_review,verify_property_type,vacation_rental,name_contains_other_property_type_keyword,,,,,,,,,,,primary_candidate,allow_primary_ranking,data tidak terkena kebijakan hold/secondary,True,True,False,,,,,,3,,,guest_house,primary_candidate,True,True,False,False,,False,primary_candidate,True,True,False,False,,False,,,guest_house,primary_candidate,True,True,False,False,,False,,,,1,manual_resolved_merge_fix_coordinate,3,1.0052,LODGE-00096,,Nama sama tetapi koordinat cukup jauh; tidak dihapus otomatis.,True,False,merge_fix_coordinate,LODGE-00096,Merge ke LODGE-00096; selisih sekitar 1 km adalah anomali pinning dari sumber OTA.,,False,True,,,,False,True
LODGE-00135,Daymentroom Apartemen R711 2 BR Pasteur Bandung,daymentroom apartemen r711 2 br pasteur bandung,ChoQ3MCTkY_i8ejlARoNL2cvMTFsbV9yNnhtMxAC,apartment,vacation rental,False,True,False,False,-6.890200615,107.5656357,cimahi_baros_pasteur,bandung_raya_valid,rough_coordinate_bucket,6.637,3.5,4.0,3.1,500000.0,450000.0,Rp 500.000,12.0,12.0,"Ber-AC, Papan setrika, Dapur, Bebas asap rokok",,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlbWNZwXU4abzAXPcbX26pJ5B6jXNCNkvz__QpupqQThLAd4IBU_apu0LTHcySqtM0E1WAylzkchOcT11Xg2PGTXi9J_3qYILZwHZkTw_n2dfF-Zbguf0g==.jpg,9,https://www.booking.com/hotel/id/daymentroom-r711-2br-bandung-pasteur-apartemen.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-9612439&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-9612439_grp-3_gendate-20260503,0.25,0.609,Positif,Sangat Positif,low_review_confidence,overall_rating_fallback,0.84,high,token::ChoQ3MCTkY_i8ejlARoNL2cvMTFsbV9yNnhtMxAC,1,HOTEL_CANONICAL_CIMAHI_2026-05-29.csv,existing_canonical_cimahi_2026_05_29,EXISTING-CANONICAL-0170,existing_canonical_cimahi,2026-06-05T08:01:21.260751Z,True,0,False,54,True,,0,,,,,,,,Belum tersedia,Belum tersedia,,missing_review_confidence,unavailable,,,,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,4,amenities_text_rule_v1,True,standard_200k_500k,mid_range_by_type,352697.0,506700.16,high_price_confidence,True,global_idr_threshold_v1_and_property_type_quantile_v1,2.0,3,4,high_capacity_confidence,bedroom_count_name_pattern,True,name_and_property_type_rule_v1,3,low,looks_like_detail_or_unit_listing,review_parent_child_or_mark_secondary,,,other_detail_listing,review_parent_child_status,low_attention,,,,,,,review_parent_child_status,needs_parent_child_validation,hold_from_primary_until_parent_child_checked,"nama terlihat detail/unit, perlu cek apakah punya parent",False,False,True,parent_child_validation,P3,"Apakah listing ini properti utama, child/unit, atau duplikat parent?",accept_as_parent|hold_as_child|map_to_parent|drop_if_invalid,hold_as_child,2,,,apartment,needs_parent_child_validation,False,False,False,True,parent_child_validation,False,needs_parent_child_validation,False,False,False,True,parent_child_validation,False,,,apartment,dropped_duplicate_detail_listing,False,False,True,False,,True,drop_duplicate_detail_listing,Nama detail/unit duplikat; satu record terbaik dipertahankan.,Daymentroom Apartemen R711 Pasteur Bandung,2,,1,0.0,,,,False,True,,,,,False,True,,,,False,True
