penginapan_id,name,property_type,property_type_final_after_p3,latitude,longitude,region_bucket,overall_rating,reviews,price_lowest,price_display,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label,amenities,primary_image_url,link,data_quality_score,data_quality_label,primary_dedupe_status,primary_dedupe_group_size,primary_dedupe_group_max_distance_km,primary_dedupe_keep_id,primary_dedupe_merged_from_ids,primary_dedupe_note,primary_dedupe_group_status,primary_dedupe_drop
LODGE-00587,Shakilla House 6B Syariah Cigalumpit Cianjur,vacation_rental,vacation_rental,-6.816,107.1715,kbb_tengah_barat,,,526274.0,Rp 526.274,0,,Belum tersedia,missing_review_confidence,Ber-AC; TV Kabel; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/46046860/0/e5ad0851bc4816bb7e4121846a75cfdc.jpg?ce=0&s=312x,https://www.bluepillow.com/search/67a22bb6905c444f2d03d59d?dest=ago&cat=House&lat=-6.81598&lng=107.17149&language=en,0.8,high,drop_primary_exact_duplicate,4,0.0248,LODGE-00588,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00719,Shakilla House 6B Syariah Cigalumpit Cianjur,vacation_rental,vacation_rental,-6.8162,107.1715,kbb_tengah_barat,,,,,0,,Belum tersedia,missing_review_confidence,Ber-AC; Dapur,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlbWNZwXU4abzEtWlHCP7dVqOwHK2vsRsNroG0hAiNwyEsgtERYYZLrsULVyRC7N2cCwT5ULLwn8VaRRzwEtZgmW1RUWmFqKB0uHqVQweRudlcImCdUJQg==.jpg,https://www.booking.com/hotel/id/shakilla-house-6b-syariah-cigalumpit-cianjur.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-14794750&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-14794750_grp-2_gendate-20260524,0.65,medium,drop_primary_exact_duplicate,4,0.0248,LODGE-00588,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00720,Shakilla House 6B Syariah Cigalumpit Cianjur,vacation_rental,vacation_rental,-6.8162,107.1714,kbb_tengah_barat,,,,,0,,Belum tersedia,missing_review_confidence,Dapur; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/51755112/0/c58b885315e014a404358a9824095ca6.jpg?ce=0,https://www.agoda.com/shakilla-house-6b-syariah-cigalumpit-cianjur/hotel/cianjur-id.html,0.65,medium,drop_primary_exact_duplicate,4,0.0248,LODGE-00588,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00558,Aubrey Villa Ciwidey - Chalet,villa,villa,-7.124,107.5054,kbb_tengah_barat,,,254734.0,Rp 254.734,0,,Belum tersedia,missing_review_confidence,Cocok untuk anak; Boleh bawa hewan peliharaan; Dapat diakses pengguna kursi roda; Parkir gratis,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/static.cupid.travel/hotels/494980276.jpg?w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,https://www.freecancellations.com/search/F2giQ1NSGHYAXFIBVVhYTQ8KVxxgR1NC?lat=-7.12395&lng=107.50541&language=en,0.8,high,drop_primary_exact_duplicate,3,0.0,LODGE-00525,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00559,Aubrey Villa Ciwidey - Chalet,villa,villa,-7.124,107.5054,kbb_tengah_barat,,,254919.0,Rp 254.919,0,,Belum tersedia,missing_review_confidence,Ber-AC; Cocok untuk anak; Ranjang bayi; Kolam renang di dalam ruangan; Pemanggang luar ruang; Teras; Boleh bawa hewan peliharaan; Dapat diakses pengguna kursi roda; Parkir gratis; Wi-Fi gratis,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/789463785.jpg?k=7a1d914d7d5a867faf3b526ec73139c0bfdf73be83429c04baf4e69489a66365&o=&a=1538557,https://www.bluepillow.com/search/59439a957c00cb0e643d6dea/90877402?dest=bkng&cat=Villa&lat=-7.12395&lng=107.50541&language=en,0.8,high,drop_primary_exact_duplicate,3,0.0,LODGE-00525,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00537,Kuleum Camp And Cabin By ARBA,vacation_rental,vacation_rental,-7.1414,107.3969,kbb_tengah_barat,,,580022.0,Rp 580.022,122,0.6467452757303084,Positif,high_review_confidence,Parkir gratis; Wi-Fi gratis,https://media.vrbo.com/lodging/120000000/119830000/119828500/119828482/6d492bb9.jpg,https://www.expedia.com/Hotel.h119828482.Hotel-Information?mdpcid=META.HPA.WEB-ORGANIC.VR,0.85,high,drop_primary_exact_duplicate,3,0.1018,LODGE-00519,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00796,Kuleum Camp And Cabin By ARBA,vacation_rental,vacation_rental,-7.1414,107.3969,kbb_tengah_barat,,,,,0,,Belum tersedia,missing_review_confidence,,https://media.staticontent.com/media/pictures/b69531ca-10ce-44d5-aacd-0e3d101505c3,https://www.us.despegar.com/hotels/h-6813851,0.55,medium,drop_primary_exact_duplicate,3,0.1018,LODGE-00519,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00741,Villa Feridys,villa,villa,-7.0895,107.5547,kbb_tengah_barat,,,,,55,0.3219789976885888,Positif,high_review_confidence,Bebas asap rokok; Parkir gratis; Wi-Fi gratis,https://dimg04.c-ctrip.com/images//0223112000skeewp716B2_Mtrip_D.jpg,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D150013674%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,0.65,medium,drop_primary_exact_duplicate,3,0.0157,LODGE-00629,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00812,Villa Feridys,villa,villa,-7.0896,107.5548,kbb_tengah_barat,,,,,0,,Belum tersedia,missing_review_confidence,,https://media.staticontent.com/media/pictures/3119c509-4757-4648-be98-ace852aded51,https://www.us.despegar.com/hotels/h-7024247,0.5,medium,drop_primary_exact_duplicate,3,0.0157,LODGE-00629,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00626,Shine River Ciwidey,vacation_rental,vacation_rental,-7.098,107.4822,kbb_tengah_barat,,,729209.0,Rp 729.209,0,,Belum tersedia,missing_review_confidence,Dapur; Pemanggang luar ruang; Kolam renang luar; Parkir gratis; Wi-Fi gratis,https://media.vrbo.com/lodging/97000000/96140000/96137500/96137413/b8c06f03.jpg,,0.75,high,drop_primary_exact_duplicate,3,0.0157,LODGE-00786,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
