penginapan_id,name,property_type,property_type_final_after_p3,latitude,longitude,region_bucket,overall_rating,reviews,price_lowest,price_display,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label,amenities,primary_image_url,link,data_quality_score,data_quality_label,completion_score,completion_priority,completion_flags,recommended_completion_actions,completion_route,scrape_ready,manual_check_needed,completion_note,primary_exact_name_duplicate_count,primary_exact_name_duplicate_flag
LODGE-00665,ALLIKA SHAKILLA HOUSE 3 SYARIAH LIMBANGAN CIANJUR,vacation_rental,vacation_rental,-6.8235,107.1219,kbb_tengah_barat,,,,,0,,Belum tersedia,missing_review_confidence,Dapur; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/31266067/0/95573f02fc0f63e50709a53df4b68dd8.jpg?ca=29&ce=0,https://www.agoda.com/allika-shakilla-house-3-syariah-limbangan-cianjur/hotel/puncak-id.html,0.65,medium,0.571,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|scrape_google_maps_reviews_for_sentiment,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,2,True
LODGE-00666,ALLIKA SHAKILLA HOUSE 3 SYARIAH LIMBANGAN CIANJUR,vacation_rental,vacation_rental,-6.8233,107.1218,kbb_tengah_barat,,,,,0,,Belum tersedia,missing_review_confidence,Ber-AC; Papan setrika; Dapur; TV Kabel; Mesin cuci; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/31266067/0/da5e5859ccb1bf40ee0d4108b51131ed.jpg?ca=29&ce=0&s=312x,https://www.bluepillow.com/search/62de8b54de4e4eebed146ebf?dest=ago&cat=apartment&lat=-6.8233&lng=107.12181&language=en,0.65,medium,0.571,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|scrape_google_maps_reviews_for_sentiment,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,2,True
LODGE-00853,ARTOTEL Suites Aquila Bandung,hotel,hotel,-6.8954,107.5893,kota_bandung,4.4,2172.0,620605.0,Rp 620.605,23,0.6785242095196408,Positif,high_review_confidence,Breakfast ($); Free Wi-Fi; Free parking; Outdoor pool; Hot tub; Air conditioning; Fitness center; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Business center; Kid-friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFxfwmUnhSO8grlvzOGBw9-aYoOnjq4eQ5nMRIH-nhCMGyfZqtkK6oytimblu8Ts1DmUbZWG6PDYbvdQUZJHB4pjy-Aodm2Salrq-2hlKpg8c_5pdfs-lCpjmx74NREgNjmaq3ToLvGXSNW=s10000,https://artotelwanderlust.com/hotel/artotel-suites-aquila-bandung/g/Jakarta-en.html?checkIn=2025-05-16&checkOut=2025-05-17&id=MA05110755-MA2505000001&encodeId=TUEyNTA1MDAwMDAx,1.0,high,1.0,OK_complete_enough,,,no_action,True,False,Data primary cukup lengkap untuk baseline.,2,True
LODGE-01606,ARTOTEL Suites Aquila Bandung,hotel,hotel,-6.8954,107.5893,kota_bandung,4.4,2170.0,,Rp 714.764,0,,Belum tersedia,missing_review_confidence,Hot tub; Pool; Free parking; Parking; Fitness center; Free Wi-Fi; Outdoor pool,,https://www.google.com/aclk?sa=l&ai=DChsSEwjGy-6DpOaUAxUnjMIIHX4IObwYACICCAEQDRoCamY&co=1&ase=2&gclid=EAIaIQobChMIxsvug6TmlAMVJ4zCCB1-CDm8EA0YByABEgJg-vD_BwE&cid=CAASugHkaEaNfybNslr420Hep2TgCQsfS8p8ycb5dSOtQw1aZHPkeisHdMVJooTnqEBYh3hvVNqsMsOxgfLrWSAq3EYAO9z6i8ldhuKWFLJlFl_8-muY4oZleTqckbPoRkW8hLXiJ1H3WVYEkEwBwVUpjJ1_h8bZHa4oJV5Zg2qhn54fu_MgjfsSSsx_vgjgW0VYLodbKdh1RqGvwOxg5oTuDqJDnHQe9H-dD4DBkkfuiAFyp5nWfZy-Vji5mQA&category=acrcp_v1_48&sig=AOD64_2cUuN9ibwxHIKSEe7B8CMD1-ehJA&adurl=,0.6,medium,0.571,P1_price_missing,missing_price|missing_sentiment|missing_image,scrape_google_hotels_or_manual_price|scrape_google_maps_reviews_for_sentiment|complete_primary_image,scrape_price_or_manual_price,True,False,Harga kosong; filter budget belum kuat.,2,True
LODGE-00147,Arumnala with butler and Breakfast at KBP,vacation_rental,vacation_rental,-6.8636,107.4573,cimahi_baros_pasteur,,,2722638.0,Rp 2.722.638,29,0.7094100944356169,Positif,high_review_confidence,Ber-AC; Papan setrika; Dapur; TV Kabel; Mesin cuci; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/63281264/0/a19a49f83abe24110b1665772ad719ef.jpg?ce=0&s=312x,https://www.bluepillow.com/search/67a2424f905c444f2d0be066?dest=ago&cat=Vacation+rental+(other)&lat=-6.86364&lng=107.45731&language=en,0.8,high,0.857,P1_rating_reviews_missing,missing_rating_reviews,scrape_or_verify_place_rating,scrape_place_profile,True,False,Rating/review kosong; perlu profile tempat dulu.,2,True
LODGE-00148,Arumnala with butler and Breakfast at KBP,vacation_rental,vacation_rental,-6.8646,107.4569,cimahi_baros_pasteur,,,3177900.0,Rp 3.177.900,0,,Belum tersedia,missing_review_confidence,Ber-AC; Dapur; Microwave; Mesin cuci,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlbWNZwXU4abzBV4cAEHbNtsvRsWWFLiDSAu9GvwAvaO46UMaWHIXuEtsr-29Lb3aGXrFEQZVYswBWLxFe9tzYvHGz2FbcT66OoDC-L4I-B9TBVBV3i3JA==.jpg,https://www.booking.com/hotel/id/arumnala-with-butler-and-breakfast-at-kbp.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-14565041&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-14565041_grp-1_gendate-20260524,0.8,high,0.714,P1_rating_reviews_missing,missing_rating_reviews|missing_sentiment,scrape_or_verify_place_rating|scrape_google_maps_reviews_for_sentiment,scrape_place_profile,True,False,Rating/review kosong; perlu profile tempat dulu.,2,True
LODGE-00525,Aubrey Villa Ciwidey - Chalet,villa,villa,-7.124,107.5054,kbb_tengah_barat,,,254919.0,Rp 254.919,0,,Belum tersedia,missing_review_confidence,Ber-AC; Cocok untuk anak; Ranjang bayi; Kolam renang di dalam ruangan; Pemanggang luar ruang; Boleh bawa hewan peliharaan; Dapat diakses pengguna kursi roda; Parkir gratis; Wi-Fi gratis,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/789463785.jpg?k=7a1d914d7d5a867faf3b526ec73139c0bfdf73be83429c04baf4e69489a66365&o=&a=1538557,https://www.bluepillow.com/search/59439a957c00cb0e643d6dea?dest=bkng&cat=Villa&lat=-7.12395&lng=107.50541&language=en,0.85,high,0.714,P1_rating_reviews_missing,missing_rating_reviews|missing_sentiment,scrape_or_verify_place_rating|scrape_google_maps_reviews_for_sentiment,scrape_place_profile,True,False,Rating/review kosong; perlu profile tempat dulu.,3,True
LODGE-00558,Aubrey Villa Ciwidey - Chalet,villa,villa,-7.124,107.5054,kbb_tengah_barat,,,254734.0,Rp 254.734,0,,Belum tersedia,missing_review_confidence,Cocok untuk anak; Boleh bawa hewan peliharaan; Dapat diakses pengguna kursi roda; Parkir gratis,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/static.cupid.travel/hotels/494980276.jpg?w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,https://www.freecancellations.com/search/F2giQ1NSGHYAXFIBVVhYTQ8KVxxgR1NC?lat=-7.12395&lng=107.50541&language=en,0.8,high,0.714,P1_rating_reviews_missing,missing_rating_reviews|missing_sentiment,scrape_or_verify_place_rating|scrape_google_maps_reviews_for_sentiment,scrape_place_profile,True,False,Rating/review kosong; perlu profile tempat dulu.,3,True
LODGE-00559,Aubrey Villa Ciwidey - Chalet,villa,villa,-7.124,107.5054,kbb_tengah_barat,,,254919.0,Rp 254.919,0,,Belum tersedia,missing_review_confidence,Ber-AC; Cocok untuk anak; Ranjang bayi; Kolam renang di dalam ruangan; Pemanggang luar ruang; Teras; Boleh bawa hewan peliharaan; Dapat diakses pengguna kursi roda; Parkir gratis; Wi-Fi gratis,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/789463785.jpg?k=7a1d914d7d5a867faf3b526ec73139c0bfdf73be83429c04baf4e69489a66365&o=&a=1538557,https://www.bluepillow.com/search/59439a957c00cb0e643d6dea/90877402?dest=bkng&cat=Villa&lat=-7.12395&lng=107.50541&language=en,0.8,high,0.714,P1_rating_reviews_missing,missing_rating_reviews|missing_sentiment,scrape_or_verify_place_rating|scrape_google_maps_reviews_for_sentiment,scrape_place_profile,True,False,Rating/review kosong; perlu profile tempat dulu.,3,True
LODGE-01110,Bandung Scenic View W Pool,vacation_rental,vacation_rental,-6.8833,107.5812,kota_bandung,4.85,3.0,286364.0,Rp 286.364,0,,Belum tersedia,missing_review_confidence,Ber-AC; Penghangat; Dapur; Boleh bawa hewan peliharaan; Bebas asap rokok; TV Kabel,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlYG65CxyC0DxZuAoMU_tH64dKIskUfOw14CCL_ovngMhOib5ROmqgzdr6rwafuMS4_R6PeeOaxYxZ3sZxgGtu0HDIpbXyI85J_9Ms2yNqbyFZPwMtXRow==.jpg,https://www.booking.com/hotel/id/bandung-scenic-view-w-pool.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-13421004&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-13421004_grp-0_gendate-20260524,0.95,high,0.857,P2_sentiment_missing,missing_sentiment,scrape_google_maps_reviews_for_sentiment,scrape_reviews_for_sentiment,True,False,"Rating/harga cukup, tetapi sentiment review belum tersedia.",2,True
