penginapan_id,name,property_type,property_type_final_after_p3,latitude,longitude,region_bucket,overall_rating,reviews,price_lowest,price_display,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label,amenities,primary_image_url,link,data_quality_score,data_quality_label,completion_score,completion_priority,completion_flags,recommended_completion_actions,completion_route,scrape_ready,manual_check_needed,completion_note,primary_exact_name_duplicate_count,primary_exact_name_duplicate_flag
LODGE-00491,Baraya Homestay,guest_house,guest_house,-7.1842,107.5617,kbb_selatan_baratdaya,,,,,0,,Belum tersedia,missing_review_confidence,Balkon; Parkir gratis,https://pix8.agoda.net/hotelImages/45050846/0/3a5be94343bb007d0d3e5a9132959da7.jpg?ce=0,https://www.agoda.com/baraya-homestay-h45050846/hotel/bandung-id.html,0.65,medium,0.571,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|scrape_google_maps_reviews_for_sentiment,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,1,False
LODGE-00684,Ciwidey Homestay 4 Bedroom,guest_house,guest_house,-7.1327,107.4215,kbb_tengah_barat,,,,,0,,Belum tersedia,missing_review_confidence,Jemputan bandara; Balkon; Dapur; Pemanggang luar ruang; Boleh bawa hewan peliharaan; Mesin cuci; Dapat diakses pengguna kursi roda; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/4998501/0/9c198987c1d22b87bafea756f38e9fbf.jpg?ce=2,https://www.agoda.com/ciwidey-homestay_2/hotel/bandung-id.html,0.65,medium,0.571,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|scrape_google_maps_reviews_for_sentiment,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,1,False
LODGE-00686,D'Lily Guest House Syariah,guest_house,guest_house,-7.0877,107.4778,kbb_tengah_barat,,,,,0,,Belum tersedia,missing_review_confidence,Balkon; Dapur; Pemanggang luar ruang; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/47415998/0/faed449ca389a13d7a997eaf9bf7a07a.jpg?ce=2,https://www.agoda.com/d-lily-guest-house-syariah/hotel/bandung-id.html,0.65,medium,0.571,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|scrape_google_maps_reviews_for_sentiment,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,1,False
LODGE-00697,Homestay murah ciwidey,guest_house,guest_house,-7.1196,107.4322,kbb_tengah_barat,,,,,0,,Belum tersedia,missing_review_confidence,Balkon; Dapur; Mesin cuci; Wi-Fi gratis,https://pix8.agoda.net/geo/poi/32542/2_32542_02.jpg?ca=6&ce=1,https://www.agoda.com/homestay-murah-ciwidey/hotel/bandung-id.html,0.65,medium,0.571,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|scrape_google_maps_reviews_for_sentiment,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,2,True
LODGE-00015,Lavin Soka Homestay - Tent,guest_house,guest_house,-6.7204,107.3809,bandung_raya_other,,,,,0,,Belum tersedia,missing_review_confidence,Ber-AC; Cocok untuk anak; Bebas asap rokok; Parkir gratis; Wi-Fi gratis,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/487778069.jpg?k=72b7c75f11b8389dc0a280055383941f221b18824aefb58105fad540b1a822dd&o=&s=312x,https://www.bluepillow.com/search/68e3dd51f93025efadacb0e4?dest=nuit&cat=House&lat=-6.7204&lng=107.38087&language=en,0.65,medium,0.571,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|scrape_google_maps_reviews_for_sentiment,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,2,True
LODGE-00016,Lavin Soka Homestay - Tent,guest_house,guest_house,-6.7204,107.3809,bandung_raya_other,,,,,0,,Belum tersedia,missing_review_confidence,Ber-AC; Cocok untuk anak; Bebas asap rokok,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/static.cupid.travel/hotels/487778069.jpg?w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,https://www.freecancellations.com/search/F2cjQQEBG3IHV1BVXlkEEggLD00zRQBG?lat=-6.7204&lng=107.38087&language=en,0.65,medium,0.571,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|scrape_google_maps_reviews_for_sentiment,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,2,True
LODGE-00493,Pangalengan Homestay By Lunam,guest_house,guest_house,-7.1793,107.5703,kbb_selatan_baratdaya,,,,,0,,Belum tersedia,missing_review_confidence,Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/61862188/0/13da013cf304418cb2552e176da13f6a.jpg?ce=0,https://www.agoda.com/pangalengan-homestay-by-lunam/hotel/bandung-id.html,0.65,medium,0.571,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|scrape_google_maps_reviews_for_sentiment,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,1,False
LODGE-00427,Salsabilla Guest House Syariah by Oyo,guest_house,guest_house,-6.8871,107.5225,cimahi_baros_pasteur,,,,,0,,Belum tersedia,missing_review_confidence,,https://p.fih.io/v2/nSr0o-3gbZN8o1xMecXCcG-BkDeQVo3k-wOeVogkTe7ajuFOX7O-WA8aRWhXz1jsToZif_TsA_xCWfhWRa0Z0suVpis1938TLymFbIZ6swzvlyGOT6izhz_-coyjgYqkDjURyrrIC0neDzF4en3ketkYyx1j1dLbUfhlOgkNcIcn9PwNtk_AU2csYWt6dZQ5HrU9YH_Mi1sOBJIp-_VR0o0tdfMtAxxDIiyYD4BSyNiZqAt1xXDKjOEhYqjEzXNlZvlZrwQd46Cqs4hADF-SisC4h7-DTktP9tNbouiPaQZ4OCFwEhjRY-A8ePJ9Uldy4T87SVhJaCmoaWk-_3XmyoPAZE8kPHeod_SAAmf4E-CeBPDhsV0zjwUDu5-t5UVY5R_5RRfFEiFjkRkZ1hssNTBxo3bheRgrhFHCxF1s6jruooVcNYVf3ZFylPTvgUQ1JHOu4emG50fYyQeqkiOQ34rNDxzOkapT83O3_GX0YkP4t8RuMpKRG_D_ID4oEkvkaw_XbdLV0xkg_dJwGGDUSOb4076m0J-Y,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D22592803%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,0.5,medium,0.429,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment|missing_amenities,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|scrape_google_maps_reviews_for_sentiment|complete_amenities,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,1,False
LODGE-00282,BUMI LOKA residence,hotel,hotel,-6.8669,107.4576,cimahi_baros_pasteur,,,,,0,,Belum tersedia,missing_review_confidence,Ber-AC; Dapur; Bebas asap rokok; TV Kabel; Dapat diakses pengguna kursi roda,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlbWNZwXU4abzEwx8ecmlkDjdx7HVg11TUUIbjFb5tkoTgpPch8IHRqNxuJ-nWHdAAEKfqiJAxxrxIqB6XgVWpEAfz4xnXDU6tvLxNfU-A2NSXeZ7vRvcg==.jpg,https://www.booking.com/hotel/id/bumi-loka-residence.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-13913669&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-13913669_grp-1_gendate-20260524,0.65,medium,0.571,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|scrape_google_maps_reviews_for_sentiment,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,1,False
LODGE-00781,RedDoorz Resort at Hajeka Pangalengan Bandung,hotel,hotel,-7.1974,107.5447,kbb_tengah_barat,,,,,0,,Belum tersedia,missing_review_confidence,Cocok untuk anak; Bebas asap rokok; Parkir gratis; Wi-Fi gratis,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/799338474.jpg?k=c11cb4fc1a6c11a10c219c657aff9b588be7cc28bd90dd36937fd0f341065e84&o=&s=312x,https://www.bluepillow.com/search/695ea3d3ac408a6eb70d0f21?dest=bkng&cat=House&p_id=589de4257c00cb10c8d9309f&language=en,0.6,medium,0.571,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_or_verify_place_rating|scrape_google_hotels_or_manual_price|scrape_google_maps_reviews_for_sentiment,scrape_rating_price_first,True,True,Rating/review dan harga sama-sama kosong; ini prioritas completion utama.,1,False
